Term,Type,Document_Frequency,Distress
credit,Unigram,70838,0
card,Unigram,66118,0
credit card,Bigram,63410,0
payment,Unigram,35021,0
consolidate,Unigram,32215,0
year,Unigram,23557,0
use,Unigram,20670,0
high,Unigram,18058,0
rate,Unigram,16664,0
thank,Unigram,16639,0
monthly,Unigram,15126,0
make,Unigram,15037,0
time,Unigram,14947,0
like,Unigram,14854,0
need,Unigram,14191,0
consolidation,Unigram,14143,0
want,Unigram,14121,0
help,Unigram,14082,0
add credit,Bigram,13503,0
month,Unigram,13006,0
home,Unigram,12771,0
lower,Unigram,12148,0
job,Unigram,12113,0
money,Unigram,11402,0
work,Unigram,11171,0
consolidate credit,Bigram,11093,0
add consolidate,Bigram,10438,0
plan,Unigram,9838,0
monthly payment,Bigram,9774,0
just,Unigram,9697,0
fund,Unigram,8920,0
add consolidation,Bigram,8859,0
look,Unigram,8719,0
rat,Unigram,8010,0
free,Unigram,7717,0
good,Unigram,7591,0
balance,Unigram,7416,0
new,Unigram,7264,0
high credit,Bigram,7218,0
save,Unigram,7049,0
add use,Bigram,7007,0
car,Unigram,6902,0
stable,Unigram,6865,0
higher,Unigram,6622,0
expense,Unigram,6339,0
account,Unigram,6257,0
try,Unigram,6084,0
purchase,Unigram,6063,0
company,Unigram,6006,0
current,Unigram,5765,0
lend,Unigram,5747,0
house,Unigram,5741,0
lower rate,Bigram,5734,0
add like,Bigram,5450,0
add want,Bigram,5424,0
start,Unigram,5328,0
club,Unigram,5303,0
able,Unigram,5251,0
currently,Unigram,5176,0
lend club,Bigram,5103,0
payoff,Unigram,5014,0
late,Unigram,4872,0
allow,Unigram,4680,0
income,Unigram,4635,0
buy,Unigram,4293,0
business,Unigram,4195,0
improvement,Unigram,4148,0
add plan,Bigram,4113,0
add need,Bigram,4090,0
medical,Unigram,4035,1
personal,Unigram,4018,0
family,Unigram,4006,0
better,Unigram,3989,0
budget,Unigram,3949,0
financial,Unigram,3894,0
great,Unigram,3869,0
close,Unigram,3850,0
score,Unigram,3721,0
reduce,Unigram,3720,0
small,Unigram,3718,0
make payment,Bigram,3659,0
goal,Unigram,3651,0
repair,Unigram,3520,0
refinance,Unigram,3515,0
live,Unigram,3504,0
life,Unigram,3443,0
finance,Unigram,3421,0
home improvement,Bigram,3409,0
add look,Bigram,3322,0
credit score,Bigram,3318,0
like consolidate,Bigram,3313,0
card payment,Bigram,3303,0
bank,Unigram,3290,0
way,Unigram,3144,0
plan use,Bigram,3138,0
add high,Bigram,3117,0
history,Unigram,3109,0
use credit,Bigram,3042,0
consideration,Unigram,3025,0
miss,Unigram,3002,0
request,Unigram,2998,0
apr,Unigram,2952,0
late payment,Bigram,2898,0
fix,Unigram,2865,0
cash,Unigram,2844,0
rate credit,Bigram,2844,0
high rate,Bigram,2816,0
minimum,Unigram,2789,0
little,Unigram,2775,0
card balance,Bigram,2768,0
cost,Unigram,2750,0
faster,Unigram,2740,0
college,Unigram,2729,0
past,Unigram,2713,0
payment month,Bigram,2696,0
end,Unigram,2662,0
want consolidate,Bigram,2641,0
school,Unigram,2636,0
stable job,Bigram,2596,0
mortgage,Unigram,2593,0
use fund,Bigram,2573,0
excellent,Unigram,2554,0
future,Unigram,2530,0
order,Unigram,2512,0
term,Unigram,2475,0
employ,Unigram,2455,0
save money,Bigram,2418,0
instead,Unigram,2411,0
know,Unigram,2403,0
card add,Bigram,2397,0
use consolidate,Bigram,2396,0
recently,Unigram,2366,0
job year,Bigram,2352,0
purpose,Unigram,2338,0
saving,Unigram,2331,0
total,Unigram,2329,0
miss payment,Bigram,2325,0
exist,Unigram,2321,0
add try,Bigram,2299,0
appreciate,Unigram,2298,0
student,Unigram,2294,0
come,Unigram,2273,0
really,Unigram,2249,0
low,Unigram,2248,0
cover,Unigram,2240,0
thank consideration,Bigram,2233,0
consolidate high,Bigram,2210,0
add just,Bigram,2199,0
leave,Unigram,2190,0
tax,Unigram,2189,0
