Term,Type,Document_Frequency,Financial_Literacy,Reason
credit,Unigram,70838,Regular,
card,Unigram,66118,Regular,
credit card,Bigram,63410,Regular,
payment,Unigram,35021,Regular,
consolidate,Unigram,32215,Uncertain,"מונח נכון, אך כה נפוץ ב-LendingClub (קטגורית מטרה מובנית בפלטפורמה) שאין לו כוח הבחנה"
year,Unigram,23557,Regular,
use,Unigram,20670,Regular,
high,Unigram,18058,Regular,
rate,Unigram,16664,Regular,
thank,Unigram,16639,Regular,
monthly,Unigram,15126,Regular,
make,Unigram,15037,Regular,
time,Unigram,14947,Regular,
like,Unigram,14854,Regular,
need,Unigram,14191,Regular,
consolidation,Unigram,14143,Uncertain,כנ״ל
want,Unigram,14121,Regular,
help,Unigram,14082,Regular,
add credit,Bigram,13503,Regular,
month,Unigram,13006,Regular,
home,Unigram,12771,Regular,
lower,Unigram,12148,Regular,
job,Unigram,12113,Regular,
money,Unigram,11402,Regular,
work,Unigram,11171,Regular,
consolidate credit,Bigram,11093,Regular,
add consolidate,Bigram,10438,Regular,
plan,Unigram,9838,Regular,
monthly payment,Bigram,9774,Regular,
just,Unigram,9697,Regular,
fund,Unigram,8920,Regular,
add consolidation,Bigram,8859,Regular,
look,Unigram,8719,Regular,
rat,Unigram,8010,Regular,
free,Unigram,7717,Regular,
good,Unigram,7591,Regular,
balance,Unigram,7416,Regular,
new,Unigram,7264,Regular,
high credit,Bigram,7218,Regular,
save,Unigram,7049,Regular,
add use,Bigram,7007,Regular,
car,Unigram,6902,Regular,
stable,Unigram,6865,Regular,
higher,Unigram,6622,Regular,
expense,Unigram,6339,Regular,
account,Unigram,6257,Regular,
try,Unigram,6084,Regular,
purchase,Unigram,6063,Regular,
company,Unigram,6006,Regular,
current,Unigram,5765,Regular,
lend,Unigram,5747,Regular,
house,Unigram,5741,Regular,
lower rate,Bigram,5734,Regular,
add like,Bigram,5450,Regular,
add want,Bigram,5424,Regular,
start,Unigram,5328,Regular,
club,Unigram,5303,Regular,
able,Unigram,5251,Regular,
currently,Unigram,5176,Regular,
lend club,Bigram,5103,Regular,
payoff,Unigram,5014,Regular,
late,Unigram,4872,Regular,
allow,Unigram,4680,Regular,
income,Unigram,4635,Regular,
buy,Unigram,4293,Regular,
business,Unigram,4195,Regular,
improvement,Unigram,4148,Regular,
add plan,Bigram,4113,Regular,
add need,Bigram,4090,Regular,
medical,Unigram,4035,Regular,
personal,Unigram,4018,Regular,
family,Unigram,4006,Regular,
better,Unigram,3989,Regular,
budget,Unigram,3949,Regular,
financial,Unigram,3894,Regular,
great,Unigram,3869,Regular,
close,Unigram,3850,Regular,
score,Unigram,3721,Regular,
reduce,Unigram,3720,Regular,
small,Unigram,3718,Regular,
make payment,Bigram,3659,Regular,
goal,Unigram,3651,Regular,
repair,Unigram,3520,Regular,
refinance,Unigram,3515,Literacy,
live,Unigram,3504,Regular,
life,Unigram,3443,Regular,
finance,Unigram,3421,Regular,
home improvement,Bigram,3409,Regular,
add look,Bigram,3322,Regular,
credit score,Bigram,3318,Regular,
like consolidate,Bigram,3313,Regular,
card payment,Bigram,3303,Regular,
bank,Unigram,3290,Regular,
way,Unigram,3144,Regular,
plan use,Bigram,3138,Regular,
add high,Bigram,3117,Regular,
history,Unigram,3109,Regular,
