Seq_num,Word,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining
1,AARDVARK,0,0,0,0,0,0,0
2,AARDVARKS,0,0,0,0,0,0,0
3,ABACI,0,0,0,0,0,0,0
4,ABACK,0,0,0,0,0,0,0
5,ABACUS,0,0,0,0,0,0,0
6,ABACUSES,0,0,0,0,0,0,0
7,ABAFT,0,0,0,0,0,0,0
8,ABALONE,0,0,0,0,0,0,0
9,ABALONES,0,0,0,0,0,0,0
10,ABANDON,2009,0,0,0,0,0,0
11,ABANDONED,2009,0,0,0,0,0,0
12,ABANDONING,2009,0,0,0,0,0,0
13,ABANDONMENT,2009,0,0,0,0,0,0
14,ABANDONMENTS,2009,0,0,0,0,0,0
15,ABANDONS,2009,0,0,0,0,0,0
16,ABASE,0,0,0,0,0,0,0
17,ABASED,0,0,0,0,0,0,0
18,ABASEMENT,0,0,0,0,0,0,0
19,ABASEMENTS,0,0,0,0,0,0,0
20,ABASES,0,0,0,0,0,0,0
21,ABASH,0,0,0,0,0,0,0
22,ABASHED,0,0,0,0,0,0,0
23,ABASHEDLY,0,0,0,0,0,0,0
24,ABASHES,0,0,0,0,0,0,0
25,ABASHING,0,0,0,0,0,0,0
26,ABASHMENT,0,0,0,0,0,0,0
27,ABASHMENTS,0,0,0,0,0,0,0
28,ABASING,0,0,0,0,0,0,0
29,ABATE,0,0,0,0,0,0,0
30,ABATED,0,0,0,0,0,0,0
31,ABATEMENT,0,0,0,0,0,0,0
32,ABATEMENTS,0,0,0,0,0,0,0
33,ABATES,0,0,0,0,0,0,0
34,ABATING,0,0,0,0,0,0,0
35,ABATTOIR,0,0,0,0,0,0,0
36,ABATTOIRS,0,0,0,0,0,0,0
37,ABBE,0,0,0,0,0,0,0
38,ABBES,0,0,0,0,0,0,0
39,ABBESS,0,0,0,0,0,0,0
40,ABBESSES,0,0,0,0,0,0,0
41,ABBEY,0,0,0,0,0,0,0
42,ABBEYS,0,0,0,0,0,0,0
43,ABBOT,0,0,0,0,0,0,0
44,ABBOTS,0,0,0,0,0,0,0
