Term,Type,Document_Frequency
pay,Unigram,2737
credit,Unigram,2585
card,Unigram,2146
credit card,Bigram,2033
year,Unigram,1882
debt,Unigram,1841
payment,Unigram,1733
add,Unigram,1565
use,Unigram,1389
job,Unigram,1337
work,Unigram,1126
month,Unigram,1024
consolidate,Unigram,992
monthly,Unigram,936
help,Unigram,935
plan,Unigram,886
money,Unigram,852
fund,Unigram,851
stable,Unigram,755
good,Unigram,730
home,Unigram,725
rate,Unigram,718
company,Unigram,677
income,Unigram,665
high,Unigram,648
pay credit,Bigram,608
card debt,Bigram,594
car,Unigram,588
expense,Unigram,542
look,Unigram,538
new,Unigram,515
rat,Unigram,501
currently,Unigram,489
current,Unigram,483
account,Unigram,478
lower,Unigram,476
late,Unigram,466
balance,Unigram,465
free,Unigram,441
monthly payment,Bigram,436
purchase,Unigram,430
budget,Unigram,411
house,Unigram,406
able,Unigram,391
start,Unigram,383
try,Unigram,380
bank,Unigram,368
live,Unigram,358
question,Unigram,356
pay debt,Bigram,354
save,Unigram,352
plan use,Bigram,344
lend,Unigram,343
score,Unigram,329
school,Unigram,328
great,Unigram,321
rent,Unigram,305
financial,Unigram,303
wife,Unigram,302
consolidate credit,Bigram,296
credit score,Bigram,294
family,Unigram,293
history,Unigram,293
mortgage,Unigram,293
consolidation,Unigram,284
buy,Unigram,280
stable job,Bigram,280
excellent,Unigram,278
know,Unigram,278
late payment,Bigram,278
miss,Unigram,275
use pay,Bigram,275
employ,Unigram,268
appreciate,Unigram,262
college,Unigram,262
pay month,Bigram,262
personal,Unigram,262
use fund,Bigram,261
consolidate debt,Bigram,260
allow,Unigram,258
ask,Unigram,254
minimum,Unigram,253
saving,Unigram,253
life,Unigram,252
secure,Unigram,252
come,Unigram,250
way,Unigram,249
business,Unigram,247
feel,Unigram,247
position,Unigram,247
finance,Unigram,245
insurance,Unigram,244
request,Unigram,243
total,Unigram,242
don,Unigram,241
receive,Unigram,240
past,Unigram,239
close,Unigram,237
recently,Unigram,237
high credit,Bigram,236
little,Unigram,235
really,Unigram,235
cash,Unigram,229
goal,Unigram,226
higher,Unigram,226
student,Unigram,225
job year,Bigram,223
increase,Unigram,222
debt free,Bigram,221
include,Unigram,221
medical,Unigram,220
invest,Unigram,218
leave,Unigram,217
day,Unigram,214
tax,Unigram,209
better,Unigram,208
lower rate,Bigram,206
miss payment,Bigram,206
plan pay,Bigram,206
small,Unigram,206
cost,Unigram,204
investor,Unigram,201
investment,Unigram,200
responsible,Unigram,199
end,Unigram,197
ago,Unigram,192
employment,Unigram,192
