Term,Type,Document_Frequency
credit,Unigram,70838
card,Unigram,66118
credit card,Bigram,63410
payment,Unigram,35021
consolidate,Unigram,32215
year,Unigram,23557
use,Unigram,20670
high,Unigram,18058
rate,Unigram,16664
thank,Unigram,16639
monthly,Unigram,15126
make,Unigram,15037
time,Unigram,14947
like,Unigram,14854
need,Unigram,14191
consolidation,Unigram,14143
want,Unigram,14121
help,Unigram,14082
add credit,Bigram,13503
month,Unigram,13006
home,Unigram,12771
lower,Unigram,12148
job,Unigram,12113
money,Unigram,11402
work,Unigram,11171
consolidate credit,Bigram,11093
add consolidate,Bigram,10438
plan,Unigram,9838
monthly payment,Bigram,9774
just,Unigram,9697
fund,Unigram,8920
add consolidation,Bigram,8859
look,Unigram,8719
rat,Unigram,8010
free,Unigram,7717
good,Unigram,7591
balance,Unigram,7416
new,Unigram,7264
high credit,Bigram,7218
save,Unigram,7049
add use,Bigram,7007
car,Unigram,6902
stable,Unigram,6865
higher,Unigram,6622
expense,Unigram,6339
account,Unigram,6257
try,Unigram,6084
purchase,Unigram,6063
company,Unigram,6006
current,Unigram,5765
lend,Unigram,5747
house,Unigram,5741
lower rate,Bigram,5734
add like,Bigram,5450
add want,Bigram,5424
start,Unigram,5328
club,Unigram,5303
able,Unigram,5251
currently,Unigram,5176
lend club,Bigram,5103
payoff,Unigram,5014
late,Unigram,4872
allow,Unigram,4680
income,Unigram,4635
buy,Unigram,4293
business,Unigram,4195
improvement,Unigram,4148
add plan,Bigram,4113
add need,Bigram,4090
medical,Unigram,4035
personal,Unigram,4018
family,Unigram,4006
better,Unigram,3989
budget,Unigram,3949
financial,Unigram,3894
great,Unigram,3869
close,Unigram,3850
score,Unigram,3721
reduce,Unigram,3720
small,Unigram,3718
make payment,Bigram,3659
goal,Unigram,3651
repair,Unigram,3520
refinance,Unigram,3515
live,Unigram,3504
life,Unigram,3443
finance,Unigram,3421
home improvement,Bigram,3409
add look,Bigram,3322
credit score,Bigram,3318
like consolidate,Bigram,3313
card payment,Bigram,3303
bank,Unigram,3290
way,Unigram,3144
plan use,Bigram,3138
add high,Bigram,3117
history,Unigram,3109
use credit,Bigram,3042
consideration,Unigram,3025
miss,Unigram,3002
request,Unigram,2998
apr,Unigram,2952
late payment,Bigram,2898
fix,Unigram,2865
cash,Unigram,2844
rate credit,Bigram,2844
high rate,Bigram,2816
minimum,Unigram,2789
little,Unigram,2775
card balance,Bigram,2768
cost,Unigram,2750
faster,Unigram,2740
college,Unigram,2729
past,Unigram,2713
payment month,Bigram,2696
end,Unigram,2662
want consolidate,Bigram,2641
school,Unigram,2636
stable job,Bigram,2596
mortgage,Unigram,2593
use fund,Bigram,2573
excellent,Unigram,2554
future,Unigram,2530
order,Unigram,2512
term,Unigram,2475
employ,Unigram,2455
save money,Bigram,2418
instead,Unigram,2411
know,Unigram,2403
card add,Bigram,2397
use consolidate,Bigram,2396
recently,Unigram,2366
job year,Bigram,2352
purpose,Unigram,2338
saving,Unigram,2331
total,Unigram,2329
miss payment,Bigram,2325
exist,Unigram,2321
add try,Bigram,2299
appreciate,Unigram,2298
student,Unigram,2294
come,Unigram,2273
really,Unigram,2249
low,Unigram,2248
cover,Unigram,2240
thank consideration,Bigram,2233
consolidate high,Bigram,2210
add just,Bigram,2199
leave,Unigram,2190
tax,Unigram,2189
high rat,Bigram,2187
rent,Unigram,2182
build,Unigram,2173
card high,Bigram,2173
card lower,Bigram,2150
feel,Unigram,2130
look consolidate,Bigram,2129
increase,Unigram,2121
wed,Unigram,2119
rid,Unigram,2117
invest,Unigram,2106
eliminate,Unigram,2088
hard,Unigram,2076
ago,Unigram,2063
add thank,Bigram,2055
amp,Unigram,2035
higher rate,Bigram,2021
extra,Unigram,2004
easier,Unigram,1998
responsible,Unigram,1991
investor,Unigram,1969
opportunity,Unigram,1966
thing,Unigram,1935
secure,Unigram,1931
investment,Unigram,1923
don,Unigram,1922
long,Unigram,1922
card consolidation,Bigram,1913
include,Unigram,1913
insurance,Unigram,1906
remain,Unigram,1904
couple,Unigram,1877
question,Unigram,1876
add help,Bigram,1864
day,Unigram,1858
consolidate payment,Bigram,1845
lot,Unigram,1828
single,Unigram,1826
charge,Unigram,1809
revolve,Unigram,1784
finish,Unigram,1782
position,Unigram,1771
use money,Bigram,1770
old,Unigram,1765
receive,Unigram,1764
improve,Unigram,1752
possible,Unigram,1722
wife,Unigram,1697
lower monthly,Bigram,1689
offer,Unigram,1688
good credit,Bigram,1679
payment time,Bigram,1661
vehicle,Unigram,1656
ask,Unigram,1624
additional,Unigram,1621
easy,Unigram,1609
consider,Unigram,1605
hope,Unigram,1605
repay,Unigram,1600
want credit,Bigram,1592
add home,Bigram,1588
year ago,Bigram,1579
replace,Unigram,1575
apply,Unigram,1574
just want,Bigram,1572
place,Unigram,1565
complete,Unigram,1559
employment,Unigram,1548
monthly budget,Bigram,1537
problem,Unigram,1535
higher credit,Bigram,1527
continue,Unigram,1524
track,Unigram,1519
kitchen,Unigram,1505
past year,Bigram,1504
provide,Unigram,1502
emergency,Unigram,1498
forward,Unigram,1495
line,Unigram,1493
sooner,Unigram,1492
combine,Unigram,1490
company year,Bigram,1482
credit history,Bigram,1476
payoff credit,Bigram,1476
employer,Unigram,1472
outstanding,Unigram,1472
job stable,Bigram,1471
soon,Unigram,1470
remodel,Unigram,1469
free year,Bigram,1468
owe,Unigram,1463
manage,Unigram,1458
sell,Unigram,1451
care,Unigram,1444
date,Unigram,1438
quickly,Unigram,1436
thank help,Bigram,1433
thank add,Bigram,1431
payment credit,Bigram,1425
steady,Unigram,1409
cut,Unigram,1403
large,Unigram,1397
process,Unigram,1391
project,Unigram,1390
set,Unigram,1381
multiple,Unigram,1372
add payoff,Bigram,1363
hello,Unigram,1362
spend,Unigram,1357
minimum payment,Bigram,1351
payment lower,Bigram,1351
right,Unigram,1347
borrow,Unigram,1343
need consolidate,Bigram,1341
auto,Unigram,1337
graduate,Unigram,1332
different,Unigram,1328
major,Unigram,1308
property,Unigram,1302
fee,Unigram,1301
card monthly,Bigram,1285
card make,Bigram,1280
think,Unigram,1278
excellent credit,Bigram,1276
early,Unigram,1273
card like,Bigram,1265
quicker,Unigram,1256
run,Unigram,1254
debit,Unigram,1253
card use,Bigram,1240
love,Unigram,1230
consolidation credit,Bigram,1229
like credit,Bigram,1228
advance,Unigram,1222
finally,Unigram,1210
reason,Unigram,1208
half,Unigram,1196
add purpose,Bigram,1194
add fund,Bigram,1192
add work,Bigram,1192
change,Unigram,1183
payment make,Bigram,1180
support,Unigram,1177
consolidation add,Bigram,1176
situation,Unigram,1174
incur,Unigram,1173
roof,Unigram,1166
market,Unigram,1152
try consolidate,Bigram,1151
unexpected,Unigram,1150
service,Unigram,1149
daughter,Unigram,1147
hop,Unigram,1143
payment add,Bigram,1141
rest,Unigram,1140
add hello,Bigram,1131
career,Unigram,1121
grow,Unigram,1118
short,Unigram,1116
utility,Unigram,1114
child,Unigram,1110
open,Unigram,1107
away,Unigram,1102
plus,Unigram,1099
lender,Unigram,1097
state,Unigram,1096
vacation,Unigram,1094
consolidate lower,Bigram,1092
bathroom,Unigram,1091
raise,Unigram,1091
best,Unigram,1089
begin,Unigram,1071
better rate,Bigram,1065
obligation,Unigram,1065
dollar,Unigram,1060
intend,Unigram,1053
add request,Bigram,1037
issue,Unigram,1035
week,Unigram,1035
accumulate,Unigram,1031
far,Unigram,1028
card year,Bigram,1027
