fold,Model,Arm_A,Arm_B,AUC_A,AUC_B,Delta_AUC,Z_stat,p_value,CI_95_lo,CI_95_hi
1,Logistic,Structured,Structured+Lexicon,0.6595,0.6617,0.0022,-1.019,0.3081,-0.0064,0.002
1,XGBoost,Structured,Structured+Lexicon,0.6388,0.6358,-0.003,0.338,0.7354,-0.0145,0.0206
1,RandomForest,Structured,Structured+Lexicon,0.6349,0.6311,-0.0038,0.801,0.4233,-0.0055,0.013
2,Logistic,Structured,Structured+Lexicon,0.6803,0.6873,0.007,-2.427,0.0152,-0.0126,-0.0013
2,XGBoost,Structured,Structured+Lexicon,0.6762,0.6796,0.0034,-0.516,0.6058,-0.0165,0.0096
2,RandomForest,Structured,Structured+Lexicon,0.6652,0.6749,0.0097,-2.448,0.0144,-0.0175,-0.0019
3,Logistic,Structured,Structured+Lexicon,0.705,0.703,-0.0021,0.698,0.485,-0.0037,0.0078
3,XGBoost,Structured,Structured+Lexicon,0.6867,0.6845,-0.0023,0.398,0.6909,-0.0088,0.0134
3,RandomForest,Structured,Structured+Lexicon,0.7012,0.7044,0.0032,-0.963,0.3353,-0.0097,0.0033
4,Logistic,Structured,Structured+Lexicon,0.7001,0.6994,-0.0007,0.496,0.6196,-0.0021,0.0036
4,XGBoost,Structured,Structured+Lexicon,0.6759,0.6797,0.0038,-0.774,0.4387,-0.0134,0.0058
4,RandomForest,Structured,Structured+Lexicon,0.6889,0.6904,0.0015,-0.489,0.6249,-0.0077,0.0046
5,Logistic,Structured,Structured+Lexicon,0.7194,0.7201,0.0007,-0.467,0.6408,-0.0034,0.0021
5,XGBoost,Structured,Structured+Lexicon,0.7201,0.7209,0.0007,-0.202,0.8397,-0.0079,0.0065
5,RandomForest,Structured,Structured+Lexicon,0.715,0.717,0.002,-0.756,0.4494,-0.0072,0.0032
6,Logistic,Structured,Structured+Lexicon,0.6703,0.6722,0.0019,-1.299,0.194,-0.0048,0.001
6,XGBoost,Structured,Structured+Lexicon,0.6806,0.6791,-0.0015,0.472,0.6373,-0.0048,0.0078
6,RandomForest,Structured,Structured+Lexicon,0.6743,0.6756,0.0013,-0.532,0.5947,-0.0061,0.0035
7,Logistic,Structured,Structured+Lexicon,0.7009,0.7003,-0.0006,0.61,0.5418,-0.0014,0.0026
7,XGBoost,Structured,Structured+Lexicon,0.7002,0.7049,0.0047,-1.593,0.1111,-0.0105,0.0011
7,RandomForest,Structured,Structured+Lexicon,0.6907,0.6944,0.0037,-1.416,0.1569,-0.0088,0.0014
8,Logistic,Structured,Structured+Lexicon,0.6855,0.6864,0.0009,-0.955,0.3395,-0.0029,0.001
8,XGBoost,Structured,Structured+Lexicon,0.6916,0.6902,-0.0015,0.535,0.5926,-0.0039,0.0068
8,RandomForest,Structured,Structured+Lexicon,0.6831,0.6857,0.0026,-1.66,0.0969,-0.0057,0.0005
9,Logistic,Structured,Structured+Lexicon,0.6995,0.7004,0.0009,-1.107,0.2684,-0.0024,0.0007
9,XGBoost,Structured,Structured+Lexicon,0.6972,0.7013,0.004,-1.581,0.1138,-0.0091,0.001
9,RandomForest,Structured,Structured+Lexicon,0.7043,0.7034,-0.0009,0.685,0.4934,-0.0018,0.0037
10,Logistic,Structured,Structured+Lexicon,0.6922,0.6937,0.0015,-2.293,0.0219,-0.0028,-0.0002
10,XGBoost,Structured,Structured+Lexicon,0.6945,0.6969,0.0025,-1.427,0.1536,-0.0059,0.0009
10,RandomForest,Structured,Structured+Lexicon,0.6926,0.6924,-0.0002,0.138,0.8899,-0.0023,0.0027
11,Logistic,Structured,Structured+Lexicon,0.6917,0.6926,0.0008,-1.381,0.1674,-0.002,0.0004
11,XGBoost,Structured,Structured+Lexicon,0.6967,0.6969,0.0002,-0.125,0.9004,-0.0029,0.0025
11,RandomForest,Structured,Structured+Lexicon,0.6909,0.691,0.0001,-0.075,0.9399,-0.0023,0.0021
12,Logistic,Structured,Structured+Lexicon,0.7036,0.7045,0.0009,-1.927,0.054,-0.0017,0.0
12,XGBoost,Structured,Structured+Lexicon,0.7055,0.7066,0.0011,-1.217,0.2235,-0.0028,0.0007
12,RandomForest,Structured,Structured+Lexicon,0.6999,0.7004,0.0005,-0.548,0.584,-0.0022,0.0012
13,Logistic,Structured,Structured+Lexicon,0.6946,0.6944,-0.0001,0.363,0.7167,-0.0006,0.0009
13,XGBoost,Structured,Structured+Lexicon,0.696,0.6964,0.0004,-0.556,0.5784,-0.0019,0.001
13,RandomForest,Structured,Structured+Lexicon,0.6895,0.6894,-0.0001,0.131,0.8956,-0.0014,0.0016
14,Logistic,Structured,Structured+Lexicon,0.6997,0.6992,-0.0006,1.876,0.0606,-0.0,0.0012
14,XGBoost,Structured,Structured+Lexicon,0.7056,0.7051,-0.0006,0.982,0.3263,-0.0006,0.0018
14,RandomForest,Structured,Structured+Lexicon,0.704,0.7034,-0.0006,0.821,0.4116,-0.0008,0.002
