fold,train_cutoff,test_end,n_train,n_test,n_defaults,Model,Arm,n_features,AUC,AUC_CI_lo,AUC_CI_hi,PR_AUC,PR_AUC_CI_lo,PR_AUC_CI_hi,Brier,Brier_CI_lo,Brier_CI_hi,GINI
1,2010-08,2010-09,6694,1042,157,Logistic,Structured,126,0.6595,0.6185,0.7003,0.2278,0.185,0.2889,0.2448,0.2334,0.2556,0.319
1,2010-08,2010-09,6694,1042,157,XGBoost,Structured,126,0.6388,0.5936,0.6827,0.2169,0.1751,0.2726,0.1998,0.1885,0.2097,0.2776
1,2010-08,2010-09,6694,1042,157,RandomForest,Structured,126,0.6349,0.5957,0.6765,0.2135,0.1717,0.2668,0.2065,0.1988,0.2138,0.2698
1,2010-08,2010-09,6694,1042,157,Logistic,Structured+Lexicon,133,0.6617,0.6211,0.7036,0.231,0.1872,0.2899,0.2457,0.2341,0.2566,0.3234
1,2010-08,2010-09,6694,1042,157,XGBoost,Structured+Lexicon,133,0.6358,0.5958,0.6774,0.2047,0.1662,0.2559,0.2018,0.1915,0.2118,0.2715
1,2010-08,2010-09,6694,1042,157,RandomForest,Structured+Lexicon,133,0.6311,0.5908,0.675,0.2116,0.1721,0.2646,0.204,0.1966,0.2111,0.2623
2,2010-11,2010-12,9893,1222,136,Logistic,Structured,126,0.6803,0.6334,0.725,0.2075,0.1632,0.2692,0.2092,0.199,0.2202,0.3606
2,2010-11,2010-12,9893,1222,136,XGBoost,Structured,126,0.6762,0.6266,0.7229,0.2292,0.1772,0.2998,0.1755,0.1643,0.1869,0.3523
2,2010-11,2010-12,9893,1222,136,RandomForest,Structured,126,0.6652,0.6186,0.7123,0.2109,0.161,0.2736,0.1798,0.1717,0.1871,0.3305
2,2010-11,2010-12,9893,1222,136,Logistic,Structured+Lexicon,133,0.6873,0.6401,0.7303,0.2122,0.1667,0.2724,0.2088,0.1985,0.2199,0.3745
2,2010-11,2010-12,9893,1222,136,XGBoost,Structured+Lexicon,133,0.6796,0.6308,0.7276,0.2178,0.1707,0.2858,0.173,0.1629,0.1833,0.3592
2,2010-11,2010-12,9893,1222,136,RandomForest,Structured+Lexicon,133,0.6749,0.6302,0.7214,0.2149,0.1639,0.2751,0.1747,0.1668,0.1821,0.3499
