Representation,Config,Source,Model,AUC,Std,Delta_vs_Structured,Significant_folds
Lexicon (7 features),fixed hyperparams,Dictionarys,Logistic,0.6939,0.0142,0.0009000000000000119,2/14
Lexicon (7 features),fixed hyperparams,Dictionarys,XGBoost,0.6913,0.02,0.0009000000000000119,0/14
Lexicon (7 features),fixed hyperparams,Dictionarys,RandomForest,0.6895,0.0203,0.0012999999999999678,1/14
"TF-IDF (full, uncapped)",fixed hyperparams,TF-IDF,Logistic,0.6965,0.0159,0.0035000000000000586,7/14
"TF-IDF (full, uncapped)",fixed hyperparams,TF-IDF,XGBoost,0.6936,0.0186,0.0031999999999999806,3/14
"TF-IDF (full, uncapped)",fixed hyperparams,TF-IDF,RandomForest,0.6824,0.0183,-0.005800000000000027,7/14
TF-IDF (chi2 top-500),fixed hyperparams,TF-IDF,Logistic,0.6942,0.0164,0.0012000000000000899,2/14
TF-IDF (chi2 top-500),fixed hyperparams,TF-IDF,XGBoost,0.6936,0.0204,0.0031999999999999806,2/14
TF-IDF (chi2 top-500),fixed hyperparams,TF-IDF,RandomForest,0.687,0.021,-0.0011999999999999789,3/14
FinBERT-768 (raw),fixed hyperparams,FinBERT,Logistic,0.6732,0.0356,-0.01979999999999993,not run
FinBERT-768 (raw),fixed hyperparams,FinBERT,XGBoost,0.684,0.0266,-0.006399999999999961,not run
FinBERT-768 (raw),fixed hyperparams,FinBERT,RandomForest,0.6611,0.0197,-0.027100000000000013,not run
FinBERT-768 (raw),grid search,FinBERT,Logistic,0.6827,0.0242,-0.010299999999999976,not run
FinBERT-768 (raw),grid search,FinBERT,XGBoost,0.689,0.0202,-0.0014000000000000679,not run
FinBERT-768 (raw),grid search,FinBERT,RandomForest,0.6747,0.0179,-0.013500000000000068,not run
FinBERT-PCA50,fixed hyperparams,FinBERT,Logistic,0.6948,0.0157,0.0018000000000000238,not run
FinBERT-PCA50,fixed hyperparams,FinBERT,XGBoost,0.6887,0.0247,-0.0017000000000000348,not run
FinBERT-PCA50,fixed hyperparams,FinBERT,RandomForest,0.6855,0.021,-0.0027000000000000357,not run
FinBERT-PCA50,grid search,FinBERT,Logistic,0.6948,0.016,0.0018000000000000238,not run
FinBERT-PCA50,grid search,FinBERT,XGBoost,0.6921,0.0208,0.0017000000000000348,not run
FinBERT-PCA50,grid search,FinBERT,RandomForest,0.6857,0.02,-0.0025000000000000577,not run
