rank,Feature,Importance
1,int_rate,0.28967685
2,annual_inc,0.27751645
3,term,0.27579007
4,bc_open_to_buy,0.2001914
5,loan_amnt,0.18699439
6,bc_util,0.17995061
7,mths_since_recent_bc,0.17783654
8,fico_midpoint,0.17691015
9,acc_open_past_24mths,0.15975985
10,revol_util,0.119053565
11,mo_sin_old_rev_tl_op,0.1018436
12,dti,0.09974908
13,inq_last_6mths,0.097997576
14,credit_history_months,0.08246073
15,num_bc_tl,0.08074344
16,num_rev_accts,0.079597175
17,fb:sem_649,0.07778428
18,fb:sem_238,0.07558704
19,fb:sem_249,0.07036196
20,fb:sem_551,0.07009953
21,revol_bal,0.06410018
22,fb:sem_089,0.06360515
23,fb:sem_604,0.06270219
24,fb:sem_213,0.062698916
25,fb:sem_226,0.0625805
26,fb:sem_053,0.062580116
27,fb:sem_069,0.062572695
28,fb:sem_705,0.06256449
29,fb:sem_316,0.06255798
30,fb:sem_400,0.06250862
31,fb:sem_658,0.06250069
32,fb:sem_642,0.062498778
33,fb:sem_126,0.062367853
34,num_actv_rev_tl,0.060626388
35,fb:sem_227,0.060452316
36,fb:sem_665,0.060158074
37,fb:sem_724,0.060071368
38,num_il_tl,0.0596808
39,fb:sem_277,0.05855206
40,fb:sem_216,0.057967402
41,fb:sem_542,0.05772229
42,fb:sem_170,0.0572723
43,purpose_other,0.0563488
44,fb:sem_505,0.05513377
45,total_bal_ex_mort,0.054837607
46,fb:sem_685,0.053866297
47,fb:sem_289,0.05370538
48,fb:sem_516,0.05356385
49,fb:sem_664,0.053385794
50,fb:sem_595,0.053181525
51,fb:sem_739,0.052956793
52,fb:sem_583,0.052954547
53,fb:sem_209,0.05289155
54,fb:sem_750,0.052211247
55,fb:sem_141,0.052045424
56,fb:sem_507,0.05161284
57,fb:sem_442,0.051533584
58,fb:sem_364,0.051458314
59,fb:sem_563,0.05104513
60,fb:sem_745,0.050992794
61,fb:sem_691,0.05084966
62,total_il_high_credit_limit,0.05066305
63,fb:sem_540,0.050408762
64,fb:sem_300,0.04970512
65,fb:sem_374,0.049657628
66,fb:sem_333,0.049656056
67,fb:sem_250,0.04962788
68,mths_since_recent_inq,0.04951423
69,fb:sem_448,0.049327277
70,fb:sem_339,0.049067218
71,num_tl_op_past_12m,0.048722334
72,fb:sem_171,0.048472397
73,fb:sem_645,0.04837581
74,percent_bc_gt_75,0.048159797
75,fb:sem_485,0.048130486
76,fb:sem_423,0.047904428
77,fb:sem_038,0.0475864
78,fb:sem_105,0.047410622
79,fb:sem_559,0.047187842
80,fb:sem_652,0.047174588
81,fb:sem_319,0.046871863
82,fb:sem_184,0.04664998
83,fb:sem_727,0.04653556
84,fb:sem_690,0.0464539
85,fb:sem_635,0.046357475
86,fb:sem_670,0.046278004
87,fb:sem_753,0.045687966
88,fb:sem_279,0.04564722
89,fb:sem_151,0.045619544
90,fb:sem_483,0.045106336
91,fb:sem_113,0.04509045
92,fb:sem_340,0.044796083
93,fb:sem_675,0.044614963
94,fb:sem_637,0.044102646
95,fb:sem_183,0.043886892
96,fb:sem_533,0.043877315
97,fb:sem_344,0.043762483
98,fb:sem_082,0.043758355
99,fb:sem_456,0.04364633
100,fb:sem_713,0.04347355
101,fb:sem_130,0.043157402
102,fb:sem_716,0.04286168
103,fb:sem_217,0.042852286
104,fb:sem_662,0.042828627
105,fb:sem_057,0.0428186
106,fb:sem_477,0.04275174
107,fb:sem_358,0.042668317
108,home_ownership_RENT,0.04235854
109,fb:sem_462,0.042270336
110,fb:sem_125,0.042245608
111,fb:sem_476,0.04211729
112,fb:sem_445,0.041797306
113,fb:sem_223,0.041738905
114,fb:sem_321,0.041639313
115,total_acc,0.04111544
116,fb:sem_680,0.041062955
117,grade_ord,0.041000888
118,fb:sem_331,0.040976964
119,fb:sem_295,0.040787015
120,fb:sem_434,0.040276237
121,fb:sem_624,0.040181734
122,fb:sem_258,0.040178046
123,fb:sem_287,0.03992938
124,total_bc_limit,0.039896753
125,fb:sem_266,0.03977625
126,fb:sem_029,0.039670367
127,fb:sem_112,0.039645996
128,fb:sem_640,0.03963117
129,fb:sem_145,0.039050963
130,fb:sem_348,0.038952522
131,fb:sem_000,0.038848855
132,fb:sem_660,0.038610205
133,fb:sem_403,0.03851834
134,fb:sem_187,0.038450554
135,fb:sem_606,0.038183287
136,fb:sem_722,0.037959002
137,fb:sem_532,0.037700634
138,fb:sem_370,0.037629176
139,fb:sem_083,0.037310358
140,fb:sem_203,0.03724401
141,fb:sem_741,0.03705365
142,fb:sem_746,0.036905188
143,fb:sem_084,0.03689208
144,addr_state_NJ,0.036798164
145,fb:sem_757,0.03576441
146,fb:sem_100,0.035612892
147,fb:sem_204,0.03539294
148,fb:sem_676,0.035268586
149,fb:sem_522,0.03511857
150,fb:sem_730,0.035066485
151,fb:sem_467,0.034936048
152,pct_tl_nvr_dlq,0.034574527
153,fb:sem_420,0.03457062
154,fb:sem_211,0.034560237
155,fb:sem_196,0.034513894
156,fb:sem_121,0.0343773
157,fb:sem_608,0.03418233
158,fb:sem_306,0.034156583
159,fb:sem_544,0.033986617
160,mths_since_last_delinq,0.033863183
161,fb:sem_362,0.03377318
162,purpose_credit_card,0.033734396
163,fb:sem_032,0.033677496
164,addr_state_DC,0.033616457
165,fb:sem_412,0.033566818
166,fb:sem_116,0.033556063
167,fb:sem_429,0.03354747
168,fb:sem_299,0.03354592
169,fb:sem_335,0.033499725
170,fb:sem_212,0.033273455
171,fb:sem_656,0.0331721
172,fb:sem_545,0.032994565
173,fb:sem_099,0.03281521
174,addr_state_FL,0.032799177
175,fb:sem_243,0.032793015
176,purpose_debt_consolidation,0.03276723
177,fb:sem_411,0.032721166
178,fb:sem_356,0.03257832
179,fb:sem_629,0.03256793
180,fb:sem_510,0.03248373
181,verification_status_Source Verified,0.032459587
182,purpose_medical,0.03235963
183,fb:sem_071,0.03226751
184,fb:sem_732,0.03215831
185,fb:sem_590,0.031788968
186,fb:sem_201,0.03144931
187,fb:sem_523,0.03144877
188,fb:sem_478,0.031421423
189,fb:sem_036,0.031395327
190,fb:sem_534,0.03138677
191,fb:sem_185,0.031386606
192,fb:sem_237,0.031383183
193,fb:sem_422,0.03137952
194,avg_cur_bal,0.031367
195,fb:sem_410,0.031354856
196,fb:sem_470,0.031344645
197,fb:sem_325,0.031343568
198,fb:sem_473,0.031334538
199,fb:sem_378,0.031328302
200,fb:sem_762,0.031326097
201,fb:sem_297,0.03131934
202,fb:sem_687,0.031314436
203,total_rev_hi_lim,0.03131385
204,fb:sem_395,0.031313404
205,fb:sem_754,0.031310163
206,fb:sem_066,0.031310007
207,fb:sem_072,0.031308506
208,fb:sem_632,0.031308495
209,fb:sem_081,0.03130643
210,fb:sem_726,0.03130275
211,fb:sem_132,0.03129893
212,fb:sem_734,0.031298835
213,fb:sem_426,0.031290773
214,fb:sem_055,0.031288452
215,fb:sem_372,0.031286713
216,fb:sem_129,0.03127804
217,fb:sem_621,0.03127465
218,fb:sem_363,0.03126986
219,fb:sem_019,0.031269126
220,fb:sem_371,0.031266835
221,fb:sem_712,0.031264618
222,fb:sem_679,0.031262327
223,fb:sem_479,0.03126121
224,fb:sem_254,0.031258263
225,fb:sem_506,0.031251706
226,fb:sem_547,0.031250488
227,fb:sem_014,0.031246617
228,fb:sem_263,0.03121678
229,fb:sem_218,0.0311467
230,fb:sem_181,0.031050261
231,fb:sem_408,0.031043872
232,fb:sem_158,0.031003198
233,fb:sem_048,0.030936683
234,addr_state_NV,0.030685907
235,fb:sem_274,0.030545684
236,fb:sem_167,0.030534845
237,fb:sem_755,0.030528205
238,fb:sem_231,0.030504242
239,fb:sem_252,0.030293772
240,fb:sem_495,0.030147105
241,fb:sem_135,0.030130204
242,fb:sem_659,0.029897023
243,fb:sem_440,0.029855167
244,fb:sem_591,0.029738626
245,fb:sem_511,0.02950815
246,fb:sem_602,0.029462034
247,fb:sem_134,0.029455965
248,num_bc_sats,0.029435484
249,fb:sem_638,0.029391238
250,fb:sem_451,0.029370666
251,fb:sem_650,0.02928255
252,fb:sem_592,0.029257001
253,fb:sem_177,0.02921999
254,fb:sem_513,0.02920512
255,fb:sem_392,0.029107716
256,fb:sem_085,0.029081525
257,addr_state_TX,0.029049052
258,fb:sem_303,0.029009897
259,addr_state_NY,0.029005986
260,purpose_home_improvement,0.028898811
261,fb:sem_221,0.02883447
262,fb:sem_247,0.028834278
263,fb:sem_389,0.028778626
264,fb:sem_292,0.028708449
265,fb:sem_678,0.028685536
266,fb:sem_110,0.02867993
267,fb:sem_207,0.028674563
268,fb:sem_717,0.028643051
269,fb:sem_095,0.028625218
270,fb:sem_582,0.028623955
271,fb:sem_654,0.028565826
272,fb:sem_192,0.028505351
273,fb:sem_736,0.028486297
274,fb:sem_166,0.028476216
275,delinq_2yrs,0.02844956
276,fb:sem_210,0.028416341
277,fb:sem_622,0.028383605
278,fb:sem_388,0.02823412
279,fb:sem_458,0.028218681
280,fb:sem_435,0.028143616
281,fb:sem_025,0.028027117
282,fb:sem_384,0.027937295
283,fb:sem_147,0.027930522
284,fb:sem_518,0.027754381
285,fb:sem_571,0.027701814
286,fb:sem_653,0.027678633
287,fb:sem_729,0.027550604
288,fb:sem_491,0.027407296
289,fb:sem_013,0.027293365
290,fb:sem_193,0.027136331
291,purpose_vacation,0.027127722
292,fb:sem_623,0.027057411
293,fb:sem_574,0.026855875
294,fb:sem_353,0.026731169
295,fb:sem_012,0.02652577
296,fb:sem_063,0.02649508
297,fb:sem_021,0.026489463
298,fb:sem_008,0.02634437
299,fb:sem_601,0.026310407
300,fb:sem_749,0.026274743
301,fb:sem_386,0.026122758
302,addr_state_CO,0.026031746
303,fb:sem_202,0.025918528
304,fb:sem_108,0.025837515
305,fb:sem_541,0.025832333
306,fb:sem_380,0.025741344
307,fb:sem_106,0.025550202
308,fb:sem_244,0.025495863
309,mths_since_last_major_derog,0.025367685
310,fb:sem_160,0.025360389
311,fb:sem_142,0.025304193
