rank,Feature,Importance
1,int_rate,0.053351
2,sub_grade_ord,0.046209
3,grade_ord,0.037299
4,term,0.028855
5,annual_inc,0.018883
6,fico_midpoint,0.017023
7,dti,0.015527
8,loan_amnt,0.012272
9,revol_util,0.011346
10,bc_open_to_buy,0.010596
11,avg_cur_bal,0.009087
12,bc_util,0.008664
13,total_bc_limit,0.008388
14,acc_open_past_24mths,0.008355
15,tot_cur_bal,0.007869
16,revol_bal,0.007698
17,mths_since_recent_bc,0.007575
18,credit_history_months,0.007538
19,total_rev_hi_lim,0.007027
20,total_bal_ex_mort,0.006998
21,mths_since_recent_inq,0.006728
22,mo_sin_old_rev_tl_op,0.006638
23,mo_sin_rcnt_rev_tl_op,0.006111
24,total_il_high_credit_limit,0.006054
25,mo_sin_rcnt_tl,0.00594
26,mo_sin_old_il_acct,0.005783
27,total_acc,0.005777
28,percent_bc_gt_75,0.005719
29,inq_last_6mths,0.004728
30,num_tl_op_past_12m,0.00439
31,num_il_tl,0.00421
32,open_acc,0.004199
33,num_rev_accts,0.00407
34,mths_since_last_delinq,0.004009
35,num_actv_rev_tl,0.003991
36,emp_length,0.003989
37,num_bc_tl,0.003632
38,num_op_rev_tl,0.003495
39,mort_acc,0.003221
40,verification_status_Verified,0.003097
41,num_bc_sats,0.003065
42,pct_tl_nvr_dlq,0.003051
43,num_actv_bc_tl,0.002736
44,mths_since_recent_revol_delinq,0.002552
45,mths_since_recent_bc_dlq,0.00198
46,home_ownership_RENT,0.001764
47,purpose_credit_card,0.001755
48,purpose_debt_consolidation,0.0017
49,mths_since_last_major_derog,0.001574
50,mths_since_last_record,0.001352
51,fb:sem_097,0.001163
52,fb:sem_320,0.00106
53,fb:sem_412,0.001028
54,fb:sem_152,0.001027
55,fb:sem_570,0.001
56,fb:sem_731,0.000987
57,fb:sem_300,0.000979
58,fb:sem_114,0.000953
59,fb:sem_394,0.00095
60,fb:sem_314,0.000942
61,fb:sem_657,0.000936
62,fb:sem_745,0.000935
63,fb:sem_669,0.000918
64,fb:sem_516,0.000902
65,fb:sem_455,0.000899
66,fb:sem_616,0.000898
67,fb:sem_026,0.000897
68,fb:sem_298,0.000892
69,fb:sem_572,0.000891
70,fb:sem_089,0.000889
