rank,Feature,Gain
1,grade_ord,2806.9753
2,sub_grade_ord,1440.1969
3,int_rate,922.6485
4,term,426.4208
5,annual_inc,221.0433
6,acc_open_past_24mths,134.6379
7,dti,129.05
8,mo_sin_rcnt_tl,115.8939
9,inq_last_6mths,105.7359
10,purpose_credit_card,103.7984
11,fico_midpoint,97.7332
12,fb:sem_693,97.6415
13,fb:sem_616,93.5828
14,fb:sem_097,90.9214
15,mths_since_recent_bc,89.3265
16,fb:sem_570,89.1394
17,fb:sem_447,88.0524
18,fb:sem_579,85.6326
19,fb:sem_300,85.2812
20,avg_cur_bal,85.0296
21,emp_length,84.6565
22,fb:sem_726,84.3131
23,loan_amnt,84.0724
24,home_ownership_RENT,81.6106
25,mo_sin_rcnt_rev_tl_op,81.2339
26,fb:sem_572,81.1883
27,total_il_high_credit_limit,80.5325
28,fb:sem_217,80.2994
29,num_il_tl,78.6842
30,fb:sem_320,78.2939
31,mo_sin_old_il_acct,77.9295
32,num_actv_rev_tl,77.6313
33,fb:sem_196,77.1462
34,fb:sem_751,76.9653
35,fb:sem_011,76.793
36,fb:sem_237,76.1983
37,fb:sem_055,75.6385
38,fb:sem_015,75.6087
39,fb:sem_286,75.4963
40,fb:sem_481,74.816
41,num_actv_bc_tl,74.3544
42,fb:sem_334,73.3137
43,bc_util,72.4958
44,fb:sem_152,72.3335
45,fb:sem_136,71.7779
46,fb:sem_274,71.5676
47,fb:sem_085,71.1133
48,total_bc_limit,70.7899
49,mo_sin_old_rev_tl_op,70.3242
50,fb:sem_245,70.2425
51,fb:sem_222,69.8911
52,addr_state_CA,69.7751
53,fb:sem_662,69.7261
54,fb:sem_560,69.5152
55,fb:sem_241,69.434
56,fb:sem_656,69.4145
57,bc_open_to_buy,68.5827
58,addr_state_TX,68.4485
59,fb:sem_355,68.2426
60,fb:sem_287,67.1368
61,mths_since_last_delinq,66.9426
62,fb:sem_008,66.6092
63,fb:sem_110,66.3081
64,fb:sem_716,66.1184
65,fb:sem_386,65.7413
66,fb:sem_171,65.6187
67,fb:sem_642,65.3721
68,fb:sem_452,65.2549
69,fb:sem_657,65.1345
70,revol_util,65.0111
71,addr_state_NJ,64.9872
72,fb:sem_265,64.889
73,mths_since_recent_revol_delinq,64.8788
74,fb:sem_669,64.7745
75,fb:sem_424,64.5294
76,mths_since_recent_inq,64.3097
77,fb:sem_443,64.2781
78,fb:sem_039,63.9505
79,fb:sem_766,63.8616
80,fb:sem_252,63.8536
81,fb:sem_130,63.7527
82,fb:sem_609,63.5783
83,fb:sem_754,63.5487
84,fb:sem_243,63.4448
85,num_bc_tl,63.3572
86,fb:sem_176,63.0028
87,fb:sem_467,62.9625
88,fb:sem_470,62.8364
89,fb:sem_684,62.7098
90,fb:sem_722,62.6032
91,fb:sem_653,62.4864
92,fb:sem_562,62.3549
93,addr_state_IL,62.0901
94,fb:sem_033,62.0201
95,fb:sem_203,62.0166
96,fb:sem_456,61.8825
97,fb:sem_638,61.8076
98,fb:sem_401,61.7532
99,fb:sem_148,61.7305
100,fb:sem_496,61.7044
101,fb:sem_603,61.4327
102,fb:sem_615,61.2349
103,fb:sem_585,61.1599
104,fb:sem_393,61.1508
105,fb:sem_187,61.0945
106,fb:sem_293,61.0602
107,fb:sem_750,61.0503
108,fb:sem_170,61.0068
109,total_acc,60.8853
110,fb:sem_302,60.7634
111,fb:sem_522,60.3477
112,fb:sem_140,60.0937
113,total_rev_hi_lim,59.6408
114,fb:sem_340,59.5101
115,fb:sem_284,59.4808
116,fb:sem_089,59.3787
117,fb:sem_037,59.3781
118,revol_bal,59.2778
119,fb:sem_183,59.1104
120,num_op_rev_tl,58.93
121,fb:sem_676,58.4922
122,fb:sem_431,58.4799
123,fb:sem_679,58.369
124,addr_state_DC,58.3405
125,addr_state_TN,58.3333
126,fb:sem_485,58.3195
127,fb:sem_665,58.3157
128,fb:sem_224,58.2175
129,fb:sem_759,58.2105
130,fb:sem_453,58.1398
131,fb:sem_689,58.0638
132,fb:sem_680,57.924
133,fb:sem_165,57.9151
134,fb:sem_061,57.7376
135,fb:sem_256,57.6889
136,fb:sem_747,57.6486
137,credit_history_months,57.5813
138,fb:sem_502,57.5778
139,fb:sem_017,57.5535
140,fb:sem_696,57.299
141,fb:sem_003,57.2972
142,fb:sem_593,57.2537
143,fb:sem_394,57.1713
144,fb:sem_743,57.0774
145,fb:sem_591,56.9489
146,fb:sem_065,56.9386
147,addr_state_NV,56.8568
148,fb:sem_229,56.8202
149,fb:sem_099,56.8088
150,fb:sem_765,56.6953
151,fb:sem_465,56.6936
152,fb:sem_723,56.6884
153,fb:sem_246,56.4855
154,fb:sem_348,56.4077
155,fb:sem_434,56.3578
156,fb:sem_518,56.2914
157,fb:sem_635,56.065
158,delinq_2yrs,55.9838
159,fb:sem_151,55.9214
160,fb:sem_314,55.8808
161,purpose_wedding,55.8646
162,fb:sem_250,55.8015
163,fb:sem_138,55.6581
164,fb:sem_658,55.6348
165,fb:sem_291,55.5952
166,fb:sem_027,55.1716
167,fb:sem_661,55.1458
168,fb:sem_012,55.121
169,fb:sem_514,55.0466
170,fb:sem_725,54.9157
171,fb:sem_102,54.8796
172,fb:sem_137,54.8786
173,tot_cur_bal,54.7857
174,fb:sem_566,54.737
175,fb:sem_530,54.7109
176,fb:sem_134,54.6928
177,verification_status_Source Verified,54.678
178,fb:sem_632,54.5159
179,fb:sem_670,54.5063
180,fb:sem_120,54.4819
181,fb:sem_238,54.4299
182,fb:sem_026,54.331
183,fb:sem_556,54.3298
184,percent_bc_gt_75,54.313
185,fb:sem_633,54.3042
186,fb:sem_631,54.2686
187,fb:sem_239,54.1783
188,fb:sem_030,54.0779
189,fb:sem_746,54.0768
190,fb:sem_531,54.0733
191,fb:sem_381,54.0694
192,fb:sem_285,53.9962
193,fb:sem_013,53.9314
194,fb:sem_540,53.8391
195,fb:sem_254,53.7903
196,fb:sem_060,53.781
197,fb:sem_510,53.7439
198,fb:sem_369,53.7284
199,addr_state_NH,53.6942
200,num_bc_sats,53.6856
201,pct_tl_nvr_dlq,53.5677
202,fb:sem_402,53.5567
203,fb:sem_363,53.5497
204,fb:sem_211,53.5397
205,fb:sem_551,53.5349
206,fb:sem_717,53.446
207,fb:sem_708,53.3906
208,fb:sem_077,53.3631
209,fb:sem_192,53.2985
210,fb:sem_212,53.2644
211,fb:sem_483,53.2495
212,fb:sem_702,53.1381
213,addr_state_FL,53.0628
214,fb:sem_270,52.9638
215,fb:sem_346,52.9008
216,fb:sem_742,52.8378
217,fb:sem_387,52.8375
218,fb:sem_374,52.8344
219,fb:sem_690,52.8283
220,fb:sem_398,52.8144
221,fb:sem_561,52.7892
222,fb:sem_082,52.7884
223,fb:sem_146,52.7139
224,fb:sem_066,52.7059
225,fb:sem_474,52.5468
226,fb:sem_607,52.5333
227,fb:sem_395,52.5273
228,fb:sem_601,52.5005
229,fb:sem_595,52.4842
230,fb:sem_444,52.4611
231,fb:sem_262,52.4534
232,fb:sem_619,52.4178
233,fb:sem_529,52.4003
234,addr_state_SC,52.338
235,fb:sem_499,52.3219
236,fb:sem_433,52.2977
237,fb:sem_352,52.2532
238,fb:sem_292,52.1841
239,fb:sem_437,52.1484
240,fb:sem_506,52.1394
241,fb:sem_432,52.0793
242,fb:sem_064,52.0151
243,fb:sem_430,52.0137
244,fb:sem_425,51.9826
245,fb:sem_763,51.9792
246,fb:sem_260,51.9713
247,fb:sem_683,51.962
248,fb:sem_356,51.9452
249,fb:sem_091,51.9409
250,fb:sem_114,51.9112
251,fb:sem_428,51.89
252,fb:sem_599,51.8128
253,fb:sem_509,51.7922
254,addr_state_NY,51.7633
255,fb:sem_517,51.7195
256,fb:sem_006,51.6755
257,fb:sem_378,51.619
258,fb:sem_749,51.5902
259,num_rev_accts,51.4826
260,fb:sem_215,51.4307
261,fb:sem_674,51.347
262,fb:sem_637,51.3376
263,fb:sem_711,51.3312
264,fb:sem_278,51.3075
265,fb:sem_319,51.2089
266,fb:sem_505,51.2044
267,fb:sem_059,51.1439
268,fb:sem_303,51.1333
269,fb:sem_487,51.1166
270,fb:sem_573,51.1006
271,fb:sem_342,51.0885
272,fb:sem_720,51.0593
273,fb:sem_150,51.0568
274,fb:sem_121,51.0273
275,fb:sem_463,50.9798
276,fb:sem_652,50.9262
277,fb:sem_488,50.8756
278,fb:sem_727,50.8423
279,fb:sem_214,50.8035
280,fb:sem_664,50.7546
281,fb:sem_446,50.7448
282,fb:sem_538,50.7344
283,fb:sem_004,50.711
284,fb:sem_240,50.5873
285,fb:sem_622,50.5424
286,fb:sem_235,50.5416
287,fb:sem_373,50.5229
288,fb:sem_691,50.5133
289,fb:sem_577,50.4868
290,fb:sem_249,50.4647
291,fb:sem_621,50.4343
292,fb:sem_380,50.3251
293,fb:sem_173,50.289
294,addr_state_CO,50.2597
295,fb:sem_627,50.2233
296,fb:sem_568,50.0444
297,fb:sem_219,50.0088
298,fb:sem_571,49.9547
299,fb:sem_695,49.9405
300,fb:sem_411,49.9364
301,fb:sem_325,49.9212
302,num_tl_op_past_12m,49.9082
303,fb:sem_158,49.8722
304,fb:sem_549,49.8525
305,fb:sem_654,49.784
306,fb:sem_614,49.7361
307,fb:sem_195,49.6882
308,addr_state_WV,49.6732
309,fb:sem_626,49.6038
310,fb:sem_105,49.5941
311,fb:sem_179,49.5805
312,fb:sem_307,49.5756
313,fb:sem_018,49.4737
314,fb:sem_095,49.4725
315,fb:sem_590,49.3585
316,fb:sem_266,49.2868
317,fb:sem_318,49.2777
318,fb:sem_112,49.2486
319,fb:sem_392,49.2476
320,fb:sem_491,49.2112
321,fb:sem_227,49.2083
322,fb:sem_382,49.2072
323,fb:sem_050,49.1982
324,fb:sem_586,49.1979
325,fb:sem_528,49.1183
326,fb:sem_565,49.0859
327,fb:sem_552,49.0814
328,fb:sem_022,49.0362
329,fb:sem_268,48.9845
330,fb:sem_399,48.9376
331,fb:sem_555,48.8606
332,fb:sem_520,48.8017
333,fb:sem_547,48.6741
334,fb:sem_477,48.6496
335,fb:sem_038,48.5937
336,fb:sem_341,48.587
337,fb:sem_410,48.5816
338,fb:sem_209,48.5671
339,fb:sem_142,48.5172
340,fb:sem_368,48.4985
341,fb:sem_232,48.4847
342,addr_state_MT,48.4272
343,fb:sem_113,48.2926
344,fb:sem_521,48.2783
345,fb:sem_648,48.2151
346,mths_since_last_record,48.1804
347,fb:sem_261,48.1684
348,fb:sem_163,48.129
349,mort_acc,48.0927
350,fb:sem_612,48.0798
351,fb:sem_223,48.0716
352,fb:sem_458,48.0198
353,fb:sem_370,47.9479
354,fb:sem_685,47.8745
355,fb:sem_471,47.8258
356,fb:sem_639,47.7724
357,fb:sem_023,47.7209
358,fb:sem_516,47.698
359,fb:sem_122,47.6372
360,fb:sem_497,47.6325
361,fb:sem_272,47.5679
362,fb:sem_507,47.5299
363,fb:sem_512,47.4677
364,tot_coll_amt,47.4303
365,fb:sem_724,47.4177
366,fb:sem_058,47.4147
367,fb:sem_226,47.3823
368,fb:sem_641,47.3768
369,fb:sem_230,47.37
370,fb:sem_655,47.3623
371,fb:sem_079,47.3593
372,fb:sem_602,47.2691
373,fb:sem_764,47.246
374,fb:sem_598,47.22
375,fb:sem_116,47.2084
376,fb:sem_550,47.165
377,fb:sem_719,47.1342
378,addr_state_WY,47.1134
379,fb:sem_736,47.0989
380,fb:sem_703,47.0677
381,fb:sem_028,47.0432
382,fb:sem_625,47.0232
383,fb:sem_288,46.9766
384,fb:sem_042,46.9727
385,fb:sem_139,46.9587
386,fb:sem_332,46.9484
387,fb:sem_427,46.938
388,fb:sem_391,46.9339
389,fb:sem_461,46.9311
390,fb:sem_581,46.8825
391,fb:sem_554,46.7816
392,fb:sem_504,46.7706
393,fb:sem_634,46.745
394,fb:sem_559,46.7257
395,fb:sem_523,46.7021
396,fb:sem_298,46.6928
397,fb:sem_178,46.6413
398,fb:sem_738,46.6268
399,fb:sem_316,46.5283
400,fb:sem_057,46.4753
401,fb:sem_198,46.4527
402,fb:sem_295,46.4326
403,fb:sem_236,46.3651
404,fb:sem_338,46.3625
405,fb:sem_732,46.3086
406,fb:sem_327,46.307
407,fb:sem_588,46.2976
408,fb:sem_482,46.2601
409,fb:sem_313,46.2242
410,fb:sem_620,46.1933
411,fb:sem_548,46.1901
412,fb:sem_207,46.1591
413,fb:sem_197,46.1515
414,fb:sem_537,46.1314
415,fb:sem_271,46.1205
416,fb:sem_311,46.1162
417,fb:sem_071,46.1145
418,fb:sem_200,46.0832
419,fb:sem_617,46.0685
420,fb:sem_473,46.0397
421,fb:sem_675,46.0216
422,fb:sem_494,45.9483
423,fb:sem_767,45.9137
424,fb:sem_024,45.9122
425,fb:sem_336,45.878
426,fb:sem_660,45.8548
427,fb:sem_455,45.8496
428,fb:sem_123,45.7805
429,fb:sem_706,45.7429
430,fb:sem_546,45.7307
431,fb:sem_283,45.6698
432,fb:sem_253,45.6625
433,fb:sem_451,45.6574
434,fb:sem_109,45.6131
435,fb:sem_078,45.5279
436,fb:sem_630,45.5012
437,fb:sem_317,45.4815
438,fb:sem_412,45.4799
439,fb:sem_044,45.4661
440,fb:sem_429,45.464
441,fb:sem_541,45.4522
442,fb:sem_213,45.4162
443,fb:sem_539,45.41
444,fb:sem_074,45.4039
445,fb:sem_269,45.3324
446,fb:sem_234,45.3279
447,purpose_debt_consolidation,45.2974
448,fb:sem_084,45.2236
449,fb:sem_409,45.2144
450,fb:sem_442,45.2062
451,fb:sem_575,45.1895
452,fb:sem_489,45.1635
453,fb:sem_281,45.1504
454,fb:sem_301,45.0683
455,fb:sem_757,45.0542
456,fb:sem_119,44.9834
457,fb:sem_347,44.9795
458,fb:sem_651,44.9777
459,fb:sem_441,44.9741
460,fb:sem_159,44.9216
461,total_bal_ex_mort,44.9202
462,fb:sem_360,44.891
463,fb:sem_299,44.8707
464,fb:sem_052,44.8669
465,fb:sem_628,44.8568
466,fb:sem_031,44.7957
467,fb:sem_606,44.7883
468,fb:sem_534,44.7237
469,fb:sem_107,44.5613
470,fb:sem_532,44.5558
471,fb:sem_282,44.5434
472,fb:sem_545,44.4588
473,fb:sem_718,44.4148
474,fb:sem_133,44.4008
475,fb:sem_328,44.3744
476,fb:sem_053,44.3736
477,fb:sem_645,44.3255
478,fb:sem_495,44.3092
479,fb:sem_189,44.2957
480,fb:sem_182,44.2816
481,fb:sem_279,44.266
482,fb:sem_051,44.2403
483,fb:sem_035,44.2392
484,fb:sem_623,44.1439
485,fb:sem_697,44.1117
486,mths_since_last_major_derog,44.075
487,fb:sem_407,44.0666
488,fb:sem_297,44.0528
489,fb:sem_041,44.0298
490,fb:sem_500,44.0199
491,fb:sem_345,43.9948
492,fb:sem_422,43.9667
493,fb:sem_668,43.9629
494,fb:sem_174,43.9626
495,fb:sem_604,43.9363
496,fb:sem_439,43.8663
497,fb:sem_019,43.801
498,fb:sem_193,43.7993
499,fb:sem_208,43.7737
500,fb:sem_479,43.7407
501,fb:sem_476,43.7025
502,fb:sem_073,43.6985
503,fb:sem_305,43.6828
504,fb:sem_372,43.6195
505,fb:sem_359,43.6179
506,fb:sem_508,43.5817
507,initial_list_status_w,43.5807
508,fb:sem_349,43.5516
509,fb:sem_611,43.5023
510,fb:sem_308,43.48
511,fb:sem_673,43.4571
512,fb:sem_020,43.3764
513,fb:sem_472,43.3272
514,fb:sem_371,43.3235
515,fb:sem_729,43.3103
516,fb:sem_553,43.2941
517,fb:sem_351,43.2563
518,fb:sem_420,43.2172
519,fb:sem_365,43.193
520,fb:sem_405,43.1926
521,fb:sem_168,43.1541
522,fb:sem_312,43.1535
523,fb:sem_436,43.1338
524,fb:sem_646,43.1023
525,fb:sem_049,43.0793
526,fb:sem_475,43.0297
527,fb:sem_190,43.0285
528,fb:sem_191,42.8547
529,fb:sem_580,42.805
530,fb:sem_758,42.7851
531,fb:sem_526,42.7146
532,fb:sem_587,42.5533
533,fb:sem_267,42.5162
534,fb:sem_525,42.4658
535,fb:sem_413,42.4536
536,fb:sem_322,42.4103
537,fb:sem_629,42.3552
538,fb:sem_007,42.2633
539,fb:sem_701,42.2591
540,fb:sem_289,42.2551
541,fb:sem_335,42.2511
542,fb:sem_448,42.2018
543,fb:sem_160,42.1969
544,fb:sem_644,42.1941
545,fb:sem_640,42.1868
546,fb:sem_390,42.1737
547,fb:sem_162,42.1667
548,fb:sem_000,42.1662
549,fb:sem_731,42.1491
550,fb:sem_389,42.1356
551,fb:sem_001,42.129
552,fb:sem_454,42.1195
553,fb:sem_216,42.1157
554,fb:sem_343,42.1093
555,fb:sem_309,42.0857
556,fb:sem_584,42.0615
557,fb:sem_021,42.0216
558,fb:sem_672,41.9669
559,fb:sem_326,41.9258
560,fb:sem_333,41.8206
561,fb:sem_490,41.8144
562,fb:sem_486,41.7495
563,addr_state_MN,41.7222
564,fb:sem_045,41.7213
565,fb:sem_713,41.7105
566,fb:sem_290,41.6785
567,open_acc,41.5911
568,fb:sem_201,41.5798
569,fb:sem_149,41.5213
570,fb:sem_438,41.52
571,fb:sem_503,41.4961
572,fb:sem_025,41.4654
573,fb:sem_748,41.4087
574,fb:sem_574,41.3921
575,fb:sem_519,41.39
576,fb:sem_221,41.3808
577,fb:sem_699,41.3213
578,fb:sem_364,41.2774
579,fb:sem_715,41.2548
580,fb:sem_714,41.2239
581,fb:sem_744,41.2212
582,fb:sem_419,41.1692
583,fb:sem_501,41.1563
584,fb:sem_276,41.1233
585,fb:sem_694,41.0987
586,fb:sem_613,41.0863
587,fb:sem_377,41.0763
588,fb:sem_141,41.0399
589,fb:sem_366,41.0294
590,fb:sem_304,41.0293
591,fb:sem_755,40.9681
592,fb:sem_188,40.9507
593,fb:sem_233,40.9368
594,fb:sem_416,40.9223
595,fb:sem_700,40.9179
596,fb:sem_397,40.9129
597,fb:sem_440,40.8961
598,fb:sem_605,40.8804
599,fb:sem_354,40.876
600,fb:sem_618,40.8564
601,fb:sem_225,40.7895
602,fb:sem_228,40.7842
603,addr_state_KS,40.7744
604,fb:sem_687,40.7552
605,fb:sem_745,40.7496
606,fb:sem_242,40.7483
607,fb:sem_153,40.7414
608,fb:sem_707,40.6635
609,fb:sem_321,40.5684
610,fb:sem_600,40.5598
611,fb:sem_650,40.5221
612,fb:sem_280,40.4846
613,fb:sem_740,40.4776
614,fb:sem_733,40.4737
615,fb:sem_450,40.4736
616,fb:sem_350,40.4135
617,fb:sem_597,40.3857
618,fb:sem_459,40.2322
619,fb:sem_010,40.1967
620,fb:sem_036,40.1731
621,fb:sem_730,40.1251
622,fb:sem_040,40.0732
623,fb:sem_636,40.0717
624,fb:sem_062,40.0482
