fold,train_cutoff,test_end,n_train,n_test,n_defaults,Model,AUC,AUC_CI_lo,AUC_CI_hi,PR_AUC,PR_AUC_CI_lo,PR_AUC_CI_hi,Brier,Brier_CI_lo,Brier_CI_hi,GINI
1,2010-08,2010-09,6694,1042,157,Logistic,0.5775,0.5274,0.6213,0.1842,0.1485,0.2292,0.2518,0.236,0.2693,0.1551
1,2010-08,2010-09,6694,1042,157,XGBoost,0.6099,0.5613,0.6498,0.2212,0.1746,0.276,0.1772,0.1665,0.1878,0.2199
1,2010-08,2010-09,6694,1042,157,RandomForest,0.6169,0.571,0.6576,0.2185,0.171,0.2765,0.1782,0.171,0.1853,0.2338
2,2010-11,2010-12,9893,1222,136,Logistic,0.6462,0.5966,0.6936,0.1953,0.152,0.2499,0.2095,0.1961,0.2229,0.2924
2,2010-11,2010-12,9893,1222,136,XGBoost,0.6756,0.6292,0.7216,0.1929,0.1532,0.2503,0.1501,0.1402,0.1602,0.3511
2,2010-11,2010-12,9893,1222,136,RandomForest,0.6474,0.6022,0.6916,0.1778,0.1399,0.2263,0.1568,0.1496,0.1635,0.2949
3,2011-02,2011-03,13674,1369,184,Logistic,0.6608,0.6197,0.6977,0.2096,0.1749,0.2551,0.2332,0.22,0.247,0.3216
3,2011-02,2011-03,13674,1369,184,XGBoost,0.6608,0.6245,0.6982,0.2147,0.1781,0.2678,0.1815,0.1716,0.1906,0.3215
3,2011-02,2011-03,13674,1369,184,RandomForest,0.6517,0.6171,0.6884,0.1979,0.1648,0.245,0.1719,0.1651,0.1784,0.3034
4,2011-05,2011-06,18165,1762,255,Logistic,0.634,0.5946,0.6711,0.2371,0.1975,0.2875,0.2423,0.2315,0.2531,0.268
4,2011-05,2011-06,18165,1762,255,XGBoost,0.6642,0.629,0.7001,0.2605,0.213,0.3129,0.1881,0.18,0.1955,0.3284
4,2011-05,2011-06,18165,1762,255,RandomForest,0.6514,0.6167,0.6868,0.2095,0.1791,0.2513,0.1726,0.1668,0.178,0.3029
5,2011-08,2011-09,23547,1979,286,Logistic,0.7124,0.6809,0.7407,0.2758,0.238,0.325,0.2169,0.2079,0.2263,0.4248
5,2011-08,2011-09,23547,1979,286,XGBoost,0.7149,0.6845,0.7465,0.3047,0.2565,0.3621,0.1835,0.1767,0.1908,0.4298
5,2011-08,2011-09,23547,1979,286,RandomForest,0.6826,0.6536,0.7119,0.2666,0.2243,0.3203,0.1665,0.1612,0.1718,0.3652
6,2011-11,2011-12,29671,2190,406,Logistic,0.6655,0.6376,0.6939,0.3077,0.2667,0.3502,0.2576,0.249,0.2672,0.3311
6,2011-11,2011-12,29671,2190,406,XGBoost,0.6744,0.6454,0.7016,0.3242,0.2835,0.3726,0.228,0.2218,0.235,0.3488
6,2011-11,2011-12,29671,2190,406,RandomForest,0.6417,0.6143,0.6702,0.2712,0.2386,0.3105,0.1964,0.1914,0.2014,0.2834
7,2012-02,2012-03,36786,2781,413,Logistic,0.6929,0.6658,0.7215,0.2739,0.241,0.315,0.2165,0.2093,0.2233,0.3859
7,2012-02,2012-03,36786,2781,413,XGBoost,0.6952,0.6685,0.7214,0.2946,0.2554,0.3399,0.1986,0.1938,0.2035,0.3904
7,2012-02,2012-03,36786,2781,413,RandomForest,0.658,0.6295,0.6846,0.2631,0.2256,0.3042,0.1775,0.1735,0.1818,0.3161
8,2012-05,2012-06,45976,3713,681,Logistic,0.67,0.646,0.691,0.3059,0.2721,0.3369,0.2626,0.2559,0.2694,0.34
8,2012-05,2012-06,45976,3713,681,XGBoost,0.6864,0.6629,0.7065,0.3255,0.2941,0.3587,0.2317,0.2266,0.2371,0.3728
8,2012-05,2012-06,45976,3713,681,RandomForest,0.6493,0.6262,0.6702,0.2682,0.2438,0.2962,0.1961,0.1921,0.2002,0.2986
9,2012-08,2012-09,59483,5975,919,Logistic,0.6877,0.6706,0.7068,0.2799,0.2567,0.3079,0.2347,0.2296,0.2392,0.3754
9,2012-08,2012-09,59483,5975,919,XGBoost,0.7035,0.6867,0.721,0.2976,0.2739,0.326,0.2224,0.2185,0.2262,0.407
