fold,train_cutoff,test_end,n_train,n_test,n_defaults,Model,AUC,AUC_CI_lo,AUC_CI_hi,PR_AUC,PR_AUC_CI_lo,PR_AUC_CI_hi,Brier,Brier_CI_lo,Brier_CI_hi,GINI
1,2010-08,2010-09,6694,1042,157,Logistic,0.6563,0.6154,0.6977,0.225,0.1825,0.2836,0.2451,0.2325,0.258,0.3125
1,2010-08,2010-09,6694,1042,157,XGBoost,0.6123,0.5689,0.6545,0.2039,0.1646,0.2562,0.1894,0.1788,0.2003,0.2246
1,2010-08,2010-09,6694,1042,157,RandomForest,0.6246,0.5843,0.665,0.217,0.1739,0.271,0.1775,0.1698,0.1844,0.2493
2,2010-11,2010-12,9893,1222,136,Logistic,0.6772,0.6286,0.7218,0.2103,0.1649,0.2745,0.2085,0.1971,0.22,0.3544
2,2010-11,2010-12,9893,1222,136,XGBoost,0.6903,0.6438,0.7346,0.2085,0.1676,0.2741,0.1601,0.1502,0.1698,0.3805
2,2010-11,2010-12,9893,1222,136,RandomForest,0.6635,0.6176,0.7092,0.1825,0.1451,0.2335,0.1533,0.1456,0.1606,0.327
3,2011-02,2011-03,13674,1369,184,Logistic,0.7008,0.666,0.7374,0.2545,0.2102,0.316,0.2282,0.2184,0.2388,0.4016
3,2011-02,2011-03,13674,1369,184,XGBoost,0.6805,0.6443,0.7175,0.237,0.195,0.2907,0.1907,0.1813,0.2013,0.361
3,2011-02,2011-03,13674,1369,184,RandomForest,0.6972,0.6638,0.7382,0.2345,0.1987,0.291,0.1684,0.1609,0.1751,0.3944
4,2011-05,2011-06,18165,1762,255,Logistic,0.7076,0.6741,0.7443,0.2913,0.2467,0.3504,0.2299,0.221,0.2382,0.4153
4,2011-05,2011-06,18165,1762,255,XGBoost,0.6792,0.6447,0.7123,0.2493,0.2078,0.2985,0.1975,0.1898,0.2052,0.3584
4,2011-05,2011-06,18165,1762,255,RandomForest,0.6816,0.6462,0.7162,0.2344,0.1988,0.2794,0.1694,0.1636,0.1754,0.3631
5,2011-08,2011-09,23547,1979,286,Logistic,0.722,0.6917,0.7515,0.2956,0.2515,0.3519,0.2198,0.2121,0.2278,0.444
5,2011-08,2011-09,23547,1979,286,XGBoost,0.7189,0.6867,0.7492,0.3089,0.2609,0.3692,0.1899,0.1826,0.1967,0.4378
5,2011-08,2011-09,23547,1979,286,RandomForest,0.7101,0.6798,0.7405,0.2964,0.2544,0.352,0.1604,0.1547,0.1661,0.4202
6,2011-11,2011-12,29671,2190,406,Logistic,0.68,0.6505,0.7058,0.3039,0.2667,0.3446,0.2583,0.251,0.2662,0.36
6,2011-11,2011-12,29671,2190,406,XGBoost,0.6796,0.6501,0.7073,0.3216,0.281,0.3656,0.2336,0.2272,0.2401,0.3592
6,2011-11,2011-12,29671,2190,406,RandomForest,0.6779,0.6482,0.7052,0.3121,0.2792,0.3572,0.1934,0.1881,0.1988,0.3557
7,2012-02,2012-03,36786,2781,413,Logistic,0.7006,0.6742,0.7254,0.2908,0.2554,0.3371,0.2186,0.2127,0.2246,0.4013
7,2012-02,2012-03,36786,2781,413,XGBoost,0.688,0.6617,0.7147,0.2761,0.2406,0.3192,0.2011,0.1959,0.2063,0.376
7,2012-02,2012-03,36786,2781,413,RandomForest,0.6872,0.6593,0.7136,0.2773,0.2434,0.318,0.1658,0.1614,0.1709,0.3743
8,2012-05,2012-06,45976,3713,681,Logistic,0.6888,0.6662,0.7078,0.3336,0.3003,0.3643,0.2613,0.2552,0.2674,0.3777
8,2012-05,2012-06,45976,3713,681,XGBoost,0.6917,0.6662,0.7123,0.3267,0.2935,0.3589,0.2348,0.2294,0.2404,0.3834
8,2012-05,2012-06,45976,3713,681,RandomForest,0.6821,0.6565,0.7035,0.3123,0.2817,0.3467,0.1959,0.192,0.2,0.3642
9,2012-08,2012-09,59483,5975,919,Logistic,0.7015,0.6844,0.7186,0.2831,0.2604,0.3091,0.2307,0.2258,0.2351,0.4031
9,2012-08,2012-09,59483,5975,919,XGBoost,0.7029,0.685,0.7207,0.2918,0.2674,0.3192,0.2134,0.2094,0.2174,0.4058
9,2012-08,2012-09,59483,5975,919,RandomForest,0.6969,0.6801,0.715,0.276,0.2527,0.303,0.1838,0.1806,0.1867,0.3938
10,2012-11,2012-12,77872,5970,893,Logistic,0.6945,0.6754,0.7136,0.2959,0.2707,0.3249,0.2201,0.2155,0.2241,0.3889
