fold,Model,AUC_768,AUC_PCA50,Delta_AUC_PCA50_minus_768,Z_stat,p_value,CI_95_lo,CI_95_hi
1,Logistic,0.5775,0.6563,0.0787,-3.542,0.0004,-0.1223,-0.0352
2,Logistic,0.6462,0.6772,0.031,-1.584,0.1132,-0.0694,0.0074
3,Logistic,0.6608,0.7008,0.04,-2.415,0.0158,-0.0725,-0.0075
4,Logistic,0.634,0.7076,0.0737,-5.025,0.0,-0.1024,-0.0449
5,Logistic,0.7124,0.722,0.0096,-0.885,0.3764,-0.0308,0.0116
6,Logistic,0.6655,0.68,0.0145,-1.756,0.0792,-0.0306,0.0017
7,Logistic,0.6929,0.7006,0.0077,-1.103,0.2702,-0.0214,0.006
8,Logistic,0.67,0.6888,0.0188,-3.367,0.0008,-0.0298,-0.0079
9,Logistic,0.6877,0.7015,0.0139,-3.347,0.0008,-0.022,-0.0057
10,Logistic,0.6896,0.6945,0.0049,-1.39,0.1646,-0.0117,0.002
11,Logistic,0.6929,0.6955,0.0026,-1.054,0.2921,-0.0074,0.0022
12,Logistic,0.7031,0.7054,0.0023,-1.502,0.133,-0.0053,0.0007
13,Logistic,0.6931,0.6968,0.0037,-2.578,0.0099,-0.0065,-0.0009
14,Logistic,0.6997,0.7005,0.0008,-0.615,0.5387,-0.0031,0.0016
1,RandomForest,0.6169,0.6246,0.0078,-0.467,0.6407,-0.0403,0.0248
2,RandomForest,0.6474,0.6635,0.0161,-1.209,0.2268,-0.0421,0.01
3,RandomForest,0.6517,0.6972,0.0455,-3.622,0.0003,-0.0701,-0.0209
4,RandomForest,0.6514,0.6816,0.0301,-2.947,0.0032,-0.0501,-0.0101
5,RandomForest,0.6826,0.7101,0.0275,-2.963,0.003,-0.0457,-0.0093
6,RandomForest,0.6417,0.6779,0.0362,-3.969,0.0001,-0.054,-0.0183
7,RandomForest,0.658,0.6872,0.0291,-3.685,0.0002,-0.0446,-0.0136
8,RandomForest,0.6493,0.6821,0.0328,-5.284,0.0,-0.045,-0.0206
9,RandomForest,0.6598,0.6969,0.0371,-7.742,0.0,-0.0465,-0.0277
10,RandomForest,0.6765,0.6939,0.0174,-3.93,0.0001,-0.0261,-0.0087
11,RandomForest,0.6746,0.6911,0.0165,-4.736,0.0,-0.0233,-0.0097
12,RandomForest,0.6815,0.6995,0.0179,-6.791,0.0,-0.0231,-0.0128
13,RandomForest,0.6766,0.6893,0.0128,-5.335,0.0,-0.0174,-0.0081
14,RandomForest,0.6872,0.7024,0.0151,-7.056,0.0,-0.0193,-0.0109
1,XGBoost,0.6099,0.6123,0.0024,-0.158,0.8747,-0.0321,0.0273
2,XGBoost,0.6756,0.6903,0.0147,-1.053,0.2922,-0.042,0.0126
3,XGBoost,0.6608,0.6805,0.0197,-1.738,0.0822,-0.042,0.0025
4,XGBoost,0.6642,0.6792,0.015,-1.554,0.1202,-0.0338,0.0039
5,XGBoost,0.7149,0.7189,0.004,-0.507,0.6121,-0.0197,0.0116
6,XGBoost,0.6744,0.6796,0.0052,-0.819,0.4128,-0.0178,0.0073
7,XGBoost,0.6952,0.688,-0.0072,1.302,0.193,-0.0037,0.0181
8,XGBoost,0.6864,0.6917,0.0053,-1.194,0.2325,-0.0141,0.0034
9,XGBoost,0.7035,0.7029,-0.0006,0.161,0.8723,-0.007,0.0083
10,XGBoost,0.6904,0.6936,0.0032,-1.142,0.2534,-0.0087,0.0023
11,XGBoost,0.6964,0.696,-0.0005,0.216,0.8287,-0.0037,0.0046
12,XGBoost,0.7042,0.7047,0.0005,-0.37,0.7117,-0.0032,0.0022
13,XGBoost,0.6953,0.6969,0.0016,-1.399,0.1617,-0.004,0.0007
14,XGBoost,0.705,0.7066,0.0016,-1.787,0.0739,-0.0034,0.0002
