fold,Model,config,Arm_A,Arm_B,AUC_A,AUC_B,Delta_AUC,Z_stat,p_value,CI_95_lo,CI_95_hi
1,Logistic,fixed,Structured,Structured+FinBERT-768,0.6595,0.5775,-0.082,3.639,0.0003,0.0378,0.1261
1,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.6595,0.6563,-0.0033,0.389,0.6976,-0.0132,0.0197
1,XGBoost,fixed,Structured,Structured+FinBERT-768,0.6352,0.6099,-0.0253,1.175,0.2401,-0.0169,0.0674
1,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.6352,0.6123,-0.0229,1.349,0.1774,-0.0104,0.0561
1,RandomForest,fixed,Structured,Structured+FinBERT-768,0.6346,0.6169,-0.0177,0.849,0.3956,-0.0231,0.0585
1,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.6346,0.6246,-0.0099,1.167,0.243,-0.0067,0.0266
1,Logistic,grid,Structured,Structured+FinBERT-768,0.6592,0.6206,-0.0387,2.339,0.0194,0.0063,0.0711
1,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.6592,0.6553,-0.0039,0.469,0.6387,-0.0124,0.0201
1,XGBoost,grid,Structured,Structured+FinBERT-768,0.6498,0.6355,-0.0143,0.759,0.4477,-0.0227,0.0513
1,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.6498,0.6281,-0.0217,1.462,0.1438,-0.0074,0.0509
1,RandomForest,grid,Structured,Structured+FinBERT-768,0.6355,0.6286,-0.0069,0.386,0.6992,-0.0281,0.0419
1,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.6355,0.6291,-0.0064,0.765,0.4442,-0.01,0.0228
2,Logistic,fixed,Structured,Structured+FinBERT-768,0.6803,0.6462,-0.0341,1.749,0.0804,-0.0041,0.0723
2,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.6803,0.6772,-0.0031,0.557,0.5772,-0.0078,0.014
2,XGBoost,fixed,Structured,Structured+FinBERT-768,0.6747,0.6756,0.0009,-0.047,0.9622,-0.0376,0.0358
2,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.6747,0.6903,0.0156,-1.3,0.1936,-0.0391,0.0079
2,RandomForest,fixed,Structured,Structured+FinBERT-768,0.6696,0.6474,-0.0222,1.333,0.1825,-0.0104,0.0548
2,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.6696,0.6635,-0.0061,0.904,0.366,-0.0072,0.0194
2,Logistic,grid,Structured,Structured+FinBERT-768,0.68,0.665,-0.015,1.03,0.3028,-0.0135,0.0435
2,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.68,0.6762,-0.0038,0.673,0.5012,-0.0072,0.0147
2,XGBoost,grid,Structured,Structured+FinBERT-768,0.6835,0.6722,-0.0113,0.796,0.4262,-0.0166,0.0392
2,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.6835,0.6896,0.0061,-0.594,0.5522,-0.0261,0.014
2,RandomForest,grid,Structured,Structured+FinBERT-768,0.6705,0.6629,-0.0076,0.529,0.5967,-0.0206,0.0358
2,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.6705,0.6635,-0.007,0.965,0.3346,-0.0073,0.0213
3,Logistic,fixed,Structured,Structured+FinBERT-768,0.705,0.6608,-0.0442,2.538,0.0112,0.0101,0.0784
3,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.705,0.7008,-0.0042,0.833,0.4049,-0.0057,0.0141
3,XGBoost,fixed,Structured,Structured+FinBERT-768,0.6821,0.6608,-0.0213,1.348,0.1776,-0.0097,0.0524
3,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.6821,0.6805,-0.0016,0.129,0.8976,-0.0228,0.026
3,RandomForest,fixed,Structured,Structured+FinBERT-768,0.7017,0.6517,-0.05,2.973,0.0029,0.017,0.0829
3,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.7017,0.6972,-0.0045,0.678,0.498,-0.0085,0.0174
3,Logistic,grid,Structured,Structured+FinBERT-768,0.7055,0.6818,-0.0237,1.731,0.0834,-0.0031,0.0505
3,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.7055,0.7023,-0.0032,0.618,0.5365,-0.0069,0.0132
3,XGBoost,grid,Structured,Structured+FinBERT-768,0.6932,0.673,-0.0203,1.636,0.1019,-0.004,0.0446
3,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.6932,0.6841,-0.0091,0.984,0.325,-0.009,0.0272
3,RandomForest,grid,Structured,Structured+FinBERT-768,0.7007,0.6669,-0.0339,2.447,0.0144,0.0067,0.061
3,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.7007,0.6925,-0.0082,0.998,0.3184,-0.0079,0.0242
4,Logistic,fixed,Structured,Structured+FinBERT-768,0.7001,0.634,-0.0661,4.366,0.0,0.0364,0.0958
4,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.7001,0.7076,0.0075,-1.734,0.0829,-0.016,0.001
4,XGBoost,fixed,Structured,Structured+FinBERT-768,0.6746,0.6642,-0.0104,0.781,0.4347,-0.0157,0.0366
4,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.6746,0.6792,0.0045,-0.477,0.6333,-0.0232,0.0141
4,RandomForest,fixed,Structured,Structured+FinBERT-768,0.6864,0.6514,-0.0349,2.611,0.009,0.0087,0.0611
4,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.6864,0.6816,-0.0048,0.83,0.4063,-0.0065,0.0161
4,Logistic,grid,Structured,Structured+FinBERT-768,0.7001,0.6578,-0.0423,3.497,0.0005,0.0186,0.066
4,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.7001,0.7076,0.0075,-1.733,0.0831,-0.016,0.001
4,XGBoost,grid,Structured,Structured+FinBERT-768,0.6835,0.6838,0.0003,-0.029,0.9765,-0.0201,0.0195
4,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.6835,0.6933,0.0098,-1.326,0.1849,-0.0242,0.0047
4,RandomForest,grid,Structured,Structured+FinBERT-768,0.6875,0.6727,-0.0148,1.361,0.1735,-0.0065,0.0361
4,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.6875,0.6885,0.0009,-0.164,0.8697,-0.012,0.0101
5,Logistic,fixed,Structured,Structured+FinBERT-768,0.7194,0.7124,-0.007,0.602,0.5471,-0.0158,0.0298
5,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.7194,0.722,0.0026,-0.559,0.5759,-0.0116,0.0064
5,XGBoost,fixed,Structured,Structured+FinBERT-768,0.7112,0.7149,0.0037,-0.392,0.6949,-0.0222,0.0148
5,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.7112,0.7189,0.0077,-1.074,0.283,-0.0219,0.0064
5,RandomForest,fixed,Structured,Structured+FinBERT-768,0.7175,0.6826,-0.0349,2.866,0.0042,0.011,0.0587
5,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.7175,0.7101,-0.0074,1.508,0.1315,-0.0022,0.017
5,Logistic,grid,Structured,Structured+FinBERT-768,0.7193,0.7203,0.001,-0.104,0.9173,-0.0204,0.0183
5,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.7193,0.722,0.0026,-0.561,0.5746,-0.0119,0.0066
5,XGBoost,grid,Structured,Structured+FinBERT-768,0.7148,0.7161,0.0014,-0.179,0.8578,-0.0166,0.0139
5,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.7148,0.718,0.0033,-0.551,0.5813,-0.0148,0.0083
5,RandomForest,grid,Structured,Structured+FinBERT-768,0.7113,0.7015,-0.0099,1.091,0.2755,-0.0079,0.0276
5,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.7113,0.7115,0.0002,-0.052,0.9587,-0.0067,0.0064
6,Logistic,fixed,Structured,Structured+FinBERT-768,0.6703,0.6655,-0.0048,0.522,0.6016,-0.0132,0.0229
6,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.6703,0.68,0.0096,-2.427,0.0152,-0.0174,-0.0019
6,XGBoost,fixed,Structured,Structured+FinBERT-768,0.673,0.6744,0.0014,-0.154,0.8775,-0.0186,0.0159
6,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.673,0.6796,0.0066,-1.077,0.2817,-0.0186,0.0054
6,RandomForest,fixed,Structured,Structured+FinBERT-768,0.6753,0.6417,-0.0336,2.827,0.0047,0.0103,0.0569
6,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.6753,0.6779,0.0026,-0.553,0.58,-0.0117,0.0065
6,Logistic,grid,Structured,Structured+FinBERT-768,0.6704,0.6735,0.0032,-0.389,0.6971,-0.0191,0.0127
6,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.6704,0.681,0.0106,-2.649,0.0081,-0.0184,-0.0028
6,XGBoost,grid,Structured,Structured+FinBERT-768,0.673,0.6788,0.0057,-0.784,0.4329,-0.0201,0.0086
6,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.673,0.6839,0.0109,-1.82,0.0687,-0.0226,0.0008
6,RandomForest,grid,Structured,Structured+FinBERT-768,0.6732,0.6644,-0.0088,0.947,0.3436,-0.0094,0.0269
6,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.6732,0.6753,0.0021,-0.507,0.6123,-0.0104,0.0061
7,Logistic,fixed,Structured,Structured+FinBERT-768,0.7009,0.6929,-0.008,1.014,0.3106,-0.0074,0.0233
7,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.7009,0.7006,-0.0002,0.066,0.9477,-0.0069,0.0074
7,XGBoost,fixed,Structured,Structured+FinBERT-768,0.7012,0.6952,-0.006,0.819,0.4125,-0.0083,0.0203
7,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.7012,0.688,-0.0132,2.322,0.0202,0.0021,0.0244
7,RandomForest,fixed,Structured,Structured+FinBERT-768,0.6908,0.658,-0.0327,3.138,0.0017,0.0123,0.0531
7,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.6908,0.6872,-0.0036,0.783,0.4339,-0.0054,0.0126
7,Logistic,grid,Structured,Structured+FinBERT-768,0.7008,0.6972,-0.0036,0.492,0.623,-0.0108,0.018
7,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.7008,0.7004,-0.0005,0.124,0.9012,-0.0068,0.0077
7,XGBoost,grid,Structured,Structured+FinBERT-768,0.7035,0.6945,-0.009,1.592,0.1113,-0.0021,0.0201
7,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.7035,0.6928,-0.0107,2.299,0.0215,0.0016,0.0199
7,RandomForest,grid,Structured,Structured+FinBERT-768,0.6908,0.6734,-0.0173,2.18,0.0293,0.0017,0.0329
7,RandomForest,grid,Structured,Structured+FinBERT-PCA50,0.6908,0.6872,-0.0035,0.955,0.3397,-0.0037,0.0108
8,Logistic,fixed,Structured,Structured+FinBERT-768,0.6855,0.67,-0.0154,2.54,0.0111,0.0035,0.0274
8,Logistic,fixed,Structured,Structured+FinBERT-PCA50,0.6855,0.6888,0.0034,-1.204,0.2286,-0.0089,0.0021
8,XGBoost,fixed,Structured,Structured+FinBERT-768,0.6928,0.6864,-0.0064,1.053,0.2926,-0.0055,0.0183
8,XGBoost,fixed,Structured,Structured+FinBERT-PCA50,0.6928,0.6917,-0.0011,0.222,0.824,-0.0083,0.0105
8,RandomForest,fixed,Structured,Structured+FinBERT-768,0.6839,0.6493,-0.0346,4.092,0.0,0.018,0.0512
8,RandomForest,fixed,Structured,Structured+FinBERT-PCA50,0.6839,0.6821,-0.0018,0.522,0.6014,-0.0049,0.0085
8,Logistic,grid,Structured,Structured+FinBERT-768,0.6855,0.6741,-0.0114,2.021,0.0432,0.0003,0.0224
8,Logistic,grid,Structured,Structured+FinBERT-PCA50,0.6855,0.6888,0.0033,-1.189,0.2344,-0.0088,0.0022
8,XGBoost,grid,Structured,Structured+FinBERT-768,0.6923,0.6905,-0.0018,0.402,0.6879,-0.0072,0.0109
8,XGBoost,grid,Structured,Structured+FinBERT-PCA50,0.6923,0.6924,0.0001,-0.019,0.9847,-0.0076,0.0074
8,RandomForest,grid,Structured,Structured+FinBERT-768,0.6857,0.6643,-0.0214,3.091,0.002,0.0078,0.035
