fold,arm,config,Model,n_train,n_test,n_defaults,AUC,PR_AUC,Brier,GINI
1,structured,fixed,Logistic,6694,1042,157,0.6595,0.2278,0.2448,0.319
1,structured,fixed,XGBoost,6694,1042,157,0.6352,0.219,0.1989,0.2704
1,structured,fixed,RandomForest,6694,1042,157,0.6346,0.2156,0.2031,0.2691
1,structured,grid,Logistic,6694,1042,157,0.6592,0.2275,0.2437,0.3184
1,structured,grid,XGBoost,6694,1042,157,0.6498,0.2283,0.2176,0.2997
1,structured,grid,RandomForest,6694,1042,157,0.6355,0.214,0.1809,0.271
1,fb768,fixed,Logistic,6694,1042,157,0.5775,0.1842,0.2518,0.1551
1,fb768,fixed,XGBoost,6694,1042,157,0.6099,0.2212,0.1772,0.2199
1,fb768,fixed,RandomForest,6694,1042,157,0.6169,0.2185,0.1782,0.2338
1,fb768,grid,Logistic,6694,1042,157,0.6206,0.2065,0.2375,0.2411
1,fb768,grid,XGBoost,6694,1042,157,0.6355,0.2297,0.196,0.271
1,fb768,grid,RandomForest,6694,1042,157,0.6286,0.2247,0.1999,0.2572
1,pca50,fixed,Logistic,6694,1042,157,0.6563,0.225,0.2451,0.3125
1,pca50,fixed,XGBoost,6694,1042,157,0.6123,0.2039,0.1894,0.2246
1,pca50,fixed,RandomForest,6694,1042,157,0.6246,0.217,0.1775,0.2493
1,pca50,grid,Logistic,6694,1042,157,0.6553,0.2252,0.2428,0.3106
1,pca50,grid,XGBoost,6694,1042,157,0.6281,0.2031,0.2095,0.2562
1,pca50,grid,RandomForest,6694,1042,157,0.6291,0.2188,0.2056,0.2581
2,structured,fixed,Logistic,9893,1222,136,0.6803,0.2075,0.2092,0.3606
2,structured,fixed,XGBoost,9893,1222,136,0.6747,0.2219,0.1754,0.3494
2,structured,fixed,RandomForest,9893,1222,136,0.6696,0.2291,0.1768,0.3393
2,structured,grid,Logistic,9893,1222,136,0.68,0.2089,0.212,0.36
2,structured,grid,XGBoost,9893,1222,136,0.6835,0.2231,0.1882,0.367
2,structured,grid,RandomForest,9893,1222,136,0.6705,0.2248,0.1548,0.3411
2,fb768,fixed,Logistic,9893,1222,136,0.6462,0.1953,0.2095,0.2924
