fold,Model,AUC_Structured,AUC_Structured+FinBERT,Delta_AUC,Z_stat,p_value,CI_95_lo,CI_95_hi
1,Logistic,0.6458,0.6459,0.0001,-0.01,0.992,-0.0184,0.0182
1,XGBoost,0.634,0.6366,0.0027,-0.205,0.8376,-0.0284,0.0231
1,RandomForest,0.6219,0.6241,0.0023,-0.386,0.6997,-0.0139,0.0093
2,Logistic,0.6789,0.6748,-0.0041,0.569,0.5693,-0.0099,0.018
2,XGBoost,0.6887,0.6711,-0.0176,1.867,0.0619,-0.0009,0.0361
2,RandomForest,0.6668,0.659,-0.0078,1.361,0.1735,-0.0034,0.0191
3,Logistic,0.7047,0.6995,-0.0052,0.798,0.425,-0.0076,0.018
3,XGBoost,0.7014,0.6902,-0.0112,1.231,0.2182,-0.0067,0.0291
3,RandomForest,0.6971,0.6953,-0.0018,0.322,0.7474,-0.0092,0.0129
4,Logistic,0.6978,0.7025,0.0048,-0.664,0.5064,-0.0189,0.0093
4,XGBoost,0.6848,0.6838,-0.001,0.117,0.9065,-0.0164,0.0185
4,RandomForest,0.6879,0.6899,0.002,-0.392,0.695,-0.0122,0.0081
5,Logistic,0.6947,0.7152,0.0205,-2.733,0.0063,-0.0352,-0.0058
5,XGBoost,0.6864,0.7121,0.0257,-3.172,0.0015,-0.0416,-0.0098
5,RandomForest,0.6911,0.7065,0.0154,-2.804,0.0051,-0.0261,-0.0046
6,Logistic,0.6714,0.6764,0.005,-1.332,0.1828,-0.0123,0.0024
6,XGBoost,0.673,0.6799,0.007,-1.341,0.1798,-0.0172,0.0032
6,RandomForest,0.6727,0.6782,0.0055,-1.486,0.1374,-0.0127,0.0018
7,Logistic,0.6974,0.6962,-0.0013,0.358,0.7201,-0.0057,0.0083
7,XGBoost,0.7008,0.6967,-0.0041,0.813,0.4163,-0.0058,0.014
7,RandomForest,0.6959,0.6914,-0.0045,1.122,0.2617,-0.0034,0.0123
8,Logistic,0.6805,0.6853,0.0047,-1.053,0.2923,-0.0136,0.0041
8,XGBoost,0.6761,0.6867,0.0106,-2.165,0.0304,-0.0202,-0.001
8,RandomForest,0.6746,0.6835,0.0089,-3.033,0.0024,-0.0147,-0.0032
9,Logistic,0.6968,0.6969,0.0001,-0.017,0.9863,-0.0088,0.0086
9,XGBoost,0.7029,0.7004,-0.0025,0.574,0.5662,-0.006,0.011
9,RandomForest,0.7007,0.6969,-0.0038,1.302,0.1929,-0.0019,0.0096
10,Logistic,0.6949,0.6921,-0.0028,1.44,0.1498,-0.001,0.0066
10,XGBoost,0.6931,0.6905,-0.0026,1.076,0.2818,-0.0021,0.0074
10,RandomForest,0.6916,0.6899,-0.0017,0.891,0.3729,-0.002,0.0054
11,Logistic,0.6857,0.6786,-0.0071,2.435,0.0149,0.0014,0.0128
11,XGBoost,0.6897,0.6849,-0.0048,1.92,0.0549,-0.0001,0.0097
11,RandomForest,0.6864,0.6846,-0.0019,0.906,0.3647,-0.0022,0.0059
12,Logistic,0.6997,0.6837,-0.0161,5.581,0.0,0.0104,0.0217
12,XGBoost,0.7008,0.6892,-0.0117,4.42,0.0,0.0065,0.0168
12,RandomForest,0.6981,0.688,-0.0101,5.078,0.0,0.0062,0.0139
13,Logistic,0.6925,0.6882,-0.0043,1.95,0.0512,-0.0,0.0087
13,XGBoost,0.693,0.6891,-0.0039,1.833,0.0668,-0.0003,0.008
13,RandomForest,0.6895,0.6855,-0.004,2.467,0.0136,0.0008,0.0072
14,Logistic,0.6975,0.697,-0.0006,0.451,0.6517,-0.0019,0.003
14,XGBoost,0.7018,0.7017,-0.0002,0.129,0.8976,-0.0023,0.0026
14,RandomForest,0.7004,0.7003,-0.0001,0.087,0.9307,-0.0022,0.0024
