Feature,Kind,n_folds_selected,mean_rank_when_selected,mean_importance_share,Arm,Model,pct_folds_selected
int_rate,structured,14,4.86,0.0774,Structured,Logistic,100.0
mths_since_recent_inq,structured,13,17.85,0.0187,Structured,Logistic,92.9
acc_open_past_24mths,structured,11,4.55,0.0761,Structured,Logistic,78.6
bc_open_to_buy,structured,11,19.27,0.0378,Structured,Logistic,78.6
revol_util,structured,11,22.82,0.0173,Structured,Logistic,78.6
addr_state_AL,structured,11,32.45,0.0067,Structured,Logistic,78.6
mths_since_recent_revol_delinq,structured,10,15.6,0.0253,Structured,Logistic,71.4
delinq_2yrs,structured,10,16.5,0.039,Structured,Logistic,71.4
addr_state_NY,structured,10,34.5,0.0049,Structured,Logistic,71.4
mths_since_recent_bc_dlq,structured,9,8.33,0.0795,Structured,Logistic,64.3
addr_state_NH,structured,9,13.56,0.0253,Structured,Logistic,64.3
dti,structured,9,16.44,0.0217,Structured,Logistic,64.3
addr_state_DC,structured,9,18.33,0.0158,Structured,Logistic,64.3
num_actv_rev_tl,structured,9,21.67,0.0209,Structured,Logistic,64.3
inq_last_6mths,structured,9,21.78,0.0359,Structured,Logistic,64.3
bc_util,structured,9,26.22,0.0269,Structured,Logistic,64.3
num_tl_op_past_12m,structured,9,27.33,0.0091,Structured,Logistic,64.3
addr_state_RI,structured,9,30.33,0.0085,Structured,Logistic,64.3
addr_state_MO,structured,9,38.11,0.0035,Structured,Logistic,64.3
open_acc,structured,9,42.44,0.0021,Structured,Logistic,64.3
delinq_amnt,structured,8,4.75,0.1424,Structured,Logistic,57.1
annual_inc,structured,8,8.5,0.0835,Structured,Logistic,57.1
fico_midpoint,structured,8,9.75,0.0374,Structured,Logistic,57.1
addr_state_SD,structured,8,14.62,0.0385,Structured,Logistic,57.1
mths_since_last_record,structured,8,15.25,0.0306,Structured,Logistic,57.1
num_tl_30dpd,structured,8,26.38,0.0097,Structured,Logistic,57.1
percent_bc_gt_75,structured,8,28.0,0.0104,Structured,Logistic,57.1
addr_state_IL,structured,8,28.75,0.0084,Structured,Logistic,57.1
addr_state_CO,structured,8,29.62,0.0096,Structured,Logistic,57.1
mths_since_last_delinq,structured,8,32.75,0.0059,Structured,Logistic,57.1
pub_rec_bankruptcies,structured,8,34.0,0.0055,Structured,Logistic,57.1
addr_state_SC,structured,8,34.25,0.0053,Structured,Logistic,57.1
addr_state_LA,structured,8,37.12,0.0048,Structured,Logistic,57.1
term,structured,7,6.14,0.069,Structured,Logistic,50.0
num_bc_sats,structured,7,11.57,0.0265,Structured,Logistic,50.0
addr_state_NJ,structured,7,15.86,0.019,Structured,Logistic,50.0
total_bc_limit,structured,7,25.71,0.0221,Structured,Logistic,50.0
addr_state_FL,structured,7,25.86,0.01,Structured,Logistic,50.0
addr_state_PA,structured,7,30.0,0.0084,Structured,Logistic,50.0
chargeoff_within_12_mths,structured,7,30.0,0.0098,Structured,Logistic,50.0
tot_cur_bal,structured,7,31.86,0.0066,Structured,Logistic,50.0
mo_sin_rcnt_tl,structured,7,32.14,0.007,Structured,Logistic,50.0
pub_rec,structured,7,32.86,0.0056,Structured,Logistic,50.0
addr_state_IN,structured,7,37.29,0.0032,Structured,Logistic,50.0
mo_sin_old_rev_tl_op,structured,7,42.71,0.0022,Structured,Logistic,50.0
num_tl_120dpd_2m,structured,6,14.83,0.0225,Structured,Logistic,42.9
sub_grade_ord,structured,6,15.83,0.0231,Structured,Logistic,42.9
addr_state_MI,structured,6,18.33,0.0197,Structured,Logistic,42.9
mort_acc,structured,6,22.33,0.017,Structured,Logistic,42.9
addr_state_MD,structured,6,24.83,0.0158,Structured,Logistic,42.9
num_il_tl,structured,6,25.0,0.0186,Structured,Logistic,42.9
total_rev_hi_lim,structured,6,25.17,0.0123,Structured,Logistic,42.9
emp_length,structured,6,27.33,0.0142,Structured,Logistic,42.9
num_actv_bc_tl,structured,6,27.33,0.0096,Structured,Logistic,42.9
grade_ord,structured,6,28.0,0.0097,Structured,Logistic,42.9
mths_since_last_major_derog,structured,6,30.0,0.0077,Structured,Logistic,42.9
addr_state_MN,structured,6,30.17,0.0074,Structured,Logistic,42.9
addr_state_OR,structured,6,32.33,0.0061,Structured,Logistic,42.9
collections_12_mths_ex_med,structured,6,35.17,0.0057,Structured,Logistic,42.9
addr_state_DE,structured,6,35.83,0.0069,Structured,Logistic,42.9
addr_state_MS,structured,6,41.5,0.0027,Structured,Logistic,42.9
mo_sin_rcnt_rev_tl_op,structured,6,42.33,0.0028,Structured,Logistic,42.9
mths_since_recent_bc,structured,5,6.2,0.0711,Structured,Logistic,35.7
loan_amnt,structured,5,7.8,0.043,Structured,Logistic,35.7
num_op_rev_tl,structured,5,9.6,0.0369,Structured,Logistic,35.7
avg_cur_bal,structured,5,10.0,0.0412,Structured,Logistic,35.7
addr_state_AR,structured,5,16.6,0.0186,Structured,Logistic,35.7
addr_state_NE,structured,5,23.8,0.0145,Structured,Logistic,35.7
