fold,train_cutoff,test_end,n_train,n_test,n_defaults,Model,Variant,n_features_selected,AUC,AUC_CI_lo,AUC_CI_hi,PR_AUC,PR_AUC_CI_lo,PR_AUC_CI_hi,Brier,Brier_CI_lo,Brier_CI_hi,GINI
1,2010-08,2010-09,6694,1042,157,Logistic,Structured,50,0.6458,0.6058,0.6904,0.2285,0.1785,0.2899,0.248,0.238,0.259,0.2917
1,2010-08,2010-09,6694,1042,157,XGBoost,Structured,50,0.634,0.5912,0.6765,0.2138,0.1749,0.2713,0.231,0.2205,0.2415,0.2679
1,2010-08,2010-09,6694,1042,157,RandomForest,Structured,50,0.6219,0.5796,0.6645,0.2101,0.1715,0.2673,0.226,0.2177,0.2344,0.2437
1,2010-08,2010-09,6694,1042,157,Logistic,Structured+FinBERT,50,0.6459,0.6064,0.6898,0.2153,0.1733,0.2669,0.2532,0.2427,0.2636,0.2919
1,2010-08,2010-09,6694,1042,157,XGBoost,Structured+FinBERT,50,0.6366,0.5961,0.6804,0.2171,0.1754,0.2726,0.2214,0.2106,0.2314,0.2733
1,2010-08,2010-09,6694,1042,157,RandomForest,Structured+FinBERT,50,0.6241,0.5831,0.665,0.218,0.1789,0.2809,0.216,0.2078,0.2234,0.2483
2,2010-11,2010-12,9893,1222,136,Logistic,Structured,50,0.6789,0.6301,0.7247,0.2108,0.1674,0.2728,0.2129,0.2027,0.2241,0.3577
2,2010-11,2010-12,9893,1222,136,XGBoost,Structured,50,0.6887,0.639,0.7366,0.2283,0.1767,0.2989,0.1946,0.1843,0.2052,0.3774
2,2010-11,2010-12,9893,1222,136,RandomForest,Structured,50,0.6668,0.6206,0.713,0.2014,0.1566,0.2615,0.189,0.1804,0.1971,0.3336
2,2010-11,2010-12,9893,1222,136,Logistic,Structured+FinBERT,50,0.6748,0.6245,0.7199,0.2081,0.1635,0.2644,0.2072,0.1967,0.2179,0.3496
2,2010-11,2010-12,9893,1222,136,XGBoost,Structured+FinBERT,50,0.6711,0.6224,0.7175,0.1841,0.1465,0.2331,0.1901,0.1797,0.2004,0.3422
2,2010-11,2010-12,9893,1222,136,RandomForest,Structured+FinBERT,50,0.659,0.6126,0.7051,0.1829,0.1464,0.2406,0.1887,0.1807,0.1969,0.3179
3,2011-02,2011-03,13674,1369,184,Logistic,Structured,50,0.7047,0.6692,0.7425,0.2435,0.2067,0.3007,0.2331,0.2234,0.2433,0.4094
3,2011-02,2011-03,13674,1369,184,XGBoost,Structured,50,0.7014,0.6633,0.7394,0.2481,0.2066,0.3026,0.2204,0.2108,0.23,0.4028
3,2011-02,2011-03,13674,1369,184,RandomForest,Structured,50,0.6971,0.6611,0.7366,0.2463,0.2049,0.3031,0.2041,0.1955,0.2116,0.3942
3,2011-02,2011-03,13674,1369,184,Logistic,Structured+FinBERT,50,0.6995,0.6645,0.7382,0.243,0.2045,0.3041,0.2322,0.222,0.242,0.3989
3,2011-02,2011-03,13674,1369,184,XGBoost,Structured+FinBERT,50,0.6902,0.6557,0.7296,0.2436,0.2017,0.3038,0.2169,0.2075,0.2262,0.3804
3,2011-02,2011-03,13674,1369,184,RandomForest,Structured+FinBERT,50,0.6953,0.6611,0.7365,0.2408,0.2045,0.3028,0.2067,0.1989,0.214,0.3905
4,2011-05,2011-06,18165,1762,255,Logistic,Structured,50,0.6978,0.6638,0.734,0.2809,0.2344,0.3417,0.2323,0.224,0.2402,0.3955
4,2011-05,2011-06,18165,1762,255,XGBoost,Structured,50,0.6848,0.6509,0.7203,0.2441,0.2076,0.2925,0.2185,0.2108,0.2264,0.3697
4,2011-05,2011-06,18165,1762,255,RandomForest,Structured,50,0.6879,0.6548,0.7231,0.2447,0.2085,0.2946,0.1985,0.1919,0.2051,0.3758
4,2011-05,2011-06,18165,1762,255,Logistic,Structured+FinBERT,50,0.7025,0.6673,0.743,0.2812,0.2371,0.3442,0.2332,0.2247,0.2411,0.4051
4,2011-05,2011-06,18165,1762,255,XGBoost,Structured+FinBERT,50,0.6838,0.6481,0.7194,0.2532,0.2128,0.3019,0.2163,0.2078,0.2245,0.3676
4,2011-05,2011-06,18165,1762,255,RandomForest,Structured+FinBERT,50,0.6899,0.6567,0.7261,0.259,0.2174,0.3125,0.204,0.1973,0.2105,0.3798
5,2011-08,2011-09,23547,1979,286,Logistic,Structured,50,0.6947,0.6637,0.7263,0.2914,0.2449,0.3547,0.225,0.2177,0.2327,0.3894
5,2011-08,2011-09,23547,1979,286,XGBoost,Structured,50,0.6864,0.6537,0.7187,0.286,0.2445,0.3442,0.2153,0.2084,0.2227,0.3729
5,2011-08,2011-09,23547,1979,286,RandomForest,Structured,50,0.6911,0.6567,0.7228,0.2903,0.2465,0.3474,0.1919,0.1857,0.198,0.3822
5,2011-08,2011-09,23547,1979,286,Logistic,Structured+FinBERT,50,0.7152,0.6846,0.7451,0.2992,0.2561,0.3593,0.2214,0.2141,0.2295,0.4303
5,2011-08,2011-09,23547,1979,286,XGBoost,Structured+FinBERT,50,0.7121,0.6803,0.7417,0.3081,0.2635,0.3659,0.2076,0.2002,0.2148,0.4243
5,2011-08,2011-09,23547,1979,286,RandomForest,Structured+FinBERT,50,0.7065,0.675,0.739,0.3068,0.2641,0.3628,0.1904,0.1848,0.1968,0.4129
6,2011-11,2011-12,29671,2190,406,Logistic,Structured,50,0.6714,0.643,0.6972,0.3001,0.2657,0.3426,0.26,0.2532,0.2672,0.3428
6,2011-11,2011-12,29671,2190,406,XGBoost,Structured,50,0.673,0.6428,0.6987,0.3148,0.2779,0.3598,0.2499,0.2433,0.2567,0.3459
6,2011-11,2011-12,29671,2190,406,RandomForest,Structured,50,0.6727,0.6439,0.6987,0.3095,0.2723,0.3509,0.2222,0.2163,0.2279,0.3454
6,2011-11,2011-12,29671,2190,406,Logistic,Structured+FinBERT,50,0.6764,0.6458,0.7031,0.3044,0.2691,0.347,0.2616,0.2547,0.2691,0.3528
6,2011-11,2011-12,29671,2190,406,XGBoost,Structured+FinBERT,50,0.6799,0.65,0.7056,0.3152,0.2784,0.3564,0.2485,0.242,0.2553,0.3598
6,2011-11,2011-12,29671,2190,406,RandomForest,Structured+FinBERT,50,0.6782,0.6484,0.7047,0.3207,0.2828,0.3649,0.227,0.2214,0.2325,0.3564
7,2012-02,2012-03,36786,2781,413,Logistic,Structured,50,0.6974,0.6702,0.7239,0.2886,0.2534,0.3348,0.2194,0.2135,0.2251,0.3949
7,2012-02,2012-03,36786,2781,413,XGBoost,Structured,50,0.7008,0.6735,0.7285,0.2984,0.2623,0.3437,0.2131,0.2077,0.2187,0.4017
7,2012-02,2012-03,36786,2781,413,RandomForest,Structured,50,0.6959,0.6681,0.724,0.282,0.2477,0.3255,0.1922,0.1877,0.1972,0.3919
7,2012-02,2012-03,36786,2781,413,Logistic,Structured+FinBERT,50,0.6962,0.6683,0.7241,0.2912,0.2551,0.3386,0.2213,0.2152,0.2269,0.3923
7,2012-02,2012-03,36786,2781,413,XGBoost,Structured+FinBERT,50,0.6967,0.6688,0.7241,0.2968,0.2596,0.3425,0.2122,0.207,0.2174,0.3935
7,2012-02,2012-03,36786,2781,413,RandomForest,Structured+FinBERT,50,0.6914,0.6644,0.7189,0.2788,0.246,0.3216,0.1946,0.1899,0.1993,0.3829
8,2012-05,2012-06,45976,3713,681,Logistic,Structured,50,0.6805,0.656,0.701,0.3323,0.299,0.3665,0.2567,0.251,0.2622,0.3611
8,2012-05,2012-06,45976,3713,681,XGBoost,Structured,50,0.6761,0.652,0.6977,0.3223,0.2909,0.356,0.2474,0.2424,0.2524,0.3523
8,2012-05,2012-06,45976,3713,681,RandomForest,Structured,50,0.6746,0.6492,0.6969,0.3234,0.2889,0.3557,0.2226,0.218,0.227,0.3492
8,2012-05,2012-06,45976,3713,681,Logistic,Structured+FinBERT,50,0.6853,0.6617,0.7042,0.3264,0.291,0.3595,0.2633,0.2572,0.2697,0.3705
8,2012-05,2012-06,45976,3713,681,XGBoost,Structured+FinBERT,50,0.6867,0.6626,0.7058,0.3203,0.2879,0.3525,0.2503,0.2452,0.2561,0.3734
8,2012-05,2012-06,45976,3713,681,RandomForest,Structured+FinBERT,50,0.6835,0.6575,0.7046,0.3225,0.2893,0.3564,0.231,0.2265,0.2358,0.3671
9,2012-08,2012-09,59483,5975,919,Logistic,Structured,50,0.6968,0.6791,0.7157,0.2805,0.2569,0.308,0.2332,0.2287,0.2374,0.3936
9,2012-08,2012-09,59483,5975,919,XGBoost,Structured,50,0.7029,0.6859,0.7209,0.2936,0.2681,0.3226,0.2244,0.2206,0.2281,0.4057
9,2012-08,2012-09,59483,5975,919,RandomForest,Structured,50,0.7007,0.6834,0.7179,0.2878,0.2631,0.3157,0.2097,0.2061,0.213,0.4014
9,2012-08,2012-09,59483,5975,919,Logistic,Structured+FinBERT,50,0.6969,0.6801,0.715,0.2789,0.2551,0.3051,0.246,0.2415,0.2501,0.3938
9,2012-08,2012-09,59483,5975,919,XGBoost,Structured+FinBERT,50,0.7004,0.6827,0.7194,0.2899,0.265,0.3164,0.2402,0.2359,0.2439,0.4007
9,2012-08,2012-09,59483,5975,919,RandomForest,Structured+FinBERT,50,0.6969,0.6798,0.7145,0.2796,0.2568,0.3073,0.2225,0.2188,0.2256,0.3937
10,2012-11,2012-12,77872,5970,893,Logistic,Structured,50,0.6949,0.6763,0.713,0.2865,0.262,0.3179,0.2189,0.2141,0.2226,0.3899
10,2012-11,2012-12,77872,5970,893,XGBoost,Structured,50,0.6931,0.6752,0.7124,0.2893,0.2638,0.3192,0.213,0.2085,0.217,0.3862
10,2012-11,2012-12,77872,5970,893,RandomForest,Structured,50,0.6916,0.6741,0.7098,0.2847,0.2593,0.3119,0.1845,0.1808,0.1877,0.3832
10,2012-11,2012-12,77872,5970,893,Logistic,Structured+FinBERT,50,0.6921,0.6744,0.711,0.2849,0.2608,0.3149,0.2221,0.2176,0.226,0.3843
10,2012-11,2012-12,77872,5970,893,XGBoost,Structured+FinBERT,50,0.6905,0.6724,0.709,0.2901,0.2634,0.319,0.2156,0.2112,0.2197,0.381
10,2012-11,2012-12,77872,5970,893,RandomForest,Structured+FinBERT,50,0.6899,0.6715,0.7088,0.2817,0.256,0.3086,0.1976,0.1939,0.2007,0.3799
11,2013-02,2013-03,98111,8184,1164,Logistic,Structured,50,0.6857,0.6692,0.7009,0.2551,0.2353,0.2775,0.2282,0.2249,0.2316,0.3714
11,2013-02,2013-03,98111,8184,1164,XGBoost,Structured,50,0.6897,0.6741,0.7049,0.2595,0.2391,0.283,0.2252,0.2223,0.2286,0.3794
11,2013-02,2013-03,98111,8184,1164,RandomForest,Structured,50,0.6864,0.6694,0.7019,0.2567,0.2372,0.2815,0.1929,0.1904,0.1959,0.3729
11,2013-02,2013-03,98111,8184,1164,Logistic,Structured+FinBERT,50,0.6786,0.661,0.6938,0.2509,0.2312,0.2727,0.2334,0.2303,0.237,0.3573
11,2013-02,2013-03,98111,8184,1164,XGBoost,Structured+FinBERT,50,0.6849,0.6692,0.6994,0.2572,0.2378,0.2817,0.2273,0.2242,0.2306,0.3698
11,2013-02,2013-03,98111,8184,1164,RandomForest,Structured+FinBERT,50,0.6846,0.668,0.7001,0.2568,0.2372,0.2816,0.2037,0.2011,0.2065,0.3692
12,2013-05,2013-06,125865,10802,1739,Logistic,Structured,50,0.6997,0.6866,0.712,0.2963,0.2784,0.3164,0.2339,0.2309,0.2368,0.3995
12,2013-05,2013-06,125865,10802,1739,XGBoost,Structured,50,0.7008,0.6878,0.7131,0.2989,0.2815,0.3202,0.2316,0.2288,0.2344,0.4017
12,2013-05,2013-06,125865,10802,1739,RandomForest,Structured,50,0.6981,0.6855,0.7102,0.2999,0.2824,0.3226,0.1988,0.1963,0.2013,0.3961
12,2013-05,2013-06,125865,10802,1739,Logistic,Structured+FinBERT,50,0.6837,0.671,0.6963,0.2836,0.2669,0.3031,0.2373,0.2343,0.24,0.3673
12,2013-05,2013-06,125865,10802,1739,XGBoost,Structured+FinBERT,50,0.6892,0.6764,0.7018,0.2894,0.2709,0.3092,0.2342,0.2312,0.2371,0.3783
12,2013-05,2013-06,125865,10802,1739,RandomForest,Structured+FinBERT,50,0.688,0.675,0.6999,0.2891,0.2716,0.3107,0.2115,0.2091,0.2141,0.376
13,2013-08,2013-09,161023,12846,2007,Logistic,Structured,50,0.6925,0.6806,0.7031,0.2798,0.2631,0.2984,0.2364,0.2334,0.2392,0.385
13,2013-08,2013-09,161023,12846,2007,XGBoost,Structured,50,0.693,0.6814,0.7039,0.2797,0.264,0.298,0.2325,0.2297,0.235,0.386
13,2013-08,2013-09,161023,12846,2007,RandomForest,Structured,50,0.6895,0.6776,0.7008,0.2745,0.2583,0.292,0.1995,0.1971,0.2019,0.3791
13,2013-08,2013-09,161023,12846,2007,Logistic,Structured+FinBERT,50,0.6882,0.676,0.6994,0.2716,0.2544,0.2897,0.2362,0.2333,0.239,0.3763
13,2013-08,2013-09,161023,12846,2007,XGBoost,Structured+FinBERT,50,0.6891,0.6773,0.7002,0.2729,0.2569,0.2914,0.2342,0.2315,0.2367,0.3783
13,2013-08,2013-09,161023,12846,2007,RandomForest,Structured+FinBERT,50,0.6855,0.6738,0.6963,0.2669,0.251,0.2846,0.2127,0.2101,0.2151,0.371
14,2013-11,2013-12,202442,14845,2263,Logistic,Structured,50,0.6975,0.6866,0.7083,0.2823,0.2675,0.3011,0.2207,0.2181,0.2233,0.3951
14,2013-11,2013-12,202442,14845,2263,XGBoost,Structured,50,0.7018,0.6913,0.7128,0.2868,0.272,0.3053,0.2193,0.2168,0.2219,0.4037
14,2013-11,2013-12,202442,14845,2263,RandomForest,Structured,50,0.7004,0.6897,0.7116,0.2835,0.2688,0.3019,0.1879,0.1855,0.1901,0.4007
14,2013-11,2013-12,202442,14845,2263,Logistic,Structured+FinBERT,50,0.697,0.6865,0.7077,0.2805,0.266,0.2991,0.223,0.2204,0.2258,0.394
14,2013-11,2013-12,202442,14845,2263,XGBoost,Structured+FinBERT,50,0.7017,0.6914,0.713,0.2835,0.2686,0.3001,0.2204,0.2178,0.2228,0.4034
14,2013-11,2013-12,202442,14845,2263,RandomForest,Structured+FinBERT,50,0.7003,0.6899,0.7119,0.2811,0.2671,0.2988,0.1998,0.1975,0.2021,0.4005
