Arm,Model,Candidate,params,tuning_fold,inner_val_AUC,mean_AUC_over_tuning_folds,is_winner
Structured,Logistic,C=0.05,"{""C"": 0.05}",4,0.7137,0.6995,True
Structured,Logistic,C=0.05,"{""C"": 0.05}",8,0.6893,0.6995,True
Structured,Logistic,C=0.05,"{""C"": 0.05}",12,0.6956,0.6995,True
Structured,Logistic,C=0.1,"{""C"": 0.1}",4,0.7136,0.6995,False
Structured,Logistic,C=0.1,"{""C"": 0.1}",8,0.6893,0.6995,False
Structured,Logistic,C=0.1,"{""C"": 0.1}",12,0.6956,0.6995,False
Structured,Logistic,C=0.3 (old baseline),"{""C"": 0.3}",4,0.7137,0.6995,False
Structured,Logistic,C=0.3 (old baseline),"{""C"": 0.3}",8,0.6893,0.6995,False
Structured,Logistic,C=0.3 (old baseline),"{""C"": 0.3}",12,0.6956,0.6995,False
Structured,Logistic,C=0.6,"{""C"": 0.6}",4,0.7137,0.6995,False
Structured,Logistic,C=0.6,"{""C"": 0.6}",8,0.6893,0.6995,False
Structured,Logistic,C=0.6,"{""C"": 0.6}",12,0.6956,0.6995,False
Structured,Logistic,C=1.0,"{""C"": 1.0}",4,0.7137,0.6995,False
Structured,Logistic,C=1.0,"{""C"": 1.0}",8,0.6893,0.6995,False
Structured,Logistic,C=1.0,"{""C"": 1.0}",12,0.6956,0.6995,False
Structured,XGBoost,"baseline (depth4, lr.05, a0, L1)","{""max_depth"": 4, ""learning_rate"": 0.05, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",4,0.7034,0.6976,False
Structured,XGBoost,"baseline (depth4, lr.05, a0, L1)","{""max_depth"": 4, ""learning_rate"": 0.05, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",8,0.6928,0.6976,False
Structured,XGBoost,"baseline (depth4, lr.05, a0, L1)","{""max_depth"": 4, ""learning_rate"": 0.05, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",12,0.6966,0.6976,False
