zip3,Model,Variant,n_folds,n_total,n_default,AUC_mean,FNR_mean,FPR_mean,Brier_mean,default_rate
100,Logistic,Structured,3,332,40,0.675,0.4008,0.3217,0.211,0.1205
100,Logistic,Structured+FinBERT,3,332,40,0.6705,0.4286,0.3175,0.2088,0.1205
100,RandomForest,Structured,3,332,40,0.6629,0.631,0.1587,0.1653,0.1205
100,RandomForest,Structured+FinBERT,3,332,40,0.6557,0.6587,0.1414,0.1635,0.1205
100,XGBoost,Structured,3,332,40,0.6721,0.4246,0.3599,0.2106,0.1205
100,XGBoost,Structured+FinBERT,3,332,40,0.691,0.3532,0.3336,0.2064,0.1205
104,Logistic,Structured,2,196,43,0.7848,0.0996,0.5154,0.2456,0.2194
104,Logistic,Structured+FinBERT,2,196,43,0.7702,0.081,0.5354,0.2484,0.2194
104,RandomForest,Structured,2,196,43,0.7643,0.4294,0.2154,0.1889,0.2194
104,RandomForest,Structured+FinBERT,2,196,43,0.769,0.4479,0.2018,0.1876,0.2194
104,XGBoost,Structured,2,196,43,0.777,0.0683,0.47,0.2352,0.2194
104,XGBoost,Structured+FinBERT,2,196,43,0.7709,0.0683,0.4906,0.2358,0.2194
112,Logistic,Structured,4,505,102,0.702,0.2591,0.4178,0.2342,0.202
112,Logistic,Structured+FinBERT,4,505,102,0.7,0.265,0.412,0.2366,0.202
112,RandomForest,Structured,4,505,102,0.7177,0.5446,0.1875,0.1846,0.202
112,RandomForest,Structured+FinBERT,4,505,102,0.711,0.5898,0.1677,0.1822,0.202
112,XGBoost,Structured,4,505,102,0.715,0.2819,0.4155,0.226,0.202
112,XGBoost,Structured+FinBERT,4,505,102,0.7219,0.3195,0.4136,0.2235,0.202
117,Logistic,Structured,2,194,38,0.6176,0.36,0.4456,0.2495,0.1959
117,Logistic,Structured+FinBERT,2,194,38,0.6229,0.36,0.4886,0.2526,0.1959
117,RandomForest,Structured,2,194,38,0.5676,0.7563,0.2166,0.2037,0.1959
117,RandomForest,Structured+FinBERT,2,194,38,0.5754,0.7212,0.2199,0.2007,0.1959
117,XGBoost,Structured,2,194,38,0.5826,0.3838,0.4496,0.2497,0.1959
117,XGBoost,Structured+FinBERT,2,194,38,0.5762,0.4369,0.4382,0.2508,0.1959
