fold,Model,n_sub,n_val,val_AUC,C,max_depth,learning_rate,min_samples_leaf
1,Logistic,5355,1339,0.663,0.01,,,
1,XGBoost,5355,1339,0.6273,,3.0,0.05,
1,RandomForest,5355,1339,0.6219,,,,50.0
2,Logistic,7914,1979,0.6975,0.01,,,
2,XGBoost,7914,1979,0.6903,,3.0,0.05,
2,RandomForest,7914,1979,0.6695,,,,50.0
3,Logistic,10939,2735,0.6754,0.01,,,
3,XGBoost,10939,2735,0.691,,3.0,0.05,
3,RandomForest,10939,2735,0.6874,,,,50.0
4,Logistic,14532,3633,0.6822,0.01,,,
4,XGBoost,14532,3633,0.6946,,3.0,0.05,
4,RandomForest,14532,3633,0.6726,,,,50.0
5,Logistic,18837,4710,0.6858,0.01,,,
5,XGBoost,18837,4710,0.6976,,3.0,0.05,
5,RandomForest,18837,4710,0.6766,,,,50.0
6,Logistic,23736,5935,0.6997,0.01,,,
6,XGBoost,23736,5935,0.7038,,3.0,0.05,
6,RandomForest,23736,5935,0.6885,,,,50.0
7,Logistic,29428,7358,0.6739,0.01,,,
7,XGBoost,29428,7358,0.6834,,3.0,0.05,
7,RandomForest,29428,7358,0.6613,,,,50.0
8,Logistic,36780,9196,0.687,0.01,,,
8,XGBoost,36780,9196,0.6951,,3.0,0.05,
8,RandomForest,36780,9196,0.6762,,,,50.0
9,Logistic,47586,11897,0.6831,0.01,,,
9,XGBoost,47586,11897,0.6879,,3.0,0.05,
9,RandomForest,47586,11897,0.6717,,,,50.0
10,Logistic,62297,15575,0.6767,0.01,,,
10,XGBoost,62297,15575,0.6807,,3.0,0.05,
10,RandomForest,62297,15575,0.6607,,,,50.0
11,Logistic,78488,19623,0.6771,0.01,,,
11,XGBoost,78488,19623,0.6878,,3.0,0.05,
11,RandomForest,78488,19623,0.6828,,,,50.0
12,Logistic,100692,25173,0.6958,1.0,,,
12,XGBoost,100692,25173,0.6983,,3.0,0.1,
12,RandomForest,100692,25173,0.6876,,,,50.0
13,Logistic,128818,32205,0.7,0.3,,,
13,XGBoost,128818,32205,0.7028,,4.0,0.05,
13,RandomForest,128818,32205,0.6877,,,,50.0
14,Logistic,161953,40489,0.697,0.03,,,
14,XGBoost,161953,40489,0.6994,,4.0,0.05,
14,RandomForest,161953,40489,0.69,,,,50.0
