fold,train_cutoff,test_end,n_train,n_test,n_defaults,Model,best_params,AUC,AUC_CI_lo,AUC_CI_hi,PR_AUC,PR_AUC_CI_lo,PR_AUC_CI_hi,Brier,Brier_CI_lo,Brier_CI_hi,GINI
1,2010-08,2010-09,6694,1042,157,Logistic,{'C': 0.01},0.6206,0.5739,0.662,0.2065,0.167,0.2552,0.2375,0.2251,0.2509,0.2411
1,2010-08,2010-09,6694,1042,157,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.6355,0.5896,0.6769,0.2297,0.1861,0.293,0.196,0.1866,0.2053,0.271
1,2010-08,2010-09,6694,1042,157,RandomForest,{'min_samples_leaf': 50},0.6286,0.5887,0.6693,0.2247,0.1775,0.282,0.1999,0.1945,0.2051,0.2572
2,2010-11,2010-12,9893,1222,136,Logistic,{'C': 0.01},0.665,0.6151,0.7107,0.2117,0.1645,0.2729,0.2066,0.1943,0.2181,0.33
2,2010-11,2010-12,9893,1222,136,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.6722,0.6243,0.714,0.1945,0.1562,0.2518,0.173,0.1634,0.1828,0.3444
2,2010-11,2010-12,9893,1222,136,RandomForest,{'min_samples_leaf': 50},0.6629,0.6162,0.7073,0.1904,0.1494,0.2436,0.1808,0.1751,0.1859,0.3259
3,2011-02,2011-03,13674,1369,184,Logistic,{'C': 0.01},0.6818,0.6421,0.7197,0.2208,0.1839,0.2689,0.2276,0.2157,0.2395,0.3636
3,2011-02,2011-03,13674,1369,184,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.673,0.6358,0.709,0.222,0.1864,0.277,0.2018,0.1929,0.2109,0.3459
3,2011-02,2011-03,13674,1369,184,RandomForest,{'min_samples_leaf': 50},0.6669,0.6344,0.7074,0.2093,0.1743,0.2596,0.1944,0.189,0.1995,0.3337
4,2011-05,2011-06,18165,1762,255,Logistic,{'C': 0.01},0.6578,0.6242,0.6928,0.2515,0.2115,0.3033,0.2287,0.2193,0.2381,0.3156
4,2011-05,2011-06,18165,1762,255,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.6838,0.6505,0.7196,0.2691,0.2249,0.3265,0.2028,0.195,0.2097,0.3676
4,2011-05,2011-06,18165,1762,255,RandomForest,{'min_samples_leaf': 50},0.6727,0.6386,0.7078,0.2265,0.1935,0.2722,0.1928,0.1877,0.1971,0.3454
5,2011-08,2011-09,23547,1979,286,Logistic,{'C': 0.01},0.7203,0.6897,0.7479,0.2883,0.2478,0.343,0.2122,0.2039,0.221,0.4407
5,2011-08,2011-09,23547,1979,286,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.7161,0.6845,0.7484,0.3012,0.2561,0.3624,0.199,0.1924,0.2056,0.4323
5,2011-08,2011-09,23547,1979,286,RandomForest,{'min_samples_leaf': 50},0.7015,0.6712,0.73,0.2878,0.2441,0.3415,0.1868,0.1823,0.1913,0.403
6,2011-11,2011-12,29671,2190,406,Logistic,{'C': 0.01},0.6735,0.6446,0.7015,0.3137,0.2732,0.3565,0.2524,0.2443,0.2613,0.347
6,2011-11,2011-12,29671,2190,406,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.6788,0.6485,0.7047,0.3216,0.2797,0.3667,0.2406,0.2345,0.2473,0.3575
6,2011-11,2011-12,29671,2190,406,RandomForest,{'min_samples_leaf': 50},0.6644,0.6369,0.6924,0.2913,0.257,0.3333,0.2144,0.2101,0.2182,0.3289
7,2012-02,2012-03,36786,2781,413,Logistic,{'C': 0.01},0.6972,0.6696,0.7255,0.2767,0.2434,0.3169,0.214,0.2071,0.2207,0.3945
7,2012-02,2012-03,36786,2781,413,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.6945,0.6666,0.7227,0.2882,0.2531,0.3353,0.208,0.2033,0.2128,0.389
7,2012-02,2012-03,36786,2781,413,RandomForest,{'min_samples_leaf': 50},0.6734,0.6441,0.7014,0.2715,0.2338,0.3167,0.1953,0.1918,0.1986,0.3468
8,2012-05,2012-06,45976,3713,681,Logistic,{'C': 0.01},0.6741,0.6496,0.6946,0.3123,0.2787,0.3428,0.2607,0.2542,0.2671,0.3482
8,2012-05,2012-06,45976,3713,681,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.6905,0.6661,0.7103,0.3353,0.3027,0.3706,0.2422,0.237,0.2472,0.381
8,2012-05,2012-06,45976,3713,681,RandomForest,{'min_samples_leaf': 50},0.6643,0.64,0.6852,0.2833,0.2573,0.3131,0.217,0.214,0.2206,0.3286
9,2012-08,2012-09,59483,5975,919,Logistic,{'C': 0.01},0.6888,0.6719,0.7081,0.2805,0.2571,0.3089,0.2344,0.2293,0.2388,0.3777
9,2012-08,2012-09,59483,5975,919,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.7088,0.6907,0.7267,0.299,0.2739,0.3283,0.2366,0.2325,0.2401,0.4177
9,2012-08,2012-09,59483,5975,919,RandomForest,{'min_samples_leaf': 50},0.6753,0.6568,0.6933,0.2529,0.2305,0.2784,0.2139,0.2112,0.2162,0.3506
10,2012-11,2012-12,77872,5970,893,Logistic,{'C': 0.01},0.6901,0.6705,0.7091,0.2869,0.2606,0.3151,0.2192,0.2144,0.2236,0.3801
10,2012-11,2012-12,77872,5970,893,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.6943,0.6761,0.7128,0.2952,0.2692,0.3245,0.2134,0.2094,0.217,0.3886
10,2012-11,2012-12,77872,5970,893,RandomForest,{'min_samples_leaf': 50},0.6868,0.6686,0.706,0.2769,0.2512,0.3059,0.2001,0.1976,0.2024,0.3736
11,2013-02,2013-03,98111,8184,1164,Logistic,{'C': 0.01},0.6929,0.6773,0.7073,0.2531,0.2337,0.2755,0.2281,0.2246,0.2317,0.3858
11,2013-02,2013-03,98111,8184,1164,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.6938,0.6785,0.7076,0.2634,0.2441,0.2882,0.2233,0.2204,0.2266,0.3876
11,2013-02,2013-03,98111,8184,1164,RandomForest,{'min_samples_leaf': 50},0.6831,0.6674,0.6976,0.2547,0.2344,0.2792,0.2036,0.2016,0.2058,0.3661
12,2013-05,2013-06,125865,10802,1739,Logistic,{'C': 1},0.7031,0.6906,0.7158,0.296,0.279,0.3162,0.2299,0.2266,0.2332,0.4061
12,2013-05,2013-06,125865,10802,1739,XGBoost,"{'max_depth': 3, 'learning_rate': 0.1}",0.705,0.6928,0.7165,0.298,0.2808,0.3173,0.2276,0.2246,0.2307,0.4099
12,2013-05,2013-06,125865,10802,1739,RandomForest,{'min_samples_leaf': 50},0.688,0.6752,0.7,0.2841,0.2661,0.3055,0.2129,0.2109,0.2151,0.376
13,2013-08,2013-09,161023,12846,2007,Logistic,{'C': 0.3},0.6931,0.6811,0.7045,0.2798,0.2632,0.2993,0.2322,0.2293,0.235,0.3863
