fold,Model,n_sub,n_val,val_AUC,C,max_depth,learning_rate,min_samples_leaf
1,Logistic,5355,1339,0.6898,0.01,,,
1,XGBoost,5355,1339,0.6881,,3.0,0.05,
1,RandomForest,5355,1339,0.7057,,,,50.0
2,Logistic,7914,1979,0.7193,0.01,,,
2,XGBoost,7914,1979,0.7066,,3.0,0.05,
2,RandomForest,7914,1979,0.7136,,,,50.0
3,Logistic,10939,2735,0.6882,0.01,,,
3,XGBoost,10939,2735,0.7001,,3.0,0.05,
3,RandomForest,10939,2735,0.7037,,,,10.0
4,Logistic,14532,3633,0.7066,1.0,,,
4,XGBoost,14532,3633,0.6995,,3.0,0.05,
4,RandomForest,14532,3633,0.6955,,,,50.0
5,Logistic,18837,4710,0.7092,0.01,,,
5,XGBoost,18837,4710,0.7024,,3.0,0.05,
5,RandomForest,18837,4710,0.6997,,,,50.0
6,Logistic,23736,5935,0.7125,0.01,,,
6,XGBoost,23736,5935,0.7116,,3.0,0.05,
6,RandomForest,23736,5935,0.7082,,,,50.0
7,Logistic,29428,7358,0.6846,0.01,,,
7,XGBoost,29428,7358,0.6816,,3.0,0.05,
7,RandomForest,29428,7358,0.6708,,,,50.0
8,Logistic,36780,9196,0.6955,0.03,,,
8,XGBoost,36780,9196,0.6925,,3.0,0.05,
8,RandomForest,36780,9196,0.6895,,,,50.0
9,Logistic,47586,11897,0.6958,0.3,,,
9,XGBoost,47586,11897,0.6921,,3.0,0.05,
9,RandomForest,47586,11897,0.6872,,,,20.0
10,Logistic,62297,15575,0.6819,0.1,,,
10,XGBoost,62297,15575,0.6864,,3.0,0.05,
10,RandomForest,62297,15575,0.6804,,,,10.0
11,Logistic,78488,19623,0.6816,0.3,,,
11,XGBoost,78488,19623,0.6886,,3.0,0.05,
11,RandomForest,78488,19623,0.6888,,,,50.0
12,Logistic,100692,25173,0.6996,0.1,,,
12,XGBoost,100692,25173,0.6999,,4.0,0.05,
12,RandomForest,100692,25173,0.6965,,,,20.0
13,Logistic,128818,32205,0.7014,1.0,,,
13,XGBoost,128818,32205,0.7035,,4.0,0.05,
13,RandomForest,128818,32205,0.6966,,,,20.0
14,Logistic,161953,40489,0.7003,0.01,,,
14,XGBoost,161953,40489,0.7027,,3.0,0.1,
14,RandomForest,161953,40489,0.696,,,,20.0
