fold,train_cutoff,test_end,n_train,n_test,n_defaults,Model,best_params,AUC,AUC_CI_lo,AUC_CI_hi,PR_AUC,PR_AUC_CI_lo,PR_AUC_CI_hi,Brier,Brier_CI_lo,Brier_CI_hi,GINI
1,2010-08,2010-09,6694,1042,157,Logistic,{'C': 0.01},0.6553,0.614,0.6988,0.2252,0.1824,0.2849,0.2428,0.2308,0.255,0.3106
1,2010-08,2010-09,6694,1042,157,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.6281,0.5841,0.6673,0.2031,0.1666,0.2515,0.2095,0.1993,0.2198,0.2562
1,2010-08,2010-09,6694,1042,157,RandomForest,{'min_samples_leaf': 50},0.6291,0.5899,0.671,0.2188,0.1762,0.2772,0.2056,0.1988,0.2119,0.2581
2,2010-11,2010-12,9893,1222,136,Logistic,{'C': 0.01},0.6762,0.6271,0.7218,0.21,0.1645,0.2749,0.2135,0.2026,0.2245,0.3524
2,2010-11,2010-12,9893,1222,136,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.6896,0.6432,0.7345,0.2165,0.1682,0.2803,0.1795,0.1699,0.1891,0.3792
2,2010-11,2010-12,9893,1222,136,RandomForest,{'min_samples_leaf': 50},0.6635,0.6165,0.7083,0.1897,0.1503,0.2402,0.1826,0.1753,0.1897,0.327
3,2011-02,2011-03,13674,1369,184,Logistic,{'C': 0.01},0.7023,0.6666,0.7381,0.2537,0.2108,0.3139,0.2289,0.2191,0.2393,0.4047
3,2011-02,2011-03,13674,1369,184,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.6841,0.6492,0.7196,0.2326,0.1919,0.2874,0.2108,0.2019,0.2204,0.3683
3,2011-02,2011-03,13674,1369,184,RandomForest,{'min_samples_leaf': 10},0.6925,0.6576,0.7336,0.233,0.1956,0.2892,0.1443,0.1366,0.1513,0.3851
4,2011-05,2011-06,18165,1762,255,Logistic,{'C': 1},0.7076,0.6741,0.7443,0.2913,0.2467,0.3504,0.2299,0.221,0.2382,0.4153
4,2011-05,2011-06,18165,1762,255,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.6933,0.6601,0.7278,0.2633,0.2202,0.3135,0.21,0.2021,0.2177,0.3866
4,2011-05,2011-06,18165,1762,255,RandomForest,{'min_samples_leaf': 50},0.6885,0.6536,0.7235,0.2439,0.208,0.2909,0.1947,0.1888,0.2002,0.3769
5,2011-08,2011-09,23547,1979,286,Logistic,{'C': 0.01},0.722,0.6925,0.7513,0.2972,0.2536,0.3547,0.2159,0.2085,0.2238,0.4439
5,2011-08,2011-09,23547,1979,286,XGBoost,"{'max_depth': 3, 'learning_rate': 0.05}",0.718,0.6865,0.7494,0.3075,0.2626,0.3653,0.2032,0.1962,0.2103,0.436
