fold,Model,Arm_A,Arm_B,AUC_A,AUC_B,Delta_AUC,Z_stat,p_value,CI_95_lo,CI_95_hi
1,Logistic,Structured,Structured+TFIDF_full,0.6595,0.6544,-0.0052,0.734,0.4628,-0.0086,0.0189
1,Logistic,Structured,Structured+TFIDF_chi2,0.6595,0.6553,-0.0042,0.993,0.3209,-0.0041,0.0125
1,Logistic,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6544,0.6553,0.001,-0.173,0.863,-0.0117,0.0098
1,XGBoost,Structured,Structured+TFIDF_full,0.6388,0.6438,0.005,-0.251,0.8019,-0.0441,0.0341
1,XGBoost,Structured,Structured+TFIDF_chi2,0.6388,0.6327,-0.006,0.386,0.6997,-0.0246,0.0367
1,XGBoost,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6438,0.6327,-0.011,0.816,0.4144,-0.0155,0.0376
1,RandomForest,Structured,Structured+TFIDF_full,0.6349,0.6277,-0.0072,0.562,0.5744,-0.018,0.0325
1,RandomForest,Structured,Structured+TFIDF_chi2,0.6349,0.6282,-0.0067,0.974,0.3301,-0.0067,0.0201
1,RandomForest,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6277,0.6282,0.0006,-0.064,0.9489,-0.0182,0.017
2,Logistic,Structured,Structured+TFIDF_full,0.6803,0.6931,0.0129,-2.596,0.0094,-0.0226,-0.0031
2,Logistic,Structured,Structured+TFIDF_chi2,0.6803,0.6853,0.005,-2.143,0.0321,-0.0095,-0.0004
2,Logistic,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6931,0.6853,-0.0079,1.896,0.058,-0.0003,0.0161
2,XGBoost,Structured,Structured+TFIDF_full,0.6762,0.6945,0.0184,-1.137,0.2557,-0.05,0.0133
2,XGBoost,Structured,Structured+TFIDF_chi2,0.6762,0.6851,0.0089,-0.704,0.4817,-0.0338,0.0159
2,XGBoost,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6945,0.6851,-0.0094,0.834,0.4045,-0.0127,0.0316
2,RandomForest,Structured,Structured+TFIDF_full,0.6652,0.6867,0.0215,-2.064,0.039,-0.0419,-0.0011
2,RandomForest,Structured,Structured+TFIDF_chi2,0.6652,0.6695,0.0042,-0.854,0.393,-0.0139,0.0055
2,RandomForest,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6867,0.6695,-0.0173,2.112,0.0347,0.0012,0.0333
3,Logistic,Structured,Structured+TFIDF_full,0.705,0.7054,0.0004,-0.088,0.9296,-0.0099,0.009
3,Logistic,Structured,Structured+TFIDF_chi2,0.705,0.7103,0.0053,-2.002,0.0453,-0.0105,-0.0001
3,Logistic,Structured+TFIDF_full,Structured+TFIDF_chi2,0.7054,0.7103,0.0049,-1.199,0.2304,-0.0129,0.0031
3,XGBoost,Structured,Structured+TFIDF_full,0.6867,0.6978,0.0111,-0.82,0.4124,-0.0375,0.0154
3,XGBoost,Structured,Structured+TFIDF_chi2,0.6867,0.7004,0.0136,-1.263,0.2066,-0.0348,0.0075
3,XGBoost,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6978,0.7004,0.0026,-0.278,0.7808,-0.0206,0.0155
3,RandomForest,Structured,Structured+TFIDF_full,0.7012,0.6918,-0.0094,0.844,0.3986,-0.0125,0.0314
3,RandomForest,Structured,Structured+TFIDF_chi2,0.7012,0.7047,0.0035,-0.703,0.4822,-0.0133,0.0063
3,RandomForest,Structured+TFIDF_full,Structured+TFIDF_chi2,0.6918,0.7047,0.0129,-1.458,0.1447,-0.0303,0.0045
4,Logistic,Structured,Structured+TFIDF_full,0.7001,0.7077,0.0076,-2.425,0.0153,-0.0138,-0.0015
4,Logistic,Structured,Structured+TFIDF_chi2,0.7001,0.702,0.0019,-0.984,0.325,-0.0058,0.0019
