Feature,n_folds_selected,mean_rank_when_selected,mean_importance_share,mean_chi2_score,Model,pct_folds_selected
txt:help,14,17.79,0.006,4.59,Logistic,100.0
txt:ring,14,18.21,0.0058,5.51,Logistic,100.0
txt:ups,14,20.79,0.0055,5.74,Logistic,100.0
txt:engagement,14,25.29,0.0052,6.45,Logistic,100.0
txt:engagement ring,14,42.93,0.0042,5.18,Logistic,100.0
txt:apr,13,9.54,0.0077,5.2,Logistic,92.9
txt:pool,13,25.62,0.0092,11.85,Logistic,92.9
txt:mta,13,65.38,0.004,10.44,Logistic,92.9
txt:motorcycle,13,108.62,0.0028,3.75,Logistic,92.9
txt:help foot,13,293.77,0.0013,4.41,Logistic,92.9
txt:trailer,12,53.92,0.0036,2.72,Logistic,85.7
txt:excellent credit,12,104.58,0.0026,3.43,Logistic,85.7
txt:pay problem,12,149.25,0.002,3.19,Logistic,85.7
txt:buster,12,160.75,0.002,3.53,Logistic,85.7
txt:payday,12,219.08,0.0018,3.31,Logistic,85.7
txt:college,11,2.45,0.0119,4.57,Logistic,78.6
txt:university,11,6.73,0.0105,6.33,Logistic,78.6
txt:walmart,11,45.09,0.0043,5.33,Logistic,78.6
txt:harbor,11,73.91,0.0031,4.01,Logistic,78.6
txt:good payer,11,127.82,0.0022,7.58,Logistic,78.6
txt:refinance,11,168.18,0.0024,5.39,Logistic,78.6
txt:rate,10,8.6,0.0095,9.73,Logistic,71.4
txt:steel,10,22.3,0.0051,4.08,Logistic,71.4
txt:salary,10,33.3,0.0047,3.0,Logistic,71.4
txt:consulting,10,37.4,0.0044,2.98,Logistic,71.4
txt:fresh,10,62.6,0.0035,5.5,Logistic,71.4
txt:refi,10,70.5,0.0034,3.65,Logistic,71.4
txt:state postal,10,89.1,0.0028,3.41,Logistic,71.4
txt:trustworthy,10,120.8,0.0024,2.18,Logistic,71.4
txt:casino,10,133.5,0.0026,3.03,Logistic,71.4
txt:payment debt,10,150.4,0.0021,3.22,Logistic,71.4
txt:verizon communication,10,222.2,0.0016,4.52,Logistic,71.4
txt:know happy,10,278.7,0.0015,3.56,Logistic,71.4
txt:financial debt,10,328.2,0.0012,4.0,Logistic,71.4
txt:state highway,10,334.6,0.0011,3.63,Logistic,71.4
txt:card consolidation,9,14.22,0.0076,6.42,Logistic,64.3
txt:credit,9,25.11,0.0082,2.88,Logistic,64.3
txt:debt consolidation,9,30.78,0.0069,12.79,Logistic,64.3
txt:lockheed,9,53.0,0.0037,3.42,Logistic,64.3
txt:wedding,9,53.33,0.004,3.75,Logistic,64.3
txt:united nation,9,54.11,0.0037,7.37,Logistic,64.3
txt:learning,9,61.11,0.0032,3.38,Logistic,64.3
txt:fresh start,9,69.56,0.0032,6.14,Logistic,64.3
txt:starbucks,9,71.11,0.0035,8.91,Logistic,64.3
txt:marriott,9,72.78,0.0031,3.16,Logistic,64.3
txt:home care,9,78.78,0.0029,4.21,Logistic,64.3
txt:peace,9,93.44,0.0027,3.24,Logistic,64.3
txt:wanna,9,107.11,0.0024,6.39,Logistic,64.3
txt:relief,9,114.89,0.0035,4.66,Logistic,64.3
txt:consilidate,9,121.0,0.0023,4.99,Logistic,64.3
txt:hyundai,9,122.89,0.0023,4.99,Logistic,64.3
txt:vacation vacation,9,126.89,0.0023,3.15,Logistic,64.3
txt:marriott international,9,127.22,0.0022,4.97,Logistic,64.3
txt:jeweler,9,131.0,0.0022,3.82,Logistic,64.3
txt:debt buster,9,179.11,0.0018,4.44,Logistic,64.3
txt:jcpenney,9,179.22,0.002,3.59,Logistic,64.3
txt:suitable,9,260.11,0.0015,4.09,Logistic,64.3
txt:month know,9,382.56,0.001,2.59,Logistic,64.3
txt:debt hospital,9,386.0,0.0009,5.68,Logistic,64.3
txt:engineering,8,18.88,0.0055,3.59,Logistic,57.1
txt:card,8,35.62,0.0065,3.75,Logistic,57.1
txt:debt,8,42.88,0.0049,8.25,Logistic,57.1
txt:credit card,8,43.25,0.0058,3.61,Logistic,57.1
txt:com,8,51.12,0.0036,3.32,Logistic,57.1
txt:high intrest,8,68.38,0.0032,3.18,Logistic,57.1
txt:mother,8,101.5,0.0025,3.59,Logistic,57.1
txt:debt relief,8,103.75,0.0028,2.78,Logistic,57.1
txt:sheetmetal,8,107.12,0.0024,9.22,Logistic,57.1
txt:mind,8,109.88,0.0026,2.92,Logistic,57.1
txt:senate,8,118.12,0.0023,8.23,Logistic,57.1
txt:lausd,8,139.0,0.0022,3.68,Logistic,57.1
txt:nordstrom,8,139.25,0.0023,2.79,Logistic,57.1
txt:inter,8,148.75,0.0019,5.88,Logistic,57.1
txt:consolidation,8,155.25,0.0028,6.71,Logistic,57.1
txt:secure solution,8,162.5,0.0018,5.04,Logistic,57.1
txt:personnel,8,177.12,0.0018,3.11,Logistic,57.1
txt:debt verizon,8,216.75,0.0018,4.96,Logistic,57.1
txt:learning center,8,220.0,0.0016,3.78,Logistic,57.1
txt:pioneer,8,229.0,0.0017,2.76,Logistic,57.1
txt:sarah,8,243.25,0.0015,6.46,Logistic,57.1
txt:enhance,8,249.38,0.0016,3.14,Logistic,57.1
txt:marketing group,8,267.0,0.0013,3.46,Logistic,57.1
txt:wet,8,269.75,0.0013,3.61,Logistic,57.1
txt:happy new,8,281.88,0.0014,3.5,Logistic,57.1
txt:used debt,8,308.88,0.0014,2.57,Logistic,57.1
txt:card refinance,8,309.0,0.0014,3.91,Logistic,57.1
txt:card major,8,345.62,0.0011,3.21,Logistic,57.1
txt:patrick,8,349.25,0.0012,3.62,Logistic,57.1
txt:husband pay,8,350.5,0.0012,2.55,Logistic,57.1
txt:help don,8,379.75,0.001,2.68,Logistic,57.1
txt:money asap,8,424.25,0.0009,3.4,Logistic,57.1
txt:build business,8,470.88,0.0007,4.51,Logistic,57.1
txt:null freedom,8,520.25,0.0006,3.65,Logistic,57.1
txt:card payoff,7,25.43,0.005,2.98,Logistic,50.0
txt:intrest,7,27.0,0.0046,3.14,Logistic,50.0
txt:baby,7,33.86,0.004,2.52,Logistic,50.0
txt:bike,7,41.29,0.004,2.14,Logistic,50.0
txt:metal,7,48.43,0.0038,4.07,Logistic,50.0
txt:lockheed martin,7,55.43,0.0036,3.9,Logistic,50.0
txt:resort,7,59.57,0.0034,4.3,Logistic,50.0
txt:pay pay,7,65.43,0.0035,3.32,Logistic,50.0
txt:trump,7,66.86,0.0031,10.17,Logistic,50.0
txt:verizon,7,67.86,0.0036,4.17,Logistic,50.0
txt:matter,7,71.29,0.003,2.35,Logistic,50.0
txt:personal,7,77.0,0.0038,4.31,Logistic,50.0
txt:card refi,7,82.14,0.0036,4.38,Logistic,50.0
txt:frank,7,86.57,0.0029,3.64,Logistic,50.0
txt:paid consolidation,7,92.14,0.0027,3.81,Logistic,50.0
txt:hair,7,97.43,0.0026,5.41,Logistic,50.0
txt:payment instead,7,107.43,0.0033,5.65,Logistic,50.0
txt:lower monthly,7,114.29,0.0025,2.79,Logistic,50.0
txt:consolidation pacific,7,116.29,0.0025,4.49,Logistic,50.0
txt:help money,7,122.71,0.0025,3.95,Logistic,50.0
txt:debt consolidated,7,153.43,0.0022,3.29,Logistic,50.0
txt:work school,7,160.29,0.0021,3.19,Logistic,50.0
txt:garden,7,162.71,0.0024,2.5,Logistic,50.0
