fold,Arm,Model,Feature,Kind,Importance_raw,Importance_share,Rank,Chi2_Score
1,Structured,Logistic,acc_now_delinq,structured,0.0,0.0,126,
1,Structured,Logistic,acc_open_past_24mths,structured,0.0,0.0,125,
1,Structured,Logistic,annual_inc,structured,0.310047,0.042695,5,
1,Structured,Logistic,avg_cur_bal,structured,0.0,0.0,124,
1,Structured,Logistic,bc_open_to_buy,structured,0.0,0.0,123,
1,Structured,Logistic,bc_util,structured,0.0,0.0,121,
1,Structured,Logistic,chargeoff_within_12_mths,structured,0.0,0.0,122,
1,Structured,Logistic,collections_12_mths_ex_med,structured,0.0,0.0,120,
1,Structured,Logistic,delinq_2yrs,structured,0.027344,0.003765,58,
1,Structured,Logistic,delinq_amnt,structured,0.0,0.0,119,
1,Structured,Logistic,dti,structured,0.017169,0.002364,68,
1,Structured,Logistic,emp_length,structured,0.015803,0.002176,69,
1,Structured,Logistic,inq_last_6mths,structured,0.214241,0.029502,10,
1,Structured,Logistic,int_rate,structured,0.534751,0.073638,1,
1,Structured,Logistic,loan_amnt,structured,0.070067,0.009649,38,
1,Structured,Logistic,mo_sin_old_il_acct,structured,0.0,0.0,118,
1,Structured,Logistic,mo_sin_old_rev_tl_op,structured,0.0,0.0,111,
1,Structured,Logistic,mo_sin_rcnt_rev_tl_op,structured,0.0,0.0,112,
1,Structured,Logistic,mo_sin_rcnt_tl,structured,0.0,0.0,113,
1,Structured,Logistic,mort_acc,structured,0.0,0.0,114,
1,Structured,Logistic,mths_since_last_delinq,structured,0.072825,0.010028,36,
1,Structured,Logistic,mths_since_last_major_derog,structured,0.0,0.0,115,
1,Structured,Logistic,mths_since_last_record,structured,0.388297,0.053471,3,
1,Structured,Logistic,mths_since_recent_bc,structured,0.0,0.0,116,
1,Structured,Logistic,mths_since_recent_bc_dlq,structured,0.0,0.0,104,
1,Structured,Logistic,mths_since_recent_inq,structured,0.0,0.0,117,
1,Structured,Logistic,mths_since_recent_revol_delinq,structured,0.0,0.0,108,
1,Structured,Logistic,num_accts_ever_120_pd,structured,0.0,0.0,107,
1,Structured,Logistic,num_actv_bc_tl,structured,0.0,0.0,110,
1,Structured,Logistic,num_actv_rev_tl,structured,0.0,0.0,109,
1,Structured,Logistic,num_bc_sats,structured,0.0,0.0,106,
1,Structured,Logistic,num_bc_tl,structured,0.0,0.0,105,
1,Structured,Logistic,num_il_tl,structured,0.0,0.0,95,
1,Structured,Logistic,num_op_rev_tl,structured,0.0,0.0,96,
1,Structured,Logistic,num_rev_accts,structured,0.0,0.0,97,
1,Structured,Logistic,num_tl_120dpd_2m,structured,0.0,0.0,98,
1,Structured,Logistic,num_tl_30dpd,structured,0.0,0.0,99,
1,Structured,Logistic,num_tl_90g_dpd_24m,structured,0.0,0.0,100,
1,Structured,Logistic,num_tl_op_past_12m,structured,0.0,0.0,101,
1,Structured,Logistic,open_acc,structured,0.006809,0.000938,76,
1,Structured,Logistic,pct_tl_nvr_dlq,structured,0.0,0.0,102,
1,Structured,Logistic,percent_bc_gt_75,structured,0.0,0.0,93,
1,Structured,Logistic,pub_rec,structured,0.257198,0.035418,6,
1,Structured,Logistic,pub_rec_bankruptcies,structured,0.010699,0.001473,74,
1,Structured,Logistic,revol_bal,structured,0.121172,0.016686,18,
1,Structured,Logistic,revol_util,structured,0.125259,0.017249,16,
1,Structured,Logistic,tax_liens,structured,0.0,0.0,103,
1,Structured,Logistic,term,structured,0.254223,0.035008,7,
1,Structured,Logistic,tot_coll_amt,structured,0.0,0.0,87,
1,Structured,Logistic,tot_cur_bal,structured,0.0,0.0,88,
1,Structured,Logistic,total_acc,structured,0.018393,0.002533,66,
1,Structured,Logistic,total_bal_ex_mort,structured,0.0,0.0,89,
1,Structured,Logistic,total_bc_limit,structured,0.0,0.0,90,
1,Structured,Logistic,total_il_high_credit_limit,structured,0.0,0.0,92,
1,Structured,Logistic,total_rev_hi_lim,structured,0.0,0.0,91,
1,Structured,Logistic,fico_midpoint,structured,0.149613,0.020603,11,
1,Structured,Logistic,credit_history_months,structured,0.142692,0.01965,12,
1,Structured,Logistic,initial_list_status_w,structured,0.0,0.0,94,
1,Structured,Logistic,addr_state_AL,structured,0.088322,0.012162,27,
1,Structured,Logistic,addr_state_AR,structured,0.090213,0.012423,26,
1,Structured,Logistic,addr_state_AZ,structured,0.076137,0.010485,31,
1,Structured,Logistic,addr_state_CA,structured,0.031291,0.004309,56,
1,Structured,Logistic,addr_state_CO,structured,0.018017,0.002481,67,
1,Structured,Logistic,addr_state_CT,structured,0.079941,0.011008,30,
1,Structured,Logistic,addr_state_DC,structured,0.436078,0.060051,2,
1,Structured,Logistic,addr_state_DE,structured,0.013955,0.001922,70,
1,Structured,Logistic,addr_state_FL,structured,0.039652,0.00546,52,
1,Structured,Logistic,addr_state_GA,structured,0.007823,0.001077,75,
1,Structured,Logistic,addr_state_HI,structured,0.029877,0.004114,57,
1,Structured,Logistic,addr_state_IA,structured,0.055237,0.007606,47,
1,Structured,Logistic,addr_state_ID,structured,0.0,0.0,79,
1,Structured,Logistic,addr_state_IL,structured,0.091296,0.012572,25,
1,Structured,Logistic,addr_state_IN,structured,0.0,0.0,80,
1,Structured,Logistic,addr_state_KS,structured,0.0,0.0,81,
1,Structured,Logistic,addr_state_KY,structured,0.075348,0.010376,32,
1,Structured,Logistic,addr_state_LA,structured,0.043895,0.006045,50,
1,Structured,Logistic,addr_state_MA,structured,0.116933,0.016102,20,
1,Structured,Logistic,addr_state_MD,structured,0.072995,0.010052,35,
1,Structured,Logistic,addr_state_MI,structured,0.087085,0.011992,28,
1,Structured,Logistic,addr_state_MN,structured,0.024578,0.003385,60,
1,Structured,Logistic,addr_state_MO,structured,0.02439,0.003359,61,
1,Structured,Logistic,addr_state_MS,structured,0.0,0.0,82,
1,Structured,Logistic,addr_state_MT,structured,0.225732,0.031085,8,
1,Structured,Logistic,addr_state_NC,structured,0.0,0.0,83,
1,Structured,Logistic,addr_state_NE,structured,0.0,0.0,84,
1,Structured,Logistic,addr_state_NH,structured,0.055966,0.007707,46,
1,Structured,Logistic,addr_state_NJ,structured,0.000342,4.7e-05,78,
1,Structured,Logistic,addr_state_NM,structured,0.035799,0.00493,53,
1,Structured,Logistic,addr_state_NV,structured,0.032659,0.004497,55,
1,Structured,Logistic,addr_state_NY,structured,0.059767,0.00823,43,
1,Structured,Logistic,addr_state_OH,structured,0.056139,0.007731,45,
1,Structured,Logistic,addr_state_OK,structured,0.10124,0.013941,22,
1,Structured,Logistic,addr_state_OR,structured,0.012903,0.001777,71,
1,Structured,Logistic,addr_state_PA,structured,0.120525,0.016597,19,
1,Structured,Logistic,addr_state_RI,structured,0.085777,0.011812,29,
1,Structured,Logistic,addr_state_SC,structured,0.003617,0.000498,77,
1,Structured,Logistic,addr_state_SD,structured,0.010875,0.001498,72,
1,Structured,Logistic,addr_state_TN,structured,0.0,0.0,86,
1,Structured,Logistic,addr_state_TX,structured,0.12835,0.017675,15,
1,Structured,Logistic,addr_state_UT,structured,0.098331,0.013541,24,
1,Structured,Logistic,addr_state_VA,structured,0.066741,0.009191,39,
1,Structured,Logistic,addr_state_VT,structured,0.010794,0.001486,73,
1,Structured,Logistic,addr_state_WA,structured,0.0237,0.003264,62,
1,Structured,Logistic,addr_state_WI,structured,0.059558,0.008201,44,
1,Structured,Logistic,addr_state_WV,structured,0.07468,0.010284,33,
1,Structured,Logistic,addr_state_WY,structured,0.329462,0.045369,4,
1,Structured,Logistic,purpose_credit_card,structured,0.034136,0.004701,54,
1,Structured,Logistic,purpose_debt_consolidation,structured,0.101132,0.013927,23,
1,Structured,Logistic,purpose_educational,structured,0.072013,0.009917,37,
1,Structured,Logistic,purpose_home_improvement,structured,0.06365,0.008765,41,
1,Structured,Logistic,purpose_house,structured,0.046078,0.006345,48,
1,Structured,Logistic,purpose_major_purchase,structured,0.136433,0.018788,14,
1,Structured,Logistic,purpose_medical,structured,0.064696,0.008909,40,
1,Structured,Logistic,purpose_moving,structured,0.06294,0.008667,42,
1,Structured,Logistic,purpose_other,structured,0.215987,0.029743,9,
1,Structured,Logistic,purpose_renewable_energy,structured,0.074484,0.010257,34,
1,Structured,Logistic,purpose_vacation,structured,0.116139,0.015993,21,
1,Structured,Logistic,purpose_wedding,structured,0.044545,0.006134,49,
1,Structured,Logistic,home_ownership_NONE,structured,0.0,0.0,85,
1,Structured,Logistic,home_ownership_OTHER,structured,0.124981,0.017211,17,
1,Structured,Logistic,home_ownership_OWN,structured,0.023523,0.003239,63,
1,Structured,Logistic,home_ownership_RENT,structured,0.020163,0.002777,64,
1,Structured,Logistic,verification_status_Source Verified,structured,0.026764,0.003686,59,
1,Structured,Logistic,verification_status_Verified,structured,0.018607,0.002562,65,
1,Structured,Logistic,grade_ord,structured,0.041633,0.005733,51,
1,Structured,Logistic,sub_grade_ord,structured,0.141315,0.01946,13,
1,Structured,XGBoost,acc_now_delinq,structured,0.0,0.0,126,
1,Structured,XGBoost,acc_open_past_24mths,structured,0.0,0.0,125,
1,Structured,XGBoost,annual_inc,structured,21.264263,0.018107,5,
1,Structured,XGBoost,avg_cur_bal,structured,0.0,0.0,124,
1,Structured,XGBoost,bc_open_to_buy,structured,0.0,0.0,123,
1,Structured,XGBoost,bc_util,structured,0.0,0.0,121,
1,Structured,XGBoost,chargeoff_within_12_mths,structured,0.0,0.0,122,
1,Structured,XGBoost,collections_12_mths_ex_med,structured,0.0,0.0,120,
1,Structured,XGBoost,delinq_2yrs,structured,12.077965,0.010285,57,
1,Structured,XGBoost,delinq_amnt,structured,0.0,0.0,119,
1,Structured,XGBoost,dti,structured,16.71139,0.01423,26,
1,Structured,XGBoost,emp_length,structured,16.791918,0.014299,24,
1,Structured,XGBoost,inq_last_6mths,structured,20.356747,0.017335,8,
1,Structured,XGBoost,int_rate,structured,43.441212,0.036992,2,
1,Structured,XGBoost,loan_amnt,structured,16.095781,0.013706,30,
1,Structured,XGBoost,mo_sin_old_il_acct,structured,0.0,0.0,118,
1,Structured,XGBoost,mo_sin_old_rev_tl_op,structured,0.0,0.0,111,
1,Structured,XGBoost,mo_sin_rcnt_rev_tl_op,structured,0.0,0.0,112,
1,Structured,XGBoost,mo_sin_rcnt_tl,structured,0.0,0.0,113,
1,Structured,XGBoost,mort_acc,structured,0.0,0.0,114,
1,Structured,XGBoost,mths_since_last_delinq,structured,16.327274,0.013903,28,
1,Structured,XGBoost,mths_since_last_major_derog,structured,0.0,0.0,115,
1,Structured,XGBoost,mths_since_last_record,structured,18.52239,0.015773,13,
1,Structured,XGBoost,mths_since_recent_bc,structured,0.0,0.0,116,
1,Structured,XGBoost,mths_since_recent_bc_dlq,structured,0.0,0.0,104,
1,Structured,XGBoost,mths_since_recent_inq,structured,0.0,0.0,117,
1,Structured,XGBoost,mths_since_recent_revol_delinq,structured,0.0,0.0,108,
1,Structured,XGBoost,num_accts_ever_120_pd,structured,0.0,0.0,107,
1,Structured,XGBoost,num_actv_bc_tl,structured,0.0,0.0,110,
1,Structured,XGBoost,num_actv_rev_tl,structured,0.0,0.0,109,
1,Structured,XGBoost,num_bc_sats,structured,0.0,0.0,106,
1,Structured,XGBoost,num_bc_tl,structured,0.0,0.0,105,
1,Structured,XGBoost,num_il_tl,structured,0.0,0.0,95,
1,Structured,XGBoost,num_op_rev_tl,structured,0.0,0.0,96,
1,Structured,XGBoost,num_rev_accts,structured,0.0,0.0,97,
1,Structured,XGBoost,num_tl_120dpd_2m,structured,0.0,0.0,98,
1,Structured,XGBoost,num_tl_30dpd,structured,0.0,0.0,99,
1,Structured,XGBoost,num_tl_90g_dpd_24m,structured,0.0,0.0,100,
1,Structured,XGBoost,num_tl_op_past_12m,structured,0.0,0.0,101,
1,Structured,XGBoost,open_acc,structured,14.706867,0.012524,41,
1,Structured,XGBoost,pct_tl_nvr_dlq,structured,0.0,0.0,102,
1,Structured,XGBoost,percent_bc_gt_75,structured,0.0,0.0,93,
1,Structured,XGBoost,pub_rec,structured,11.632114,0.009905,59,
1,Structured,XGBoost,pub_rec_bankruptcies,structured,18.757509,0.015973,10,
1,Structured,XGBoost,revol_bal,structured,17.602354,0.014989,19,
1,Structured,XGBoost,revol_util,structured,17.133781,0.01459,22,
1,Structured,XGBoost,tax_liens,structured,0.0,0.0,103,
1,Structured,XGBoost,term,structured,31.105848,0.026488,3,
1,Structured,XGBoost,tot_coll_amt,structured,0.0,0.0,87,
1,Structured,XGBoost,tot_cur_bal,structured,0.0,0.0,88,
1,Structured,XGBoost,total_acc,structured,17.987513,0.015317,16,
1,Structured,XGBoost,total_bal_ex_mort,structured,0.0,0.0,89,
1,Structured,XGBoost,total_bc_limit,structured,0.0,0.0,90,
1,Structured,XGBoost,total_il_high_credit_limit,structured,0.0,0.0,92,
1,Structured,XGBoost,total_rev_hi_lim,structured,0.0,0.0,91,
1,Structured,XGBoost,fico_midpoint,structured,17.128805,0.014586,23,
1,Structured,XGBoost,credit_history_months,structured,17.775391,0.015137,18,
1,Structured,XGBoost,initial_list_status_w,structured,0.0,0.0,94,
1,Structured,XGBoost,addr_state_AL,structured,12.576035,0.010709,54,
1,Structured,XGBoost,addr_state_AR,structured,12.479083,0.010626,55,
1,Structured,XGBoost,addr_state_AZ,structured,17.482262,0.014887,21,
1,Structured,XGBoost,addr_state_CA,structured,15.461758,0.013166,35,
1,Structured,XGBoost,addr_state_CO,structured,15.203708,0.012947,39,
1,Structured,XGBoost,addr_state_CT,structured,11.047049,0.009407,62,
1,Structured,XGBoost,addr_state_DC,structured,13.39854,0.011409,49,
1,Structured,XGBoost,addr_state_DE,structured,24.773575,0.021096,4,
1,Structured,XGBoost,addr_state_FL,structured,16.767189,0.014278,25,
1,Structured,XGBoost,addr_state_GA,structured,16.597969,0.014134,27,
1,Structured,XGBoost,addr_state_HI,structured,10.137447,0.008632,65,
1,Structured,XGBoost,addr_state_IA,structured,0.0,0.0,80,
1,Structured,XGBoost,addr_state_ID,structured,0.0,0.0,79,
1,Structured,XGBoost,addr_state_IL,structured,21.066919,0.017939,7,
1,Structured,XGBoost,addr_state_IN,structured,0.0,0.0,82,
1,Structured,XGBoost,addr_state_KS,structured,0.0,0.0,81,
1,Structured,XGBoost,addr_state_KY,structured,9.056768,0.007712,71,
1,Structured,XGBoost,addr_state_LA,structured,10.128102,0.008625,66,
1,Structured,XGBoost,addr_state_MA,structured,14.605176,0.012437,42,
1,Structured,XGBoost,addr_state_MD,structured,14.810487,0.012612,40,
1,Structured,XGBoost,addr_state_MI,structured,13.851806,0.011795,48,
1,Structured,XGBoost,addr_state_MN,structured,12.747581,0.010855,51,
1,Structured,XGBoost,addr_state_MO,structured,15.282899,0.013014,37,
1,Structured,XGBoost,addr_state_MS,structured,0.0,0.0,86,
1,Structured,XGBoost,addr_state_MT,structured,0.0,0.0,85,
1,Structured,XGBoost,addr_state_NC,structured,0.0,0.0,84,
1,Structured,XGBoost,addr_state_NE,structured,0.0,0.0,83,
1,Structured,XGBoost,addr_state_NH,structured,9.893695,0.008425,67,
1,Structured,XGBoost,addr_state_NJ,structured,15.763327,0.013423,32,
1,Structured,XGBoost,addr_state_NM,structured,16.008928,0.013632,31,
1,Structured,XGBoost,addr_state_NV,structured,11.044851,0.009405,63,
1,Structured,XGBoost,addr_state_NY,structured,12.647573,0.01077,53,
1,Structured,XGBoost,addr_state_OH,structured,16.307281,0.013886,29,
1,Structured,XGBoost,addr_state_OK,structured,11.582428,0.009863,60,
1,Structured,XGBoost,addr_state_OR,structured,18.11908,0.015429,14,
1,Structured,XGBoost,addr_state_PA,structured,21.221693,0.018071,6,
1,Structured,XGBoost,addr_state_RI,structured,14.036301,0.011953,46,
1,Structured,XGBoost,addr_state_SC,structured,11.670096,0.009938,58,
1,Structured,XGBoost,addr_state_SD,structured,0.0,0.0,78,
1,Structured,XGBoost,addr_state_TN,structured,0.0,0.0,77,
1,Structured,XGBoost,addr_state_TX,structured,18.012558,0.015338,15,
1,Structured,XGBoost,addr_state_UT,structured,14.276389,0.012157,44,
1,Structured,XGBoost,addr_state_VA,structured,15.326334,0.013051,36,
1,Structured,XGBoost,addr_state_VT,structured,0.0,0.0,76,
1,Structured,XGBoost,addr_state_WA,structured,17.569839,0.014961,20,
1,Structured,XGBoost,addr_state_WI,structured,17.816746,0.015172,17,
1,Structured,XGBoost,addr_state_WV,structured,10.960464,0.009333,64,
1,Structured,XGBoost,addr_state_WY,structured,9.273134,0.007896,70,
1,Structured,XGBoost,purpose_credit_card,structured,19.344463,0.016473,9,
1,Structured,XGBoost,purpose_debt_consolidation,structured,15.655731,0.013332,34,
1,Structured,XGBoost,purpose_educational,structured,9.713064,0.008271,68,
1,Structured,XGBoost,purpose_home_improvement,structured,9.034737,0.007693,72,
1,Structured,XGBoost,purpose_house,structured,14.193138,0.012086,45,
1,Structured,XGBoost,purpose_major_purchase,structured,12.233881,0.010418,56,
1,Structured,XGBoost,purpose_medical,structured,11.304708,0.009626,61,
1,Structured,XGBoost,purpose_moving,structured,13.86127,0.011803,47,
1,Structured,XGBoost,purpose_other,structured,18.687691,0.015913,11,
1,Structured,XGBoost,purpose_renewable_energy,structured,9.695354,0.008256,69,
1,Structured,XGBoost,purpose_vacation,structured,18.590734,0.015831,12,
1,Structured,XGBoost,purpose_wedding,structured,15.66527,0.01334,33,
1,Structured,XGBoost,home_ownership_NONE,structured,0.0,0.0,75,
1,Structured,XGBoost,home_ownership_OTHER,structured,7.904352,0.006731,74,
