fold,train_cutoff,test_end,n_train,n_test,n_defaults,Model,Arm,n_features,AUC,AUC_CI_lo,AUC_CI_hi,PR_AUC,PR_AUC_CI_lo,PR_AUC_CI_hi,Brier,Brier_CI_lo,Brier_CI_hi,GINI
1,2010-08,2010-09,6694,1042,157,Logistic,Structured,126,0.6595,0.6185,0.7003,0.2278,0.185,0.2889,0.2448,0.2334,0.2556,0.319
1,2010-08,2010-09,6694,1042,157,XGBoost,Structured,126,0.6388,0.5936,0.6827,0.2169,0.1751,0.2726,0.1998,0.1885,0.2097,0.2776
1,2010-08,2010-09,6694,1042,157,RandomForest,Structured,126,0.6349,0.5957,0.6765,0.2135,0.1717,0.2668,0.2065,0.1988,0.2138,0.2698
1,2010-08,2010-09,6694,1042,157,Logistic,Structured+TFIDF_full,6353,0.6544,0.6106,0.6987,0.2257,0.1825,0.2886,0.2317,0.2206,0.2431,0.3087
1,2010-08,2010-09,6694,1042,157,XGBoost,Structured+TFIDF_full,6353,0.6438,0.597,0.6883,0.2437,0.1934,0.3108,0.2037,0.193,0.2136,0.2876
1,2010-08,2010-09,6694,1042,157,RandomForest,Structured+TFIDF_full,6353,0.6277,0.5867,0.669,0.2232,0.1784,0.2863,0.2196,0.2147,0.2241,0.2553
1,2010-08,2010-09,6694,1042,157,Logistic,Structured+TFIDF_chi2,626,0.6553,0.6156,0.6972,0.2298,0.1845,0.2956,0.2417,0.2306,0.2529,0.3106
1,2010-08,2010-09,6694,1042,157,XGBoost,Structured+TFIDF_chi2,626,0.6327,0.5889,0.6738,0.2135,0.1744,0.2637,0.2124,0.2021,0.2217,0.2655
1,2010-08,2010-09,6694,1042,157,RandomForest,Structured+TFIDF_chi2,626,0.6282,0.5876,0.669,0.2139,0.1705,0.2743,0.2217,0.215,0.2279,0.2565
2,2010-11,2010-12,9893,1222,136,Logistic,Structured,126,0.6803,0.6334,0.725,0.2075,0.1632,0.2692,0.2092,0.199,0.2202,0.3606
2,2010-11,2010-12,9893,1222,136,XGBoost,Structured,126,0.6762,0.6266,0.7229,0.2292,0.1772,0.2998,0.1755,0.1643,0.1869,0.3523
2,2010-11,2010-12,9893,1222,136,RandomForest,Structured,126,0.6652,0.6186,0.7123,0.2109,0.161,0.2736,0.1798,0.1717,0.1871,0.3305
