,,AUC,AUC,PR_AUC,PR_AUC,Brier,Brier,GINI,GINI
,,mean,std,mean,std,mean,std,mean,std
Arm,Model,,,,,,,,
Structured,Logistic,0.693,0.0152,0.2766,0.0322,0.2313,0.0151,0.386,0.0304
Structured,RandomForest,0.6882,0.0199,0.274,0.0354,0.1891,0.0142,0.3764,0.0398
Structured,XGBoost,0.6904,0.0191,0.2794,0.0354,0.2114,0.0171,0.3808,0.0383
Structured+TFIDF_chi2,Logistic,0.6942,0.0164,0.2791,0.0307,0.2308,0.0151,0.3884,0.0328
Structured+TFIDF_chi2,RandomForest,0.687,0.021,0.2753,0.0329,0.2069,0.0137,0.374,0.042
Structured+TFIDF_chi2,XGBoost,0.6936,0.0204,0.2799,0.0298,0.2166,0.0173,0.3872,0.0408
Structured+TFIDF_full,Logistic,0.6965,0.0159,0.2818,0.0318,0.2268,0.0154,0.393,0.0318
Structured+TFIDF_full,RandomForest,0.6824,0.0183,0.27,0.0289,0.2268,0.0127,0.3647,0.0366
Structured+TFIDF_full,XGBoost,0.6936,0.0186,0.2827,0.0273,0.2167,0.0193,0.3872,0.0373
