zip3,share_white,share_black,share_asian,share_white_nh,share_black_nh,share_asian_nh,share_hispanic,share_foreign_born,share_non_english_hh,share_ltd_english_hh,poverty_rate,unemployment_rate,share_bachelor_plus,homeownership_rate,uninsured_rate,median_income_approx,median_home_value_approx,total_pop,total_households
007,0.6433,0.0727,0.002,0.0043,0.0007,0.0003,0.9942,0.0101,0.9681,0.738,0.4689,0.1801,0.2009,0.7364,0.0707,19140,112653,1366061,433989
010,0.906,0.0242,0.0265,0.8427,0.0215,0.0264,0.0928,0.0791,0.1753,0.0384,0.1176,0.0851,0.3119,0.6762,0.0339,59144,238859,470242,181622
011,0.5524,0.1966,0.0271,0.4123,0.1765,0.0271,0.3616,0.1026,0.392,0.1129,0.2641,0.1376,0.214,0.5355,0.057,43040,182770,169081,61398
012,0.9276,0.0267,0.0125,0.9046,0.0264,0.0125,0.0347,0.0483,0.0932,0.0108,0.1237,0.0914,0.2983,0.6848,0.0366,48876,226368,130447,55430
013,0.9457,0.0072,0.0133,0.9223,0.0059,0.0133,0.0361,0.0384,0.0785,0.0089,0.1204,0.0877,0.2867,0.6991,0.0445,53328,214037,83344,34874
014,0.8813,0.0287,0.0233,0.8437,0.0273,0.023,0.0864,0.0849,0.1669,0.0346,0.1013,0.089,0.3005,0.7012,0.0369,69033,274703,212623,79325
015,0.9078,0.0158,0.0426,0.8785,0.0142,0.0425,0.0472,0.0761,0.145,0.022,0.0592,0.0745,0.3803,0.7453,0.0263,80127,301219,373327,138052
016,0.764,0.1101,0.054,0.6259,0.1,0.0538,0.1954,0.2014,0.353,0.1349,0.195,0.1059,0.3017,0.4665,0.0484,48253,231329,189019,72499
017,0.8537,0.0287,0.0646,0.8203,0.0253,0.0642,0.0592,0.1565,0.2317,0.0481,0.0553,0.061,0.5536,0.7269,0.035,96401,442079,380720,144133
018,0.7831,0.0291,0.073,0.7406,0.0234,0.0725,0.145,0.1527,0.2737,0.0688,0.0969,0.0803,0.3598,0.6854,0.0395,77538,358728,714744,262552
019,0.8695,0.0384,0.0296,0.8242,0.033,0.0292,0.0976,0.1292,0.1962,0.0439,0.0937,0.0821,0.3833,0.6562,0.0379,72549,390606,478051,187135
020,0.9159,0.027,0.0329,0.9011,0.0259,0.0329,0.0239,0.0871,0.1396,0.018,0.043,0.0661,0.4932,0.7876,0.0237,96179,436982,401255,148401
021,0.6425,0.1621,0.0989,0.5804,0.1486,0.0985,0.1406,0.2616,0.3388,0.1023,0.1597,0.092,0.4181,0.4276,0.0526,61655,396632,1290378,519618
022,0.763,0.0362,0.1591,0.7176,0.0336,0.1571,0.0674,0.2104,0.3407,0.0984,0.341,0.0779,0.7947,0.1366,0.0338,40434,412371,25624,9083
023,0.8047,0.1293,0.0209,0.7839,0.1239,0.0206,0.0413,0.1068,0.1699,0.032,0.0814,0.0977,0.2929,0.7576,0.0404,73839,324605,441700,157222
024,0.8121,0.0287,0.1197,0.773,0.0269,0.1189,0.0575,0.2122,0.2844,0.0486,0.0695,0.054,0.6864,0.6312,0.0222,104735,632244,408494,157003
025,0.9185,0.0235,0.0139,0.9001,0.0233,0.0139,0.0227,0.0578,0.0915,0.0103,0.0894,0.0761,0.3758,0.7949,0.0456,65482,436801,116149,47206
026,0.936,0.0231,0.0089,0.9196,0.0224,0.0089,0.0234,0.0727,0.1016,0.0161,0.0965,0.0753,0.3915,0.7947,0.0604,58973,397728,148466,67003
027,0.8953,0.0356,0.0184,0.8584,0.0313,0.0183,0.0604,0.1198,0.2564,0.0567,0.1233,0.1047,0.242,0.6338,0.0437,57877,294551,526927,203138
028,0.8926,0.0399,0.0196,0.8529,0.0334,0.0194,0.0684,0.0893,0.1686,0.0348,0.1055,0.0826,0.3248,0.6617,0.0905,63600,290332,672137,268556
029,0.6829,0.0995,0.0491,0.6061,0.0845,0.0484,0.2244,0.2007,0.3214,0.0955,0.1807,0.1189,0.275,0.5175,0.1481,48463,240180,380334,142083
030,0.9331,0.0102,0.0291,0.9013,0.0088,0.029,0.0439,0.0652,0.1383,0.0193,0.0529,0.0687,0.3597,0.7648,0.0883,80695,274824,378295,142438
031,0.8907,0.0381,0.0346,0.8496,0.0369,0.0344,0.0603,0.1028,0.2006,0.0392,0.1141,0.0714,0.319,0.5795,0.1134,66007,257725,148489,57540
032,0.9654,0.0048,0.0098,0.9552,0.0043,0.0098,0.0131,0.0275,0.0604,0.0058,0.0946,0.062,0.3073,0.783,0.1153,60252,233540,187419,74244
033,0.9441,0.0182,0.018,0.9315,0.0177,0.018,0.0171,0.0446,0.0888,0.0158,0.0935,0.0645,0.3465,0.6239,0.0887,61095,237224,61363,24644
034,0.9639,0.006,0.0127,0.9559,0.0057,0.0127,0.0121,0.0287,0.0493,0.0028,0.0988,0.0838,0.325,0.7152,0.1067,58357,210661,83862,33189
035,0.9664,0.0051,0.0045,0.957,0.0042,0.0045,0.0139,0.0331,0.1543,0.0143,0.1257,0.0737,0.1987,0.7073,0.144,43604,148915,46174,20457
036,0.9573,0.0064,0.0074,0.9479,0.0064,0.0072,0.0181,0.0314,0.0342,0.0041,0.0839,0.0477,0.2174,0.7809,0.1312,53105,173322,13658,5677
037,0.9385,0.01,0.0301,0.9246,0.0096,0.0301,0.0183,0.0568,0.0837,0.0079,0.1,0.0531,0.364,0.6849,0.1139,62186,236122,77741,30549
038,0.9543,0.0069,0.0184,0.9436,0.0065,0.0182,0.0154,0.0406,0.0826,0.0082,0.0877,0.0599,0.3466,0.7234,0.1067,65993,276597,320541,128143
044,0.9562,0.0067,0.0084,0.9495,0.0065,0.0084,0.0108,0.025,0.0696,0.0047,0.1674,0.0736,0.237,0.6963,0.1084,44128,136456,176794,72178
049,0.967,0.0058,0.0062,0.9602,0.0057,0.0062,0.0099,0.0197,0.064,0.006,0.1675,0.0935,0.2028,0.7458,0.1096,40753,129424,159717,66447
050,0.9666,0.004,0.0095,0.9601,0.004,0.0095,0.0091,0.0289,0.0538,0.0054,0.1076,0.0598,0.3576,0.7485,0.0834,56020,230047,61467,26390
051,0.9613,0.004,0.0054,0.9461,0.004,0.0033,0.0223,0.028,0.0456,0.0022,0.1182,0.0682,0.2533,0.7146,0.0775,47958,189603,29607,12794
052,0.9631,0.0051,0.0067,0.9527,0.0049,0.0067,0.0153,0.0284,0.0686,0.0045,0.1372,0.0712,0.3219,0.7051,0.0708,49785,228872,33317,13975
053,0.9552,0.0103,0.0102,0.9461,0.0099,0.0102,0.0154,0.0384,0.0796,0.0027,0.1002,0.0644,0.364,0.7043,0.0829,52648,220346,37122,16115
054,0.9351,0.0138,0.0207,0.9225,0.0135,0.0205,0.0169,0.0569,0.097,0.0147,0.1081,0.0601,0.393,0.6914,0.0634,62658,254495,234401,93043
056,0.9643,0.0082,0.0077,0.9505,0.008,0.0077,0.0165,0.0323,0.0624,0.0036,0.1002,0.0567,0.3585,0.7321,0.0772,56422,213956,85139,35159
057,0.965,0.0059,0.0078,0.9567,0.0058,0.0077,0.013,0.0253,0.0505,0.0051,0.1317,0.0807,0.2926,0.6965,0.0824,50294,194641,82212,33976
058,0.9667,0.0078,0.0066,0.9577,0.0068,0.0066,0.0117,0.0336,0.0759,0.0076,0.1475,0.0803,0.2353,0.7392,0.0992,42618,156996,58512,23729
059,0.9796,0.0046,0.0013,0.9742,0.0046,0.0013,0.0059,0.0505,0.1935,0.0334,0.1506,0.0992,0.1496,0.8284,0.1287,39869,124940,3721,1649
060,0.8189,0.0794,0.0402,0.7707,0.0751,0.0394,0.0958,0.1124,0.2058,0.0349,0.077,0.0815,0.3581,0.7191,0.0654,74516,261398,672288,264384
061,0.58,0.2239,0.0459,0.463,0.2072,0.0454,0.2592,0.1987,0.385,0.1142,0.1896,0.1263,0.3036,0.5253,0.1112,55072,245386,296444,115180
062,0.8998,0.0216,0.028,0.8468,0.0201,0.0277,0.0804,0.0641,0.1597,0.0332,0.1094,0.0851,0.3055,0.7368,0.0733,69023,245036,166352,57969
063,0.826,0.0548,0.0428,0.7826,0.0503,0.0422,0.0852,0.0855,0.1602,0.0322,0.0866,0.0839,0.2902,0.6737,0.0794,67160,265538,268590,104802
064,0.8913,0.0343,0.0303,0.8454,0.0324,0.0302,0.0757,0.0867,0.1664,0.0259,0.0594,0.0767,0.3842,0.7802,0.0636,80815,317108,717856,276504
065,0.6239,0.2379,0.0457,0.5265,0.227,0.0456,0.1757,0.1425,0.2589,0.0604,0.1692,0.1147,0.3294,0.5042,0.1066,54575,251018,289558,110797
066,0.6183,0.2477,0.0369,0.4424,0.2343,0.0364,0.2696,0.2071,0.3674,0.1068,0.159,0.1282,0.262,0.6032,0.1542,59883,298759,239395,85660
067,0.8172,0.0769,0.0183,0.7475,0.0697,0.0182,0.1419,0.0987,0.2157,0.0442,0.1136,0.0964,0.2691,0.6939,0.0855,64327,259399,332868,129731
068,0.8439,0.0439,0.0474,0.7734,0.0406,0.0471,0.1156,0.1787,0.2621,0.0546,0.0565,0.0749,0.5412,0.7489,0.0823,112928,643186,466397,170133
069,0.6058,0.1522,0.0778,0.5011,0.1464,0.0778,0.2587,0.363,0.4293,0.1127,0.1084,0.1065,0.4352,0.5531,0.1916,82350,534943,122772,45169
070,0.6459,0.1448,0.0874,0.4856,0.1361,0.0865,0.2709,0.3081,0.4279,0.1109,0.104,0.0925,0.3733,0.5534,0.1564,75938,419407,1686155,614508
071,0.3149,0.49,0.0324,0.1782,0.4723,0.0317,0.2932,0.2765,0.4374,0.1499,0.2335,0.1616,0.165,0.3197,0.2348,42032,288643,394914,136841
072,0.4622,0.2766,0.03,0.2098,0.2591,0.0298,0.4825,0.4137,0.6135,0.2503,0.1657,0.1295,0.1559,0.3981,0.2554,47807,289552,180621,59419
073,0.3483,0.2611,0.2389,0.2153,0.2404,0.2379,0.2784,0.3856,0.5288,0.1473,0.1761,0.1061,0.4145,0.3039,0.1878,63318,352613,248157,95386
074,0.8863,0.0167,0.0634,0.8211,0.0153,0.0629,0.0854,0.1553,0.2233,0.0314,0.0391,0.0804,0.4521,0.8206,0.0737,102431,463512,461318,163104
075,0.5544,0.244,0.0354,0.2526,0.2234,0.0353,0.4784,0.2707,0.5226,0.1787,0.2201,0.1113,0.1623,0.4036,0.2199,47681,342437,197787,61022
076,0.673,0.0814,0.1694,0.5642,0.0769,0.1685,0.171,0.3,0.3925,0.0848,0.0694,0.0703,0.447,0.6636,0.1236,86633,490568,492770,177859
077,0.8257,0.0758,0.0549,0.7575,0.0716,0.0545,0.1004,0.1368,0.204,0.0415,0.0682,0.0845,0.3943,0.7502,0.1002,86598,422204,601257,223155
078,0.8639,0.0304,0.0435,0.7893,0.0286,0.0434,0.1213,0.1405,0.2146,0.0349,0.0478,0.0765,0.3847,0.7821,0.0887,91350,356204,361242,132906
079,0.856,0.0325,0.0818,0.7889,0.0309,0.0815,0.0831,0.1701,0.23,0.0367,0.0445,0.0609,0.6056,0.7902,0.0586,117365,600620,256635,93306
080,0.7802,0.13,0.0406,0.7493,0.1262,0.0403,0.0609,0.0804,0.1403,0.0209,0.0715,0.0962,0.3124,0.7757,0.0891,74244,256795,1160734,434700
081,0.4277,0.3006,0.0331,0.3432,0.2824,0.0326,0.3228,0.1194,0.3159,0.0844,0.2352,0.158,0.1917,0.5686,0.1658,47596,174053,158992,56245
082,0.7729,0.1046,0.0489,0.7182,0.0946,0.0486,0.119,0.1071,0.187,0.0372,0.0958,0.1084,0.2673,0.76,0.1093,60626,307927,251640,98162
083,0.6924,0.1675,0.0216,0.5869,0.1579,0.0208,0.2099,0.094,0.2125,0.0532,0.1325,0.1217,0.1648,0.7325,0.1373,57725,193668,242827,81051
084,0.4984,0.2823,0.1152,0.3988,0.2661,0.1128,0.1989,0.2549,0.3139,0.1106,0.2383,0.1475,0.2249,0.4614,0.1719,40457,332276,57984,24261
085,0.749,0.0569,0.1462,0.7006,0.0552,0.1459,0.0762,0.1905,0.2636,0.0374,0.0403,0.0743,0.5232,0.7708,0.0657,105862,429074,310772,110592
086,0.6094,0.2647,0.0464,0.5078,0.2558,0.0463,0.1711,0.1754,0.2452,0.0559,0.1302,0.1147,0.2688,0.6318,0.1264,66775,256670,267794,93958
087,0.9128,0.0313,0.0167,0.8572,0.0297,0.0167,0.0847,0.0817,0.1417,0.0254,0.1121,0.0977,0.2544,0.8042,0.09,61416,286760,453296,176379
088,0.6883,0.0818,0.1809,0.5862,0.077,0.1804,0.139,0.2504,0.3411,0.0705,0.0601,0.0809,0.4172,0.7354,0.104,87530,359290,898562,319345
089,0.5974,0.1417,0.1551,0.3509,0.1367,0.1545,0.3425,0.3549,0.4639,0.1453,0.1831,0.0897,0.3822,0.4161,0.2172,64051,311410,110416,34675
100,0.56,0.1602,0.1126,0.468,0.1346,0.1117,0.2605,0.2867,0.3874,0.1021,0.1801,0.0873,0.5721,0.2238,0.111,74018,818552,1512895,696286
101,0.82,0.0414,0.1029,0.7449,0.0364,0.1023,0.0978,0.2196,0.3178,0.0641,0.0727,0.065,0.7831,0.2971,0.0673,98625,1000001,61036,32354
102,0.7144,0.0088,0.1516,0.6439,0.0088,0.1516,0.1536,0.338,0.394,0.0553,0.0371,0.0327,0.8202,0.152,0.0282,165841,689522,13117,6125
103,0.7576,0.1038,0.0775,0.6418,0.0954,0.0764,0.1717,0.2079,0.3324,0.0635,0.1133,0.0736,0.2903,0.691,0.0766,72786,451877,468374,163675
