zip3,poverty_rate,unemployment_rate,share_bachelor_plus,homeownership_rate,uninsured_rate,median_income_approx,median_home_value_approx,D_poverty_rate,D_unemployment_rate,D_share_bachelor_plus,D_homeownership_rate,D_uninsured_rate,D_median_income_approx,D_median_home_value_approx,SESDisadvantage
007,0.4689,0.1801,0.2009,0.7364,0.0707,19140,112653,1.0,0.9939686369119421,0.6477683956574185,0.3027744270205066,0.045838359469240045,0.9987937273823885,0.7539203860072377,0.6775805617783904
010,0.1176,0.0851,0.3119,0.6762,0.0339,59144,238859,0.24185765983112184,0.4632086851628468,0.21954161640530756,0.6097708082026538,0.008443908323281062,0.24125452352231602,0.22557297949336552,0.2870928829915561
011,0.2641,0.1376,0.214,0.5355,0.057,43040,182770,0.9662243667068757,0.9589867310012062,0.5784077201447527,0.9191797346200241,0.025331724969843185,0.7418576598311218,0.37394451145958985,0.6519903498190592
012,0.1237,0.0914,0.2983,0.6848,0.0366,48876,226368,0.2852834740651387,0.5542822677925211,0.2593486127864898,0.5796139927623642,0.010856453558504222,0.5090470446320868,0.25090470446320867,0.34990522143718766
013,0.1204,0.0877,0.2867,0.6991,0.0445,53328,214037,0.26839565741857657,0.5042219541616405,0.30036188178528345,0.5186972255729795,0.018094089264173704,0.36550060313630883,0.28468033775633295,0.32285024987075644
014,0.1013,0.089,0.3005,0.7012,0.0369,69033,274703,0.16043425814234016,0.5223160434258143,0.25693606755126663,0.503015681544029,0.012062726176115802,0.12545235223160434,0.17008443908323279,0.2500430811649147
015,0.0592,0.0745,0.3803,0.7453,0.0263,80127,301219,0.022919179734620022,0.2822677925211098,0.11459589867310016,0.23884197828709286,0.0048250904704463205,0.06272617611580222,0.14113389626055484,0.12390143029467517
016,0.195,0.1059,0.3017,0.4665,0.0484,48253,231329,0.7949336550060314,0.7720144752714113,0.25090470446320867,0.9565741857659831,0.020506634499396863,0.5331724969843185,0.2400482509047045,0.509736343270722
017,0.0553,0.061,0.5536,0.7269,0.035,96401,442079,0.019300361881785282,0.11519903498190591,0.0193003618817853,0.36550060313630883,0.009650180940892641,0.020506634499396825,0.07478890229191792,0.08917801137342753
018,0.0969,0.0803,0.3598,0.6854,0.0395,77538,358728,0.14475271411338964,0.38781664656212306,0.13872135102533167,0.5747889022919179,0.014475271411338963,0.07478890229191792,0.11338962605548852,0.2069619162502154
019,0.0937,0.0821,0.3833,0.6562,0.0379,72549,390606,0.12907117008443908,0.41978287092882993,0.1085645355850422,0.6767189384800965,0.013268998793727383,0.09770808202653802,0.10494571773220751,0.22143718766155435
020,0.043,0.0661,0.4932,0.7876,0.0237,96179,436982,0.006031363088057901,0.16887816646562123,0.03739445114595896,0.0579010856453559,0.0036188178528347406,0.022919179734619988,0.07720144752714109,0.053420644494227114
021,0.1597,0.092,0.4181,0.4276,0.0526,61655,396632,0.5494571773220748,0.5651387213510254,0.07237635705669476,0.9674306393244874,0.021712907117008445,0.19903498190591074,0.10132689987937271,0.3537825262795106
022,0.341,0.0779,0.7947,0.1366,0.0338,40434,412371,0.9927623642943305,0.3474065138721351,0.0012062726176115257,0.9963811821471653,0.007237635705669481,0.8359469240048251,0.09408926417370322,0.46786145097363424
023,0.0814,0.0977,0.2929,0.7576,0.0404,73839,324605,0.07237635705669482,0.6670687575392038,0.2798552472858866,0.16043425814234014,0.015681544028950542,0.09167671893848006,0.12907117008443914,0.2023091504394279
024,0.0695,0.054,0.6864,0.6312,0.0222,104735,632244,0.04523522316043426,0.06272617611580217,0.008443908323281013,0.7478890229191797,0.0024125452352231603,0.012062726176115812,0.0193003618817853,0.1282957091159745
025,0.0894,0.0761,0.3758,0.7949,0.0456,65482,436801,0.1097708082026538,0.3112183353437877,0.11700844390832332,0.03739445114595896,0.019300361881785282,0.15319662243667065,0.07840772014475272,0.11804239186627606
026,0.0965,0.0753,0.3915,0.7947,0.0604,58973,397728,0.1411338962605549,0.2973462002412545,0.09650180940892639,0.0386007237635706,0.027744270205066344,0.24607961399276235,0.10012062726176119,0.13536102016198517
027,0.1233,0.1047,0.242,0.6338,0.0437,57877,294551,0.2810615199034982,0.758745476477684,0.46381182147165256,0.729794933655006,0.016887816646562123,0.2629674306393245,0.14837153196622432,0.3802343615371359
028,0.1055,0.0826,0.3248,0.6617,0.0905,63600,290332,0.1773220747889023,0.42581423401688784,0.18817852834740656,0.6562123039806996,0.15440289505428226,0.17732207478890227,0.15440289505428229,0.2762364294330519
029,0.1807,0.1189,0.275,0.5175,0.1481,48463,240180,0.715319662243667,0.8902291917973462,0.33594692400482506,0.9276236429433051,0.5524728588661038,0.5211097708082026,0.22316043425814236,0.5951232121316561
030,0.0529,0.0687,0.3597,0.7648,0.0883,80695,274824,0.014475271411338963,0.20627261761158022,0.1399276236429433,0.1314837153196623,0.13630880579010857,0.06151990349819059,0.16887816646562126,0.12269515767706361
031,0.1141,0.0714,0.319,0.5795,0.1134,66007,257725,0.22677925211097708,0.2376357056694813,0.1942098914354644,0.8612786489746682,0.3148371531966224,0.143546441495778,0.1978287092882992,0.3108736860244701
