zip3,share_black_nh,share_hispanic,share_asian_nh,share_white_nh,share_foreign_born,share_ltd_english_hh,BlackConcentration,HispanicConcentration,AsianConcentration,WhiteConcentration,ForeignBornConcentration,LimitedEnglishConcentration
007,0.0007,0.9942,0.0003,0.0043,0.0101,0.738,Low,High,Low,Low,Low,High
010,0.0215,0.0928,0.0264,0.8427,0.0791,0.0384,Low,Medium,High,Medium,Medium,High
011,0.1765,0.3616,0.0271,0.4123,0.1026,0.1129,High,High,High,Low,High,High
012,0.0264,0.0347,0.0125,0.9046,0.0483,0.0108,Medium,Low,Medium,High,Medium,Medium
013,0.0059,0.0361,0.0133,0.9223,0.0384,0.0089,Low,Medium,Medium,High,Medium,Low
014,0.0273,0.0864,0.023,0.8437,0.0849,0.0346,Medium,Medium,Medium,Medium,High,High
015,0.0142,0.0472,0.0425,0.8785,0.0761,0.022,Low,Medium,High,High,Medium,Medium
016,0.1,0.1954,0.0538,0.6259,0.2014,0.1349,High,High,High,Low,High,High
017,0.0253,0.0592,0.0642,0.8203,0.1565,0.0481,Medium,Medium,High,Medium,High,High
018,0.0234,0.145,0.0725,0.7406,0.1527,0.0688,Low,High,High,Medium,High,High
019,0.033,0.0976,0.0292,0.8242,0.1292,0.0439,Medium,Medium,High,Medium,High,High
020,0.0259,0.0239,0.0329,0.9011,0.0871,0.018,Medium,Low,High,High,High,Medium
021,0.1486,0.1406,0.0985,0.5804,0.2616,0.1023,High,High,High,Low,High,High
022,0.0336,0.0674,0.1571,0.7176,0.2104,0.0984,Medium,Medium,High,Medium,High,High
023,0.1239,0.0413,0.0206,0.7839,0.1068,0.032,High,Medium,Medium,Medium,High,High
024,0.0269,0.0575,0.1189,0.773,0.2122,0.0486,Medium,Medium,High,Medium,High,High
025,0.0233,0.0227,0.0139,0.9001,0.0578,0.0103,Low,Low,Medium,High,Medium,Medium
026,0.0224,0.0234,0.0089,0.9196,0.0727,0.0161,Low,Low,Medium,High,Medium,Medium
027,0.0313,0.0604,0.0183,0.8584,0.1198,0.0567,Medium,Medium,Medium,High,High,High
028,0.0334,0.0684,0.0194,0.8529,0.0893,0.0348,Medium,Medium,Medium,Medium,High,High
029,0.0845,0.2244,0.0484,0.6061,0.2007,0.0955,Medium,High,High,Low,High,High
030,0.0088,0.0439,0.029,0.9013,0.0652,0.0193,Low,Medium,High,High,Medium,Medium
031,0.0369,0.0603,0.0344,0.8496,0.1028,0.0392,Medium,Medium,High,Medium,High,High
032,0.0043,0.0131,0.0098,0.9552,0.0275,0.0058,Low,Low,Medium,High,Low,Low
033,0.0177,0.0171,0.018,0.9315,0.0446,0.0158,Low,Low,Medium,High,Medium,Medium
034,0.0057,0.0121,0.0127,0.9559,0.0287,0.0028,Low,Low,Medium,High,Low,Low
035,0.0042,0.0139,0.0045,0.957,0.0331,0.0143,Low,Low,Low,High,Medium,Medium
036,0.0064,0.0181,0.0072,0.9479,0.0314,0.0041,Low,Low,Low,High,Low,Low
037,0.0096,0.0183,0.0301,0.9246,0.0568,0.0079,Low,Low,High,High,Medium,Low
038,0.0065,0.0154,0.0182,0.9436,0.0406,0.0082,Low,Low,Medium,High,Medium,Low
044,0.0065,0.0108,0.0084,0.9495,0.025,0.0047,Low,Low,Low,High,Low,Low
049,0.0057,0.0099,0.0062,0.9602,0.0197,0.006,Low,Low,Low,High,Low,Low
050,0.004,0.0091,0.0095,0.9601,0.0289,0.0054,Low,Low,Medium,High,Low,Low
051,0.004,0.0223,0.0033,0.9461,0.028,0.0022,Low,Low,Low,High,Low,Low
052,0.0049,0.0153,0.0067,0.9527,0.0284,0.0045,Low,Low,Low,High,Low,Low
053,0.0099,0.0154,0.0102,0.9461,0.0384,0.0027,Low,Low,Medium,High,Medium,Low
