grouping_variable,comparison,covariate,mean_A,mean_B,SMD
BlackConcentration,Low-Medium,poverty_rate,0.1489,0.1451,0.0677
BlackConcentration,Low-Medium,unemployment_rate,0.0806,0.0865,-0.2408
BlackConcentration,Low-Medium,share_bachelor_plus,0.2372,0.2653,-0.2501
BlackConcentration,Low-Medium,homeownership_rate,0.7097,0.6821,0.2966
BlackConcentration,Low-Medium,uninsured_rate,0.141,0.1352,0.1102
BlackConcentration,Low-Medium,median_income_approx,51055.6895,55098.942,-0.2544
BlackConcentration,Low-Medium,median_home_value_approx,188723.213,212415.471,-0.1585
BlackConcentration,Low-High,poverty_rate,0.1489,0.1723,-0.4119
BlackConcentration,Low-High,unemployment_rate,0.0806,0.1008,-0.7745
BlackConcentration,Low-High,share_bachelor_plus,0.2372,0.2656,-0.288
BlackConcentration,Low-High,homeownership_rate,0.7097,0.6342,0.7476
BlackConcentration,Low-High,uninsured_rate,0.141,0.1529,-0.2285
BlackConcentration,Low-High,median_income_approx,51055.6895,51969.4855,-0.0625
BlackConcentration,Low-High,median_home_value_approx,188723.213,196784.4167,-0.0637
BlackConcentration,Medium-High,poverty_rate,0.1451,0.1723,-0.5302
BlackConcentration,Medium-High,unemployment_rate,0.0865,0.1008,-0.582
BlackConcentration,Medium-High,share_bachelor_plus,0.2653,0.2656,-0.0023
BlackConcentration,Medium-High,homeownership_rate,0.6821,0.6342,0.4481
BlackConcentration,Medium-High,uninsured_rate,0.1352,0.1529,-0.3693
BlackConcentration,Medium-High,median_income_approx,55098.942,51969.4855,0.2016
BlackConcentration,Medium-High,median_home_value_approx,212415.471,196784.4167,0.1096
HispanicConcentration,Low-Medium,poverty_rate,0.1623,0.1455,0.3109
HispanicConcentration,Low-Medium,unemployment_rate,0.0851,0.0878,-0.107
HispanicConcentration,Low-Medium,share_bachelor_plus,0.211,0.2743,-0.6627
HispanicConcentration,Low-Medium,homeownership_rate,0.7193,0.6841,0.4202
HispanicConcentration,Low-Medium,uninsured_rate,0.1264,0.1288,-0.056
HispanicConcentration,Low-Medium,median_income_approx,45891.787,54471.4493,-0.6736
HispanicConcentration,Low-Medium,median_home_value_approx,130659.1625,192284.663,-0.7074
HispanicConcentration,Low-High,poverty_rate,0.1623,0.1584,0.071
HispanicConcentration,Low-High,unemployment_rate,0.0851,0.0949,-0.3764
HispanicConcentration,Low-High,share_bachelor_plus,0.211,0.2828,-0.72
HispanicConcentration,Low-High,homeownership_rate,0.7193,0.6226,0.9415
HispanicConcentration,Low-High,uninsured_rate,0.1264,0.174,-1.0043
HispanicConcentration,Low-High,median_income_approx,45891.787,57779.5906,-0.8209
HispanicConcentration,Low-High,median_home_value_approx,130659.1625,275189.6522,-1.073
HispanicConcentration,Medium-High,poverty_rate,0.1455,0.1584,-0.2303
HispanicConcentration,Medium-High,unemployment_rate,0.0878,0.0949,-0.2686
HispanicConcentration,Medium-High,share_bachelor_plus,0.2743,0.2828,-0.0748
HispanicConcentration,Medium-High,homeownership_rate,0.6841,0.6226,0.5913
HispanicConcentration,Medium-High,uninsured_rate,0.1288,0.174,-0.916
HispanicConcentration,Medium-High,median_income_approx,54471.4493,57779.5906,-0.2017
HispanicConcentration,Medium-High,median_home_value_approx,192284.663,275189.6522,-0.5502
AsianConcentration,Low-Medium,poverty_rate,0.1763,0.1498,0.5159
AsianConcentration,Low-Medium,unemployment_rate,0.0878,0.0883,-0.0221
AsianConcentration,Low-Medium,share_bachelor_plus,0.1814,0.2461,-1.0816
AsianConcentration,Low-Medium,homeownership_rate,0.7215,0.6942,0.3737
AsianConcentration,Low-Medium,uninsured_rate,0.1532,0.1372,0.3332
AsianConcentration,Low-Medium,median_income_approx,42949.5,51157.0659,-0.9705
AsianConcentration,Low-Medium,median_home_value_approx,121182.3464,164844.3663,-0.703
AsianConcentration,Low-High,poverty_rate,0.1763,0.1398,0.6349
AsianConcentration,Low-High,unemployment_rate,0.0878,0.0918,-0.1479
AsianConcentration,Low-High,share_bachelor_plus,0.1814,0.3414,-1.655
AsianConcentration,Low-High,homeownership_rate,0.7215,0.61,1.0747
AsianConcentration,Low-High,uninsured_rate,0.1532,0.1386,0.2745
AsianConcentration,Low-High,median_income_approx,42949.5,64136.1341,-1.4835
AsianConcentration,Low-High,median_home_value_approx,121182.3464,312615.6884,-1.4614
AsianConcentration,Medium-High,poverty_rate,0.1498,0.1398,0.1953
AsianConcentration,Medium-High,unemployment_rate,0.0883,0.0918,-0.1382
AsianConcentration,Medium-High,share_bachelor_plus,0.2461,0.3414,-0.9939
AsianConcentration,Medium-High,homeownership_rate,0.6942,0.61,0.8303
AsianConcentration,Medium-High,uninsured_rate,0.1372,0.1386,-0.0274
AsianConcentration,Medium-High,median_income_approx,51157.0659,64136.1341,-0.8933
AsianConcentration,Medium-High,median_home_value_approx,164844.3663,312615.6884,-1.1099
WhiteConcentration,Low-Medium,poverty_rate,0.177,0.1437,0.5989
WhiteConcentration,Low-Medium,unemployment_rate,0.1007,0.0878,0.4915
WhiteConcentration,Low-Medium,share_bachelor_plus,0.2778,0.2735,0.0368
WhiteConcentration,Low-Medium,homeownership_rate,0.604,0.6892,-0.8412
WhiteConcentration,Low-Medium,uninsured_rate,0.173,0.1382,0.6879
WhiteConcentration,Low-Medium,median_income_approx,54801.9711,55161.9348,-0.0214
WhiteConcentration,Low-Medium,median_home_value_approx,253084.0686,204432.75,0.3113
WhiteConcentration,Low-High,poverty_rate,0.177,0.1455,0.5607
WhiteConcentration,Low-High,unemployment_rate,0.1007,0.0793,0.8395
WhiteConcentration,Low-High,share_bachelor_plus,0.2778,0.2167,0.611
WhiteConcentration,Low-High,homeownership_rate,0.604,0.7332,-1.401
