grouping_variable,comparison,mean_abs_SMD,max_abs_SMD
AsianConcentration,Low-High,0.9617,1.655
AsianConcentration,Low-Medium,0.5714,1.0816
AsianConcentration,Medium-High,0.5983,1.1099
BlackConcentration,Low-High,0.3681,0.7745
BlackConcentration,Low-Medium,0.1969,0.2966
BlackConcentration,Medium-High,0.3204,0.582
ForeignBornConcentration,Low-High,0.9017,1.4602
ForeignBornConcentration,Low-Medium,0.4911,0.9653
ForeignBornConcentration,Medium-High,0.5606,1.0865
HispanicConcentration,Low-High,0.7153,1.073
HispanicConcentration,Low-Medium,0.4197,0.7074
HispanicConcentration,Medium-High,0.4047,0.916
LimitedEnglishConcentration,Low-High,0.7711,1.2479
LimitedEnglishConcentration,Low-Medium,0.4419,0.7562
LimitedEnglishConcentration,Medium-High,0.4815,0.8652
SES_group,Low-High,0.4568,0.6418
SES_group,Low-Medium,0.2439,0.351
SES_group,Medium-High,0.2253,0.3206
WhiteConcentration,Low-High,0.8459,1.401
WhiteConcentration,Low-Medium,0.427,0.8412
WhiteConcentration,Medium-High,0.4607,0.6337
