direction,representation,model,metric,weighted,Low,High,gap_High_minus_Low,n_eff_Low,n_eff_High,z,p_value
BlackConcentration (matched on SES_group),structured,Logistic,FPR,False,0.3704,0.394,0.0236,10665.0,28170.0,-4.26,0.0
BlackConcentration (matched on SES_group),structured,Logistic,FPR,True,0.378,0.394,0.016,8991.0,28170.0,-2.7,0.0069
BlackConcentration (matched on SES_group),structured,RandomForest,FPR,False,0.2103,0.2119,0.0015,10665.0,28170.0,-0.33,0.7397
BlackConcentration (matched on SES_group),structured,RandomForest,FPR,True,0.2129,0.2119,-0.0011,8991.0,28170.0,0.21,0.8304
BlackConcentration (matched on SES_group),structured,XGBoost,FPR,False,0.3697,0.3829,0.0132,10665.0,28170.0,-2.39,0.0166
BlackConcentration (matched on SES_group),structured,XGBoost,FPR,True,0.3763,0.3829,0.0067,8991.0,28170.0,-1.13,0.2572
BlackConcentration (matched on SES_group),tfidf_full,Logistic,FPR,False,0.3651,0.3914,0.0263,10665.0,28170.0,-4.76,0.0
BlackConcentration (matched on SES_group),tfidf_full,Logistic,FPR,True,0.3725,0.3914,0.0189,8991.0,28170.0,-3.21,0.0013
BlackConcentration (matched on SES_group),tfidf_full,RandomForest,FPR,False,0.3874,0.3979,0.0105,10665.0,28170.0,-1.89,0.0587
BlackConcentration (matched on SES_group),tfidf_full,RandomForest,FPR,True,0.3914,0.3979,0.0065,8991.0,28170.0,-1.1,0.2692
BlackConcentration (matched on SES_group),tfidf_full,XGBoost,FPR,False,0.4038,0.4028,-0.0011,10665.0,28170.0,0.19,0.8471
BlackConcentration (matched on SES_group),tfidf_full,XGBoost,FPR,True,0.4116,0.4028,-0.0089,8991.0,28170.0,1.49,0.136
BlackConcentration (matched on SES_group),finbert_pca50,Logistic,FPR,False,0.3699,0.3939,0.024,10665.0,28170.0,-4.33,0.0
BlackConcentration (matched on SES_group),finbert_pca50,Logistic,FPR,True,0.3792,0.3939,0.0146,8991.0,28170.0,-2.48,0.0133
BlackConcentration (matched on SES_group),finbert_pca50,RandomForest,FPR,False,0.2039,0.2098,0.0058,10665.0,28170.0,-1.26,0.207
BlackConcentration (matched on SES_group),finbert_pca50,RandomForest,FPR,True,0.2061,0.2098,0.0037,8991.0,28170.0,-0.75,0.4534
BlackConcentration (matched on SES_group),finbert_pca50,XGBoost,FPR,False,0.373,0.3817,0.0087,10665.0,28170.0,-1.58,0.1139
BlackConcentration (matched on SES_group),finbert_pca50,XGBoost,FPR,True,0.3784,0.3817,0.0033,8991.0,28170.0,-0.56,0.5726
SES_group (matched on BlackConcentration),structured,Logistic,FPR,False,0.3579,0.4136,0.0557,28487.0,14463.0,-11.26,0.0
SES_group (matched on BlackConcentration),structured,Logistic,FPR,True,0.356,0.4136,0.0576,22980.2,14463.0,-11.2,0.0
SES_group (matched on BlackConcentration),structured,RandomForest,FPR,False,0.201,0.2203,0.0193,28487.0,14463.0,-4.66,0.0
SES_group (matched on BlackConcentration),structured,RandomForest,FPR,True,0.201,0.2203,0.0193,22980.2,14463.0,-4.47,0.0
SES_group (matched on BlackConcentration),structured,XGBoost,FPR,False,0.3513,0.4032,0.052,28487.0,14463.0,-10.55,0.0
SES_group (matched on BlackConcentration),structured,XGBoost,FPR,True,0.3488,0.4032,0.0544,22980.2,14463.0,-10.62,0.0
SES_group (matched on BlackConcentration),tfidf_full,Logistic,FPR,False,0.3527,0.4108,0.0582,28487.0,14463.0,-11.78,0.0
SES_group (matched on BlackConcentration),tfidf_full,Logistic,FPR,True,0.3513,0.4108,0.0595,22980.2,14463.0,-11.59,0.0
SES_group (matched on BlackConcentration),tfidf_full,RandomForest,FPR,False,0.375,0.4069,0.0319,28487.0,14463.0,-6.42,0.0
SES_group (matched on BlackConcentration),tfidf_full,RandomForest,FPR,True,0.3771,0.4069,0.0298,22980.2,14463.0,-5.76,0.0
SES_group (matched on BlackConcentration),tfidf_full,XGBoost,FPR,False,0.3746,0.4243,0.0497,28487.0,14463.0,-9.97,0.0
SES_group (matched on BlackConcentration),tfidf_full,XGBoost,FPR,True,0.3711,0.4243,0.0532,22980.2,14463.0,-10.26,0.0
SES_group (matched on BlackConcentration),finbert_pca50,Logistic,FPR,False,0.3569,0.412,0.0552,28487.0,14463.0,-11.16,0.0
SES_group (matched on BlackConcentration),finbert_pca50,Logistic,FPR,True,0.3553,0.412,0.0567,22980.2,14463.0,-11.02,0.0
SES_group (matched on BlackConcentration),finbert_pca50,RandomForest,FPR,False,0.1979,0.216,0.0181,28487.0,14463.0,-4.4,0.0
SES_group (matched on BlackConcentration),finbert_pca50,RandomForest,FPR,True,0.1976,0.216,0.0184,22980.2,14463.0,-4.29,0.0
SES_group (matched on BlackConcentration),finbert_pca50,XGBoost,FPR,False,0.3506,0.4019,0.0513,28487.0,14463.0,-10.43,0.0
SES_group (matched on BlackConcentration),finbert_pca50,XGBoost,FPR,True,0.3483,0.4019,0.0536,22980.2,14463.0,-10.47,0.0
