zip3,BlackConcentration,weight,direction,SES_group
015,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
018,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
023,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
025,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
026,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
030,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
032,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
038,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
050,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
054,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
056,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
074,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
080,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
102,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
105,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
110,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
115,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
118,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
160,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
189,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
190,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
195,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
197,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
206,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
208,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
210,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
211,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
214,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
221,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
225,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
230,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
231,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
502,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
530,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
535,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
540,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
550,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
596,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
603,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
630,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
680,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
801,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
804,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
831,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
840,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
940,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
944,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
949,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
968,Low,0.5827489481065918,BlackConcentration (matched on SESDisadvantage deciles),
010,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
033,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
034,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
036,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
037,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
052,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
053,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
062,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
082,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
103,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
106,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
108,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
109,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
120,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
128,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
130,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
141,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
156,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
170,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
173,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
175,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
198,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
216,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
223,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
224,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
227,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
229,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
233,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
234,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
357,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
461,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
527,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
541,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
542,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
556,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
560,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
565,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
570,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
602,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
615,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
670,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
774,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
805,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
821,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
827,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
828,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
830,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
926,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
950,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
967,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
990,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
998,Low,0.4460547504025765,BlackConcentration (matched on SESDisadvantage deciles),
013,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
021,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
051,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
057,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
070,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
100,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
107,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
131,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
151,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
164,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
199,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
200,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
207,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
209,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
275,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
276,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
370,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
379,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
380,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
435,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
470,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
476,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
493,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
539,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
544,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
549,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
554,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
562,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
563,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
567,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
574,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
591,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
604,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
651,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
671,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
681,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
707,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
750,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
773,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
803,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
816,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
820,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
824,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
826,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
829,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
843,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
898,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
915,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
931,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
982,Low,0.7267616191904048,BlackConcentration (matched on SESDisadvantage deciles),
058,Low,0.5734989648033126,BlackConcentration (matched on SESDisadvantage deciles),
069,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
086,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
122,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
126,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
133,Low,0.5734989648033126,BlackConcentration (matched on SESDisadvantage deciles),
137,Low,0.5734989648033126,BlackConcentration (matched on SESDisadvantage deciles),
138,Low,0.5734989648033126,BlackConcentration (matched on SESDisadvantage deciles),
152,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
171,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
174,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
186,Low,0.5734989648033126,BlackConcentration (matched on SESDisadvantage deciles),
188,Low,0.5734989648033126,BlackConcentration (matched on SESDisadvantage deciles),
218,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
236,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
281,High,1.0,BlackConcentration (matched on SESDisadvantage deciles),
