direction,representation,model,metric,weighted,Low,High,gap_High_minus_Low,n_eff_Low,n_eff_High,z,p_value
BlackConcentration (matched on SESDisadvantage deciles),structured,Logistic,FPR,False,0.3704,0.394,0.0236,10665.0,28170.0,-4.26,0.0
BlackConcentration (matched on SESDisadvantage deciles),structured,Logistic,FPR,True,0.3789,0.394,0.0151,8303.1,28170.0,-2.47,0.0135
BlackConcentration (matched on SESDisadvantage deciles),structured,RandomForest,FPR,False,0.2103,0.2119,0.0015,10665.0,28170.0,-0.33,0.7397
BlackConcentration (matched on SESDisadvantage deciles),structured,RandomForest,FPR,True,0.2149,0.2119,-0.0031,8303.1,28170.0,0.6,0.5467
BlackConcentration (matched on SESDisadvantage deciles),structured,XGBoost,FPR,False,0.3697,0.3829,0.0132,10665.0,28170.0,-2.39,0.0166
BlackConcentration (matched on SESDisadvantage deciles),structured,XGBoost,FPR,True,0.3779,0.3829,0.005,8303.1,28170.0,-0.83,0.4059
BlackConcentration (matched on SESDisadvantage deciles),tfidf_full,Logistic,FPR,False,0.3651,0.3914,0.0263,10665.0,28170.0,-4.76,0.0
BlackConcentration (matched on SESDisadvantage deciles),tfidf_full,Logistic,FPR,True,0.3723,0.3914,0.0191,8303.1,28170.0,-3.15,0.0017
BlackConcentration (matched on SESDisadvantage deciles),tfidf_full,RandomForest,FPR,False,0.3874,0.3979,0.0105,10665.0,28170.0,-1.89,0.0587
BlackConcentration (matched on SESDisadvantage deciles),tfidf_full,RandomForest,FPR,True,0.3929,0.3979,0.005,8303.1,28170.0,-0.82,0.4106
BlackConcentration (matched on SESDisadvantage deciles),tfidf_full,XGBoost,FPR,False,0.4038,0.4028,-0.0011,10665.0,28170.0,0.19,0.8471
BlackConcentration (matched on SESDisadvantage deciles),tfidf_full,XGBoost,FPR,True,0.4133,0.4028,-0.0105,8303.1,28170.0,1.71,0.0867
BlackConcentration (matched on SESDisadvantage deciles),finbert_pca50,Logistic,FPR,False,0.3699,0.3939,0.024,10665.0,28170.0,-4.33,0.0
BlackConcentration (matched on SESDisadvantage deciles),finbert_pca50,Logistic,FPR,True,0.3803,0.3939,0.0136,8303.1,28170.0,-2.23,0.0255
BlackConcentration (matched on SESDisadvantage deciles),finbert_pca50,RandomForest,FPR,False,0.2039,0.2098,0.0058,10665.0,28170.0,-1.26,0.207
BlackConcentration (matched on SESDisadvantage deciles),finbert_pca50,RandomForest,FPR,True,0.2071,0.2098,0.0027,8303.1,28170.0,-0.52,0.6003
BlackConcentration (matched on SESDisadvantage deciles),finbert_pca50,XGBoost,FPR,False,0.373,0.3817,0.0087,10665.0,28170.0,-1.58,0.1139
BlackConcentration (matched on SESDisadvantage deciles),finbert_pca50,XGBoost,FPR,True,0.3797,0.3817,0.002,8303.1,28170.0,-0.32,0.7455
SES_group (matched on share_black_nh deciles),structured,Logistic,FPR,False,0.3579,0.4136,0.0557,28487.0,14463.0,-11.26,0.0
SES_group (matched on share_black_nh deciles),structured,Logistic,FPR,True,0.349,0.4136,0.0646,11302.1,14463.0,-10.58,0.0
SES_group (matched on share_black_nh deciles),structured,RandomForest,FPR,False,0.201,0.2203,0.0193,28487.0,14463.0,-4.66,0.0
SES_group (matched on share_black_nh deciles),structured,RandomForest,FPR,True,0.2045,0.2203,0.0158,11302.1,14463.0,-3.08,0.0021
SES_group (matched on share_black_nh deciles),structured,XGBoost,FPR,False,0.3513,0.4032,0.052,28487.0,14463.0,-10.55,0.0
SES_group (matched on share_black_nh deciles),structured,XGBoost,FPR,True,0.3431,0.4032,0.0602,11302.1,14463.0,-9.89,0.0
SES_group (matched on share_black_nh deciles),tfidf_full,Logistic,FPR,False,0.3527,0.4108,0.0582,28487.0,14463.0,-11.78,0.0
SES_group (matched on share_black_nh deciles),tfidf_full,Logistic,FPR,True,0.3447,0.4108,0.0661,11302.1,14463.0,-10.84,0.0
SES_group (matched on share_black_nh deciles),tfidf_full,RandomForest,FPR,False,0.375,0.4069,0.0319,28487.0,14463.0,-6.42,0.0
SES_group (matched on share_black_nh deciles),tfidf_full,RandomForest,FPR,True,0.372,0.4069,0.0349,11302.1,14463.0,-5.7,0.0
SES_group (matched on share_black_nh deciles),tfidf_full,XGBoost,FPR,False,0.3746,0.4243,0.0497,28487.0,14463.0,-9.97,0.0
SES_group (matched on share_black_nh deciles),tfidf_full,XGBoost,FPR,True,0.3697,0.4243,0.0545,11302.1,14463.0,-8.87,0.0
SES_group (matched on share_black_nh deciles),finbert_pca50,Logistic,FPR,False,0.3569,0.412,0.0552,28487.0,14463.0,-11.16,0.0
SES_group (matched on share_black_nh deciles),finbert_pca50,Logistic,FPR,True,0.3484,0.412,0.0636,11302.1,14463.0,-10.42,0.0
SES_group (matched on share_black_nh deciles),finbert_pca50,RandomForest,FPR,False,0.1979,0.216,0.0181,28487.0,14463.0,-4.4,0.0
SES_group (matched on share_black_nh deciles),finbert_pca50,RandomForest,FPR,True,0.202,0.216,0.014,11302.1,14463.0,-2.75,0.006
SES_group (matched on share_black_nh deciles),finbert_pca50,XGBoost,FPR,False,0.3506,0.4019,0.0513,28487.0,14463.0,-10.43,0.0
SES_group (matched on share_black_nh deciles),finbert_pca50,XGBoost,FPR,True,0.345,0.4019,0.0569,11302.1,14463.0,-9.36,0.0
