zip3,BlackConcentration,weight,direction,SES_group
011,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
016,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
021,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
023,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
061,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
065,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
066,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
069,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
070,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
071,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
072,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
073,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
075,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
080,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
081,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
082,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
083,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
084,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
086,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
089,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
100,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
103,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
104,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
105,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
106,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
107,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
108,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
109,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
110,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
112,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
114,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
115,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
116,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
122,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
126,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
132,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
135,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
142,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
143,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
146,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
151,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
152,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
171,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
174,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
190,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
191,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
197,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
198,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
199,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
200,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
203,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
206,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
207,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
208,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
209,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
210,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
211,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
212,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
214,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
216,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
218,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
221,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
223,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
224,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
225,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
227,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
229,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
230,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
231,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
232,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
233,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
234,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
235,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
236,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
237,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
238,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
239,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
240,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
241,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
245,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
271,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
272,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
273,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
274,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
275,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
276,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
277,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
278,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
279,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
280,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
281,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
282,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
283,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
284,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
285,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
288,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
290,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
291,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
292,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
293,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
294,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
295,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
296,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
297,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
298,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
299,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
300,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
301,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
302,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
303,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
304,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
306,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
308,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
309,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
310,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
312,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
313,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
314,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
315,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
316,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
317,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
318,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
319,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
320,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
321,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
322,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
323,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
324,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
325,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
326,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
327,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
328,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
330,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
331,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
333,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
334,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
335,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
336,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
337,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
338,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
344,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
347,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
349,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
350,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
351,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
352,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
354,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
356,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
357,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
358,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
360,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
361,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
362,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
363,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
364,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
365,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
366,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
367,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
368,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
369,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
370,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
372,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
374,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
379,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
380,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
381,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
383,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
386,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
390,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
391,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
392,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
394,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
395,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
397,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
