direction,representation,model,metric,weighted,Low,High,gap_High_minus_Low,n_eff_Low,n_eff_High,z,p_value
BlackConcentration (entropy-balanced on 7 SES covariates),structured,Logistic,FPR,False,0.3704,0.394,0.0236,10665.0,28170.0,-4.26,0.0
BlackConcentration (entropy-balanced on 7 SES covariates),structured,Logistic,FPR,True,0.3855,0.394,0.0085,4826.6,28170.0,-1.11,0.2661
BlackConcentration (entropy-balanced on 7 SES covariates),structured,RandomForest,FPR,False,0.2103,0.2119,0.0015,10665.0,28170.0,-0.33,0.7397
BlackConcentration (entropy-balanced on 7 SES covariates),structured,RandomForest,FPR,True,0.2094,0.2119,0.0024,4826.6,28170.0,-0.38,0.701
BlackConcentration (entropy-balanced on 7 SES covariates),structured,XGBoost,FPR,False,0.3697,0.3829,0.0132,10665.0,28170.0,-2.39,0.0166
BlackConcentration (entropy-balanced on 7 SES covariates),structured,XGBoost,FPR,True,0.3808,0.3829,0.0021,4826.6,28170.0,-0.28,0.7792
BlackConcentration (entropy-balanced on 7 SES covariates),tfidf_full,Logistic,FPR,False,0.3651,0.3914,0.0263,10665.0,28170.0,-4.76,0.0
BlackConcentration (entropy-balanced on 7 SES covariates),tfidf_full,Logistic,FPR,True,0.3822,0.3914,0.0092,4826.6,28170.0,-1.21,0.2252
BlackConcentration (entropy-balanced on 7 SES covariates),tfidf_full,RandomForest,FPR,False,0.3874,0.3979,0.0105,10665.0,28170.0,-1.89,0.0587
BlackConcentration (entropy-balanced on 7 SES covariates),tfidf_full,RandomForest,FPR,True,0.3845,0.3979,0.0134,4826.6,28170.0,-1.76,0.0787
BlackConcentration (entropy-balanced on 7 SES covariates),tfidf_full,XGBoost,FPR,False,0.4038,0.4028,-0.0011,10665.0,28170.0,0.19,0.8471
BlackConcentration (entropy-balanced on 7 SES covariates),tfidf_full,XGBoost,FPR,True,0.4096,0.4028,-0.0068,4826.6,28170.0,0.9,0.3706
BlackConcentration (entropy-balanced on 7 SES covariates),finbert_pca50,Logistic,FPR,False,0.3699,0.3939,0.024,10665.0,28170.0,-4.33,0.0
BlackConcentration (entropy-balanced on 7 SES covariates),finbert_pca50,Logistic,FPR,True,0.3869,0.3939,0.0069,4826.6,28170.0,-0.91,0.3618
BlackConcentration (entropy-balanced on 7 SES covariates),finbert_pca50,RandomForest,FPR,False,0.2039,0.2098,0.0058,10665.0,28170.0,-1.26,0.207
BlackConcentration (entropy-balanced on 7 SES covariates),finbert_pca50,RandomForest,FPR,True,0.2057,0.2098,0.0041,4826.6,28170.0,-0.64,0.5222
BlackConcentration (entropy-balanced on 7 SES covariates),finbert_pca50,XGBoost,FPR,False,0.373,0.3817,0.0087,10665.0,28170.0,-1.58,0.1139
BlackConcentration (entropy-balanced on 7 SES covariates),finbert_pca50,XGBoost,FPR,True,0.3782,0.3817,0.0036,4826.6,28170.0,-0.47,0.6382
SES_group (entropy-balanced on 6 demographic covariates),structured,Logistic,FPR,False,0.3579,0.4136,0.0557,28487.0,14463.0,-11.26,0.0
SES_group (entropy-balanced on 6 demographic covariates),structured,Logistic,FPR,True,0.3863,0.4136,0.0273,329.0,14463.0,-0.99,0.3202
SES_group (entropy-balanced on 6 demographic covariates),structured,RandomForest,FPR,False,0.201,0.2203,0.0193,28487.0,14463.0,-4.66,0.0
SES_group (entropy-balanced on 6 demographic covariates),structured,RandomForest,FPR,True,0.2099,0.2203,0.0104,329.0,14463.0,-0.45,0.6516
SES_group (entropy-balanced on 6 demographic covariates),structured,XGBoost,FPR,False,0.3513,0.4032,0.052,28487.0,14463.0,-10.55,0.0
SES_group (entropy-balanced on 6 demographic covariates),structured,XGBoost,FPR,True,0.3886,0.4032,0.0146,329.0,14463.0,-0.53,0.5931
SES_group (entropy-balanced on 6 demographic covariates),tfidf_full,Logistic,FPR,False,0.3527,0.4108,0.0582,28487.0,14463.0,-11.78,0.0
SES_group (entropy-balanced on 6 demographic covariates),tfidf_full,Logistic,FPR,True,0.3958,0.4108,0.015,329.0,14463.0,-0.55,0.5838
SES_group (entropy-balanced on 6 demographic covariates),tfidf_full,RandomForest,FPR,False,0.375,0.4069,0.0319,28487.0,14463.0,-6.42,0.0
SES_group (entropy-balanced on 6 demographic covariates),tfidf_full,RandomForest,FPR,True,0.4093,0.4069,-0.0024,329.0,14463.0,0.09,0.9289
SES_group (entropy-balanced on 6 demographic covariates),tfidf_full,XGBoost,FPR,False,0.3746,0.4243,0.0497,28487.0,14463.0,-9.97,0.0
SES_group (entropy-balanced on 6 demographic covariates),tfidf_full,XGBoost,FPR,True,0.3915,0.4243,0.0328,329.0,14463.0,-1.19,0.2345
SES_group (entropy-balanced on 6 demographic covariates),finbert_pca50,Logistic,FPR,False,0.3569,0.412,0.0552,28487.0,14463.0,-11.16,0.0
SES_group (entropy-balanced on 6 demographic covariates),finbert_pca50,Logistic,FPR,True,0.3866,0.412,0.0254,329.0,14463.0,-0.92,0.355
SES_group (entropy-balanced on 6 demographic covariates),finbert_pca50,RandomForest,FPR,False,0.1979,0.216,0.0181,28487.0,14463.0,-4.4,0.0
SES_group (entropy-balanced on 6 demographic covariates),finbert_pca50,RandomForest,FPR,True,0.2233,0.216,-0.0073,329.0,14463.0,0.32,0.749
SES_group (entropy-balanced on 6 demographic covariates),finbert_pca50,XGBoost,FPR,False,0.3506,0.4019,0.0513,28487.0,14463.0,-10.43,0.0
SES_group (entropy-balanced on 6 demographic covariates),finbert_pca50,XGBoost,FPR,True,0.3806,0.4019,0.0214,329.0,14463.0,-0.78,0.4346
