representation,model,grouping,fold,n_Low,AUC_Low,n_High,AUC_High,TPR_Low,TPR_High,gap_TPR,z_TPR,p_TPR,FPR_Low,FPR_High,gap_FPR,z_FPR,p_FPR,PPR_Low,PPR_High,gap_PPR,z_PPR,p_PPR,gap_AUC,q_TPR,q_FPR,q_PPR
structured,Logistic,BlackConcentration,1,180,0.6314,460,0.7086,0.6364,0.7941,0.1578,-1.7007,0.089,0.449,0.4133,-0.0357,0.7475,0.4548,0.4833,0.4696,-0.0138,0.3136,0.7538,0.0772,0.3115,0.5788,0.8794
structured,Logistic,BlackConcentration,2,186,0.7054,554,0.6561,0.6364,0.5179,-0.1185,0.9469,0.3437,0.3049,0.3173,0.0124,-0.2965,0.7669,0.3441,0.3375,-0.0065,0.163,0.8705,-0.0493,0.6873,0.7669,0.8891
structured,Logistic,BlackConcentration,3,181,0.7118,661,0.7076,0.6667,0.6915,0.0248,-0.2339,0.815,0.3312,0.3915,0.0603,-1.3792,0.1678,0.3757,0.4342,0.0585,-1.4121,0.1579,-0.0042,0.8777,0.3916,0.4048
structured,Logistic,BlackConcentration,4,249,0.6337,841,0.7224,0.641,0.6929,0.0519,-0.608,0.5432,0.4381,0.3796,-0.0585,1.527,0.1268,0.4699,0.4269,-0.043,1.2019,0.2294,0.0887,0.7645,0.3549,0.4048
structured,Logistic,BlackConcentration,5,293,0.7523,909,0.759,0.7143,0.6842,-0.0301,0.3679,0.713,0.3108,0.3415,0.0307,-0.8975,0.3694,0.3686,0.3916,0.023,-0.7044,0.4812,0.0067,0.8318,0.5197,0.6124
structured,Logistic,BlackConcentration,6,349,0.6779,1002,0.6937,0.7333,0.7812,0.0479,-0.7697,0.4415,0.474,0.4617,-0.0123,0.3605,0.7185,0.5186,0.523,0.0043,-0.1394,0.8891,0.0158,0.7645,0.7669,0.8891
structured,Logistic,BlackConcentration,7,428,0.6987,1276,0.6971,0.7188,0.6492,-0.0695,1.0213,0.3071,0.3764,0.3475,-0.0289,0.9975,0.3185,0.4276,0.3926,-0.0349,1.276,0.202,-0.0016,0.6873,0.5197,0.4048
structured,Logistic,BlackConcentration,8,555,0.6697,1783,0.6762,0.6857,0.7746,0.0889,-1.8513,0.0641,0.4822,0.5247,0.0425,-1.5735,0.1156,0.5207,0.5732,0.0525,-2.1751,0.0296,0.0065,0.2992,0.3549,0.1037
structured,Logistic,BlackConcentration,9,1020,0.7003,2715,0.7005,0.6993,0.699,-0.0003,0.0061,0.9951,0.3706,0.3882,0.0176,-0.9127,0.3614,0.4167,0.4354,0.0187,-1.028,0.3039,0.0003,0.9951,0.5197,0.4255
structured,Logistic,BlackConcentration,10,1012,0.6616,2694,0.7025,0.5971,0.6517,0.0546,-1.169,0.2424,0.3643,0.3717,0.0075,-0.3875,0.6984,0.3962,0.418,0.0217,-1.1969,0.2313,0.0409,0.6788,0.7669,0.4048
structured,Logistic,BlackConcentration,11,1378,0.6955,3563,0.6833,0.6824,0.6572,-0.0252,0.6037,0.5461,0.3733,0.3881,0.0148,-0.8942,0.3712,0.4115,0.428,0.0165,-1.0555,0.2912,-0.0123,0.7645,0.5197,0.4255
structured,Logistic,BlackConcentration,12,1792,0.7102,4898,0.7019,0.6856,0.7021,0.0165,-0.5069,0.6122,0.3881,0.4153,0.0272,-1.844,0.0652,0.4319,0.4626,0.0307,-2.2346,0.0254,-0.0083,0.7792,0.3042,0.1037
structured,Logistic,BlackConcentration,13,2170,0.686,5628,0.7023,0.645,0.7061,0.0612,-2.0113,0.0443,0.3688,0.4135,0.0447,-3.334,0.0009,0.4078,0.4618,0.054,-4.2956,0.0,0.0163,0.2992,0.012,0.0001
structured,Logistic,BlackConcentration,14,2684,0.6812,6570,0.7019,0.575,0.6812,0.1062,-3.797,0.0001,0.3284,0.3624,0.034,-2.8627,0.0042,0.3651,0.4135,0.0484,-4.3154,0.0,0.0208,0.0021,0.0294,0.0001
structured,Logistic,SES_group,1,515,0.6772,214,0.6659,0.6711,0.7143,0.0432,-0.4555,0.6488,0.3918,0.4246,0.0328,-0.7541,0.4508,0.433,0.472,0.039,-0.9639,0.3351,-0.0113,0.8257,0.4854,0.3609
structured,Logistic,SES_group,2,561,0.7117,263,0.6287,0.5577,0.5366,-0.0211,0.2031,0.8391,0.2849,0.3739,0.089,-2.3886,0.0169,0.3102,0.3992,0.0891,-2.5188,0.0118,-0.0831,0.8851,0.0237,0.0165
structured,Logistic,SES_group,3,606,0.7781,292,0.6825,0.7188,0.7069,-0.0119,0.1446,0.8851,0.3339,0.4658,0.1319,-3.4845,0.0005,0.3746,0.5137,0.1391,-3.9567,0.0001,-0.0955,0.8851,0.0012,0.0002
structured,Logistic,SES_group,4,814,0.6797,397,0.7966,0.6182,0.8214,0.2032,-2.6694,0.0076,0.3764,0.3695,-0.0069,0.2167,0.8284,0.4091,0.4332,0.0242,-0.8004,0.4235,0.1168,0.0532,0.8284,0.4235
structured,Logistic,SES_group,5,910,0.7202,430,0.7031,0.6493,0.6825,0.0333,-0.4599,0.6456,0.3325,0.4087,0.0762,-2.512,0.012,0.3791,0.4488,0.0697,-2.4303,0.0151,-0.0172,0.8257,0.0187,0.0192
