representation,model,grouping,metric,mean_gap,n_folds,n_sig_raw_p05,n_sig_BH_q05
finbert_pca50,Logistic,BlackConcentration,TPR,0.018,14,2.0,1.0
finbert_pca50,Logistic,BlackConcentration,FPR,0.0047,14,3.0,2.0
finbert_pca50,Logistic,BlackConcentration,PPR,0.0095,14,4.0,3.0
finbert_pca50,Logistic,BlackConcentration,AUC,0.015,14,,
finbert_pca50,Logistic,SES_group,TPR,0.0547,14,4.0,3.0
finbert_pca50,Logistic,SES_group,FPR,0.0544,14,9.0,9.0
finbert_pca50,Logistic,SES_group,PPR,0.0613,14,10.0,9.0
finbert_pca50,Logistic,SES_group,AUC,-0.0076,14,,
finbert_pca50,RandomForest,BlackConcentration,TPR,0.0063,14,1.0,0.0
finbert_pca50,RandomForest,BlackConcentration,FPR,0.008,14,0.0,0.0
finbert_pca50,RandomForest,BlackConcentration,PPR,0.0097,14,1.0,0.0
finbert_pca50,RandomForest,BlackConcentration,AUC,0.0077,14,,
finbert_pca50,RandomForest,SES_group,TPR,0.033,14,3.0,1.0
finbert_pca50,RandomForest,SES_group,FPR,0.0175,14,4.0,3.0
finbert_pca50,RandomForest,SES_group,PPR,0.0238,14,5.0,5.0
finbert_pca50,RandomForest,SES_group,AUC,-0.0106,14,,
finbert_pca50,XGBoost,BlackConcentration,TPR,0.0076,14,1.0,1.0
finbert_pca50,XGBoost,BlackConcentration,FPR,-0.0012,14,2.0,0.0
finbert_pca50,XGBoost,BlackConcentration,PPR,0.0032,14,2.0,2.0
finbert_pca50,XGBoost,BlackConcentration,AUC,0.011,14,,
finbert_pca50,XGBoost,SES_group,TPR,0.0366,14,2.0,0.0
finbert_pca50,XGBoost,SES_group,FPR,0.0555,14,11.0,9.0
finbert_pca50,XGBoost,SES_group,PPR,0.0594,14,10.0,10.0
finbert_pca50,XGBoost,SES_group,AUC,-0.0144,14,,
structured,Logistic,BlackConcentration,TPR,0.0159,14,2.0,1.0
structured,Logistic,BlackConcentration,FPR,0.0081,14,2.0,2.0
structured,Logistic,BlackConcentration,PPR,0.0119,14,4.0,2.0
structured,Logistic,BlackConcentration,AUC,0.0143,14,,
structured,Logistic,SES_group,TPR,0.0622,14,3.0,2.0
structured,Logistic,SES_group,FPR,0.0599,14,10.0,10.0
structured,Logistic,SES_group,PPR,0.067,14,12.0,12.0
structured,Logistic,SES_group,AUC,-0.006,14,,
structured,RandomForest,BlackConcentration,TPR,-0.0052,14,1.0,0.0
structured,RandomForest,BlackConcentration,FPR,-0.0028,14,0.0,0.0
structured,RandomForest,BlackConcentration,PPR,-0.0008,14,1.0,0.0
structured,RandomForest,BlackConcentration,AUC,-0.0009,14,,
structured,RandomForest,SES_group,TPR,0.0417,14,4.0,4.0
structured,RandomForest,SES_group,FPR,0.0211,14,5.0,0.0
structured,RandomForest,SES_group,PPR,0.0293,14,5.0,4.0
structured,RandomForest,SES_group,AUC,-0.0065,14,,
structured,XGBoost,BlackConcentration,TPR,-0.0005,14,1.0,0.0
structured,XGBoost,BlackConcentration,FPR,0.0007,14,2.0,2.0
structured,XGBoost,BlackConcentration,PPR,0.0032,14,2.0,2.0
structured,XGBoost,BlackConcentration,AUC,0.0106,14,,
structured,XGBoost,SES_group,TPR,0.0554,14,3.0,3.0
structured,XGBoost,SES_group,FPR,0.0546,14,10.0,9.0
structured,XGBoost,SES_group,PPR,0.0613,14,11.0,10.0
structured,XGBoost,SES_group,AUC,-0.0077,14,,
tfidf_full,Logistic,BlackConcentration,TPR,0.024,14,3.0,1.0
tfidf_full,Logistic,BlackConcentration,FPR,0.0075,14,3.0,2.0
tfidf_full,Logistic,BlackConcentration,PPR,0.0126,14,3.0,3.0
tfidf_full,Logistic,BlackConcentration,AUC,0.0122,14,,
tfidf_full,Logistic,SES_group,TPR,0.0579,14,5.0,4.0
tfidf_full,Logistic,SES_group,FPR,0.0584,14,9.0,9.0
tfidf_full,Logistic,SES_group,PPR,0.0654,14,11.0,11.0
tfidf_full,Logistic,SES_group,AUC,-0.0047,14,,
tfidf_full,RandomForest,BlackConcentration,TPR,0.0273,14,2.0,0.0
tfidf_full,RandomForest,BlackConcentration,FPR,0.01,14,1.0,0.0
tfidf_full,RandomForest,BlackConcentration,PPR,0.0151,14,2.0,0.0
tfidf_full,RandomForest,BlackConcentration,AUC,0.0061,14,,
tfidf_full,RandomForest,SES_group,TPR,0.0264,14,3.0,1.0
tfidf_full,RandomForest,SES_group,FPR,0.0236,14,8.0,5.0
tfidf_full,RandomForest,SES_group,PPR,0.0303,14,8.0,4.0
tfidf_full,RandomForest,SES_group,AUC,-0.0066,14,,
tfidf_full,XGBoost,BlackConcentration,TPR,0.0041,14,1.0,0.0
tfidf_full,XGBoost,BlackConcentration,FPR,-0.0117,14,2.0,0.0
tfidf_full,XGBoost,BlackConcentration,PPR,-0.0065,14,3.0,0.0
tfidf_full,XGBoost,BlackConcentration,AUC,0.0123,14,,
tfidf_full,XGBoost,SES_group,TPR,0.0522,14,3.0,0.0
tfidf_full,XGBoost,SES_group,FPR,0.0467,14,7.0,6.0
tfidf_full,XGBoost,SES_group,PPR,0.0539,14,9.0,8.0
tfidf_full,XGBoost,SES_group,AUC,-0.0068,14,,
