representation,model,grouping,fold,n_Low,AUC_Low,n_High,AUC_High,TPR_Low,TPR_High,gap_TPR,z_TPR,p_TPR,FPR_Low,FPR_High,gap_FPR,z_FPR,p_FPR,PPR_Low,PPR_High,gap_PPR,z_PPR,p_PPR,gap_AUC,q_TPR,q_FPR,q_PPR
structured,Logistic,BlackConcentration,1,180,0.6261,460,0.706,0.6667,0.7059,0.0392,-0.4008,0.6886,0.4354,0.4056,-0.0298,0.6248,0.5321,0.4778,0.45,-0.0278,0.6342,0.526,0.0799,0.8033,0.6208,0.6694
structured,Logistic,BlackConcentration,2,186,0.7007,554,0.6601,0.6364,0.5714,-0.0649,0.5247,0.5998,0.3171,0.3193,0.0022,-0.0525,0.9581,0.3548,0.3448,-0.0101,0.2497,0.8028,-0.0405,0.8033,0.9581,0.8028
structured,Logistic,BlackConcentration,3,181,0.7059,661,0.7069,0.6667,0.6809,0.0142,-0.1327,0.8944,0.3631,0.3986,0.0355,-0.8074,0.4194,0.4033,0.4387,0.0354,-0.8524,0.394,0.0009,0.9632,0.6208,0.5516
structured,Logistic,BlackConcentration,4,249,0.637,841,0.7192,0.641,0.6772,0.0361,-0.4194,0.6749,0.4143,0.3655,-0.0487,1.2814,0.2001,0.4498,0.4126,-0.0372,1.0442,0.2964,0.0822,0.8033,0.4668,0.4611
structured,Logistic,BlackConcentration,5,293,0.7568,909,0.758,0.7143,0.6767,-0.0376,0.4575,0.6473,0.3108,0.3325,0.0217,-0.6375,0.5238,0.3686,0.3828,0.0142,-0.4368,0.6623,0.0012,0.8033,0.6208,0.7727
structured,Logistic,BlackConcentration,6,349,0.6798,1002,0.6941,0.7333,0.7604,0.0271,-0.4252,0.6707,0.4706,0.4481,-0.0224,0.6578,0.5107,0.5158,0.508,-0.0078,0.2502,0.8024,0.0143,0.8033,0.6208,0.8028
structured,Logistic,BlackConcentration,7,428,0.6986,1276,0.6968,0.7031,0.6126,-0.0906,1.3026,0.1927,0.3736,0.3355,-0.0381,1.3246,0.1853,0.4229,0.377,-0.0459,1.6873,0.0915,-0.0018,0.6745,0.4668,0.2563
structured,Logistic,BlackConcentration,8,555,0.6697,1783,0.676,0.6857,0.7717,0.086,-1.7857,0.0741,0.48,0.5268,0.0468,-1.7333,0.0831,0.5189,0.5743,0.0554,-2.2965,0.0216,0.0063,0.346,0.2907,0.089
structured,Logistic,BlackConcentration,9,1020,0.7002,2715,0.7005,0.6993,0.699,-0.0003,0.0061,0.9951,0.3706,0.3886,0.018,-0.9351,0.3498,0.4167,0.4357,0.0191,-1.0482,0.2945,0.0003,0.9951,0.6208,0.4611
structured,Logistic,BlackConcentration,10,1012,0.6616,2694,0.7025,0.5971,0.6517,0.0546,-1.169,0.2424,0.3643,0.3717,0.0075,-0.3875,0.6984,0.3962,0.418,0.0217,-1.1969,0.2313,0.0409,0.6788,0.7521,0.4611
structured,Logistic,BlackConcentration,11,1378,0.6955,3563,0.6833,0.6824,0.6572,-0.0252,0.6037,0.5461,0.3733,0.3881,0.0148,-0.8942,0.3712,0.4115,0.428,0.0165,-1.0555,0.2912,-0.0123,0.8033,0.6208,0.4611
structured,Logistic,BlackConcentration,12,1792,0.7102,4898,0.7019,0.6856,0.7021,0.0165,-0.5069,0.6122,0.3881,0.4153,0.0272,-1.844,0.0652,0.4319,0.4626,0.0307,-2.2346,0.0254,-0.0083,0.8033,0.2907,0.089
structured,Logistic,BlackConcentration,13,2170,0.686,5628,0.7023,0.645,0.7061,0.0612,-2.0113,0.0443,0.3688,0.4137,0.0449,-3.3496,0.0008,0.4078,0.462,0.0541,-4.3096,0.0,0.0164,0.3101,0.0113,0.0001
structured,Logistic,BlackConcentration,14,2684,0.6812,6570,0.7019,0.575,0.6812,0.1062,-3.797,0.0001,0.3284,0.3626,0.0342,-2.8777,0.004,0.3651,0.4137,0.0486,-4.3287,0.0,0.0207,0.0021,0.028,0.0001
structured,Logistic,SES_group,1,515,0.6752,214,0.663,0.6447,0.7143,0.0695,-0.7222,0.4702,0.3827,0.419,0.0363,-0.8381,0.402,0.4214,0.4673,0.0459,-1.1392,0.2546,-0.0121,0.7313,0.4329,0.2742
structured,Logistic,SES_group,2,561,0.7092,263,0.6306,0.5769,0.6098,0.0328,-0.3198,0.7491,0.2967,0.3829,0.0862,-2.2928,0.0219,0.3226,0.4183,0.0956,-2.6769,0.0074,-0.0786,0.874,0.0306,0.0116
structured,Logistic,SES_group,3,606,0.7751,292,0.6818,0.7031,0.7069,0.0038,-0.0456,0.9636,0.3432,0.4701,0.1269,-3.3402,0.0008,0.3812,0.5171,0.1359,-3.8596,0.0001,-0.0934,0.9636,0.0017,0.0002
structured,Logistic,SES_group,4,814,0.6773,397,0.7972,0.5909,0.8214,0.2305,-2.9834,0.0029,0.3608,0.3548,-0.006,0.1882,0.8507,0.3919,0.4207,0.0288,-0.9586,0.3378,0.1199,0.0207,0.8507,0.3378
structured,Logistic,SES_group,5,910,0.7211,430,0.7036,0.6343,0.6667,0.0323,-0.4423,0.6583,0.3196,0.4005,0.081,-2.6872,0.0072,0.3659,0.4395,0.0736,-2.5792,0.0099,-0.0175,0.8378,0.0112,0.0139
structured,Logistic,SES_group,6,959,0.7082,507,0.6192,0.7241,0.7308,0.0066,-0.12,0.9045,0.4331,0.5186,0.0855,-2.7982,0.0051,0.4859,0.5621,0.0762,-2.7765,0.0055,-0.089,0.9636,0.009,0.0096
structured,Logistic,SES_group,7,1211,0.6927,676,0.7271,0.5965,0.7143,0.1178,-2.0227,0.0431,0.3115,0.3457,0.0342,-1.3982,0.1621,0.3518,0.4068,0.055,-2.3721,0.0177,0.0344,0.154,0.1891,0.0225
structured,Logistic,SES_group,8,1715,0.675,838,0.707,0.7353,0.8,0.0647,-1.5475,0.1217,0.4833,0.5206,0.0373,-1.5973,0.1102,0.5283,0.574,0.0457,-2.177,0.0295,0.0321,0.2435,0.1403,0.0344
structured,Logistic,SES_group,9,2595,0.7131,1429,0.6891,0.6756,0.6947,0.0191,-0.4865,0.6266,0.3492,0.4281,0.0789,-4.5461,0.0,0.3961,0.4703,0.0741,-4.5547,0.0,-0.024,0.8378,0.0,0.0
