model,grouping,metric,comparison,mean_gap_structured,mean_gap_tfidf_full,n_folds,mean_delta,sd_delta,ci_lo,ci_hi,cohens_dz,t_stat,p_ttest,w_stat,p_wilcoxon,mean_gap_finbert_pca50,q_ttest,q_wilcoxon,both_agree_sig,both_agree_sig_BH
Logistic,BlackConcentration,TPR,tfidf_full - structured,0.0262,0.0268,14,0.0007,0.0492,-0.0277,0.0291,0.0138,0.0516,0.9596,45.0,0.6698,,0.9596,0.6698,False,False
Logistic,BlackConcentration,FPR,tfidf_full - structured,0.0112,0.0083,14,-0.0029,0.0146,-0.0113,0.0055,-0.1993,-0.7456,0.4692,39.0,0.4263,,0.64,0.636,False,False
Logistic,BlackConcentration,PPR,tfidf_full - structured,0.0164,0.0134,14,-0.0031,0.0126,-0.0103,0.0042,-0.2435,-0.9112,0.3788,36.0,0.3258,,0.64,0.636,False,False
Logistic,BlackConcentration,AUC,tfidf_full - structured,0.0141,0.0113,14,-0.0028,0.0059,-0.0062,0.0006,-0.4714,-1.7637,0.1013,27.0,0.1189,,0.4052,0.5412,False,False
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,0.0262,,14,-0.0052,0.0304,-0.0228,0.0124,-0.1709,-0.6395,0.5336,43.0,0.583,0.021,0.64,0.636,False,False
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,0.0112,,14,-0.0089,0.0181,-0.0194,0.0015,-0.4926,-1.8431,0.0882,28.0,0.1353,0.0022,0.4052,0.5412,False,False
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,0.0164,,14,-0.0086,0.016,-0.0179,0.0006,-0.5406,-2.0229,0.0641,27.0,0.1189,0.0078,0.4052,0.5412,False,False
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,0.0141,,14,0.0012,0.0078,-0.0033,0.0056,0.149,0.5575,0.5867,42.0,0.5416,0.0153,0.64,0.636,False,False
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,,0.0268,14,-0.0059,0.0382,-0.0279,0.0162,-0.154,-0.5764,0.5742,43.0,0.5508,0.021,0.64,0.636,False,False
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,,0.0083,14,-0.006,0.0182,-0.0165,0.0045,-0.3297,-1.2335,0.2392,42.0,0.5416,0.0022,0.4784,0.636,False,False
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,,0.0134,14,-0.0056,0.015,-0.0143,0.0031,-0.3712,-1.3888,0.1882,27.0,0.1955,0.0078,0.4784,0.5865,False,False
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,,0.0113,14,0.0039,0.0112,-0.0025,0.0104,0.3528,1.3201,0.2096,35.0,0.2958,0.0153,0.4784,0.636,False,False
Logistic,SES_group,TPR,tfidf_full - structured,0.054,0.0542,14,0.0002,0.0312,-0.0178,0.0182,0.006,0.0223,0.9825,44.0,0.9165,,0.9825,0.925,False,False
Logistic,SES_group,FPR,tfidf_full - structured,0.0607,0.0583,14,-0.0024,0.0142,-0.0106,0.0058,-0.1701,-0.6364,0.5356,42.0,0.5416,,0.9004,0.9109,False,False
Logistic,SES_group,PPR,tfidf_full - structured,0.0665,0.0646,14,-0.0019,0.0139,-0.0099,0.0062,-0.1328,-0.4971,0.6274,46.0,0.6832,,0.9004,0.9109,False,False
Logistic,SES_group,AUC,tfidf_full - structured,-0.0067,-0.0052,14,0.0015,0.0088,-0.0036,0.0066,0.1713,0.6408,0.5328,51.0,0.925,,0.9004,0.925,False,False
Logistic,SES_group,TPR,finbert_pca50 - structured,0.054,,14,0.0005,0.0301,-0.0169,0.0178,0.0159,0.0595,0.9534,50.0,0.9032,0.0545,0.9825,0.925,False,False
Logistic,SES_group,FPR,finbert_pca50 - structured,0.0607,,14,-0.0071,0.0168,-0.0167,0.0026,-0.4206,-1.5739,0.1395,29.0,0.1531,0.0536,0.9004,0.9109,False,False
Logistic,SES_group,PPR,finbert_pca50 - structured,0.0665,,14,-0.006,0.0175,-0.0161,0.004,-0.346,-1.2947,0.218,36.0,0.3002,0.0604,0.9004,0.9109,False,False
Logistic,SES_group,AUC,finbert_pca50 - structured,-0.0067,,14,-0.0009,0.0079,-0.0055,0.0037,-0.1145,-0.4285,0.6753,44.0,0.6257,-0.0076,0.9004,0.9109,False,False
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,,0.0542,14,0.0003,0.0309,-0.0176,0.0181,0.0095,0.0355,0.9723,42.0,0.5097,0.0545,0.9825,0.9109,False,False
Logistic,SES_group,FPR,finbert_pca50 - tfidf_full,,0.0583,14,-0.0046,0.0169,-0.0144,0.0051,-0.2756,-1.0311,0.3213,42.0,0.5416,0.0536,0.9004,0.9109,False,False
Logistic,SES_group,PPR,finbert_pca50 - tfidf_full,,0.0646,14,-0.0042,0.0147,-0.0127,0.0043,-0.286,-1.0702,0.304,40.0,0.4325,0.0604,0.9004,0.9109,False,False
Logistic,SES_group,AUC,finbert_pca50 - tfidf_full,,-0.0052,14,-0.0024,0.0108,-0.0086,0.0038,-0.2237,-0.8371,0.4176,35.0,0.2958,-0.0076,0.9004,0.9109,False,False
XGBoost,BlackConcentration,TPR,tfidf_full - structured,-0.0052,0.0112,14,0.0165,0.1047,-0.0439,0.0769,0.1576,0.5896,0.5656,45.5,0.6603,,0.8893,0.8038,False,False
XGBoost,BlackConcentration,FPR,tfidf_full - structured,-0.0001,-0.0118,14,-0.0118,0.021,-0.0239,0.0003,-0.5618,-2.1021,0.0556,16.0,0.0203,,0.6672,0.2436,False,False
XGBoost,BlackConcentration,PPR,tfidf_full - structured,0.0019,-0.0054,14,-0.0073,0.0206,-0.0192,0.0046,-0.3535,-1.3228,0.2087,24.0,0.0785,,0.8893,0.471,False,False
XGBoost,BlackConcentration,AUC,tfidf_full - structured,0.0083,0.0107,14,0.0024,0.0391,-0.0202,0.025,0.061,0.2281,0.8231,45.0,0.6698,,0.8914,0.8038,False,False
XGBoost,BlackConcentration,TPR,finbert_pca50 - structured,-0.0052,,14,0.0127,0.0941,-0.0417,0.067,0.1348,0.5042,0.6225,47.0,0.7609,0.0074,0.8893,0.8301,False,False
XGBoost,BlackConcentration,FPR,finbert_pca50 - structured,-0.0001,,14,-0.0052,0.022,-0.0179,0.0075,-0.2363,-0.8841,0.3927,35.0,0.2958,-0.0053,0.8893,0.8038,False,False
XGBoost,BlackConcentration,PPR,finbert_pca50 - structured,0.0019,,14,-0.0022,0.0191,-0.0133,0.0088,-0.1176,-0.4402,0.667,44.0,0.5935,-0.0003,0.8893,0.8038,False,False
XGBoost,BlackConcentration,AUC,finbert_pca50 - structured,0.0083,,14,0.0038,0.0172,-0.0061,0.0137,0.2222,0.8316,0.4207,40.0,0.4631,0.0122,0.8893,0.8038,False,False
XGBoost,BlackConcentration,TPR,finbert_pca50 - tfidf_full,,0.0112,14,-0.0038,0.0967,-0.0596,0.052,-0.0394,-0.1474,0.8851,49.0,0.8552,0.0074,0.8914,0.8552,False,False
XGBoost,BlackConcentration,FPR,finbert_pca50 - tfidf_full,,-0.0118,14,0.0066,0.0266,-0.0088,0.0219,0.2468,0.9233,0.3726,36.0,0.3258,-0.0053,0.8893,0.8038,False,False
XGBoost,BlackConcentration,PPR,finbert_pca50 - tfidf_full,,-0.0054,14,0.0051,0.0258,-0.0098,0.0199,0.1959,0.7329,0.4767,39.0,0.4263,-0.0003,0.8893,0.8038,False,False
XGBoost,BlackConcentration,AUC,finbert_pca50 - tfidf_full,,0.0107,14,0.0014,0.0384,-0.0207,0.0236,0.0372,0.1392,0.8914,43.0,0.583,0.0122,0.8914,0.8038,False,False
XGBoost,SES_group,TPR,tfidf_full - structured,0.0602,0.0523,14,-0.0079,0.0378,-0.0297,0.0139,-0.2089,-0.7816,0.4485,45.0,0.6698,,0.598,0.8931,False,False
XGBoost,SES_group,FPR,tfidf_full - structured,0.0534,0.0463,14,-0.0071,0.0304,-0.0247,0.0104,-0.2343,-0.8765,0.3967,26.0,0.0961,,0.598,0.531,False,False
XGBoost,SES_group,PPR,tfidf_full - structured,0.0606,0.0539,14,-0.0067,0.0277,-0.0227,0.0093,-0.2406,-0.9003,0.3843,29.0,0.14,,0.598,0.531,False,False
XGBoost,SES_group,AUC,tfidf_full - structured,-0.0066,-0.0096,14,-0.003,0.0115,-0.0096,0.0036,-0.2613,-0.9776,0.3461,44.0,0.6257,,0.598,0.8931,False,False
XGBoost,SES_group,TPR,finbert_pca50 - structured,0.0602,,14,-0.0202,0.0509,-0.0496,0.0092,-0.396,-1.4816,0.1623,39.0,0.4263,0.04,0.598,0.8526,False,False
XGBoost,SES_group,FPR,finbert_pca50 - structured,0.0534,,14,-0.0081,0.0233,-0.0216,0.0054,-0.3472,-1.2992,0.2165,31.0,0.177,0.0453,0.598,0.531,False,False
XGBoost,SES_group,PPR,finbert_pca50 - structured,0.0606,,14,-0.0098,0.0227,-0.0229,0.0034,-0.4295,-1.6072,0.132,29.0,0.1531,0.0508,0.598,0.531,False,False
