model,grouping,metric,comparison,fold,gap_structured,gap_tfidf_full,delta,gap_finbert_pca50
Logistic,BlackConcentration,TPR,tfidf_full - structured,1,0.1578,0.0245,-0.1333,
Logistic,BlackConcentration,TPR,tfidf_full - structured,2,-0.1185,-0.0731,0.0454,
Logistic,BlackConcentration,TPR,tfidf_full - structured,3,0.0248,0.0869,0.0621,
Logistic,BlackConcentration,TPR,tfidf_full - structured,4,0.0519,0.0262,-0.0257,
Logistic,BlackConcentration,TPR,tfidf_full - structured,5,-0.0301,-0.0388,-0.0087,
Logistic,BlackConcentration,TPR,tfidf_full - structured,6,0.0479,0.0208,-0.0271,
Logistic,BlackConcentration,TPR,tfidf_full - structured,7,-0.0695,-0.0487,0.0208,
Logistic,BlackConcentration,TPR,tfidf_full - structured,8,0.0889,0.0582,-0.0307,
Logistic,BlackConcentration,TPR,tfidf_full - structured,9,-0.0003,0.0137,0.014,
Logistic,BlackConcentration,TPR,tfidf_full - structured,10,0.0546,0.1018,0.0472,
Logistic,BlackConcentration,TPR,tfidf_full - structured,11,-0.0252,0.0135,0.0387,
Logistic,BlackConcentration,TPR,tfidf_full - structured,12,0.0165,0.0388,0.0223,
Logistic,BlackConcentration,TPR,tfidf_full - structured,13,0.0612,0.0677,0.0065,
Logistic,BlackConcentration,TPR,tfidf_full - structured,14,0.1062,0.0842,-0.022,
Logistic,BlackConcentration,FPR,tfidf_full - structured,1,-0.0357,-0.0332,0.0025,
Logistic,BlackConcentration,FPR,tfidf_full - structured,2,0.0124,-0.0075,-0.0199,
Logistic,BlackConcentration,FPR,tfidf_full - structured,3,0.0603,0.0286,-0.0317,
Logistic,BlackConcentration,FPR,tfidf_full - structured,4,-0.0585,-0.0336,0.0249,
Logistic,BlackConcentration,FPR,tfidf_full - structured,5,0.0307,0.0154,-0.0153,
Logistic,BlackConcentration,FPR,tfidf_full - structured,6,-0.0123,-0.0232,-0.0109,
Logistic,BlackConcentration,FPR,tfidf_full - structured,7,-0.0289,-0.04,-0.0111,
Logistic,BlackConcentration,FPR,tfidf_full - structured,8,0.0425,0.0386,-0.0039,
Logistic,BlackConcentration,FPR,tfidf_full - structured,9,0.0176,0.0082,-0.0094,
Logistic,BlackConcentration,FPR,tfidf_full - structured,10,0.0075,0.0141,0.0066,
Logistic,BlackConcentration,FPR,tfidf_full - structured,11,0.0148,0.0165,0.0017,
Logistic,BlackConcentration,FPR,tfidf_full - structured,12,0.0272,0.036,0.0088,
Logistic,BlackConcentration,FPR,tfidf_full - structured,13,0.0447,0.051,0.0063,
Logistic,BlackConcentration,FPR,tfidf_full - structured,14,0.034,0.0447,0.0107,
Logistic,BlackConcentration,PPR,tfidf_full - structured,1,-0.0138,-0.0345,-0.0207,
Logistic,BlackConcentration,PPR,tfidf_full - structured,2,-0.0065,-0.0193,-0.0128,
Logistic,BlackConcentration,PPR,tfidf_full - structured,3,0.0585,0.0393,-0.0192,
Logistic,BlackConcentration,PPR,tfidf_full - structured,4,-0.043,-0.0262,0.0168,
Logistic,BlackConcentration,PPR,tfidf_full - structured,5,0.023,0.0087,-0.0143,
Logistic,BlackConcentration,PPR,tfidf_full - structured,6,0.0043,-0.0094,-0.0137,
Logistic,BlackConcentration,PPR,tfidf_full - structured,7,-0.0349,-0.0412,-0.0063,
Logistic,BlackConcentration,PPR,tfidf_full - structured,8,0.0525,0.0435,-0.009,
Logistic,BlackConcentration,PPR,tfidf_full - structured,9,0.0187,0.0127,-0.006,
Logistic,BlackConcentration,PPR,tfidf_full - structured,10,0.0217,0.0343,0.0126,
Logistic,BlackConcentration,PPR,tfidf_full - structured,11,0.0165,0.0232,0.0067,
Logistic,BlackConcentration,PPR,tfidf_full - structured,12,0.0307,0.0418,0.0111,
Logistic,BlackConcentration,PPR,tfidf_full - structured,13,0.054,0.0602,0.0062,
Logistic,BlackConcentration,PPR,tfidf_full - structured,14,0.0484,0.0541,0.0057,
