model,grouping,metric,comparison,fold,gap_structured,gap_tfidf_full,delta,gap_finbert_pca50
Logistic,BlackConcentration,TPR,tfidf_full - structured,1,0.0392,0.0392,0.0,
Logistic,BlackConcentration,TPR,tfidf_full - structured,2,-0.0649,-0.1006,-0.0357,
Logistic,BlackConcentration,TPR,tfidf_full - structured,3,0.0142,0.0559,0.0417,
Logistic,BlackConcentration,TPR,tfidf_full - structured,4,0.0361,0.0361,0.0,
Logistic,BlackConcentration,TPR,tfidf_full - structured,5,-0.0376,-0.0388,-0.0012,
Logistic,BlackConcentration,TPR,tfidf_full - structured,6,0.0271,0.0042,-0.0229,
Logistic,BlackConcentration,TPR,tfidf_full - structured,7,-0.0906,-0.0487,0.0419,
Logistic,BlackConcentration,TPR,tfidf_full - structured,8,0.086,0.0707,-0.0153,
Logistic,BlackConcentration,TPR,tfidf_full - structured,9,-0.0003,0.0089,0.0092,
Logistic,BlackConcentration,TPR,tfidf_full - structured,10,0.0546,0.1018,0.0472,
Logistic,BlackConcentration,TPR,tfidf_full - structured,11,-0.0252,0.0116,0.0368,
Logistic,BlackConcentration,TPR,tfidf_full - structured,12,0.0165,0.0388,0.0223,
Logistic,BlackConcentration,TPR,tfidf_full - structured,13,0.0612,0.0709,0.0097,
Logistic,BlackConcentration,TPR,tfidf_full - structured,14,0.1062,0.0864,-0.0198,
Logistic,BlackConcentration,FPR,tfidf_full - structured,1,-0.0298,-0.0332,-0.0034,
Logistic,BlackConcentration,FPR,tfidf_full - structured,2,0.0022,-0.0037,-0.0059,
Logistic,BlackConcentration,FPR,tfidf_full - structured,3,0.0355,0.0409,0.0054,
Logistic,BlackConcentration,FPR,tfidf_full - structured,4,-0.0487,-0.0563,-0.0076,
Logistic,BlackConcentration,FPR,tfidf_full - structured,5,0.0217,0.0154,-0.0063,
Logistic,BlackConcentration,FPR,tfidf_full - structured,6,-0.0224,-0.0197,0.0027,
Logistic,BlackConcentration,FPR,tfidf_full - structured,7,-0.0381,-0.0445,-0.0064,
Logistic,BlackConcentration,FPR,tfidf_full - structured,8,0.0468,0.0394,-0.0074,
Logistic,BlackConcentration,FPR,tfidf_full - structured,9,0.018,0.0077,-0.0103,
Logistic,BlackConcentration,FPR,tfidf_full - structured,10,0.0075,0.0126,0.0051,
Logistic,BlackConcentration,FPR,tfidf_full - structured,11,0.0148,0.0168,0.002,
Logistic,BlackConcentration,FPR,tfidf_full - structured,12,0.0272,0.0367,0.0095,
Logistic,BlackConcentration,FPR,tfidf_full - structured,13,0.0449,0.0516,0.0067,
Logistic,BlackConcentration,FPR,tfidf_full - structured,14,0.0342,0.042,0.0078,
Logistic,BlackConcentration,PPR,tfidf_full - structured,1,-0.0278,-0.0309,-0.0031,
Logistic,BlackConcentration,PPR,tfidf_full - structured,2,-0.0101,-0.0192,-0.0091,
Logistic,BlackConcentration,PPR,tfidf_full - structured,3,0.0354,0.0459,0.0105,
Logistic,BlackConcentration,PPR,tfidf_full - structured,4,-0.0372,-0.0436,-0.0064,
Logistic,BlackConcentration,PPR,tfidf_full - structured,5,0.0142,0.0087,-0.0055,
Logistic,BlackConcentration,PPR,tfidf_full - structured,6,-0.0078,-0.0094,-0.0016,
Logistic,BlackConcentration,PPR,tfidf_full - structured,7,-0.0459,-0.0451,0.0008,
Logistic,BlackConcentration,PPR,tfidf_full - structured,8,0.0554,0.0466,-0.0088,
Logistic,BlackConcentration,PPR,tfidf_full - structured,9,0.0191,0.0116,-0.0075,
Logistic,BlackConcentration,PPR,tfidf_full - structured,10,0.0217,0.033,0.0113,
Logistic,BlackConcentration,PPR,tfidf_full - structured,11,0.0165,0.0232,0.0067,
Logistic,BlackConcentration,PPR,tfidf_full - structured,12,0.0307,0.0424,0.0117,
Logistic,BlackConcentration,PPR,tfidf_full - structured,13,0.0541,0.0612,0.0071,
Logistic,BlackConcentration,PPR,tfidf_full - structured,14,0.0486,0.0521,0.0035,
Logistic,BlackConcentration,AUC,tfidf_full - structured,1,0.0799,0.075,-0.0049,
Logistic,BlackConcentration,AUC,tfidf_full - structured,2,-0.0405,-0.0451,-0.0046,
Logistic,BlackConcentration,AUC,tfidf_full - structured,3,0.0009,-0.0104,-0.0113,
Logistic,BlackConcentration,AUC,tfidf_full - structured,4,0.0822,0.0837,0.0015,
Logistic,BlackConcentration,AUC,tfidf_full - structured,5,0.0012,0.0005,-0.0007,
Logistic,BlackConcentration,AUC,tfidf_full - structured,6,0.0143,0.0076,-0.0067,
Logistic,BlackConcentration,AUC,tfidf_full - structured,7,-0.0018,0.0043,0.0061,
Logistic,BlackConcentration,AUC,tfidf_full - structured,8,0.0063,-0.0011,-0.0074,
Logistic,BlackConcentration,AUC,tfidf_full - structured,9,0.0003,-0.0098,-0.0101,
Logistic,BlackConcentration,AUC,tfidf_full - structured,10,0.0409,0.0424,0.0015,
