model,grouping,metric,comparison,mean_gap_structured,mean_gap_tfidf_full,n_folds,mean_delta,sd_delta,ci_lo,ci_hi,cohens_dz,t_stat,p_ttest,w_stat,p_wilcoxon,mean_gap_finbert_pca50,q_ttest,q_wilcoxon,both_agree_sig,both_agree_sig_BH
Logistic,BlackConcentration,TPR,tfidf_full - structured,0.0159,0.024,14,0.0081,0.0267,-0.0073,0.0235,0.305,1.141,0.2744,25.0,0.2721,,0.6977,0.7798,False,False
Logistic,BlackConcentration,FPR,tfidf_full - structured,0.0081,0.0076,14,-0.0006,0.0068,-0.0045,0.0034,-0.0849,-0.3178,0.7557,46.0,0.7148,,0.793,0.7798,False,False
Logistic,BlackConcentration,PPR,tfidf_full - structured,0.0119,0.0126,14,0.0007,0.0077,-0.0038,0.0051,0.0887,0.332,0.7452,46.0,0.7148,,0.793,0.7798,False,False
Logistic,BlackConcentration,AUC,tfidf_full - structured,0.0143,0.0122,14,-0.0021,0.0057,-0.0054,0.0012,-0.3613,-1.3517,0.1995,34.0,0.2454,,0.6977,0.7798,False,False
Logistic,BlackConcentration,TPR,finbert_pca50 - structured,0.0159,,14,0.0021,0.0299,-0.0151,0.0194,0.0716,0.2679,0.793,45.0,0.9721,0.018,0.793,0.9721,False,False
Logistic,BlackConcentration,FPR,finbert_pca50 - structured,0.0081,,14,-0.0034,0.0117,-0.0102,0.0034,-0.2905,-1.0869,0.2968,39.0,0.4263,0.0047,0.6977,0.7798,False,False
Logistic,BlackConcentration,PPR,finbert_pca50 - structured,0.0119,,14,-0.0024,0.0094,-0.0078,0.003,-0.2565,-0.9596,0.3548,41.0,0.5016,0.0095,0.6977,0.7798,False,False
Logistic,BlackConcentration,AUC,finbert_pca50 - structured,0.0143,,14,0.0007,0.0091,-0.0046,0.006,0.075,0.2808,0.7833,44.0,0.6257,0.015,0.793,0.7798,False,False
Logistic,BlackConcentration,TPR,finbert_pca50 - tfidf_full,,0.024,14,-0.006,0.0365,-0.0271,0.0151,-0.1643,-0.6146,0.5494,38.0,0.6002,0.018,0.793,0.7798,False,False
Logistic,BlackConcentration,FPR,finbert_pca50 - tfidf_full,,0.0076,14,-0.0028,0.0123,-0.0099,0.0043,-0.229,-0.8569,0.407,37.0,0.3575,0.0047,0.6977,0.7798,False,False
Logistic,BlackConcentration,PPR,finbert_pca50 - tfidf_full,,0.0126,14,-0.0031,0.0109,-0.0094,0.0032,-0.283,-1.059,0.3089,39.0,0.4263,0.0095,0.6977,0.7798,False,False
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,,0.0122,14,0.0028,0.0114,-0.0038,0.0093,0.2419,0.9053,0.3818,41.0,0.5016,0.015,0.6977,0.7798,False,False
Logistic,SES_group,TPR,tfidf_full - structured,0.0622,0.0579,14,-0.0043,0.0366,-0.0254,0.0169,-0.1161,-0.4345,0.671,47.0,0.7609,,0.7236,0.7609,False,False
Logistic,SES_group,FPR,tfidf_full - structured,0.0599,0.0584,14,-0.0015,0.0098,-0.0071,0.0042,-0.1507,-0.564,0.5824,47.0,0.7298,,0.7236,0.7609,False,False
Logistic,SES_group,PPR,tfidf_full - structured,0.067,0.0654,14,-0.0016,0.0122,-0.0086,0.0055,-0.1283,-0.48,0.6392,38.0,0.6002,,0.7236,0.7609,False,False
Logistic,SES_group,AUC,tfidf_full - structured,-0.006,-0.0047,14,0.0013,0.0064,-0.0024,0.005,0.2012,0.7527,0.4651,43.5,0.572,,0.7236,0.7609,False,False
Logistic,SES_group,TPR,finbert_pca50 - structured,0.0622,,14,-0.0075,0.0398,-0.0305,0.0155,-0.1881,-0.7036,0.4941,45.0,0.6698,0.0547,0.7236,0.7609,False,False
Logistic,SES_group,FPR,finbert_pca50 - structured,0.0599,,14,-0.0055,0.0146,-0.0139,0.0029,-0.377,-1.4105,0.1819,29.0,0.1531,0.0544,0.6125,0.4142,False,False
Logistic,SES_group,PPR,finbert_pca50 - structured,0.067,,14,-0.0056,0.0156,-0.0146,0.0033,-0.3627,-1.3571,0.1978,30.0,0.1726,0.0613,0.6125,0.4142,False,False
Logistic,SES_group,AUC,finbert_pca50 - structured,-0.006,,14,-0.0016,0.0076,-0.006,0.0028,-0.2122,-0.794,0.4415,40.0,0.4631,-0.0076,0.7236,0.7609,False,False
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,,0.0579,14,-0.0032,0.0335,-0.0226,0.0161,-0.0966,-0.3614,0.7236,30.0,0.1726,0.0547,0.7236,0.4142,False,False
Logistic,SES_group,FPR,finbert_pca50 - tfidf_full,,0.0584,14,-0.004,0.0122,-0.0111,0.003,-0.329,-1.2309,0.2402,43.0,0.5507,0.0544,0.6125,0.7609,False,False
Logistic,SES_group,PPR,finbert_pca50 - tfidf_full,,0.0654,14,-0.0041,0.008,-0.0087,0.0005,-0.5092,-1.9051,0.0791,28.0,0.1353,0.0613,0.6125,0.4142,False,False
Logistic,SES_group,AUC,finbert_pca50 - tfidf_full,,-0.0047,14,-0.0029,0.0091,-0.0081,0.0024,-0.3182,-1.1904,0.2552,29.0,0.1531,-0.0076,0.6125,0.4142,False,False
RandomForest,BlackConcentration,TPR,tfidf_full - structured,-0.0052,0.0273,14,0.0325,0.0671,-0.0062,0.0712,0.4844,1.8125,0.0931,27.0,0.1189,,0.1948,0.2854,False,False
RandomForest,BlackConcentration,FPR,tfidf_full - structured,-0.0028,0.01,14,0.0128,0.022,0.0001,0.0255,0.5811,2.1744,0.0487,23.0,0.0676,,0.1948,0.2028,False,False
RandomForest,BlackConcentration,PPR,tfidf_full - structured,-0.0008,0.0151,14,0.0158,0.0243,0.0018,0.0299,0.6519,2.4391,0.0298,17.0,0.0464,,0.1948,0.2028,True,False
RandomForest,BlackConcentration,AUC,tfidf_full - structured,-0.0009,0.0061,14,0.007,0.0184,-0.0036,0.0177,0.3808,1.4247,0.1778,32.0,0.2166,,0.2667,0.3249,False,False
RandomForest,BlackConcentration,TPR,finbert_pca50 - structured,-0.0052,,14,0.0115,0.0373,-0.01,0.0331,0.3092,1.157,0.2681,35.0,0.2958,0.0063,0.3575,0.3944,False,False
RandomForest,BlackConcentration,FPR,finbert_pca50 - structured,-0.0028,,14,0.0108,0.0239,-0.003,0.0247,0.4533,1.6961,0.1137,23.0,0.0676,0.008,0.1949,0.2028,False,False
RandomForest,BlackConcentration,PPR,finbert_pca50 - structured,-0.0008,,14,0.0105,0.0217,-0.0021,0.023,0.4826,1.8059,0.0941,22.0,0.058,0.0097,0.1948,0.2028,False,False
