representation,model,grouping,threshold,n_folds_used,n_folds_insufficient,metric,mean_value,n_sig_raw_p05,n_sig_BH_q05
finbert_768,Logistic,AsianConcentration,0.3,7,7,TPR,-0.0058,1.0,1.0
finbert_768,Logistic,AsianConcentration,0.3,7,7,FPR,-0.018,6.0,2.0
finbert_768,Logistic,AsianConcentration,0.3,7,7,PPR,-0.0177,5.0,4.0
finbert_768,Logistic,AsianConcentration,0.3,7,7,AUC,0.0037,,
finbert_768,Logistic,AsianConcentration,0.3,7,7,EO_diff,0.0498,,
finbert_768,Logistic,AsianConcentration,0.4,7,7,TPR,0.006,1.0,0.0
finbert_768,Logistic,AsianConcentration,0.4,7,7,FPR,-0.0351,4.0,3.0
finbert_768,Logistic,AsianConcentration,0.4,7,7,PPR,-0.0307,3.0,3.0
finbert_768,Logistic,AsianConcentration,0.4,7,7,AUC,0.0037,,
finbert_768,Logistic,AsianConcentration,0.4,7,7,EO_diff,0.0504,,
finbert_768,Logistic,AsianConcentration,0.5,7,7,TPR,-0.0231,1.0,1.0
finbert_768,Logistic,AsianConcentration,0.5,7,7,FPR,-0.0308,2.0,1.0
finbert_768,Logistic,AsianConcentration,0.5,7,7,PPR,-0.0315,2.0,2.0
finbert_768,Logistic,AsianConcentration,0.5,7,7,AUC,0.0037,,
finbert_768,Logistic,AsianConcentration,0.5,7,7,EO_diff,0.0504,,
finbert_768,Logistic,AsianConcentration,0.6,7,7,TPR,-0.0422,1.0,1.0
finbert_768,Logistic,AsianConcentration,0.6,7,7,FPR,-0.0251,2.0,2.0
finbert_768,Logistic,AsianConcentration,0.6,7,7,PPR,-0.0291,2.0,2.0
finbert_768,Logistic,AsianConcentration,0.6,7,7,AUC,0.0037,,
finbert_768,Logistic,AsianConcentration,0.6,7,7,EO_diff,0.0573,,
finbert_768,Logistic,BlackConcentration,0.3,12,2,TPR,0.0374,1.0,0.0
finbert_768,Logistic,BlackConcentration,0.3,12,2,FPR,0.0055,5.0,4.0
finbert_768,Logistic,BlackConcentration,0.3,12,2,PPR,0.0125,5.0,3.0
finbert_768,Logistic,BlackConcentration,0.3,12,2,AUC,0.0229,,
finbert_768,Logistic,BlackConcentration,0.3,12,2,EO_diff,0.0548,,
finbert_768,Logistic,BlackConcentration,0.4,12,2,TPR,0.0445,3.0,0.0
finbert_768,Logistic,BlackConcentration,0.4,12,2,FPR,0.0091,4.0,4.0
finbert_768,Logistic,BlackConcentration,0.4,12,2,PPR,0.0173,4.0,4.0
finbert_768,Logistic,BlackConcentration,0.4,12,2,AUC,0.0229,,
finbert_768,Logistic,BlackConcentration,0.4,12,2,EO_diff,0.0586,,
finbert_768,Logistic,BlackConcentration,0.5,12,2,TPR,0.0477,2.0,1.0
finbert_768,Logistic,BlackConcentration,0.5,12,2,FPR,0.0077,3.0,2.0
finbert_768,Logistic,BlackConcentration,0.5,12,2,PPR,0.017,3.0,3.0
finbert_768,Logistic,BlackConcentration,0.5,12,2,AUC,0.0229,,
finbert_768,Logistic,BlackConcentration,0.5,12,2,EO_diff,0.0644,,
finbert_768,Logistic,BlackConcentration,0.6,12,2,TPR,0.0241,2.0,0.0
finbert_768,Logistic,BlackConcentration,0.6,12,2,FPR,0.0085,3.0,2.0
finbert_768,Logistic,BlackConcentration,0.6,12,2,PPR,0.0134,3.0,3.0
finbert_768,Logistic,BlackConcentration,0.6,12,2,AUC,0.0229,,
finbert_768,Logistic,BlackConcentration,0.6,12,2,EO_diff,0.0503,,
finbert_768,Logistic,ForeignBornConcentration,0.3,9,5,TPR,0.0115,1.0,0.0
finbert_768,Logistic,ForeignBornConcentration,0.3,9,5,FPR,-0.0081,3.0,3.0
finbert_768,Logistic,ForeignBornConcentration,0.3,9,5,PPR,-0.0059,4.0,4.0
finbert_768,Logistic,ForeignBornConcentration,0.3,9,5,AUC,-0.0004,,
finbert_768,Logistic,ForeignBornConcentration,0.3,9,5,EO_diff,0.0498,,
finbert_768,Logistic,ForeignBornConcentration,0.4,9,5,TPR,0.013,0.0,0.0
finbert_768,Logistic,ForeignBornConcentration,0.4,9,5,FPR,-0.0161,3.0,2.0
finbert_768,Logistic,ForeignBornConcentration,0.4,9,5,PPR,-0.0129,3.0,2.0
finbert_768,Logistic,ForeignBornConcentration,0.4,9,5,AUC,-0.0004,,
finbert_768,Logistic,ForeignBornConcentration,0.4,9,5,EO_diff,0.0519,,
finbert_768,Logistic,ForeignBornConcentration,0.5,9,5,TPR,-0.0083,1.0,0.0
finbert_768,Logistic,ForeignBornConcentration,0.5,9,5,FPR,-0.012,1.0,1.0
finbert_768,Logistic,ForeignBornConcentration,0.5,9,5,PPR,-0.013,2.0,1.0
finbert_768,Logistic,ForeignBornConcentration,0.5,9,5,AUC,-0.0004,,
finbert_768,Logistic,ForeignBornConcentration,0.5,9,5,EO_diff,0.0426,,
finbert_768,Logistic,ForeignBornConcentration,0.6,9,5,TPR,-0.0421,2.0,0.0
finbert_768,Logistic,ForeignBornConcentration,0.6,9,5,FPR,-0.0103,2.0,1.0
finbert_768,Logistic,ForeignBornConcentration,0.6,9,5,PPR,-0.0166,3.0,2.0
finbert_768,Logistic,ForeignBornConcentration,0.6,9,5,AUC,-0.0004,,
finbert_768,Logistic,ForeignBornConcentration,0.6,9,5,EO_diff,0.0553,,
finbert_768,Logistic,HispanicConcentration,0.3,10,4,TPR,0.0097,1.0,0.0
finbert_768,Logistic,HispanicConcentration,0.3,10,4,FPR,-0.0034,2.0,0.0
finbert_768,Logistic,HispanicConcentration,0.3,10,4,PPR,-0.0022,2.0,0.0
finbert_768,Logistic,HispanicConcentration,0.3,10,4,AUC,-0.001,,
finbert_768,Logistic,HispanicConcentration,0.3,10,4,EO_diff,0.04,,
