representation,model,grouping,threshold,n_folds_used,n_folds_insufficient,metric,mean_value,n_sig_raw_p05,n_sig_BH_q05
finbert_pca50,Logistic,AsianConcentration,0.2,7,7,TPR,0.0006,0.0,0.0
finbert_pca50,Logistic,AsianConcentration,0.2,7,7,FPR,-0.0159,4.0,0.0
finbert_pca50,Logistic,AsianConcentration,0.2,7,7,PPR,-0.0142,3.0,0.0
finbert_pca50,Logistic,AsianConcentration,0.2,7,7,AUC,0.0088,,
finbert_pca50,Logistic,AsianConcentration,0.2,7,7,EO_diff,0.0229,,
finbert_pca50,Logistic,AsianConcentration,0.3,7,7,TPR,-0.0017,1.0,0.0
finbert_pca50,Logistic,AsianConcentration,0.3,7,7,FPR,-0.0212,5.0,5.0
finbert_pca50,Logistic,AsianConcentration,0.3,7,7,PPR,-0.0201,5.0,3.0
finbert_pca50,Logistic,AsianConcentration,0.3,7,7,AUC,0.0088,,
finbert_pca50,Logistic,AsianConcentration,0.3,7,7,EO_diff,0.0477,,
finbert_pca50,Logistic,AsianConcentration,0.4,7,7,TPR,0.0029,2.0,0.0
finbert_pca50,Logistic,AsianConcentration,0.4,7,7,FPR,-0.0324,4.0,3.0
finbert_pca50,Logistic,AsianConcentration,0.4,7,7,PPR,-0.0298,4.0,2.0
finbert_pca50,Logistic,AsianConcentration,0.4,7,7,AUC,0.0088,,
finbert_pca50,Logistic,AsianConcentration,0.4,7,7,EO_diff,0.0615,,
finbert_pca50,Logistic,AsianConcentration,0.5,7,7,TPR,-0.0066,1.0,0.0
finbert_pca50,Logistic,AsianConcentration,0.5,7,7,FPR,-0.0263,3.0,2.0
finbert_pca50,Logistic,AsianConcentration,0.5,7,7,PPR,-0.0257,3.0,1.0
finbert_pca50,Logistic,AsianConcentration,0.5,7,7,AUC,0.0088,,
finbert_pca50,Logistic,AsianConcentration,0.5,7,7,EO_diff,0.0524,,
finbert_pca50,Logistic,AsianConcentration,0.6,7,7,TPR,-0.0427,1.0,1.0
finbert_pca50,Logistic,AsianConcentration,0.6,7,7,FPR,-0.024,3.0,2.0
finbert_pca50,Logistic,AsianConcentration,0.6,7,7,PPR,-0.0289,3.0,3.0
finbert_pca50,Logistic,AsianConcentration,0.6,7,7,AUC,0.0088,,
finbert_pca50,Logistic,AsianConcentration,0.6,7,7,EO_diff,0.0597,,
finbert_pca50,Logistic,AsianConcentration,0.7,7,7,TPR,-0.0389,1.0,1.0
finbert_pca50,Logistic,AsianConcentration,0.7,7,7,FPR,-0.023,3.0,2.0
finbert_pca50,Logistic,AsianConcentration,0.7,7,7,PPR,-0.026,2.0,2.0
finbert_pca50,Logistic,AsianConcentration,0.7,7,7,AUC,0.0088,,
finbert_pca50,Logistic,AsianConcentration,0.7,7,7,EO_diff,0.0626,,
finbert_pca50,Logistic,AsianConcentration,0.8,7,7,TPR,0.0043,1.0,0.0
finbert_pca50,Logistic,AsianConcentration,0.8,7,7,FPR,-0.0061,2.0,1.0
finbert_pca50,Logistic,AsianConcentration,0.8,7,7,PPR,-0.0045,2.0,1.0
finbert_pca50,Logistic,AsianConcentration,0.8,7,7,AUC,0.0088,,
finbert_pca50,Logistic,AsianConcentration,0.8,7,7,EO_diff,0.031,,
finbert_pca50,Logistic,AsianConcentration,0.9,7,7,TPR,-0.0011,0.0,0.0
finbert_pca50,Logistic,AsianConcentration,0.9,7,7,FPR,-0.0007,1.0,1.0
finbert_pca50,Logistic,AsianConcentration,0.9,7,7,PPR,-0.0007,1.0,1.0
finbert_pca50,Logistic,AsianConcentration,0.9,7,7,AUC,0.0088,,
finbert_pca50,Logistic,AsianConcentration,0.9,7,7,EO_diff,0.0096,,
finbert_pca50,Logistic,BlackConcentration,0.2,12,2,TPR,0.0007,0.0,0.0
finbert_pca50,Logistic,BlackConcentration,0.2,12,2,FPR,0.0019,3.0,0.0
finbert_pca50,Logistic,BlackConcentration,0.2,12,2,PPR,0.0023,3.0,0.0
finbert_pca50,Logistic,BlackConcentration,0.2,12,2,AUC,0.0214,,
finbert_pca50,Logistic,BlackConcentration,0.2,12,2,EO_diff,0.0218,,
finbert_pca50,Logistic,BlackConcentration,0.3,12,2,TPR,0.0115,0.0,0.0
finbert_pca50,Logistic,BlackConcentration,0.3,12,2,FPR,0.0008,5.0,1.0
finbert_pca50,Logistic,BlackConcentration,0.3,12,2,PPR,0.0037,5.0,3.0
finbert_pca50,Logistic,BlackConcentration,0.3,12,2,AUC,0.0214,,
finbert_pca50,Logistic,BlackConcentration,0.3,12,2,EO_diff,0.0377,,
finbert_pca50,Logistic,BlackConcentration,0.4,12,2,TPR,0.0279,1.0,0.0
finbert_pca50,Logistic,BlackConcentration,0.4,12,2,FPR,-0.0037,4.0,3.0
finbert_pca50,Logistic,BlackConcentration,0.4,12,2,PPR,0.0033,4.0,3.0
finbert_pca50,Logistic,BlackConcentration,0.4,12,2,AUC,0.0214,,
finbert_pca50,Logistic,BlackConcentration,0.4,12,2,EO_diff,0.0475,,
finbert_pca50,Logistic,BlackConcentration,0.5,12,2,TPR,0.0282,2.0,1.0
finbert_pca50,Logistic,BlackConcentration,0.5,12,2,FPR,0.0044,3.0,2.0
finbert_pca50,Logistic,BlackConcentration,0.5,12,2,PPR,0.011,4.0,3.0
