representation,model,grouping,fold,group_level,bin,n,mean_pred,observed_rate
structured,Logistic,SES_group,1,Low,0,59,0.1222,0.0339
structured,Logistic,SES_group,1,Low,1,57,0.2257,0.0877
structured,Logistic,SES_group,1,Low,2,54,0.3051,0.037
structured,Logistic,SES_group,1,Low,3,46,0.3757,0.087
structured,Logistic,SES_group,1,Low,4,56,0.4403,0.1786
structured,Logistic,SES_group,1,Low,5,51,0.5062,0.1569
structured,Logistic,SES_group,1,Low,6,38,0.5673,0.2368
structured,Logistic,SES_group,1,Low,7,50,0.629,0.18
structured,Logistic,SES_group,1,Low,8,54,0.7071,0.2778
structured,Logistic,SES_group,1,Low,9,50,0.8094,0.24
structured,Logistic,SES_group,1,High,0,19,0.1427,0.1053
structured,Logistic,SES_group,1,High,1,23,0.2193,0.1304
structured,Logistic,SES_group,1,High,2,17,0.3067,0.0588
structured,Logistic,SES_group,1,High,3,27,0.3763,0.0741
structured,Logistic,SES_group,1,High,4,18,0.446,0.0
structured,Logistic,SES_group,1,High,5,22,0.5055,0.0909
structured,Logistic,SES_group,1,High,6,22,0.5685,0.2727
structured,Logistic,SES_group,1,High,7,25,0.6303,0.32
structured,Logistic,SES_group,1,High,8,16,0.7116,0.125
structured,Logistic,SES_group,1,High,9,25,0.8155,0.36
structured,Logistic,BlackConcentration,1,Low,0,17,0.0972,0.0588
structured,Logistic,BlackConcentration,1,Low,1,20,0.2283,0.05
structured,Logistic,BlackConcentration,1,Low,2,16,0.3056,0.125
structured,Logistic,BlackConcentration,1,Low,3,15,0.3798,0.1333
structured,Logistic,BlackConcentration,1,Low,4,20,0.4463,0.25
structured,Logistic,BlackConcentration,1,Low,5,14,0.51,0.1429
structured,Logistic,BlackConcentration,1,Low,6,20,0.5659,0.2
structured,Logistic,BlackConcentration,1,Low,7,17,0.6289,0.2941
structured,Logistic,BlackConcentration,1,Low,8,20,0.7068,0.4
structured,Logistic,BlackConcentration,1,Low,9,21,0.8156,0.1429
structured,Logistic,BlackConcentration,1,High,0,58,0.1318,0.0345
structured,Logistic,BlackConcentration,1,High,1,44,0.2242,0.0455
structured,Logistic,BlackConcentration,1,High,2,48,0.3057,0.0417
structured,Logistic,BlackConcentration,1,High,3,45,0.3765,0.1111
structured,Logistic,BlackConcentration,1,High,4,33,0.4432,0.0909
structured,Logistic,BlackConcentration,1,High,5,47,0.507,0.1702
structured,Logistic,BlackConcentration,1,High,6,42,0.5655,0.2143
structured,Logistic,BlackConcentration,1,High,7,52,0.6277,0.2115
structured,Logistic,BlackConcentration,1,High,8,47,0.71,0.2553
structured,Logistic,BlackConcentration,1,High,9,44,0.8124,0.3182
structured,Logistic,SES_group,2,Low,0,62,0.1124,0.0
structured,Logistic,SES_group,2,Low,1,60,0.18,0.0
structured,Logistic,SES_group,2,Low,2,55,0.2339,0.0727
structured,Logistic,SES_group,2,Low,3,63,0.2865,0.0635
structured,Logistic,SES_group,2,Low,4,50,0.3597,0.12
structured,Logistic,SES_group,2,Low,5,66,0.4202,0.0909
structured,Logistic,SES_group,2,Low,6,49,0.4877,0.1224
structured,Logistic,SES_group,2,Low,7,55,0.5799,0.1091
structured,Logistic,SES_group,2,Low,8,53,0.6708,0.1887
structured,Logistic,SES_group,2,Low,9,48,0.7991,0.2083
structured,Logistic,SES_group,2,High,0,19,0.1158,0.0526
structured,Logistic,SES_group,2,High,1,28,0.1791,0.1429
structured,Logistic,SES_group,2,High,2,27,0.2277,0.1111
structured,Logistic,SES_group,2,High,3,22,0.2905,0.0455
structured,Logistic,SES_group,2,High,4,24,0.3516,0.125
structured,Logistic,SES_group,2,High,5,21,0.4165,0.1429
structured,Logistic,SES_group,2,High,6,36,0.4976,0.2222
structured,Logistic,SES_group,2,High,7,25,0.5808,0.16
structured,Logistic,SES_group,2,High,8,24,0.6621,0.0833
structured,Logistic,SES_group,2,High,9,37,0.7951,0.3243
structured,Logistic,SES_group,3,Low,0,85,0.1464,0.0
structured,Logistic,SES_group,3,Low,1,62,0.2359,0.0161
structured,Logistic,SES_group,3,Low,2,65,0.2907,0.0
structured,Logistic,SES_group,3,Low,3,52,0.3464,0.0769
structured,Logistic,SES_group,3,Low,4,59,0.4106,0.1186
structured,Logistic,SES_group,3,Low,5,63,0.4735,0.0952
structured,Logistic,SES_group,3,Low,6,51,0.5435,0.1765
structured,Logistic,SES_group,3,Low,7,62,0.6103,0.1613
structured,Logistic,SES_group,3,Low,8,53,0.6862,0.1509
structured,Logistic,SES_group,3,Low,9,54,0.8193,0.3519
structured,Logistic,SES_group,3,High,0,18,0.1426,0.1111
structured,Logistic,SES_group,3,High,1,27,0.2308,0.1481
structured,Logistic,SES_group,3,High,2,20,0.2945,0.05
structured,Logistic,SES_group,3,High,3,29,0.3536,0.069
structured,Logistic,SES_group,3,High,4,27,0.4206,0.1852
structured,Logistic,SES_group,3,High,5,31,0.4821,0.129
structured,Logistic,SES_group,3,High,6,36,0.5479,0.1667
structured,Logistic,SES_group,3,High,7,31,0.6116,0.1613
structured,Logistic,SES_group,3,High,8,43,0.6971,0.3488
structured,Logistic,SES_group,3,High,9,30,0.81,0.4667
structured,Logistic,SES_group,4,Low,0,92,0.1292,0.0217
