representation,model,grouping,fold,group_level,bin,n,mean_pred,observed_rate
structured,Logistic,SES_group,1,Low,0,61,0.1496,0.0492
structured,Logistic,SES_group,1,Low,1,55,0.2473,0.0545
structured,Logistic,SES_group,1,Low,2,55,0.316,0.0545
structured,Logistic,SES_group,1,Low,3,48,0.3815,0.1042
structured,Logistic,SES_group,1,Low,4,52,0.4416,0.1731
structured,Logistic,SES_group,1,Low,5,53,0.4976,0.1509
structured,Logistic,SES_group,1,Low,6,39,0.5523,0.1795
structured,Logistic,SES_group,1,Low,7,45,0.6198,0.2222
structured,Logistic,SES_group,1,Low,8,58,0.6988,0.2586
structured,Logistic,SES_group,1,Low,9,49,0.8065,0.2653
structured,Logistic,SES_group,1,High,0,20,0.1683,0.1
structured,Logistic,SES_group,1,High,1,23,0.24,0.1304
structured,Logistic,SES_group,1,High,2,17,0.3201,0.0588
structured,Logistic,SES_group,1,High,3,24,0.379,0.0833
structured,Logistic,SES_group,1,High,4,19,0.4433,0.0526
structured,Logistic,SES_group,1,High,5,20,0.4928,0.1
structured,Logistic,SES_group,1,High,6,20,0.5574,0.15
structured,Logistic,SES_group,1,High,7,27,0.616,0.4074
structured,Logistic,SES_group,1,High,8,20,0.6996,0.05
structured,Logistic,SES_group,1,High,9,24,0.8087,0.375
structured,Logistic,BlackConcentration,1,Low,0,18,0.1318,0.1111
structured,Logistic,BlackConcentration,1,Low,1,20,0.2511,0.0
structured,Logistic,BlackConcentration,1,Low,2,16,0.3131,0.125
structured,Logistic,BlackConcentration,1,Low,3,12,0.3794,0.0833
structured,Logistic,BlackConcentration,1,Low,4,20,0.443,0.3
structured,Logistic,BlackConcentration,1,Low,5,17,0.4992,0.1765
structured,Logistic,BlackConcentration,1,Low,6,19,0.5536,0.1579
structured,Logistic,BlackConcentration,1,Low,7,19,0.6156,0.3684
structured,Logistic,BlackConcentration,1,Low,8,22,0.7067,0.2727
structured,Logistic,BlackConcentration,1,Low,9,17,0.8262,0.1765
structured,Logistic,BlackConcentration,1,High,0,54,0.1555,0.037
structured,Logistic,BlackConcentration,1,High,1,50,0.2439,0.04
structured,Logistic,BlackConcentration,1,High,2,43,0.321,0.0465
structured,Logistic,BlackConcentration,1,High,3,49,0.3809,0.102
structured,Logistic,BlackConcentration,1,High,4,31,0.4441,0.0968
structured,Logistic,BlackConcentration,1,High,5,50,0.4977,0.18
structured,Logistic,BlackConcentration,1,High,6,35,0.5548,0.2
structured,Logistic,BlackConcentration,1,High,7,51,0.6174,0.2549
structured,Logistic,BlackConcentration,1,High,8,51,0.6956,0.1961
structured,Logistic,BlackConcentration,1,High,9,46,0.804,0.3261
structured,Logistic,SES_group,2,Low,0,62,0.1353,0.0
structured,Logistic,SES_group,2,Low,1,60,0.2032,0.0
structured,Logistic,SES_group,2,Low,2,58,0.2588,0.069
structured,Logistic,SES_group,2,Low,3,59,0.3093,0.0678
