representation,model,grouping,fold,group_level,n,n_defaults,intercept,slope,ECE
structured,Logistic,SES_group,1,Low,515,76,-1.7535,0.6191,0.3106
structured,Logistic,SES_group,1,High,214,35,-1.6896,0.6372,0.3146
structured,Logistic,BlackConcentration,1,Low,180,33,-1.5007,0.4268,0.2952
structured,Logistic,BlackConcentration,1,High,460,68,-1.8115,0.7816,0.3154
structured,Logistic,SES_group,2,Low,561,52,-2.1498,0.7656,0.3068
structured,Logistic,SES_group,2,High,263,41,-1.6259,0.4671,0.2802
structured,Logistic,SES_group,3,Low,606,64,-2.2057,1.0116,0.3304
structured,Logistic,SES_group,3,High,292,58,-1.5063,0.7682,0.2952
structured,Logistic,SES_group,4,Low,814,110,-1.8221,0.6684,0.3081
structured,Logistic,SES_group,4,High,397,56,-2.0468,1.2212,0.3234
structured,Logistic,BlackConcentration,4,Low,249,39,-1.6877,0.458,0.3169
structured,Logistic,BlackConcentration,4,High,841,127,-1.8109,0.8375,0.3111
structured,Logistic,SES_group,5,Low,910,134,-1.6862,1.031,0.285
structured,Logistic,SES_group,5,High,430,63,-1.8869,0.8073,0.3359
structured,Logistic,BlackConcentration,5,Low,293,42,-1.8306,1.1882,0.2991
structured,Logistic,BlackConcentration,5,High,909,133,-1.821,1.1471,0.2992
structured,Logistic,SES_group,6,Low,959,174,-1.6994,0.9974,0.3186
structured,Logistic,SES_group,6,High,507,104,-1.4824,0.5168,0.3283
structured,Logistic,BlackConcentration,6,Low,349,60,-1.7261,0.8134,0.3393
structured,Logistic,BlackConcentration,6,High,1002,192,-1.6428,0.8618,0.3206
structured,Logistic,SES_group,7,Low,1211,171,-1.752,0.8606,0.2994
structured,Logistic,SES_group,7,High,676,112,-1.7182,1.0619,0.3081
structured,Logistic,BlackConcentration,7,Low,428,64,-1.7858,0.9076,0.3169
structured,Logistic,BlackConcentration,7,High,1276,191,-1.7498,0.8677,0.3103
structured,Logistic,SES_group,8,Low,1715,306,-1.6689,0.7108,0.3272
structured,Logistic,SES_group,8,High,838,160,-1.7511,0.9637,0.3334
structured,Logistic,BlackConcentration,8,Low,555,105,-1.5973,0.7344,0.3137
structured,Logistic,BlackConcentration,8,High,1783,346,-1.6437,0.7847,0.3298
structured,Logistic,SES_group,9,Low,2595,373,-1.7815,0.8387,0.3024
structured,Logistic,SES_group,9,High,1429,226,-1.7711,0.7301,0.328
structured,Logistic,BlackConcentration,9,Low,1020,143,-1.855,0.7579,0.3229
structured,Logistic,BlackConcentration,9,High,2715,412,-1.7719,0.7531,0.3158
structured,Logistic,SES_group,10,Low,2711,372,-1.7699,0.8942,0.2991
structured,Logistic,SES_group,10,High,1356,209,-1.7563,0.8981,0.3151
structured,Logistic,BlackConcentration,10,Low,1012,139,-1.8091,0.7234,0.3148
structured,Logistic,BlackConcentration,10,High,2694,445,-1.636,0.9243,0.2937
structured,Logistic,SES_group,11,Low,3647,513,-1.7794,0.8323,0.3071
structured,Logistic,SES_group,11,High,1900,295,-1.8296,0.9909,0.328
structured,Logistic,BlackConcentration,11,Low,1378,170,-1.9815,0.8068,0.3355
structured,Logistic,BlackConcentration,11,High,3563,528,-1.7836,0.7752,0.321
structured,Logistic,SES_group,12,Low,4705,689,-1.7826,0.911,0.3138
structured,Logistic,SES_group,12,High,2608,445,-1.7097,1.01,0.3173
structured,Logistic,BlackConcentration,12,Low,1792,264,-1.7901,0.9818,0.3156
structured,Logistic,BlackConcentration,12,High,4898,809,-1.7206,0.9597,0.3162
structured,Logistic,SES_group,13,Low,5686,837,-1.7505,0.8347,0.312
structured,Logistic,SES_group,13,High,3003,506,-1.7599,1.0203,0.3248
structured,Logistic,BlackConcentration,13,Low,2170,307,-1.8097,0.8798,0.3201
structured,Logistic,BlackConcentration,13,High,5628,929,-1.7276,0.9593,0.3172
structured,Logistic,SES_group,14,Low,6707,984,-1.7139,0.9216,0.298
structured,Logistic,SES_group,14,High,3399,539,-1.7384,0.9777,0.3135
structured,Logistic,BlackConcentration,14,Low,2684,400,-1.6748,0.8532,0.2942
structured,Logistic,BlackConcentration,14,High,6570,1054,-1.681,0.9268,0.3032
structured,XGBoost,SES_group,1,Low,515,76,-1.493,0.5393,0.2211
structured,XGBoost,SES_group,1,High,214,35,-1.456,0.6108,0.2497
structured,XGBoost,BlackConcentration,1,Low,180,33,-1.2977,0.5538,0.2155
structured,XGBoost,BlackConcentration,1,High,460,68,-1.4937,0.6799,0.231
structured,XGBoost,SES_group,2,Low,561,52,-1.8749,0.796,0.2422
structured,XGBoost,SES_group,2,High,263,41,-1.4764,0.3587,0.2247
structured,XGBoost,SES_group,3,Low,606,64,-1.9184,1.1513,0.2724
structured,XGBoost,SES_group,3,High,292,58,-1.2929,0.5437,0.2464
structured,XGBoost,SES_group,4,Low,814,110,-1.6667,0.573,0.2626
structured,XGBoost,SES_group,4,High,397,56,-1.7022,1.1347,0.2721
structured,XGBoost,BlackConcentration,4,Low,249,39,-1.566,0.5327,0.2693
structured,XGBoost,BlackConcentration,4,High,841,127,-1.5558,0.6965,0.257
structured,XGBoost,SES_group,5,Low,910,134,-1.5208,0.9757,0.248
structured,XGBoost,SES_group,5,High,430,63,-1.7443,0.8952,0.2978
structured,XGBoost,BlackConcentration,5,Low,293,42,-1.6096,1.1252,0.2594
structured,XGBoost,BlackConcentration,5,High,909,133,-1.5982,1.1658,0.2591
structured,XGBoost,SES_group,6,Low,959,174,-1.5798,1.0722,0.2869
structured,XGBoost,SES_group,6,High,507,104,-1.4053,0.5829,0.2918
structured,XGBoost,BlackConcentration,6,Low,349,60,-1.6437,0.9471,0.3069
structured,XGBoost,BlackConcentration,6,High,1002,192,-1.5118,0.8931,0.2853
structured,XGBoost,SES_group,7,Low,1211,171,-1.6536,0.8562,0.2775
structured,XGBoost,SES_group,7,High,676,112,-1.5803,1.0293,0.2833
structured,XGBoost,BlackConcentration,7,Low,428,64,-1.6997,0.8535,0.3007
structured,XGBoost,BlackConcentration,7,High,1276,191,-1.6348,0.9295,0.2835
structured,XGBoost,SES_group,8,Low,1715,306,-1.5592,0.7796,0.294
structured,XGBoost,SES_group,8,High,838,160,-1.5841,1.0569,0.2952
structured,XGBoost,BlackConcentration,8,Low,555,105,-1.5299,0.8608,0.2907
structured,XGBoost,BlackConcentration,8,High,1783,346,-1.5104,0.8528,0.2929
structured,XGBoost,SES_group,9,Low,2595,373,-1.6011,0.9198,0.2655
structured,XGBoost,SES_group,9,High,1429,226,-1.5936,0.8631,0.2815
structured,XGBoost,BlackConcentration,9,Low,1020,143,-1.6735,0.8632,0.2798
structured,XGBoost,BlackConcentration,9,High,2715,412,-1.5939,0.9163,0.2733
structured,XGBoost,SES_group,10,Low,2711,372,-1.6353,0.8911,0.2673
structured,XGBoost,SES_group,10,High,1356,209,-1.6403,0.8991,0.2866
structured,XGBoost,BlackConcentration,10,Low,1012,139,-1.7236,0.7799,0.2913
structured,XGBoost,BlackConcentration,10,High,2694,445,-1.5072,0.9086,0.2639
structured,XGBoost,SES_group,11,Low,3647,513,-1.7086,0.906,0.2904
structured,XGBoost,SES_group,11,High,1900,295,-1.7641,1.1902,0.3105
structured,XGBoost,BlackConcentration,11,Low,1378,170,-1.9388,0.9413,0.3233
structured,XGBoost,BlackConcentration,11,High,3563,528,-1.709,0.9136,0.3019
structured,XGBoost,SES_group,12,Low,4705,689,-1.7647,0.9847,0.3092
structured,XGBoost,SES_group,12,High,2608,445,-1.6655,1.0267,0.3078
structured,XGBoost,BlackConcentration,12,Low,1792,264,-1.7846,1.0659,0.3132
structured,XGBoost,BlackConcentration,12,High,4898,809,-1.6839,1.0127,0.3082
structured,XGBoost,SES_group,13,Low,5686,837,-1.732,0.8874,0.307
structured,XGBoost,SES_group,13,High,3003,506,-1.7081,1.0461,0.3147
structured,XGBoost,BlackConcentration,13,Low,2170,307,-1.7984,0.906,0.3178
structured,XGBoost,BlackConcentration,13,High,5628,929,-1.6873,1.0146,0.3078
structured,XGBoost,SES_group,14,Low,6707,984,-1.6824,1.01,0.2903
structured,XGBoost,SES_group,14,High,3399,539,-1.6923,1.0409,0.3031
structured,XGBoost,BlackConcentration,14,Low,2684,400,-1.6576,0.9351,0.2905
structured,XGBoost,BlackConcentration,14,High,6570,1054,-1.64,1.0107,0.2931
structured_has_desc,Logistic,SES_group,1,Low,515,76,-1.7491,0.6139,0.3091
structured_has_desc,Logistic,SES_group,1,High,214,35,-1.6817,0.6204,0.313
structured_has_desc,Logistic,BlackConcentration,1,Low,180,33,-1.4974,0.4223,0.2974
structured_has_desc,Logistic,BlackConcentration,1,High,460,68,-1.8067,0.7726,0.3144
structured_has_desc,Logistic,SES_group,2,Low,561,52,-2.1453,0.7616,0.3058
structured_has_desc,Logistic,SES_group,2,High,263,41,-1.6237,0.4671,0.2791
structured_has_desc,Logistic,SES_group,3,Low,606,64,-2.2058,1.0119,0.3304
structured_has_desc,Logistic,SES_group,3,High,292,58,-1.5063,0.7684,0.2952
structured_has_desc,Logistic,SES_group,4,Low,814,110,-1.8214,0.6658,0.3079
structured_has_desc,Logistic,SES_group,4,High,397,56,-2.0446,1.2168,0.3233
structured_has_desc,Logistic,BlackConcentration,4,Low,249,39,-1.6864,0.4557,0.3165
structured_has_desc,Logistic,BlackConcentration,4,High,841,127,-1.8102,0.8367,0.3109
structured_has_desc,Logistic,SES_group,5,Low,910,134,-1.6861,1.0311,0.2849
structured_has_desc,Logistic,SES_group,5,High,430,63,-1.8882,0.8089,0.3361
structured_has_desc,Logistic,BlackConcentration,5,Low,293,42,-1.8301,1.1861,0.299
structured_has_desc,Logistic,BlackConcentration,5,High,909,133,-1.8209,1.1472,0.2992
structured_has_desc,Logistic,SES_group,6,Low,959,174,-1.6996,0.9969,0.3187
structured_has_desc,Logistic,SES_group,6,High,507,104,-1.483,0.5181,0.3284
structured_has_desc,Logistic,BlackConcentration,6,Low,349,60,-1.7266,0.8132,0.3394
structured_has_desc,Logistic,BlackConcentration,6,High,1002,192,-1.643,0.8622,0.3206
structured_has_desc,Logistic,SES_group,7,Low,1211,171,-1.7524,0.8606,0.2995
structured_has_desc,Logistic,SES_group,7,High,676,112,-1.7184,1.0609,0.3082
structured_has_desc,Logistic,BlackConcentration,7,Low,428,64,-1.7861,0.9075,0.3169
structured_has_desc,Logistic,BlackConcentration,7,High,1276,191,-1.7502,0.8681,0.3104
structured_has_desc,Logistic,SES_group,8,Low,1715,306,-1.6658,0.7114,0.3261
structured_has_desc,Logistic,SES_group,8,High,838,160,-1.7454,0.9628,0.3323
structured_has_desc,Logistic,BlackConcentration,8,Low,555,105,-1.5942,0.7351,0.3128
structured_has_desc,Logistic,BlackConcentration,8,High,1783,346,-1.6416,0.7874,0.3289
structured_has_desc,Logistic,SES_group,9,Low,2595,373,-1.7817,0.8362,0.3024
structured_has_desc,Logistic,SES_group,9,High,1429,226,-1.771,0.7227,0.3285
structured_has_desc,Logistic,BlackConcentration,9,Low,1020,143,-1.8556,0.7542,0.3232
structured_has_desc,Logistic,BlackConcentration,9,High,2715,412,-1.7724,0.7505,0.3159
structured_has_desc,Logistic,SES_group,10,Low,2711,372,-1.7715,0.8946,0.2995
structured_has_desc,Logistic,SES_group,10,High,1356,209,-1.7577,0.8967,0.3155
structured_has_desc,Logistic,BlackConcentration,10,Low,1012,139,-1.8094,0.7193,0.315
structured_has_desc,Logistic,BlackConcentration,10,High,2694,445,-1.6381,0.926,0.2941
structured_has_desc,Logistic,SES_group,11,Low,3647,513,-1.7833,0.8302,0.3081
structured_has_desc,Logistic,SES_group,11,High,1900,295,-1.8362,0.9954,0.3291
structured_has_desc,Logistic,BlackConcentration,11,Low,1378,170,-1.9859,0.8068,0.3367
structured_has_desc,Logistic,BlackConcentration,11,High,3563,528,-1.7876,0.7765,0.322
structured_has_desc,Logistic,SES_group,12,Low,4705,689,-1.7864,0.9107,0.3147
structured_has_desc,Logistic,SES_group,12,High,2608,445,-1.714,1.0107,0.3183
structured_has_desc,Logistic,BlackConcentration,12,Low,1792,264,-1.7947,0.9821,0.3166
structured_has_desc,Logistic,BlackConcentration,12,High,4898,809,-1.7244,0.9597,0.3171
structured_has_desc,Logistic,SES_group,13,Low,5686,837,-1.7519,0.8353,0.3123
structured_has_desc,Logistic,SES_group,13,High,3003,506,-1.7619,1.021,0.3252
structured_has_desc,Logistic,BlackConcentration,13,Low,2170,307,-1.8111,0.8802,0.3204
structured_has_desc,Logistic,BlackConcentration,13,High,5628,929,-1.7292,0.9588,0.3176
structured_has_desc,Logistic,SES_group,14,Low,6707,984,-1.7139,0.9216,0.298
structured_has_desc,Logistic,SES_group,14,High,3399,539,-1.7385,0.9778,0.3135
structured_has_desc,Logistic,BlackConcentration,14,Low,2684,400,-1.6748,0.8532,0.2942
structured_has_desc,Logistic,BlackConcentration,14,High,6570,1054,-1.6811,0.9268,0.3032
structured_has_desc,XGBoost,SES_group,1,Low,515,76,-1.4907,0.5126,0.2175
structured_has_desc,XGBoost,SES_group,1,High,214,35,-1.4421,0.6487,0.2551
structured_has_desc,XGBoost,BlackConcentration,1,Low,180,33,-1.2962,0.4959,0.2099
structured_has_desc,XGBoost,BlackConcentration,1,High,460,68,-1.4839,0.6768,0.2282
structured_has_desc,XGBoost,SES_group,2,Low,561,52,-1.8641,0.8096,0.2398
structured_has_desc,XGBoost,SES_group,2,High,263,41,-1.486,0.3311,0.2251
structured_has_desc,XGBoost,SES_group,3,Low,606,64,-1.9222,1.2158,0.2724
structured_has_desc,XGBoost,SES_group,3,High,292,58,-1.29,0.5584,0.2444
structured_has_desc,XGBoost,SES_group,4,Low,814,110,-1.6678,0.5718,0.2633
structured_has_desc,XGBoost,SES_group,4,High,397,56,-1.7004,1.1557,0.2723
structured_has_desc,XGBoost,BlackConcentration,4,Low,249,39,-1.57,0.522,0.2709
structured_has_desc,XGBoost,BlackConcentration,4,High,841,127,-1.5566,0.721,0.2579
structured_has_desc,XGBoost,SES_group,5,Low,910,134,-1.5239,1.0001,0.2492
structured_has_desc,XGBoost,SES_group,5,High,430,63,-1.7284,0.8417,0.297
structured_has_desc,XGBoost,BlackConcentration,5,Low,293,42,-1.6176,1.1076,0.2605
structured_has_desc,XGBoost,BlackConcentration,5,High,909,133,-1.5963,1.1743,0.2591
structured_has_desc,XGBoost,SES_group,6,Low,959,174,-1.5873,1.1067,0.2873
structured_has_desc,XGBoost,SES_group,6,High,507,104,-1.4023,0.5758,0.2914
structured_has_desc,XGBoost,BlackConcentration,6,Low,349,60,-1.6473,0.92,0.3095
structured_has_desc,XGBoost,BlackConcentration,6,High,1002,192,-1.5135,0.9017,0.2855
structured_has_desc,XGBoost,SES_group,7,Low,1211,171,-1.6538,0.8523,0.2769
structured_has_desc,XGBoost,SES_group,7,High,676,112,-1.5735,1.0128,0.2817
structured_has_desc,XGBoost,BlackConcentration,7,Low,428,64,-1.7049,0.8794,0.3009
structured_has_desc,XGBoost,BlackConcentration,7,High,1276,191,-1.6324,0.8901,0.2825
structured_has_desc,XGBoost,SES_group,8,Low,1715,306,-1.556,0.7899,0.293
structured_has_desc,XGBoost,SES_group,8,High,838,160,-1.5694,1.0327,0.2939
structured_has_desc,XGBoost,BlackConcentration,8,Low,555,105,-1.5194,0.848,0.2893
structured_has_desc,XGBoost,BlackConcentration,8,High,1783,346,-1.5005,0.8584,0.2903
structured_has_desc,XGBoost,SES_group,9,Low,2595,373,-1.5702,0.8887,0.2582
structured_has_desc,XGBoost,SES_group,9,High,1429,226,-1.5596,0.8344,0.2737
structured_has_desc,XGBoost,BlackConcentration,9,Low,1020,143,-1.6418,0.8707,0.2722
structured_has_desc,XGBoost,BlackConcentration,9,High,2715,412,-1.5604,0.8853,0.2657
structured_has_desc,XGBoost,SES_group,10,Low,2711,372,-1.6326,0.8951,0.2675
structured_has_desc,XGBoost,SES_group,10,High,1356,209,-1.6328,0.8803,0.2862
structured_has_desc,XGBoost,BlackConcentration,10,Low,1012,139,-1.723,0.7944,0.2916
structured_has_desc,XGBoost,BlackConcentration,10,High,2694,445,-1.5047,0.9052,0.2642
structured_has_desc,XGBoost,SES_group,11,Low,3647,513,-1.7105,0.895,0.2909
structured_has_desc,XGBoost,SES_group,11,High,1900,295,-1.7642,1.1891,0.3105
structured_has_desc,XGBoost,BlackConcentration,11,Low,1378,170,-1.9352,0.9098,0.3236
structured_has_desc,XGBoost,BlackConcentration,11,High,3563,528,-1.7096,0.9123,0.3019
structured_has_desc,XGBoost,SES_group,12,Low,4705,689,-1.7653,0.9874,0.3092
structured_has_desc,XGBoost,SES_group,12,High,2608,445,-1.6659,1.037,0.3073
structured_has_desc,XGBoost,BlackConcentration,12,Low,1792,264,-1.7859,1.0664,0.3134
structured_has_desc,XGBoost,BlackConcentration,12,High,4898,809,-1.6849,1.019,0.308
structured_has_desc,XGBoost,SES_group,13,Low,5686,837,-1.7309,0.8766,0.3071
structured_has_desc,XGBoost,SES_group,13,High,3003,506,-1.7068,1.0388,0.3147
structured_has_desc,XGBoost,BlackConcentration,13,Low,2170,307,-1.7995,0.9092,0.3179
structured_has_desc,XGBoost,BlackConcentration,13,High,5628,929,-1.6878,1.0063,0.3082
structured_has_desc,XGBoost,SES_group,14,Low,6707,984,-1.6831,1.0109,0.2905
structured_has_desc,XGBoost,SES_group,14,High,3399,539,-1.6938,1.0488,0.3031
structured_has_desc,XGBoost,BlackConcentration,14,Low,2684,400,-1.6582,0.9394,0.2907
structured_has_desc,XGBoost,BlackConcentration,14,High,6570,1054,-1.6413,1.0156,0.2932
lexicon,Logistic,SES_group,1,Low,515,76,-1.7638,0.6266,0.3118
lexicon,Logistic,SES_group,1,High,214,35,-1.6865,0.629,0.3137
lexicon,Logistic,BlackConcentration,1,Low,180,33,-1.5078,0.4135,0.3
lexicon,Logistic,BlackConcentration,1,High,460,68,-1.8118,0.7709,0.3152
lexicon,Logistic,SES_group,2,Low,561,52,-2.148,0.7869,0.3046
lexicon,Logistic,SES_group,2,High,263,41,-1.632,0.4657,0.2819
lexicon,Logistic,SES_group,3,Low,606,64,-2.2006,0.9986,0.3295
lexicon,Logistic,SES_group,3,High,292,58,-1.4911,0.7357,0.2928
lexicon,Logistic,SES_group,4,Low,814,110,-1.8234,0.6708,0.3084
lexicon,Logistic,SES_group,4,High,397,56,-2.0421,1.2256,0.3221
lexicon,Logistic,BlackConcentration,4,Low,249,39,-1.6945,0.4671,0.3198
lexicon,Logistic,BlackConcentration,4,High,841,127,-1.811,0.8324,0.3108
lexicon,Logistic,SES_group,5,Low,910,134,-1.6906,1.0289,0.2854
lexicon,Logistic,SES_group,5,High,430,63,-1.886,0.8041,0.336
lexicon,Logistic,BlackConcentration,5,Low,293,42,-1.8331,1.1513,0.3003
lexicon,Logistic,BlackConcentration,5,High,909,133,-1.8204,1.154,0.2983
lexicon,Logistic,SES_group,6,Low,959,174,-1.7131,1.0113,0.3204
lexicon,Logistic,SES_group,6,High,507,104,-1.4956,0.542,0.3299
lexicon,Logistic,BlackConcentration,6,Low,349,60,-1.742,0.8317,0.3419
lexicon,Logistic,BlackConcentration,6,High,1002,192,-1.6506,0.8734,0.3211
lexicon,Logistic,SES_group,7,Low,1211,171,-1.7593,0.8523,0.3014
lexicon,Logistic,SES_group,7,High,676,112,-1.7255,1.066,0.3096
lexicon,Logistic,BlackConcentration,7,Low,428,64,-1.797,0.9146,0.3189
lexicon,Logistic,BlackConcentration,7,High,1276,191,-1.7569,0.8619,0.3122
lexicon,Logistic,SES_group,8,Low,1715,306,-1.6647,0.7102,0.3255
lexicon,Logistic,SES_group,8,High,838,160,-1.7493,0.9713,0.3317
lexicon,Logistic,BlackConcentration,8,Low,555,105,-1.591,0.7273,0.3124
lexicon,Logistic,BlackConcentration,8,High,1783,346,-1.64,0.7837,0.3285
lexicon,Logistic,SES_group,9,Low,2595,373,-1.7849,0.8327,0.3031
lexicon,Logistic,SES_group,9,High,1429,226,-1.7787,0.7302,0.3297
lexicon,Logistic,BlackConcentration,9,Low,1020,143,-1.8617,0.7497,0.3246
lexicon,Logistic,BlackConcentration,9,High,2715,412,-1.7778,0.7545,0.3167
lexicon,Logistic,SES_group,10,Low,2711,372,-1.7702,0.9018,0.2989
lexicon,Logistic,SES_group,10,High,1356,209,-1.7566,0.8863,0.3154
lexicon,Logistic,BlackConcentration,10,Low,1012,139,-1.8124,0.7342,0.315
lexicon,Logistic,BlackConcentration,10,High,2694,445,-1.6389,0.9231,0.2942
lexicon,Logistic,SES_group,11,Low,3647,513,-1.7839,0.8328,0.308
lexicon,Logistic,SES_group,11,High,1900,295,-1.8388,1.0035,0.3289
lexicon,Logistic,BlackConcentration,11,Low,1378,170,-1.9864,0.8082,0.3367
lexicon,Logistic,BlackConcentration,11,High,3563,528,-1.7883,0.785,0.3215
lexicon,Logistic,SES_group,12,Low,4705,689,-1.7888,0.913,0.315
lexicon,Logistic,SES_group,12,High,2608,445,-1.716,1.0161,0.3179
lexicon,Logistic,BlackConcentration,12,Low,1792,264,-1.7977,0.9847,0.317
lexicon,Logistic,BlackConcentration,12,High,4898,809,-1.7265,0.9647,0.317
lexicon,Logistic,SES_group,13,Low,5686,837,-1.7534,0.8325,0.3127
lexicon,Logistic,SES_group,13,High,3003,506,-1.7638,1.0206,0.3256
lexicon,Logistic,BlackConcentration,13,Low,2170,307,-1.8141,0.8821,0.3211
lexicon,Logistic,BlackConcentration,13,High,5628,929,-1.7305,0.9576,0.3179
lexicon,Logistic,SES_group,14,Low,6707,984,-1.7155,0.9163,0.2983
lexicon,Logistic,SES_group,14,High,3399,539,-1.7414,0.9809,0.3138
lexicon,Logistic,BlackConcentration,14,Low,2684,400,-1.6766,0.8494,0.2946
lexicon,Logistic,BlackConcentration,14,High,6570,1054,-1.6831,0.9244,0.3036
lexicon,XGBoost,SES_group,1,Low,515,76,-1.4844,0.5337,0.2177
lexicon,XGBoost,SES_group,1,High,214,35,-1.4684,0.6115,0.2514
lexicon,XGBoost,BlackConcentration,1,Low,180,33,-1.3282,0.4581,0.2197
lexicon,XGBoost,BlackConcentration,1,High,460,68,-1.4938,0.6851,0.2314
lexicon,XGBoost,SES_group,2,Low,561,52,-1.8657,0.7889,0.2397
lexicon,XGBoost,SES_group,2,High,263,41,-1.4841,0.3332,0.2219
lexicon,XGBoost,SES_group,3,Low,606,64,-1.9046,1.1647,0.2713
lexicon,XGBoost,SES_group,3,High,292,58,-1.2883,0.5721,0.2354
lexicon,XGBoost,SES_group,4,Low,814,110,-1.671,0.5509,0.2635
lexicon,XGBoost,SES_group,4,High,397,56,-1.7008,1.2115,0.2704
lexicon,XGBoost,BlackConcentration,4,Low,249,39,-1.5731,0.505,0.2787
lexicon,XGBoost,BlackConcentration,4,High,841,127,-1.5568,0.714,0.2576
lexicon,XGBoost,SES_group,5,Low,910,134,-1.5297,1.0036,0.2496
lexicon,XGBoost,SES_group,5,High,430,63,-1.7322,0.8908,0.296
lexicon,XGBoost,BlackConcentration,5,Low,293,42,-1.5992,1.0189,0.2588
lexicon,XGBoost,BlackConcentration,5,High,909,133,-1.5996,1.1703,0.2594
lexicon,XGBoost,SES_group,6,Low,959,174,-1.5896,1.0642,0.2893
lexicon,XGBoost,SES_group,6,High,507,104,-1.4134,0.5944,0.2945
lexicon,XGBoost,BlackConcentration,6,Low,349,60,-1.6608,0.9126,0.3134
lexicon,XGBoost,BlackConcentration,6,High,1002,192,-1.5082,0.8632,0.2864
lexicon,XGBoost,SES_group,7,Low,1211,171,-1.6739,0.8628,0.2812
lexicon,XGBoost,SES_group,7,High,676,112,-1.5894,1.0372,0.2855
lexicon,XGBoost,BlackConcentration,7,Low,428,64,-1.7218,0.9298,0.303
lexicon,XGBoost,BlackConcentration,7,High,1276,191,-1.6459,0.9059,0.2858
lexicon,XGBoost,SES_group,8,Low,1715,306,-1.5557,0.8178,0.2913
lexicon,XGBoost,SES_group,8,High,838,160,-1.5738,1.0548,0.2928
lexicon,XGBoost,BlackConcentration,8,Low,555,105,-1.5202,0.8519,0.289
lexicon,XGBoost,BlackConcentration,8,High,1783,346,-1.4962,0.8603,0.2888
lexicon,XGBoost,SES_group,9,Low,2595,373,-1.6061,0.9183,0.2679
lexicon,XGBoost,SES_group,9,High,1429,226,-1.5988,0.86,0.2842
lexicon,XGBoost,BlackConcentration,9,Low,1020,143,-1.6836,0.9135,0.2834
lexicon,XGBoost,BlackConcentration,9,High,2715,412,-1.5915,0.8993,0.2739
lexicon,XGBoost,SES_group,10,Low,2711,372,-1.6441,0.9079,0.2701
lexicon,XGBoost,SES_group,10,High,1356,209,-1.6439,0.8945,0.2887
lexicon,XGBoost,BlackConcentration,10,Low,1012,139,-1.7327,0.8309,0.2934
lexicon,XGBoost,BlackConcentration,10,High,2694,445,-1.5172,0.909,0.2671
lexicon,XGBoost,SES_group,11,Low,3647,513,-1.7147,0.8892,0.2922
lexicon,XGBoost,SES_group,11,High,1900,295,-1.7684,1.1949,0.3114
lexicon,XGBoost,BlackConcentration,11,Low,1378,170,-1.9392,0.9241,0.3248
lexicon,XGBoost,BlackConcentration,11,High,3563,528,-1.7147,0.9173,0.3032
lexicon,XGBoost,SES_group,12,Low,4705,689,-1.7695,0.9976,0.3104
lexicon,XGBoost,SES_group,12,High,2608,445,-1.6648,1.0329,0.3081
lexicon,XGBoost,BlackConcentration,12,Low,1792,264,-1.787,1.0544,0.3149
lexicon,XGBoost,BlackConcentration,12,High,4898,809,-1.6893,1.0377,0.3087
lexicon,XGBoost,SES_group,13,Low,5686,837,-1.7347,0.8865,0.3081
lexicon,XGBoost,SES_group,13,High,3003,506,-1.7211,1.0736,0.3166
lexicon,XGBoost,BlackConcentration,13,Low,2170,307,-1.8006,0.9046,0.319
lexicon,XGBoost,BlackConcentration,13,High,5628,929,-1.6974,1.0321,0.3097
lexicon,XGBoost,SES_group,14,Low,6707,984,-1.6837,1.0013,0.2907
lexicon,XGBoost,SES_group,14,High,3399,539,-1.6958,1.0567,0.3033
lexicon,XGBoost,BlackConcentration,14,Low,2684,400,-1.6598,0.928,0.2911
lexicon,XGBoost,BlackConcentration,14,High,6570,1054,-1.6425,1.0198,0.2933
tfidf_full,Logistic,SES_group,1,Low,515,76,-1.6716,0.5728,0.2831
tfidf_full,Logistic,SES_group,1,High,214,35,-1.6237,0.5736,0.2957
tfidf_full,Logistic,BlackConcentration,1,Low,180,33,-1.4539,0.3906,0.271
tfidf_full,Logistic,BlackConcentration,1,High,460,68,-1.7213,0.7578,0.2925
tfidf_full,Logistic,SES_group,2,Low,561,52,-2.0955,0.7866,0.2915
tfidf_full,Logistic,SES_group,2,High,263,41,-1.5925,0.5289,0.2633
tfidf_full,Logistic,SES_group,3,Low,606,64,-2.144,0.9878,0.3148
tfidf_full,Logistic,SES_group,3,High,292,58,-1.4583,0.7206,0.2812
tfidf_full,Logistic,SES_group,4,Low,814,110,-1.7877,0.6987,0.2955
tfidf_full,Logistic,SES_group,4,High,397,56,-1.9918,1.2765,0.3073
tfidf_full,Logistic,BlackConcentration,4,Low,249,39,-1.673,0.5065,0.3072
tfidf_full,Logistic,BlackConcentration,4,High,841,127,-1.7675,0.859,0.297
tfidf_full,Logistic,SES_group,5,Low,910,134,-1.6515,1.0159,0.2762
tfidf_full,Logistic,SES_group,5,High,430,63,-1.8574,0.8044,0.3266
tfidf_full,Logistic,BlackConcentration,5,Low,293,42,-1.8018,1.1442,0.2925
tfidf_full,Logistic,BlackConcentration,5,High,909,133,-1.7743,1.1155,0.2897
tfidf_full,Logistic,SES_group,6,Low,959,174,-1.6934,1.0412,0.3127
tfidf_full,Logistic,SES_group,6,High,507,104,-1.4758,0.5243,0.3236
