representation,model,grouping,fold,group_level,n,n_defaults,intercept,slope,ECE
structured,Logistic,SES_group,1,Low,515,76,-1.759,0.6494,0.3131
structured,Logistic,SES_group,1,High,214,35,-1.6941,0.6644,0.3172
structured,Logistic,BlackConcentration,1,Low,180,33,-1.5029,0.4357,0.2951
structured,Logistic,BlackConcentration,1,High,460,68,-1.8164,0.802,0.3197
structured,Logistic,SES_group,2,Low,561,52,-2.1983,0.7916,0.3225
structured,Logistic,SES_group,2,High,263,41,-1.6535,0.4968,0.2934
structured,Logistic,SES_group,3,Low,606,64,-2.2341,1.1595,0.3366
structured,Logistic,SES_group,3,High,292,58,-1.5306,0.8203,0.301
structured,Logistic,SES_group,4,Low,814,110,-1.8067,0.6947,0.305
structured,Logistic,SES_group,4,High,397,56,-2.0175,1.2749,0.3204
structured,Logistic,BlackConcentration,4,Low,249,39,-1.6808,0.499,0.3134
structured,Logistic,BlackConcentration,4,High,841,127,-1.7901,0.8636,0.3082
structured,Logistic,SES_group,5,Low,910,134,-1.6645,1.0702,0.282
structured,Logistic,SES_group,5,High,430,63,-1.8708,0.8293,0.3322
structured,Logistic,BlackConcentration,5,Low,293,42,-1.8085,1.2481,0.2961
structured,Logistic,BlackConcentration,5,High,909,133,-1.7987,1.1756,0.2966
structured,Logistic,SES_group,6,Low,959,174,-1.6756,1.0131,0.3134
structured,Logistic,SES_group,6,High,507,104,-1.4725,0.5303,0.323
structured,Logistic,BlackConcentration,6,Low,349,60,-1.7091,0.835,0.3338
structured,Logistic,BlackConcentration,6,High,1002,192,-1.6243,0.8778,0.3155
structured,Logistic,SES_group,7,Low,1211,171,-1.7363,0.8772,0.2964
structured,Logistic,SES_group,7,High,676,112,-1.6999,1.08,0.3049
structured,Logistic,BlackConcentration,7,Low,428,64,-1.7714,0.9261,0.3139
structured,Logistic,BlackConcentration,7,High,1276,191,-1.7336,0.8796,0.3071
structured,Logistic,SES_group,8,Low,1715,306,-1.6696,0.7143,0.3272
structured,Logistic,SES_group,8,High,838,160,-1.7502,0.9667,0.3332
structured,Logistic,BlackConcentration,8,Low,555,105,-1.5981,0.7388,0.3138
structured,Logistic,BlackConcentration,8,High,1783,346,-1.643,0.7862,0.3296
structured,Logistic,SES_group,9,Low,2595,373,-1.7816,0.8388,0.3024
structured,Logistic,SES_group,9,High,1429,226,-1.7712,0.7302,0.328
structured,Logistic,BlackConcentration,9,Low,1020,143,-1.855,0.758,0.3229
structured,Logistic,BlackConcentration,9,High,2715,412,-1.7719,0.7533,0.3158
structured,Logistic,SES_group,10,Low,2711,372,-1.7699,0.8942,0.2991
structured,Logistic,SES_group,10,High,1356,209,-1.7563,0.8981,0.3151
structured,Logistic,BlackConcentration,10,Low,1012,139,-1.8091,0.7234,0.3148
structured,Logistic,BlackConcentration,10,High,2694,445,-1.636,0.9243,0.2937
structured,Logistic,SES_group,11,Low,3647,513,-1.7795,0.8323,0.3071
structured,Logistic,SES_group,11,High,1900,295,-1.8296,0.9909,0.328
