representation,model,grouping,n_folds,mean_intercept_diff,p_intercept_diff_vs0,mean_slope_diff,mean_ECE_Low,mean_ECE_High,mean_coef_is_high,n_folds_sufficiency_sig_raw,n_folds_sufficiency_sig_BH
finbert_768,Logistic,BlackConcentration,12,0.0308,0.3822,0.0429,0.3053,0.3007,0.0308,0,0
finbert_768,Logistic,SES_group,14,0.0918,0.1578,0.0257,0.293,0.3057,0.0919,2,1
finbert_768,XGBoost,BlackConcentration,12,0.0624,0.1325,0.0549,0.2802,0.2714,0.0624,2,0
finbert_768,XGBoost,SES_group,14,0.0857,0.0982,-0.0123,0.2646,0.2675,0.0857,1,0
finbert_pca50,Logistic,BlackConcentration,12,0.0192,0.6409,0.0809,0.3145,0.3123,0.0192,1,0
finbert_pca50,Logistic,SES_group,14,0.0731,0.3038,0.0074,0.3069,0.3172,0.0731,2,1
finbert_pca50,XGBoost,BlackConcentration,12,0.0637,0.0975,0.0646,0.2815,0.2738,0.0637,2,0
finbert_pca50,XGBoost,SES_group,14,0.0639,0.2368,-0.0102,0.2668,0.2744,0.0639,1,0
lexicon,Logistic,BlackConcentration,12,0.0232,0.5636,0.0893,0.3169,0.3131,0.0232,1,0
lexicon,Logistic,SES_group,14,0.0755,0.2885,0.0116,0.3088,0.3178,0.0755,2,1
lexicon,XGBoost,BlackConcentration,12,0.0711,0.0396,0.0652,0.2908,0.2804,0.0711,2,0
lexicon,XGBoost,SES_group,14,0.0774,0.1773,0.0022,0.2745,0.2829,0.0774,1,1
structured,Logistic,BlackConcentration,12,0.0207,0.6102,0.0873,0.3154,0.3128,0.0207,1,0
structured,Logistic,SES_group,14,0.0745,0.2939,0.0124,0.3085,0.3176,0.0745,2,1
structured,XGBoost,BlackConcentration,12,0.0664,0.0632,0.0525,0.2882,0.2797,0.0664,2,0
structured,XGBoost,SES_group,14,0.0775,0.1889,-0.0046,0.2739,0.2832,0.0775,1,1
structured_has_desc,Logistic,BlackConcentration,12,0.0206,0.6109,0.0881,0.3157,0.3129,0.0206,1,0
structured_has_desc,Logistic,SES_group,14,0.0745,0.2931,0.0118,0.3084,0.3176,0.0746,2,1
structured_has_desc,XGBoost,BlackConcentration,12,0.0689,0.0508,0.0586,0.2875,0.2787,0.0689,2,0
structured_has_desc,XGBoost,SES_group,14,0.0817,0.1609,-0.0162,0.2731,0.2826,0.0817,1,1
tfidf_chi2,Logistic,BlackConcentration,12,0.0248,0.5165,0.0809,0.315,0.3123,0.0248,1,0
tfidf_chi2,Logistic,SES_group,14,0.075,0.289,0.0126,0.3077,0.3168,0.075,2,1
tfidf_chi2,XGBoost,BlackConcentration,12,0.0693,0.0732,0.0805,0.3014,0.292,0.0693,2,0
tfidf_chi2,XGBoost,SES_group,14,0.0874,0.186,-0.0121,0.2889,0.2937,0.0874,1,1
tfidf_full,Logistic,BlackConcentration,12,0.0294,0.423,0.0762,0.309,0.3066,0.0294,0,0
tfidf_full,Logistic,SES_group,14,0.0702,0.3107,0.0194,0.3004,0.31,0.0702,2,1
tfidf_full,XGBoost,BlackConcentration,12,0.0862,0.0232,0.0931,0.3047,0.2939,0.0862,2,0
tfidf_full,XGBoost,SES_group,14,0.0891,0.1762,0.0047,0.292,0.2935,0.0891,1,1
