representation,model,grouping,n_folds,mean_intercept_diff,p_intercept_diff_vs0,mean_slope_diff,mean_ECE_Low,mean_ECE_High,mean_coef_is_high,n_folds_sufficiency_sig_raw,n_folds_sufficiency_sig_BH
finbert_pca50,Logistic,BlackConcentration,12,0.0203,0.6205,0.078,0.3133,0.3116,0.0203,1,0
finbert_pca50,Logistic,SES_group,14,0.0732,0.3018,0.0008,0.3065,0.3165,0.0732,2,1
finbert_pca50,RandomForest,BlackConcentration,12,0.0825,0.0756,0.0874,0.2441,0.238,0.0825,3,0
finbert_pca50,RandomForest,SES_group,14,0.1,0.0205,-0.0573,0.2429,0.2332,0.1,1,0
finbert_pca50,XGBoost,BlackConcentration,12,0.0603,0.1236,0.0698,0.2988,0.2915,0.0604,2,0
finbert_pca50,XGBoost,SES_group,14,0.0831,0.1912,-0.0341,0.2884,0.2935,0.0831,1,1
structured,Logistic,BlackConcentration,12,0.022,0.5856,0.0831,0.3141,0.312,0.022,1,0
structured,Logistic,SES_group,14,0.0763,0.2871,0.0062,0.3092,0.318,0.0763,2,1
structured,RandomForest,BlackConcentration,12,0.074,0.0783,0.0617,0.2428,0.2361,0.074,3,0
structured,RandomForest,SES_group,14,0.0929,0.0626,-0.0044,0.2412,0.2357,0.0929,2,0
structured,XGBoost,BlackConcentration,12,0.0633,0.0761,0.0544,0.3019,0.2931,0.0634,2,0
structured,XGBoost,SES_group,14,0.0787,0.2229,-0.0084,0.2905,0.2972,0.0787,1,1
tfidf_full,Logistic,BlackConcentration,12,0.0242,0.5454,0.0775,0.3115,0.3098,0.0242,0,0
tfidf_full,Logistic,SES_group,14,0.072,0.3052,0.0189,0.3043,0.3136,0.072,2,1
tfidf_full,RandomForest,BlackConcentration,12,0.0516,0.1707,0.2355,0.3194,0.3128,0.0516,1,0
tfidf_full,RandomForest,SES_group,14,0.1314,0.0468,-0.0513,0.3261,0.3096,0.1314,2,1
tfidf_full,XGBoost,BlackConcentration,12,0.0709,0.0902,0.1087,0.3126,0.3027,0.0709,2,0
tfidf_full,XGBoost,SES_group,14,0.0807,0.2036,0.0211,0.2984,0.2997,0.0807,2,0
