zip_code,count
112xx,23908
945xx,23782
750xx,23649
606xx,21192
300xx,20497
331xx,19051
070xx,18316
770xx,17719
891xx,17162
100xx,17103
330xx,16914
900xx,16909
104xx,16374
117xx,16109
917xx,15592
852xx,14209
925xx,13146
921xx,12909
926xx,12705
913xx,12693
334xx,12625
604xx,12394
601xx,12101
481xx,11803
853xx,11787
600xx,11578
113xx,11526
080xx,11470
956xx,11004
760xx,10995
773xx,10906
301xx,10876
207xx,10603
021xx,10564
920xx,10402
802xx,10402
774xx,10290
850xx,10200
928xx,10190
980xx,10095
782xx,9921
201xx,9689
114xx,9488
923xx,9477
480xx,9175
212xx,9121
088xx,9063
800xx,8786
902xx,8785
951xx,8702
941xx,8702
553xx,8680
333xx,8634
327xx,8620
786xx,8553
275xx,8534
953xx,8499
605xx,8499
775xx,8488
554xx,8484
752xx,8389
328xx,8256
302xx,8129
787xx,8002
890xx,7957
303xx,7933
441xx,7866
064xx,7811
191xx,7786
958xx,7700
840xx,7697
967xx,7489
940xx,7460
761xx,7436
483xx,7406
282xx,7312
190xx,7220
801xx,7203
210xx,7047
060xx,6982
430xx,6944
322xx,6872
335xx,6840
115xx,6609
751xx,6605
950xx,6502
028xx,6487
347xx,6436
981xx,6299
982xx,6290
922xx,6258
337xx,6230
370xx,6216
906xx,6213
972xx,6196
970xx,5970
857xx,5967
440xx,5964
105xx,5957
339xx,5956
208xx,5956
336xx,5865
462xx,5854
551xx,5849
907xx,5781
346xx,5728
296xx,5664
930xx,5623
919xx,5597
342xx,5576
018xx,5559
983xx,5552
077xx,5510
432xx,5501
076xx,5458
550xx,5404
103xx,5377
200xx,5348
294xx,5196
109xx,5161
280xx,5125
631xx,5102
785xx,5097
152xx,5074
762xx,5058
338xx,5045
799xx,5001
329xx,4969
463xx,4969
452xx,4956
283xx,4928
211xx,4906
871xx,4834
640xx,4816
305xx,4810
217xx,4800
142xx,4665
630xx,4652
325xx,4623
809xx,4536
027xx,4526
805xx,4470
935xx,4441
531xx,4350
234xx,4348
180xx,4329
908xx,4329
320xx,4323
402xx,4309
532xx,4308
986xx,4307
371xx,4287
730xx,4273
074xx,4260
221xx,4249
023xx,4220
740xx,4203
442xx,4196
450xx,4186
068xx,4181
641xx,4166
206xx,4162
957xx,4150
276xx,4135
932xx,4089
125xx,4049
281xx,4016
973xx,4016
349xx,3972
933xx,3954
019xx,3952
660xx,3945
482xx,3928
765xx,3918
461xx,3917
220xx,3911
460xx,3901
700xx,3852
087xx,3847
851xx,3838
946xx,3805
633xx,3788
140xx,3758
410xx,3745
381xx,3736
078xx,3695
232xx,3688
431xx,3681
010xx,3680
731xx,3676
530xx,3646
194xx,3636
321xx,3623
146xx,3605
130xx,3582
662xx,3572
223xx,3549
030xx,3535
488xx,3526
490xx,3518
295xx,3509
029xx,3506
067xx,3454
272xx,3453
954xx,3433
952xx,3412
959xx,3408
974xx,3392
934xx,3387
705xx,3386
841xx,3362
111xx,3347
015xx,3338
286xx,3300
936xx,3295
170xx,3290
727xx,3272
937xx,3247
150xx,3210
949xx,3184
380xx,3163
968xx,3159
985xx,3109
894xx,3046
020xx,3030
120xx,3012
350xx,3007
310xx,2986
071xx,2968
065xx,2949
895xx,2941
073xx,2938
290xx,2933
927xx,2927
535xx,2921
352xx,2920
107xx,2907
231xx,2901
622xx,2889
681xx,2876
780xx,2869
284xx,2866
704xx,2853
453xx,2851
984xx,2838
287xx,2781
781xx,2771
797xx,2749
344xx,2742
209xx,2713
484xx,2711
193xx,2691
720xx,2685
372xx,2684
151xx,2674
063xx,2669
373xx,2668
038xx,2666
494xx,2652
306xx,2648
707xx,2645
939xx,2644
378xx,2636
701xx,2627
017xx,2625
454xx,2615
145xx,2586
238xx,2562
806xx,2559
197xx,2557
446xx,2550
465xx,2537
119xx,2532
856xx,2528
085xx,2519
285xx,2519
914xx,2507
995xx,2502
386xx,2497
297xx,2494
199xx,2487
278xx,2480
066xx,2469
144xx,2453
971xx,2451
323xx,2447
672xx,2447
741xx,2425
341xx,2408
549xx,2397
910xx,2381
236xx,2379
273xx,2376
754xx,2363
189xx,2358
379xx,2335
365xx,2292
061xx,2275
121xx,2265
245xx,2265
173xx,2256
351xx,2233
451xx,2217
240xx,2209
082xx,2209
495xx,2180
224xx,2160
307xx,2150
916xx,2149
110xx,2142
222xx,2142
225xx,2123
292xx,2115
992xx,2111
326xx,2091
274xx,2065
024xx,2059
324xx,2054
559xx,2052
721xx,2047
993xx,2046
054xx,2039
293xx,2027
444xx,2016
458xx,2012
757xx,2010
435xx,2000
708xx,1998
086xx,1996
492xx,1993
156xx,1968
448xx,1954
083xx,1948
960xx,1947
405xx,1945
277xx,1927
395xx,1920
794xx,1897
912xx,1893
610xx,1872
233xx,1872
436xx,1855
128xx,1843
183xx,1839
226xx,1804
141xx,1796
975xx,1783
804xx,1779
368xx,1775
229xx,1766
486xx,1753
313xx,1753
376xx,1737
357xx,1736
544xx,1713
230xx,1710
079xx,1699
563xx,1686
756xx,1679
456xx,1678
620xx,1677
703xx,1672
360xx,1662
784xx,1656
072xx,1650
657xx,1643
471xx,1639
864xx,1639
989xx,1634
317xx,1634
014xx,1633
148xx,1633
905xx,1632
403xx,1626
291xx,1617
560xx,1615
136xx,1611
443xx,1610
175xx,1597
132xx,1597
711xx,1595
467xx,1595
315xx,1593
468xx,1588
254xx,1580
493xx,1570
270xx,1563
366xx,1562
356xx,1550
479xx,1547
778xx,1547
062xx,1546
377xx,1542
977xx,1541
791xx,1538
075xx,1532
863xx,1524
810xx,1521
308xx,1518
314xx,1505
400xx,1502
032xx,1495
880xx,1493
618xx,1483
271xx,1478
040xx,1468
722xx,1458
948xx,1453
069xx,1452
123xx,1451
473xx,1433
134xx,1423
184xx,1417
469xx,1415
931xx,1412
198xx,1409
131xx,1403
712xx,1399
363xx,1390
652xx,1390
016xx,1384
924xx,1384
195xx,1381
836xx,1380
394xx,1374
216xx,1356
658xx,1351
816xx,1348
611xx,1343
496xx,1339
706xx,1338
537xx,1333
875xx,1326
911xx,1323
129xx,1319
390xx,1318
026xx,1313
031xx,1313
196xx,1310
617xx,1300
160xx,1299
241xx,1281
944xx,1271
988xx,1270
319xx,1261
299xx,1253
011xx,1238
218xx,1233
547xx,1231
391xx,1228
729xx,1219
996xx,1213
383xx,1208
815xx,1204
724xx,1204
612xx,1190
298xx,1187
361xx,1186
597xx,1181
235xx,1179
153xx,1175
358xx,1173
882xx,1171
124xx,1171
571xx,1167
447xx,1159
915xx,1158
433xx,1158
648xx,1155
474xx,1151
685xx,1146
820xx,1144
186xx,1140
359xx,1137
309xx,1135
541xx,1133
374xx,1124
354xx,1122
122xx,1118
172xx,1116
666xx,1116
577xx,1113
776xx,1111
116xx,1108
670xx,1107
147xx,1101
161xx,1100
546xx,1089
178xx,1084
790xx,1083
735xx,1072
539xx,1070
615xx,1065
437xx,1056
174xx,1053
763xx,1049
847xx,1047
759xx,1046
609xx,1041
557xx,1039
766xx,1039
570xx,1027
421xx,1025
434xx,1015
540xx,1010
656xx,1010
860xx,1006
081xx,1005
903xx,1002
171xx,994
166xx,993
362xx,993
598xx,993
392xx,992
106xx,991
808xx,990
591xx,990
629xx,988
182xx,986
439xx,985
025xx,980
388xx,979
181xx,979
565xx,978
846xx,978
489xx,974
680xx,973
304xx,973
279xx,972
783xx,972
108xx,969
607xx,963
608xx,962
316xx,959
626xx,954
548xx,952
744xx,949
628xx,948
997xx,947
844xx,940
445xx,936
497xx,935
487xx,931
472xx,930
661xx,923
904xx,922
385xx,920
627xx,901
228xx,900
543xx,899
165xx,894
767xx,890
133xx,890
870xx,880
176xx,876
625xx,872
978xx,871
955xx,869
012xx,867
723xx,860
961xx,857
616xx,857
478xx,856
613xx,852
990xx,843
137xx,837
168xx,835
748xx,833
826xx,831
219xx,830
187xx,826
265xx,823
714xx,821
710xx,820
244xx,820
127xx,817
719xx,809
404xx,808
185xx,807
154xx,804
312xx,801
101xx,800
420xx,799
562xx,789
837xx,786
089xx,785
401xx,785
138xx,781
898xx,778
650xx,776
599xx,774
466xx,774
214xx,771
665xx,771
796xx,766
793xx,758
843xx,749
384xx,748
674xx,747
769xx,746
288xx,746
713xx,743
427xx,740
564xx,740
177xx,736
594xx,735
838xx,735
558xx,734
477xx,733
498xx,731
042xx,729
947xx,728
243xx,722
423xx,721
874xx,720
242xx,720
667xx,718
464xx,716
470xx,713
788xx,713
779xx,712
716xx,706
159xx,700
457xx,700
227xx,698
829xx,697
534xx,685
918xx,684
803xx,681
179xx,680
485xx,678
671xx,673
260xx,672
393xx,668
764xx,667
755xx,665
637xx,659
163xx,654
585xx,651
126xx,648
118xx,646
034xx,641
449xx,639
475xx,639
056xx,637
355xx,634
614xx,631
678xx,624
726xx,623
476xx,617
897xx,612
655xx,609
728xx,608
318xx,608
855xx,607
044xx,597
013xx,596
827xx,592
647xx,591
743xx,591
253xx,589
397xx,589
688xx,583
603xx,583
814xx,580
491xx,574
057xx,569
777xx,569
581xx,566
645xx,565
164xx,563
037xx,561
991xx,557
261xx,555
795xx,554
675xx,552
049xx,551
624xx,550
813xx,549
255xx,546
050xx,541
812xx,539
636xx,537
587xx,536
422xx,532
596xx,532
718xx,531
811xx,530
664xx,527
455xx,526
215xx,517
411xx,514
943xx,514
717xx,514
602xx,513
424xx,510
237xx,502
033xx,500
143xx,500
653xx,489
542xx,487
644xx,486
758xx,486
561xx,485
833xx,484
883xx,483
725xx,478
976xx,475
807xx,471
582xx,469
619xx,467
239xx,460
158xx,460
623xx,449
567xx,448
749xx,446
382xx,445
162xx,444
881xx,443
566xx,441
737xx,439
139xx,437
157xx,435
396xx,433
263xx,433
545xx,431
834xx,429
638xx,417
590xx,415
364xx,415
398xx,409
998xx,399
580xx,393
768xx,390
651xx,390
155xx,385
789xx,384
188xx,383
407xx,382
832xx,380
135xx,377
654xx,376
367xx,375
734xx,374
859xx,369
041xx,368
258xx,367
499xx,358
824xx,357
572xx,351
588xx,350
389xx,346
246xx,340
691xx,334
745xx,332
262xx,332
035xx,329
747xx,328
668xx,327
387xx,326
149xx,317
573xx,316
687xx,315
425xx,315
058xx,311
438xx,305
251xx,305
693xx,305
634xx,304
639xx,301
689xx,299
673xx,298
043xx,294
053xx,294
646xx,294
257xx,292
406xx,292
676xx,287
084xx,285
586xx,284
683xx,282
592xx,280
798xx,278
574xx,275
247xx,274
052xx,272
167xx,269
746xx,257
684xx,257
825xx,256
039xx,253
169xx,245
686xx,243
828xx,241
593xx,240
575xx,238
635xx,229
051xx,227
264xx,223
250xx,222
102xx,221
267xx,216
538xx,215
873xx,210
047xx,203
415xx,202
677xx,200
249xx,200
046xx,198
252xx,196
736xx,195
877xx,194
845xx,191
412xx,183
409xx,181
822xx,180
584xx,177
022xx,171
259xx,171
831xx,170
289xx,168
045xx,163
738xx,163
583xx,161
679xx,160
426xx,156
048xx,156
792xx,155
999xx,153
595xx,144
830xx,144
772xx,140
835xx,135
416xx,135
823xx,134
739xx,126
893xx,124
865xx,122
413xx,120
256xx,116
417xx,116
266xx,111
268xx,110
994xx,105
669xx,105
408xx,98
979xx,96
690xx,95
248xx,93
878xx,88
036xx,87
556xx,87
332xx,86
418xx,86
369xx,79
753xx,76
963xx,74
884xx,72
879xx,69
414xx,61
090xx,54
576xx,53
962xx,45
096xx,42
059xx,38
091xx,37
094xx,33
311xx,29
692xx,18
092xx,13
098xx,13
097xx,13
969xx,11
821xx,10
942xx,10
965xx,9
340xx,9
861xx,9
527xx,8
008xx,8
500xx,7
502xx,7
523xx,7
095xx,6
204xx,6
007xx,5
093xx,5
555xx,5
901xx,5
528xx,5
343xx,5
506xx,5
203xx,5
348xx,5
966xx,4
621xx,4
909xx,4
854xx,4
503xx,4
987xx,4
353xx,3
569xx,3
510xx,3
345xx,3
663xx,3
525xx,3
702xx,3
929xx,3
694xx,3
696xx,2
522xx,2
501xx,2
771xx,2
742xx,2
205xx,2
858xx,2
698xx,2
009xx,2
504xx,2
709xx,2
819xx,2
964xx,2
892xx,1
513xx,1
568xx,1
515xx,1
399xx,1
732xx,1
521xx,1
872xx,1
269xx,1
733xx,1
429xx,1
509xx,1
938xx,1
682xx,1
516xx,1
889xx,1
888xx,1
524xx,1
514xx,1
375xx,1
511xx,1
649xx,1
885xx,1
552xx,1
507xx,1
643xx,1
862xx,1
512xx,1
896xx,1
055xx,1
202xx,1
817xx,1
849xx,1
520xx,1
