zip3,share_black,share_hispanic,poverty_rate,median_income_approx,total_pop,income_decile,poverty_decile,high_black
006,0.0005686710075754,0.9859683696087708,0.5191195326388076,16136.529748329844,1204781.25,4.0,10.0,0
007,0.0006430003124116,0.994107748014196,0.4712920564117469,19020.452511310366,1359614.0,4.0,10.0,0
009,0.0017553522874305,0.9862244538780132,0.3556629265568911,-1488.8580431445291,1128721.5,4.0,10.0,0
010,0.0214176052084995,0.0954171067674533,0.1214759700863065,-19418.350321293336,470743.25,3.0,3.0,0
011,0.1772001268719461,0.3636242766470043,0.2651313467334359,43158.11680399936,169200.5,6.0,10.0,1
012,0.0264122283641177,0.0354443805844531,0.1241465183236271,49642.06262263122,130279.75,8.0,3.0,0
013,0.0070129085951478,0.0367355301565314,0.1221052805096734,53541.76718041024,83246.75,8.0,3.0,0
014,0.0277290954463594,0.091362282297822,0.1065002431143825,68385.59164095816,213111.0,10.0,2.0,0
015,0.0146547529292534,0.0469809890907592,0.0621396732913887,79787.64318201195,374582.5,10.0,1.0,0
016,0.1022326666680237,0.195845773501649,0.2000004571881929,48333.86718552503,189176.25,7.0,9.0,0
017,0.0243605503326767,0.060964509398191,0.056825693795055,97151.50165731373,382861.0,10.0,1.0,0
018,0.0236405130791624,0.1475281128121167,0.097541464809101,77924.08744499563,718343.0,10.0,2.0,0
019,0.0335315074602861,0.0990962092353863,0.0948743981592081,72220.392681909,479909.25,10.0,2.0,0
020,0.0266635900787924,0.0258069753698036,0.043566712427144,-35441.97519982654,402757.0,3.0,1.0,0
021,0.1485207903009517,0.1427029512267314,0.1616058089716294,62184.16409932785,1298328.0,9.0,6.0,0
022,0.0326277203050308,0.0760272269560854,0.3362216456641811,43157.38009737044,25838.0,6.0,10.0,0
023,0.1249310279773404,0.041560138310742,0.0813844337114889,25349.47954973009,442896.75,5.0,1.0,0
024,0.0269020626205872,0.0578484269278833,0.0672554618839496,94758.6078611748,410494.0,10.0,1.0,0
025,0.0261364540516345,0.0224844709158642,0.0899059614990067,27478.77071097853,116494.5,5.0,2.0,0
