,dtype,non_null,nulls,null_pct,n_unique
_issue_dt,datetime64[ns],221428,0,0.0,48
pct_tl_nvr_dlq,float64,160277,61151,27.62,341
mths_since_recent_inq,float64,160304,61124,27.6,25
num_tl_op_past_12m,float64,160430,60998,27.55,22
total_rev_hi_lim,float64,160430,60998,27.55,11121
avg_cur_bal,float64,160424,61004,27.55,42540
mo_sin_rcnt_tl,float64,160430,60998,27.55,126
mo_sin_old_rev_tl_op,float64,160429,60999,27.55,642
num_rev_tl_bal_gt_0,float64,160430,60998,27.55,33
mo_sin_rcnt_rev_tl_op,float64,160429,60999,27.55,178
tot_hi_cred_lim,float64,160430,60998,27.55,115312
bc_util,float64,179059,42369,19.13,1194
percent_bc_gt_75,float64,179143,42285,19.1,143
bc_open_to_buy,float64,179146,42282,19.1,34051
mths_since_recent_bc,float64,179343,42085,19.01,353
total_bc_limit,float64,180676,40752,18.4,10902
acc_open_past_24mths,float64,180676,40752,18.4,32
revol_util,float64,221275,153,0.07,1148
revol_bal,float64,221428,0,0.0,45619
last_fico_range_high,float64,221428,0,0.0,72
last_fico_range_low,float64,221428,0,0.0,71
funded_amnt,float64,221428,0,0.0,1274
int_rate,float64,221428,0,0.0,318
dti,float64,221428,0,0.0,3499
annual_inc,float64,221428,0,0.0,18100
inq_last_6mths,float64,221428,0,0.0,9
fico_range_low,float64,221428,0,0.0,38
loan_amnt,float64,221428,0,0.0,1267
_year,int32,221428,0,0.0,4
is_default,int64,221428,0,0.0,2
desc,object,101912,119516,53.98,100963
emp_title,object,207584,13844,6.25,133115
emp_length,object,212463,8965,4.05,11
title,object,221410,18,0.01,57009
zip_code,object,221428,0,0.0,845
sub_grade,object,221428,0,0.0,35
term,object,221428,0,0.0,2
addr_state,object,221428,0,0.0,49
purpose,object,221428,0,0.0,14
grade,object,221428,0,0.0,7
home_ownership,object,221428,0,0.0,5
verification_status,object,221428,0,0.0,3
issue_d,object,221428,0,0.0,48
