zip3,count
112,23908
945,23782
750,23649
606,21192
300,20497
331,19051
070,18316
770,17719
891,17162
100,17103
330,16914
900,16909
104,16374
117,16109
917,15592
852,14209
925,13146
921,12909
926,12705
913,12693
334,12625
604,12394
601,12101
481,11803
853,11787
600,11578
113,11526
080,11470
956,11004
760,10995
773,10906
301,10876
207,10603
021,10564
920,10402
802,10402
774,10290
850,10200
928,10190
980,10095
782,9921
201,9689
114,9488
923,9477
480,9175
212,9121
088,9063
800,8786
902,8785
951,8702
941,8702
553,8680
333,8634
327,8620
786,8553
275,8534
953,8499
605,8499
775,8488
554,8484
752,8389
328,8256
302,8129
787,8002
890,7957
303,7933
441,7866
064,7811
191,7786
958,7700
840,7697
967,7489
940,7460
761,7436
483,7406
282,7312
190,7220
801,7203
210,7047
060,6982
430,6944
322,6872
335,6840
115,6609
751,6605
950,6502
028,6487
347,6436
981,6299
982,6290
922,6258
337,6230
370,6216
906,6213
972,6196
970,5970
857,5967
440,5964
105,5957
339,5956
208,5956
336,5865
462,5854
551,5849
907,5781
346,5728
296,5664
930,5623
919,5597
342,5576
018,5559
983,5552
077,5510
432,5501
076,5458
550,5404
103,5377
200,5348
294,5196
109,5161
280,5125
631,5102
785,5097
152,5074
762,5058
338,5045
799,5001
329,4969
463,4969
452,4956
283,4928
211,4906
871,4834
640,4816
305,4810
217,4800
142,4665
630,4652
325,4623
809,4536
027,4526
805,4470
935,4441
531,4350
234,4348
180,4329
908,4329
320,4323
402,4309
532,4308
986,4307
371,4287
730,4273
074,4260
221,4249
023,4220
740,4203
442,4196
450,4186
068,4181
641,4166
206,4162
957,4150
276,4135
932,4089
125,4049
281,4016
973,4016
349,3972
933,3954
019,3952
660,3945
482,3928
765,3918
461,3917
220,3911
460,3901
700,3852
087,3847
851,3838
946,3805
633,3788
140,3758
410,3745
381,3736
078,3695
232,3688
431,3681
010,3680
731,3676
530,3646
194,3636
321,3623
146,3605
130,3582
662,3572
223,3549
030,3535
488,3526
490,3518
295,3509
029,3506
067,3454
272,3453
954,3433
952,3412
959,3408
974,3392
934,3387
705,3386
841,3362
111,3347
015,3338
286,3300
936,3295
170,3290
727,3272
937,3247
150,3210
949,3184
380,3163
968,3159
985,3109
894,3046
020,3030
120,3012
350,3007
310,2986
071,2968
065,2949
895,2941
073,2938
290,2933
927,2927
535,2921
352,2920
107,2907
231,2901
622,2889
681,2876
780,2869
284,2866
704,2853
453,2851
984,2838
287,2781
781,2771
797,2749
344,2742
209,2713
484,2711
193,2691
720,2685
372,2684
151,2674
063,2669
373,2668
038,2666
494,2652
306,2648
707,2645
939,2644
378,2636
701,2627
017,2625
454,2615
145,2586
238,2562
806,2559
197,2557
446,2550
465,2537
119,2532
856,2528
085,2519
285,2519
914,2507
995,2502
386,2497
297,2494
199,2487
278,2480
066,2469
144,2453
971,2451
323,2447
672,2447
741,2425
341,2408
549,2397
910,2381
236,2379
273,2376
754,2363
189,2358
379,2335
365,2292
061,2275
121,2265
245,2265
173,2256
351,2233
451,2217
240,2209
082,2209
495,2180
224,2160
307,2150
916,2149
110,2142
222,2142
225,2123
292,2115
992,2111
326,2091
274,2065
024,2059
324,2054
559,2052
721,2047
993,2046
054,2039
293,2027
444,2016
458,2012
757,2010
435,2000
708,1998
086,1996
492,1993
156,1968
448,1954
083,1948
960,1947
405,1945
277,1927
395,1920
794,1897
912,1893
610,1872
233,1872
436,1855
128,1843
183,1839
226,1804
141,1796
975,1783
804,1779
368,1775
229,1766
486,1753
313,1753
376,1737
357,1736
544,1713
230,1710
079,1699
563,1686
756,1679
456,1678
620,1677
703,1672
360,1662
784,1656
072,1650
657,1643
471,1639
864,1639
989,1634
317,1634
014,1633
148,1633
905,1632
403,1626
291,1617
560,1615
136,1611
443,1610
175,1597
132,1597
711,1595
467,1595
315,1593
468,1588
254,1580
493,1570
270,1563
366,1562
356,1550
479,1547
778,1547
062,1546
377,1542
977,1541
791,1538
075,1532
863,1524
810,1521
308,1518
314,1505
400,1502
032,1495
880,1493
618,1483
271,1478
040,1468
722,1458
948,1453
069,1452
123,1451
473,1433
134,1423
184,1417
469,1415
931,1412
198,1409
131,1403
712,1399
363,1390
652,1390
016,1384
924,1384
195,1381
836,1380
394,1374
216,1356
658,1351
816,1348
611,1343
496,1339
706,1338
537,1333
875,1326
911,1323
129,1319
390,1318
026,1313
031,1313
196,1310
617,1300
160,1299
241,1281
944,1271
988,1270
319,1261
299,1253
011,1238
218,1233
547,1231
391,1228
729,1219
996,1213
383,1208
815,1204
724,1204
612,1190
298,1187
361,1186
597,1181
235,1179
153,1175
358,1173
882,1171
124,1171
571,1167
447,1159
915,1158
433,1158
648,1155
474,1151
685,1146
820,1144
186,1140
359,1137
309,1135
541,1133
374,1124
354,1122
122,1118
172,1116
666,1116
577,1113
776,1111
116,1108
670,1107
147,1101
161,1100
546,1089
178,1084
790,1083
735,1072
539,1070
615,1065
437,1056
174,1053
763,1049
847,1047
759,1046
609,1041
557,1039
766,1039
570,1027
421,1025
434,1015
540,1010
656,1010
860,1006
081,1005
903,1002
171,994
166,993
362,993
598,993
392,992
106,991
808,990
591,990
629,988
182,986
439,985
025,980
388,979
181,979
565,978
846,978
489,974
680,973
304,973
279,972
783,972
108,969
607,963
608,962
316,959
626,954
548,952
744,949
628,948
997,947
844,940
445,936
497,935
487,931
472,930
661,923
904,922
385,920
627,901
228,900
543,899
165,894
767,890
133,890
870,880
176,876
625,872
978,871
955,869
012,867
723,860
961,857
616,857
478,856
613,852
990,843
137,837
168,835
748,833
826,831
219,830
187,826
265,823
714,821
710,820
244,820
127,817
719,809
404,808
185,807
154,804
312,801
101,800
420,799
562,789
837,786
089,785
401,785
138,781
898,778
650,776
599,774
466,774
214,771
665,771
796,766
793,758
843,749
384,748
674,747
769,746
288,746
713,743
427,740
564,740
177,736
594,735
838,735
558,734
477,733
498,731
042,729
947,728
243,722
423,721
874,720
242,720
667,718
464,716
470,713
788,713
779,712
716,706
159,700
457,700
227,698
829,697
534,685
918,684
803,681
179,680
485,678
671,673
260,672
393,668
764,667
755,665
637,659
163,654
585,651
126,648
118,646
034,641
449,639
475,639
056,637
355,634
614,631
678,624
726,623
476,617
897,612
655,609
728,608
318,608
855,607
044,597
013,596
827,592
647,591
743,591
253,589
397,589
688,583
603,583
814,580
491,574
057,569
777,569
581,566
645,565
164,563
037,561
991,557
261,555
795,554
675,552
049,551
624,550
813,549
255,546
050,541
812,539
636,537
587,536
422,532
596,532
718,531
811,530
664,527
455,526
215,517
411,514
943,514
717,514
602,513
424,510
237,502
033,500
143,500
653,489
542,487
644,486
758,486
561,485
833,484
883,483
725,478
976,475
807,471
582,469
619,467
239,460
158,460
623,449
567,448
749,446
382,445
162,444
881,443
566,441
737,439
139,437
157,435
396,433
263,433
545,431
834,429
638,417
590,415
364,415
398,409
998,399
580,393
768,390
651,390
155,385
789,384
188,383
407,382
832,380
135,377
654,376
367,375
734,374
859,369
041,368
258,367
499,358
824,357
572,351
588,350
389,346
246,340
691,334
745,332
262,332
035,329
747,328
668,327
387,326
149,317
573,316
687,315
425,315
058,311
438,305
251,305
693,305
634,304
639,301
689,299
673,298
043,294
053,294
646,294
257,292
406,292
676,287
084,285
586,284
683,282
592,280
798,278
574,275
247,274
052,272
167,269
746,257
684,257
825,256
039,253
169,245
686,243
828,241
593,240
575,238
635,229
051,227
264,223
250,222
102,221
267,216
538,215
873,210
047,203
415,202
677,200
249,200
046,198
252,196
736,195
877,194
845,191
412,183
409,181
822,180
584,177
022,171
259,171
831,170
289,168
045,163
738,163
583,161
679,160
426,156
048,156
792,155
999,153
595,144
830,144
772,140
835,135
416,135
823,134
739,126
893,124
865,122
413,120
256,116
417,116
266,111
268,110
994,105
669,105
408,98
979,96
690,95
248,93
878,88
036,87
556,87
332,86
418,86
369,79
753,76
963,74
884,72
879,69
414,61
090,54
576,53
962,45
096,42
059,38
091,37
094,33
311,29
