zip3,share_black,share_hispanic,poverty_rate,median_income_approx,total_pop,poverty_decile,income_decile
006,0.0005686710075754,0.9859683696087708,0.514897165964902,16136.529748329844,1204781.25,10.0,1.0
007,0.000643000312411675,0.9941077480141959,0.467156584638221,19020.452511310366,1359614.0,10.0,1.0
009,0.0017553522874305,0.9862244538780132,0.35098850911720364,27024.4244950893,1128721.5,10.0,1.0
010,0.0214176052084995,0.09541710676745338,0.1133450377140709,58703.20584676321,470743.25,3.0,8.0
011,0.17720012687194614,0.36362427664700436,0.25428453734762135,43158.116803999364,169200.5,10.0,3.0
012,0.02641222836411775,0.03544438058445315,0.11872554283194507,49642.06262263122,130279.75,3.0,6.0
013,0.007012908595147825,0.03673553015653143,0.11997985637572017,53541.76718041024,83246.75,3.0,7.0
014,0.0277290954463594,0.091362282297822,0.10275768515626682,68385.59164095816,213111.0,2.0,9.0
015,0.0146547529292534,0.0469809890907592,0.06080028063934133,79787.64318201195,374582.5,1.0,10.0
016,0.10223266666802378,0.19584577350164906,0.18786920778159677,48333.86718552503,189176.25,9.0,5.0
017,0.0243605503326767,0.06096450939819102,0.055705402420699546,97151.50165731373,382861.0,1.0,10.0
018,0.02364051307916245,0.14752811281211675,0.09600050575361957,77924.08744499563,718343.0,2.0,10.0
019,0.03353150746028617,0.09909620923538637,0.09261716616007917,72220.392681909,479909.25,2.0,10.0
020,0.026663590078792477,0.0258069753698036,0.042755452407941825,96624.47451700403,402757.0,1.0,10.0
021,0.14852079030095175,0.1427029512267314,0.15536933269216766,62184.16409932785,1298328.0,6.0,9.0
022,0.03262772030503085,0.07602722695608549,0.183985482802616,43157.38009737044,25838.0,8.0,3.0
023,0.12493102797734049,0.041560138310742054,0.0789312055815283,74146.89904087072,442896.75,1.0,10.0
024,0.026902062620587273,0.0578484269278833,0.06293894230025045,105301.49168940524,410494.0,1.0,10.0
025,0.026136454051634575,0.0224844709158642,0.08805063281858552,66414.47662944827,116494.5,2.0,9.0
026,0.022146908037302324,0.02402442092352585,0.09536301806685821,59198.09074177767,148143.5,2.0,8.0
027,0.030997886608613,0.0616091526085625,0.12170047900675784,57685.539867982545,527383.5,4.0,8.0
028,0.033792983034325805,0.07093205834033782,0.10426363746644875,63522.883658187624,672227.25,2.0,9.0
029,0.08440088764370697,0.22565783485121316,0.17327312969344166,48620.71889099551,380617.0,8.0,5.0
030,0.009145469569720125,0.04315022106509185,0.05539675434584183,80207.59921120119,378723.0,1.0,10.0
031,0.03578731553224133,0.06392404228081577,0.10983104265899185,65713.51623653594,148686.5,3.0,9.0
032,0.004617121183782375,0.013810482675339176,0.09073528235173217,60966.22358293233,187444.75,2.0,8.0
033,0.0171287086568219,0.0169977407670422,0.0890916678749198,61430.54019125376,61346.75,2.0,9.0
034,0.0062993484037497,0.013240523217812475,0.09700783820672063,57950.27946269704,83763.5,2.0,8.0
035,0.005363823626525475,0.0142827860856635,0.12025726740158679,44279.08188581416,45939.0,3.0,4.0
036,0.0053369608730134,0.015803112771410926,0.07800685420251652,53315.061993330935,13719.25,1.0,7.0
037,0.008172788347305799,0.01892019700458795,0.09316482521018746,62408.61543512672,77818.0,2.0,9.0
038,0.0064200433115464,0.01649513603725895,0.0830662314349068,66826.28273869629,321036.25,1.0,9.0
039,0.005967262031282225,0.015662107899741026,0.06054791416176815,67099.99876727547,48741.25,1.0,9.0
040,0.008616536670138826,0.0123338844703664,0.09540810898876514,58810.43639336179,337993.75,2.0,8.0
041,0.04517256435010673,0.027059878136399377,0.14469627036708213,55644.516669302844,113005.5,5.0,8.0
042,0.01100817617111315,0.0143803062370404,0.14188024313199013,45541.06154563804,176388.0,5.0,4.0
043,0.00345036249047435,0.0129961189821609,0.11605187704311425,49754.06959358089,82258.5,3.0,6.0
044,0.006351197326527775,0.010919154089914174,0.15786253367252503,44027.64457715581,176345.5,6.0,3.0
045,0.0065581075711188,0.009437567651891025,0.12413344770564283,50124.12211384818,48350.0,4.0,6.0
046,0.0040099033534326,0.013779556701265525,0.15228678755305464,43083.466048121256,73672.25,6.0,3.0
047,0.0058159904110506,0.010125318672785974,0.15971113613880908,37623.64549337026,71985.25,6.0,1.0
048,0.00495692254645475,0.009020766014797576,0.10375338641030465,49852.955306283315,40043.5,2.0,6.0
049,0.006208005543290175,0.010488924774652976,0.1640429756173494,40690.419402710424,159684.5,7.0,2.0
050,0.004671891279733425,0.00836416346017575,0.10580881954869407,56691.35915078054,61172.0,3.0,8.0
051,0.00470288753586245,0.023667286755966827,0.1235061060875792,46842.28207196919,29507.25,4.0,5.0
052,0.005097353575044575,0.01549257926898975,0.132278037776824,49054.47003681433,33308.5,4.0,5.0
053,0.009325951396651775,0.016451445451422526,0.10320259723562612,52142.50860106899,37209.0,2.0,7.0
054,0.014070403272773174,0.017359578658685076,0.10213508445305335,62536.785942876624,234849.75,2.0,9.0
056,0.007633182016604324,0.017203547867569252,0.10085689587582795,56218.55769835482,85254.75,2.0,8.0
057,0.0057485059853523,0.0135915865121898,0.12181513785459258,50162.65444987404,82109.5,4.0,6.0
058,0.006336391002163175,0.012161654175382576,0.14489354863262238,42898.105769942646,58588.25,5.0,3.0
059,0.00774905682789245,0.005844429161935575,0.15858120513811672,38319.8726464754,3680.5,6.0,2.0
060,0.07529487814740463,0.0968084854713756,0.07626703908462837,74730.92449521302,672810.5,1.0,10.0
061,0.20824862843670874,0.2637405082951597,0.18206931722148234,55326.78736524774,296663.25,8.0,7.0
062,0.020128255585896024,0.08257367027074347,0.09400807602869903,68849.64434320465,166331.25,2.0,9.0
063,0.05169206079740585,0.08746304412562765,0.08533005334845915,66447.29120657234,268503.25,1.0,9.0
064,0.03201300696126873,0.07702389936553625,0.0600833996391655,81046.24823474526,718295.0,1.0,10.0
065,0.22817880053208692,0.17749204833882604,0.15829198572008366,53869.560156488675,289894.5,6.0,7.0
066,0.23582324020691955,0.27105549624505476,0.15297159721938125,60079.44756182462,240254.5,6.0,8.0
067,0.0706187248289319,0.14422061436695732,0.11542478369380453,64283.36118251219,332340.75,3.0,9.0
