fold,Model,representation,AUC_structured,AUC_representation,Delta_AUC,Z_stat,p_value,q_value
1,Logistic,structured_has_desc,0.6603,0.6598,-0.0004,0.38,0.7041,0.811117808219178
1,Logistic,lexicon,0.6603,0.6608,0.0005,-0.181,0.8564,0.9342545454545454
1,Logistic,tfidf_full,0.6603,0.6552,-0.0051,0.708,0.4791,0.686379661016949
1,Logistic,tfidf_chi2,0.6603,0.655,-0.0053,1.187,0.2354,0.5649599999999999
1,Logistic,finbert_768,0.6603,0.5777,-0.0825,3.667,0.0002,0.008400000000000001
1,Logistic,finbert_pca50,0.6603,0.657,-0.0032,0.389,0.697,0.811117808219178
1,XGBoost,structured_has_desc,0.6472,0.6419,-0.0053,0.98,0.3273,0.9135636363636364
1,XGBoost,lexicon,0.6472,0.645,-0.0022,0.242,0.8086,0.9590000000000001
1,XGBoost,tfidf_full,0.6472,0.6355,-0.0117,0.64,0.5224,0.9590000000000001
1,XGBoost,tfidf_chi2,0.6472,0.6358,-0.0114,0.8,0.4236,0.9590000000000001
1,XGBoost,finbert_768,0.6472,0.609,-0.0382,1.808,0.0705,0.74025
1,XGBoost,finbert_pca50,0.6472,0.6334,-0.0139,0.876,0.3811,0.9415411764705882
2,Logistic,structured_has_desc,0.681,0.6804,-0.0005,0.484,0.6286,0.77328
2,Logistic,lexicon,0.681,0.688,0.007,-2.057,0.0397,0.22026666666666667
2,Logistic,tfidf_full,0.681,0.6932,0.0122,-2.497,0.0125,0.11004
2,Logistic,tfidf_chi2,0.681,0.6852,0.0043,-1.601,0.1094,0.367584
2,Logistic,finbert_768,0.681,0.6459,-0.035,1.791,0.0733,0.2852181818181818
2,Logistic,finbert_pca50,0.681,0.6781,-0.0028,0.512,0.6087,0.7631462686567164
2,XGBoost,structured_has_desc,0.6812,0.68,-0.0012,0.27,0.7873,0.9590000000000001
2,XGBoost,lexicon,0.6812,0.6814,0.0001,-0.02,0.9844,0.9843999999999999
2,XGBoost,tfidf_full,0.6812,0.6945,0.0133,-0.815,0.4152,0.9590000000000001
2,XGBoost,tfidf_chi2,0.6812,0.6947,0.0135,-1.082,0.2791,0.8683111111111111
