fold,Model,representation,AUC_structured,AUC_representation,Delta_AUC,Z_stat,p_value
1,Logistic,structured_has_desc,0.6603,0.6598,-0.0004,0.38,0.7041
1,Logistic,lexicon,0.6603,0.6608,0.0005,-0.181,0.8564
1,Logistic,tfidf_full,0.6603,0.6552,-0.0051,0.708,0.4791
1,Logistic,tfidf_chi2,0.6603,0.655,-0.0053,1.187,0.2354
1,Logistic,finbert_768,0.6603,0.5777,-0.0825,3.667,0.0002
1,Logistic,finbert_pca50,0.6603,0.657,-0.0032,0.389,0.697
1,XGBoost,structured_has_desc,0.6472,0.6419,-0.0053,0.98,0.3273
1,XGBoost,lexicon,0.6472,0.645,-0.0022,0.242,0.8086
1,XGBoost,tfidf_full,0.6472,0.6355,-0.0117,0.64,0.5224
1,XGBoost,tfidf_chi2,0.6472,0.6358,-0.0114,0.8,0.4236
1,XGBoost,finbert_768,0.6472,0.609,-0.0382,1.808,0.0705
1,XGBoost,finbert_pca50,0.6472,0.6334,-0.0139,0.876,0.3811
2,Logistic,structured_has_desc,0.681,0.6804,-0.0005,0.484,0.6286
2,Logistic,lexicon,0.681,0.688,0.007,-2.057,0.0397
2,Logistic,tfidf_full,0.681,0.6932,0.0122,-2.497,0.0125
2,Logistic,tfidf_chi2,0.681,0.6852,0.0043,-1.601,0.1094
2,Logistic,finbert_768,0.681,0.6459,-0.035,1.791,0.0733
2,Logistic,finbert_pca50,0.681,0.6781,-0.0028,0.512,0.6087
2,XGBoost,structured_has_desc,0.6812,0.68,-0.0012,0.27,0.7873
2,XGBoost,lexicon,0.6812,0.6814,0.0001,-0.02,0.9844
2,XGBoost,tfidf_full,0.6812,0.6945,0.0133,-0.815,0.4152
2,XGBoost,tfidf_chi2,0.6812,0.6947,0.0135,-1.082,0.2791
2,XGBoost,finbert_768,0.6812,0.6646,-0.0166,0.945,0.3444
2,XGBoost,finbert_pca50,0.6812,0.6795,-0.0017,0.131,0.8958
3,Logistic,structured_has_desc,0.71,0.71,0.0,-0.161,0.8721
3,Logistic,lexicon,0.71,0.7076,-0.0023,0.776,0.4377
3,Logistic,tfidf_full,0.71,0.7101,0.0001,-0.027,0.9787
3,Logistic,tfidf_chi2,0.71,0.7145,0.0046,-1.747,0.0807
3,Logistic,finbert_768,0.71,0.6664,-0.0436,2.569,0.0102
3,Logistic,finbert_pca50,0.71,0.707,-0.003,0.632,0.5274
3,XGBoost,structured_has_desc,0.694,0.6979,0.0039,-1.218,0.2231
3,XGBoost,lexicon,0.694,0.6966,0.0026,-0.459,0.6462
3,XGBoost,tfidf_full,0.694,0.6971,0.0031,-0.228,0.8195
3,XGBoost,tfidf_chi2,0.694,0.7035,0.0095,-0.93,0.3524
3,XGBoost,finbert_768,0.694,0.6676,-0.0264,1.667,0.0955
3,XGBoost,finbert_pca50,0.694,0.6828,-0.0112,0.954,0.3402
4,Logistic,structured_has_desc,0.7017,0.7013,-0.0003,1.097,0.2727
4,Logistic,lexicon,0.7017,0.7015,-0.0002,0.117,0.9071
4,Logistic,tfidf_full,0.7017,0.7094,0.0077,-2.417,0.0156
4,Logistic,tfidf_chi2,0.7017,0.7035,0.0018,-0.889,0.3738
4,Logistic,finbert_768,0.7017,0.6356,-0.0661,4.333,0.0
4,Logistic,finbert_pca50,0.7017,0.7093,0.0076,-1.727,0.0842
4,XGBoost,structured_has_desc,0.6749,0.6733,-0.0016,0.518,0.6047
4,XGBoost,lexicon,0.6749,0.6725,-0.0024,0.511,0.6091
4,XGBoost,tfidf_full,0.6749,0.7117,0.0369,-3.52,0.0004
4,XGBoost,tfidf_chi2,0.6749,0.7006,0.0257,-3.073,0.0021
4,XGBoost,finbert_768,0.6749,0.656,-0.0189,1.47,0.1415
4,XGBoost,finbert_pca50,0.6749,0.6891,0.0143,-1.545,0.1224
5,Logistic,structured_has_desc,0.7194,0.7196,0.0001,-0.939,0.348
5,Logistic,lexicon,0.7194,0.7203,0.0008,-0.538,0.5908
5,Logistic,tfidf_full,0.7194,0.7208,0.0014,-0.462,0.6444
5,Logistic,tfidf_chi2,0.7194,0.721,0.0016,-0.995,0.3195
5,Logistic,finbert_768,0.7194,0.7123,-0.0072,0.611,0.5413
5,Logistic,finbert_pca50,0.7194,0.7221,0.0026,-0.563,0.5734
5,XGBoost,structured_has_desc,0.7146,0.7151,0.0005,-0.285,0.7755
5,XGBoost,lexicon,0.7146,0.7137,-0.001,0.258,0.7961
5,XGBoost,tfidf_full,0.7146,0.711,-0.0036,0.41,0.6817
5,XGBoost,tfidf_chi2,0.7146,0.7153,0.0007,-0.107,0.9146
5,XGBoost,finbert_768,0.7146,0.7156,0.0009,-0.1,0.9203
5,XGBoost,finbert_pca50,0.7146,0.7165,0.0018,-0.255,0.7984
6,Logistic,structured_has_desc,0.6709,0.6708,-0.0001,0.647,0.5176
6,Logistic,lexicon,0.6709,0.6729,0.002,-1.246,0.2126
6,Logistic,tfidf_full,0.6709,0.6767,0.0058,-1.984,0.0472
6,Logistic,tfidf_chi2,0.6709,0.6708,-0.0001,0.116,0.9077
6,Logistic,finbert_768,0.6709,0.6659,-0.005,0.537,0.5909
6,Logistic,finbert_pca50,0.6709,0.6804,0.0095,-2.349,0.0188
6,XGBoost,structured_has_desc,0.6827,0.683,0.0003,-0.174,0.8615
6,XGBoost,lexicon,0.6827,0.6788,-0.0039,1.13,0.2583
6,XGBoost,tfidf_full,0.6827,0.6702,-0.0125,1.64,0.1009
6,XGBoost,tfidf_chi2,0.6827,0.6824,-0.0003,0.055,0.9559
6,XGBoost,finbert_768,0.6827,0.6771,-0.0056,0.654,0.5129
6,XGBoost,finbert_pca50,0.6827,0.6836,0.0009,-0.143,0.8867
7,Logistic,structured_has_desc,0.7003,0.7003,-0.0,0.182,0.8555
7,Logistic,lexicon,0.7003,0.7001,-0.0002,0.206,0.8368
7,Logistic,tfidf_full,0.7003,0.7041,0.0038,-1.354,0.1757
7,Logistic,tfidf_chi2,0.7003,0.7025,0.0022,-1.193,0.233
7,Logistic,finbert_768,0.7003,0.6925,-0.0078,1.003,0.3159
7,Logistic,finbert_pca50,0.7003,0.7001,-0.0002,0.057,0.9549
7,XGBoost,structured_has_desc,0.6991,0.6994,0.0003,-0.147,0.8829
7,XGBoost,lexicon,0.6991,0.7027,0.0035,-1.282,0.1998
7,XGBoost,tfidf_full,0.6991,0.6967,-0.0024,0.379,0.7047
7,XGBoost,tfidf_chi2,0.6991,0.6999,0.0008,-0.151,0.8801
7,XGBoost,finbert_768,0.6991,0.697,-0.0021,0.283,0.777
7,XGBoost,finbert_pca50,0.6991,0.6917,-0.0075,1.348,0.1776
8,Logistic,structured_has_desc,0.6857,0.6859,0.0002,-0.703,0.4821
8,Logistic,lexicon,0.6857,0.6867,0.001,-0.993,0.3206
8,Logistic,tfidf_full,0.6857,0.691,0.0053,-2.586,0.0097
8,Logistic,tfidf_chi2,0.6857,0.6868,0.0011,-0.787,0.4312
8,Logistic,finbert_768,0.6857,0.6704,-0.0153,2.518,0.0118
8,Logistic,finbert_pca50,0.6857,0.689,0.0033,-1.156,0.2478
8,XGBoost,structured_has_desc,0.6895,0.69,0.0005,-0.336,0.7367
8,XGBoost,lexicon,0.6895,0.6925,0.003,-1.201,0.2297
8,XGBoost,tfidf_full,0.6895,0.6865,-0.0029,0.528,0.5976
8,XGBoost,tfidf_chi2,0.6895,0.6923,0.0028,-0.6,0.5484
8,XGBoost,finbert_768,0.6895,0.6852,-0.0042,0.658,0.5103
8,XGBoost,finbert_pca50,0.6895,0.6896,0.0002,-0.037,0.9705
9,Logistic,structured_has_desc,0.6996,0.6993,-0.0004,0.955,0.3396
9,Logistic,lexicon,0.6996,0.7006,0.001,-1.283,0.1994
9,Logistic,tfidf_full,0.6996,0.7018,0.0022,-1.297,0.1945
9,Logistic,tfidf_chi2,0.6996,0.6981,-0.0015,1.091,0.2752
9,Logistic,finbert_768,0.6996,0.6877,-0.0119,2.65,0.008
9,Logistic,finbert_pca50,0.6996,0.7017,0.002,-0.854,0.3929
9,XGBoost,structured_has_desc,0.7006,0.6961,-0.0045,2.038,0.0415
9,XGBoost,lexicon,0.7006,0.6971,-0.0034,1.363,0.1728
9,XGBoost,tfidf_full,0.7006,0.7109,0.0103,-2.262,0.0237
9,XGBoost,tfidf_chi2,0.7006,0.7111,0.0105,-2.93,0.0034
9,XGBoost,finbert_768,0.7006,0.7032,0.0026,-0.483,0.6294
9,XGBoost,finbert_pca50,0.7006,0.7045,0.0039,-0.987,0.3236
10,Logistic,structured_has_desc,0.6927,0.6928,0.0002,-0.794,0.4269
10,Logistic,lexicon,0.6927,0.6942,0.0016,-2.31,0.0209
10,Logistic,tfidf_full,0.6927,0.6957,0.0031,-2.004,0.0451
10,Logistic,tfidf_chi2,0.6927,0.6937,0.0011,-1.045,0.296
10,Logistic,finbert_768,0.6927,0.6898,-0.0029,0.733,0.4637
10,Logistic,finbert_pca50,0.6927,0.6949,0.0022,-1.008,0.3136
10,XGBoost,structured_has_desc,0.6953,0.6941,-0.0012,1.137,0.2555
10,XGBoost,lexicon,0.6953,0.6955,0.0002,-0.111,0.9114
10,XGBoost,tfidf_full,0.6953,0.6903,-0.005,1.626,0.104
