fold,representation,Model,n_train,n_test,n_defaults,n_features,AUC,PR_AUC,Brier,GINI,AUC_CI_lo,AUC_CI_hi
1,structured,Logistic,6694,1042,157,89,0.6603,0.2286,0.2439,0.3206,0.6196,0.7013
1,structured,XGBoost,6694,1042,157,89,0.6472,0.2273,0.1968,0.2945,0.6028,0.6896
1,structured_has_desc,Logistic,6694,1042,157,90,0.6598,0.2289,0.2434,0.3197,0.6197,0.7026
1,structured_has_desc,XGBoost,6694,1042,157,90,0.6419,0.2236,0.1953,0.2838,0.5985,0.6857
1,lexicon,Logistic,6694,1042,157,97,0.6608,0.2319,0.2445,0.3216,0.6217,0.7038
1,lexicon,XGBoost,6694,1042,157,97,0.645,0.2215,0.197,0.29,0.6012,0.6897
1,tfidf_full,Logistic,6694,1042,157,6317,0.6552,0.2264,0.23,0.3103,0.6117,0.7003
1,tfidf_full,XGBoost,6694,1042,157,6317,0.6355,0.2371,0.203,0.271,0.5863,0.6783
1,tfidf_chi2,Logistic,6694,1042,157,590,0.655,0.2288,0.2403,0.3099,0.616,0.6989
1,tfidf_chi2,XGBoost,6694,1042,157,590,0.6358,0.2175,0.2117,0.2716,0.5924,0.6765
1,finbert_768,Logistic,6694,1042,157,858,0.5777,0.1843,0.2513,0.1555,0.528,0.6214
1,finbert_768,XGBoost,6694,1042,157,858,0.609,0.2074,0.18,0.218,0.565,0.6517
1,finbert_pca50,Logistic,6694,1042,157,140,0.657,0.2257,0.2443,0.3141,0.6167,0.7
1,finbert_pca50,XGBoost,6694,1042,157,140,0.6334,0.2257,0.18,0.2667,0.5884,0.6749
2,structured,Logistic,9893,1222,136,91,0.681,0.2077,0.2076,0.3619,0.6334,0.7261
2,structured,XGBoost,9893,1222,136,91,0.6812,0.2349,0.1727,0.3624,0.6284,0.7333
2,structured_has_desc,Logistic,9893,1222,136,92,0.6804,0.2071,0.2072,0.3608,0.6324,0.7261
2,structured_has_desc,XGBoost,9893,1222,136,92,0.68,0.2369,0.1714,0.3601,0.6276,0.7316
2,lexicon,Logistic,9893,1222,136,99,0.688,0.2157,0.2065,0.3759,0.6401,0.7334
2,lexicon,XGBoost,9893,1222,136,99,0.6814,0.2272,0.1719,0.3627,0.6301,0.7291
2,tfidf_full,Logistic,9893,1222,136,8716,0.6932,0.223,0.1967,0.3864,0.6471,0.7409
2,tfidf_full,XGBoost,9893,1222,136,8716,0.6945,0.227,0.1722,0.3891,0.6468,0.7438
2,tfidf_chi2,Logistic,9893,1222,136,592,0.6852,0.2145,0.2052,0.3705,0.6379,0.7312
2,tfidf_chi2,XGBoost,9893,1222,136,592,0.6947,0.2384,0.1747,0.3894,0.6463,0.7368
2,finbert_768,Logistic,9893,1222,136,860,0.6459,0.1952,0.209,0.2919,0.5964,0.6935
2,finbert_768,XGBoost,9893,1222,136,860,0.6646,0.1784,0.1523,0.3291,0.6185,0.7082
