fold,representation,model,n_sub,n_val,best_params,best_val_AUC,all_candidates
1,structured,Logistic,5355,1339,"{""C"": 0.01}",0.7045,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.7045}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.7022}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.7003}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.699}, {""params"": {""C"": 1}, ""val_AUC"": 0.6984}]"
1,structured,XGBoost,5355,1339,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6755,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.6755}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.666}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.6667}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.6451}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6622}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6494}]"
1,structured,RandomForest,5355,1339,"{""min_samples_leaf"": 20}",0.71,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.7099}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.71}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.7082}]"
1,tfidf_full,Logistic,5355,1339,"{""C"": 0.01}",0.7051,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.7051}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.7031}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.7003}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.696}, {""params"": {""C"": 1}, ""val_AUC"": 0.6919}]"
1,tfidf_full,XGBoost,5355,1339,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6344,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.6344}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.6283}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.6242}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.6083}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6155}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6131}]"
1,tfidf_full,RandomForest,5355,1339,"{""min_samples_leaf"": 50}",0.6609,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.6549}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.6567}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.6609}]"
1,finbert_pca50,Logistic,5355,1339,"{""C"": 0.01}",0.69,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.69}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.6873}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.6852}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.6842}, {""params"": {""C"": 1}, ""val_AUC"": 0.6835}]"
1,finbert_pca50,XGBoost,5355,1339,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.6801,"[{""params"": {""max_depth"": 3, ""learning_rate"": 0.05}, ""val_AUC"": 0.6801}, {""params"": {""max_depth"": 3, ""learning_rate"": 0.1}, ""val_AUC"": 0.6517}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.05}, ""val_AUC"": 0.6656}, {""params"": {""max_depth"": 4, ""learning_rate"": 0.1}, ""val_AUC"": 0.6399}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.05}, ""val_AUC"": 0.6582}, {""params"": {""max_depth"": 6, ""learning_rate"": 0.1}, ""val_AUC"": 0.6299}]"
1,finbert_pca50,RandomForest,5355,1339,"{""min_samples_leaf"": 50}",0.7058,"[{""params"": {""min_samples_leaf"": 10}, ""val_AUC"": 0.6864}, {""params"": {""min_samples_leaf"": 20}, ""val_AUC"": 0.6975}, {""params"": {""min_samples_leaf"": 50}, ""val_AUC"": 0.7058}]"
2,structured,Logistic,7914,1979,"{""C"": 0.01}",0.7298,"[{""params"": {""C"": 0.01}, ""val_AUC"": 0.7298}, {""params"": {""C"": 0.03}, ""val_AUC"": 0.7292}, {""params"": {""C"": 0.1}, ""val_AUC"": 0.7288}, {""params"": {""C"": 0.3}, ""val_AUC"": 0.7289}, {""params"": {""C"": 1}, ""val_AUC"": 0.7293}]"
